,air_store_id,air_genre_name,air_area_name,latitude,longitude,latlong_m,1_close_st,2_close_st,3_close_st,4_close_st,5_close_st
13,air_d3e7b5952cd09ccb,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,[  35.6580681  139.7515992],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
14,air_e64de0a6bf0739af,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,[  35.6580681  139.7515992],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
15,air_4ce7b17062a1bf73,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,[  35.6580681  139.7515992],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
16,air_290e7a57b390f78e,Italian/French,Tōkyō-to Minato-ku Shibakōen,35.6580681,139.7515992,[  35.6580681  139.7515992],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
17,air_4579cb0669fd411b,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
18,air_63a750d8b4b6a976,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
19,air_9438d67241c81314,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
20,air_929d8513e3cdb423,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
21,air_6c1128955c58b690,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
22,air_638c35eb25e53eea,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
23,air_a7404a854919e990,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
24,air_f6cdaf7b7fdc6d78,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
25,air_df9355c47c5df9d3,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,33.589215700000004,130.3928134,[  33.5892157  130.3928134],fukuoka__fukuoka-kana__fukuoka,fukuoka__hakata-kana__hakata,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__dazaifu-kana__dasaif,fukuoka__sasaguri-kana__sasaburi____2009-11-20
26,air_bf617aa68d5f1cfa,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,[  35.6465721  139.6532473],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__chofu-kana__NONE____1976-12-13,tokyo__nerima-kana__nerima
27,air_a218912784bf767d,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,[  35.6465721  139.6532473],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__chofu-kana__NONE____1976-12-13,tokyo__nerima-kana__nerima
28,air_506fe758114df773,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,[  35.6465721  139.6532473],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__chofu-kana__NONE____1976-12-13,tokyo__nerima-kana__nerima
29,air_0b9038300f8b2b50,Italian/French,Tōkyō-to Setagaya-ku Setagaya,35.6465721,139.65324730000003,[  35.6465721  139.6532473],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__chofu-kana__NONE____1976-12-13,tokyo__nerima-kana__nerima
30,air_3440e0ea1b70a99b,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.705361700000005,135.51002519999997,[  34.7053617  135.5100252],osaka__osaka-kana__osaka,osaka__toyonaka-kana__toyonaka,osaka__yao-kana__yao,osaka__mino-kana__minoo____2009-12-18,osaka__ikomayama-kana__ikomayama
31,air_722297e7f26db91d,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi,34.705361700000005,135.51002519999997,[  34.7053617  135.5100252],osaka__osaka-kana__osaka,osaka__toyonaka-kana__toyonaka,osaka__yao-kana__yao,osaka__mino-kana__minoo____2009-12-18,osaka__ikomayama-kana__ikomayama
32,air_fcfbdcf7b1f82c6e,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
33,air_f8233ad00755c35c,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
34,air_d186b2cb0b9ce022,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
35,air_e76a668009c5dabc,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
36,air_7fbf7649eb13ad9b,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
37,air_b439391e72899756,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
38,air_681b0c56328dd2af,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
39,air_938ef91ecdde6878,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
40,air_f911308e19d64236,Italian/French,Tōkyō-to Shibuya-ku Shibuya,35.6617773,139.70405060000002,[  35.6617773  139.7040506],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi,tokyo__nerima-kana__nerima,tokyo__haneda-kana__haneda
41,air_650f9b9de0c5542c,Italian/French,Tōkyō-to Suginami-ku Asagayaminami,35.6995657,139.6364379,[  35.6995657  139.6364379],tokyo__nerima-kana__nerima,tokyo__setagaya-kana__setagaya,tokyo__chofu-kana__NONE____1976-12-13,tokyo__tokyo-kana__tonokyo,tokyo__fuchu-kana__fuku
42,air_632ba66e1f75aa28,Italian/French,Tōkyō-to Suginami-ku Asagayaminami,35.6995657,139.6364379,[  35.6995657  139.6364379],tokyo__nerima-kana__nerima,tokyo__setagaya-kana__setagaya,tokyo__chofu-kana__NONE____1976-12-13,tokyo__tokyo-kana__tonokyo,tokyo__fuchu-kana__fuku
43,air_8e492076a1179383,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.386244500000004,132.4550176,[  34.3862445  132.4550176],hiroshima__hiroshima-kana__hiroshima,hiroshima__megui-taniyama-kana__egetaniyama____2005-12-02,hiroshima__kure-ka__clay,hiroshima__miki-kana__mili,hiroshima__saeki-yuko-kana__saekiyuki
44,air_0867f7bebad6a649,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.386244500000004,132.4550176,[  34.3862445  132.4550176],hiroshima__hiroshima-kana__hiroshima,hiroshima__megui-taniyama-kana__egetaniyama____2005-12-02,hiroshima__kure-ka__clay,hiroshima__miki-kana__mili,hiroshima__saeki-yuko-kana__saekiyuki
45,air_9d93d95720f2e831,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,[  35.6721142  139.7708253],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
46,air_900d755ebd2f7bbd,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,[  35.6721142  139.7708253],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
47,air_dfe068a1bf85f395,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,[  35.6721142  139.7708253],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
48,air_ea7c16131980c837,Italian/French,Tōkyō-to Chūō-ku Ginza,35.6721142,139.7708253,[  35.6721142  139.7708253],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
49,air_97b2a9f975fc702c,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,[  35.6938401  139.7035494],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__nerima-kana__nerima,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__chofu-kana__NONE____1976-12-13
50,air_ccd19a5bc5573ae5,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,[  35.6938401  139.7035494],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__nerima-kana__nerima,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__chofu-kana__NONE____1976-12-13
51,air_40953e2d8b4f2857,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,[  35.6938401  139.7035494],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__nerima-kana__nerima,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__chofu-kana__NONE____1976-12-13
52,air_c0385db498b391e5,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,[  35.6938401  139.7035494],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__nerima-kana__nerima,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__chofu-kana__NONE____1976-12-13
53,air_082908692355165e,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,[  35.6938401  139.7035494],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__nerima-kana__nerima,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__chofu-kana__NONE____1976-12-13
54,air_6cbe54f0aa30b615,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,35.6938401,139.70354939999999,[  35.6938401  139.7035494],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__nerima-kana__nerima,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__chofu-kana__NONE____1976-12-13
55,air_2a7f14da7fe0f699,Italian/French,Tōkyō-to Meguro-ku Kamimeguro,35.64146289999999,139.6981712,[  35.6414629  139.6981712],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__haneda-kana__haneda,tokyo__nerima-kana__nerima
56,air_31c753b48a657b6c,Italian/French,Tōkyō-to Meguro-ku Kamimeguro,35.64146289999999,139.6981712,[  35.6414629  139.6981712],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__haneda-kana__haneda,tokyo__nerima-kana__nerima
57,air_483eba479dc9910d,Italian/French,Tōkyō-to Meguro-ku Kamimeguro,35.64146289999999,139.6981712,[  35.6414629  139.6981712],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__haneda-kana__haneda,tokyo__nerima-kana__nerima
58,air_9cd5e310f488bced,Italian/French,Tōkyō-to Meguro-ku Kamimeguro,35.64146289999999,139.6981712,[  35.6414629  139.6981712],tokyo__setagaya-kana__setagaya,tokyo__tokyo-kana__tonokyo,kanagawa__hiyoshi-kana__hiyoshi,tokyo__haneda-kana__haneda,tokyo__nerima-kana__nerima
59,air_d00a15343325e5f7,Italian/French,Ōsaka-fu Suita-shi Izumichō,34.7594526,135.51686,[  34.7594526  135.51686  ],osaka__toyonaka-kana__toyonaka,osaka__osaka-kana__osaka,osaka__mino-kana__minoo____2009-12-18,osaka__ibaraki-kana__ibaraki,osaka__hirakata-kana__hirakata
60,air_228f10bec0bda9c8,Italian/French,Ōsaka-fu Suita-shi Izumichō,34.7594526,135.51686,[  34.7594526  135.51686  ],osaka__toyonaka-kana__toyonaka,osaka__osaka-kana__osaka,osaka__mino-kana__minoo____2009-12-18,osaka__ibaraki-kana__ibaraki,osaka__hirakata-kana__hirakata
61,air_6b2268863b14a2af,Italian/French,Tōkyō-to Tachikawa-shi Izumichō,35.71401420000001,139.40784309999998,[  35.7140142  139.4078431],saitama__tokorozawa-kana__tokorozawa,tokyo__fuchu-kana__fuku,tokyo__hachioji-kana__hachi-auji,tokyo__ome-kana__NONE,tokyo__chofu-kana__NONE____1976-12-13
62,air_8f13ef0f5e8c64dd,Italian/French,Tōkyō-to Tachikawa-shi Izumichō,35.71401420000001,139.40784309999998,[  35.7140142  139.4078431],saitama__tokorozawa-kana__tokorozawa,tokyo__fuchu-kana__fuku,tokyo__hachioji-kana__hachi-auji,tokyo__ome-kana__NONE,tokyo__chofu-kana__NONE____1976-12-13
63,air_48f4da6223571da4,Italian/French,Tōkyō-to Tachikawa-shi Izumichō,35.71401420000001,139.40784309999998,[  35.7140142  139.4078431],saitama__tokorozawa-kana__tokorozawa,tokyo__fuchu-kana__fuku,tokyo__hachioji-kana__hachi-auji,tokyo__ome-kana__NONE,tokyo__chofu-kana__NONE____1976-12-13
64,air_9d452a881f7f2bb7,Italian/French,Fukuoka-ken Fukuoka-shi Hakata Ekimae,33.5913576,130.4148783,[  33.5913576  130.4148783],fukuoka__hakata-kana__hakata,fukuoka__fukuoka-kana__fukuoka,fukuoka__dazaifu-kana__dasaif,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__sasaguri-kana__sasaburi____2009-11-20
65,air_55c3627912b9c849,Italian/French,Fukuoka-ken Fukuoka-shi Hakata Ekimae,33.5913576,130.4148783,[  33.5913576  130.4148783],fukuoka__hakata-kana__hakata,fukuoka__fukuoka-kana__fukuoka,fukuoka__dazaifu-kana__dasaif,fukuoka__sayara-wakayama-kana__sawarawakiyama,fukuoka__sasaguri-kana__sasaburi____2009-11-20
66,air_6b15edd1b4fbb96a,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirochō,34.7108955,137.7259397,[  34.7108955  137.7259397],shizuoka__hamamatsu-kana__hamamatsu,shizuoka__iwata-kana__iwata,shizuoka__kiriyama-kana__kiriyama____1981-11-19,shizuoka__mikagaoka__mikakebi,shizuoka__tenryu-kana__tenryu
67,air_6d65542aa43b598b,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirochō,34.7108955,137.7259397,[  34.7108955  137.7259397],shizuoka__hamamatsu-kana__hamamatsu,shizuoka__iwata-kana__iwata,shizuoka__kiriyama-kana__kiriyama____1981-11-19,shizuoka__mikagaoka__mikakebi,shizuoka__tenryu-kana__tenryu
68,air_2c6fef1ce0e13a5a,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi,43.055460100000005,141.34095559999997,[  43.0554601  141.3409556],hokkaido_ishikari__sapporo-katakana__satporo,hokkaido_ishikari__tanayama-kana__teineyama,hokkaido_ishikari__yamaguchi-kana__yamaguchi,hokkaido_ishikari__koganei-kana__koganeune,hokkaido_ishikari__ishikari-kana__ishikari
69,air_ca957d3a1529fbd3,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi,43.055460100000005,141.34095559999997,[  43.0554601  141.3409556],hokkaido_ishikari__sapporo-katakana__satporo,hokkaido_ishikari__tanayama-kana__teineyama,hokkaido_ishikari__yamaguchi-kana__yamaguchi,hokkaido_ishikari__koganei-kana__koganeune,hokkaido_ishikari__ishikari-kana__ishikari
70,air_d6b3e67261f07646,Italian/French,Tōkyō-to Minato-ku Akasaka,35.6749184,139.736775,[  35.6749184  139.736775 ],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__nerima-kana__nerima
71,air_968d72c12eed09f0,Italian/French,Tōkyō-to Minato-ku Akasaka,35.6749184,139.736775,[  35.6749184  139.736775 ],tokyo__tokyo-kana__tonokyo,tokyo__setagaya-kana__setagaya,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__nerima-kana__nerima
72,air_ecf7f141339f1d57,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
73,air_56cd12f31a0afc04,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
74,air_73f316e6a18d8aa9,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
75,air_310e467e6e625004,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
76,air_3b20733899b5287f,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
77,air_d63cfa6d6ab78446,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
78,air_e3020992d5fe5dfd,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
79,air_9152d9926e5c4a3a,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
80,air_1509881b22965b34,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
81,air_08ef81d5b7a0d13f,Italian/French,Tōkyō-to Chūō-ku Tsukiji,35.6706505,139.7718614,[  35.6706505  139.7718614],tokyo__tokyo-kana__tonokyo,tokyo__edogawa-seaside-kana__edgawawinkai,tokyo__haneda-kana__haneda,tokyo__setagaya-kana__setagaya,kanagawa__hiyoshi-kana__hiyoshi
