,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
34,2016-02-04,6.5,9.9,3.0,,6.9,,2.6,5.4,1018.7,56.0,1022.5,8.8
35,2016-02-05,7.6,11.2,4.4,,9.0,,2.9,5.9,1015.0,57.0,1018.8,4.0
36,2016-02-06,6.8,10.0,4.3,0.0,4.7,,3.2,4.9,1011.9,51.0,1015.6,5.5
37,2016-02-07,4.6,8.1,2.4,0.0,3.7,,3.6,4.7,1015.2,55.0,1019.0,5.8
38,2016-02-08,5.7,10.2,0.9,,10.2,,3.7,4.3,1014.9,47.0,1018.7,1.3
39,2016-02-09,7.5,10.9,3.9,0.0,5.8,,5.6,5.3,1012.2,52.0,1015.9,5.3
40,2016-02-10,5.6,9.6,2.8,0.0,5.7,,3.4,4.7,1022.0,53.0,1025.9,1.8
41,2016-02-11,6.9,11.0,2.5,,10.2,,2.6,5.0,1026.5,51.0,1030.3,2.3
42,2016-02-12,11.9,17.0,6.7,0.0,7.4,,5.4,8.1,1024.2,57.0,1028.0,9.5
43,2016-02-13,14.7,18.3,12.2,68.0,0.0,,5.6,13.4,1013.1,80.0,1016.7,10.0
44,2016-02-14,15.5,19.8,10.6,14.0,4.4,,7.2,13.1,1000.8,74.0,1004.5,7.3
45,2016-02-15,6.4,10.8,2.9,0.0,1.8,,5.4,5.7,1005.9,58.0,1009.7,8.3
46,2016-02-16,4.5,7.7,1.3,0.0,7.5,,5.5,4.5,1012.7,54.0,1016.5,4.0
47,2016-02-17,5.9,9.4,3.3,0.0,5.8,,3.9,5.2,1016.6,57.0,1020.4,4.3
48,2016-02-18,6.0,10.1,1.7,,10.2,,2.1,5.5,1022.0,59.0,1025.8,1.8
49,2016-02-19,9.7,14.1,5.0,,8.1,,2.5,7.2,1023.9,61.0,1027.7,5.0
50,2016-02-20,10.0,12.5,8.9,22.5,0.0,,6.4,8.7,1013.3,72.0,1017.0,10.0
51,2016-02-21,7.8,11.4,5.2,2.0,7.1,,4.5,6.0,1019.6,57.0,1023.4,6.3
52,2016-02-22,6.3,8.0,3.2,,1.6,,2.1,5.1,1026.6,53.0,1030.5,8.8
53,2016-02-23,8.2,9.8,6.6,0.0,0.9,,3.1,6.4,1021.0,59.0,1024.8,7.5
54,2016-02-24,5.4,8.3,3.4,0.0,5.9,,4.6,4.6,1022.4,51.0,1026.2,7.0
55,2016-02-25,4.5,8.6,1.5,0.0,9.9,,3.4,4.1,1025.8,49.0,1029.6,1.5
56,2016-02-26,5.6,9.6,2.0,0.0,8.1,,3.6,4.5,1025.6,50.0,1029.5,2.8
57,2016-02-27,8.2,13.2,3.4,0.0,5.8,,3.6,6.7,1023.0,61.0,1026.8,7.3
58,2016-02-28,10.5,14.7,5.6,,9.7,,3.1,7.6,1020.2,61.0,1024.0,1.0
59,2016-02-29,8.9,12.9,1.4,0.0,1.8,,5.2,6.7,1010.4,56.0,1014.1,6.5
60,2016-03-01,3.4,6.8,0.7,0.0,5.7,,3.8,4.1,1019.7,53.0,1023.6,3.3
61,2016-03-02,6.5,11.0,2.2,,10.4,,3.7,5.2,1021.6,55.0,1025.4,1.8
62,2016-03-03,9.7,14.3,4.3,,10.7,,2.5,7.1,1022.4,60.0,1026.2,0.5
63,2016-03-04,11.8,16.7,6.5,,6.7,,2.3,8.1,1025.3,59.0,1029.0,4.3
64,2016-03-05,15.7,19.5,11.3,,8.4,,3.3,10.4,1024.6,58.0,1028.2,6.5
65,2016-03-06,17.1,19.7,13.4,0.0,1.3,,2.9,12.1,1019.0,62.0,1022.6,9.0
66,2016-03-07,17.7,21.0,15.1,4.5,3.0,,3.9,14.3,1012.5,71.0,1016.1,7.3
67,2016-03-08,15.0,19.1,12.2,,6.1,,2.4,12.9,1012.7,76.0,1016.4,7.0
68,2016-03-09,9.6,13.7,6.8,32.5,0.0,,5.0,8.9,1011.2,75.0,1015.0,8.3
69,2016-03-10,7.6,10.0,5.8,,1.1,,3.9,5.3,1014.9,51.0,1018.7,10.0
70,2016-03-11,7.3,12.2,5.4,,5.6,,3.7,5.3,1015.7,52.0,1019.5,6.3
71,2016-03-12,7.1,10.4,3.8,,11.4,,3.6,5.1,1019.4,50.0,1023.2,2.0
72,2016-03-13,9.0,12.6,5.3,10.5,4.0,,4.2,6.5,1019.0,57.0,1022.8,10.0
73,2016-03-14,7.2,8.8,5.9,15.0,0.2,,4.4,7.6,1011.6,75.0,1015.4,9.5
74,2016-03-15,8.4,12.9,5.5,,9.5,,4.6,5.2,1016.7,48.0,1020.4,2.0
75,2016-03-16,9.2,14.4,4.3,,4.8,,2.8,6.2,1019.6,53.0,1023.4,8.5
76,2016-03-17,12.7,18.3,7.1,,11.3,,2.0,7.5,1019.0,54.0,1022.7,4.3
77,2016-03-18,15.0,19.3,11.3,13.5,4.0,,3.0,11.2,1013.8,65.0,1017.4,9.8
78,2016-03-19,14.0,16.3,10.3,9.5,0.8,,2.9,13.2,1005.7,81.0,1009.3,9.3
79,2016-03-20,11.2,16.0,8.9,0.0,8.7,,4.1,6.4,1013.1,49.0,1016.8,7.0
80,2016-03-21,9.8,14.6,7.1,0.0,11.6,,4.3,4.9,1016.8,41.0,1020.5,3.3
81,2016-03-22,10.0,14.8,4.6,,11.1,,2.8,6.3,1014.6,51.0,1018.4,1.8
82,2016-03-23,12.9,18.6,8.5,,9.9,,2.9,7.0,1011.4,48.0,1015.1,6.5
83,2016-03-24,9.2,12.6,6.0,0.0,4.6,,5.1,4.8,1015.0,41.0,1018.7,8.5
84,2016-03-25,7.2,11.1,4.7,0.0,4.4,,3.6,4.6,1018.5,46.0,1022.3,8.0
85,2016-03-26,8.1,11.5,3.9,,11.3,,2.8,5.3,1017.3,50.0,1021.1,3.8
86,2016-03-27,9.8,14.1,6.1,0.0,4.3,,3.6,6.8,1015.1,55.0,1018.8,8.0
87,2016-03-28,10.5,14.4,7.6,1.0,8.3,,2.6,7.6,1016.8,60.0,1020.6,4.3
88,2016-03-29,12.0,15.7,6.9,,7.3,,2.3,7.6,1020.2,55.0,1024.0,5.5
89,2016-03-30,14.6,18.6,10.6,,6.8,,2.3,9.3,1017.1,56.0,1020.8,8.0
90,2016-03-31,16.1,20.1,11.9,0.0,7.5,,2.5,11.3,1014.8,63.0,1018.4,9.0
91,2016-04-01,15.4,16.8,14.4,3.0,0.3,,8.3,13.1,1011.5,75.0,1015.1,10.0
92,2016-04-02,17.4,21.0,14.5,,9.6,,5.1,12.2,1017.5,62.0,1021.2,3.8
93,2016-04-03,18.0,21.3,16.1,1.0,0.3,,4.7,13.5,1015.8,66.0,1019.5,10.0
94,2016-04-04,16.2,19.7,13.3,12.5,1.0,,2.2,15.2,1005.5,83.0,1009.1,9.8
95,2016-04-05,14.4,17.5,12.8,,5.1,,2.3,10.6,1011.0,65.0,1014.7,7.3
96,2016-04-06,16.3,20.0,11.3,0.0,7.1,,2.4,9.6,1015.5,53.0,1019.1,10.0
97,2016-04-07,17.2,20.2,13.4,45.0,0.0,,6.1,16.9,1005.1,85.0,1008.8,10.0
98,2016-04-08,15.5,17.7,12.8,,3.2,,2.6,12.2,1009.9,69.0,1013.6,7.5
99,2016-04-09,16.6,20.6,12.3,,7.7,,2.4,13.4,1011.7,72.0,1015.4,10.0
100,2016-04-10,17.3,21.2,14.4,,0.5,,2.0,13.6,1007.7,69.0,1011.3,10.0
101,2016-04-11,11.2,16.0,7.3,,8.9,,5.4,6.8,1014.1,50.0,1017.8,6.8
102,2016-04-12,11.9,16.1,6.3,0.0,10.5,,3.1,7.1,1017.6,49.0,1021.3,6.8
103,2016-04-13,16.3,19.1,13.8,14.5,0.0,,4.3,15.0,1008.7,81.0,1012.3,10.0
104,2016-04-14,18.6,24.9,15.5,2.0,6.4,,3.6,15.3,1003.5,72.0,1007.1,7.8
105,2016-04-15,15.5,19.8,12.1,,11.9,,4.6,6.6,1015.3,38.0,1018.9,1.0
106,2016-04-16,16.2,20.9,10.4,0.0,11.6,,3.6,9.1,1015.9,47.0,1019.6,6.8
107,2016-04-17,20.2,24.9,17.4,5.5,7.8,,5.3,13.6,1004.2,59.0,1007.8,7.3
108,2016-04-18,16.0,18.1,13.4,0.0,0.2,,3.3,10.5,1009.9,58.0,1013.6,10.0
109,2016-04-19,15.5,20.8,10.7,,11.2,,3.9,8.8,1017.1,51.0,1020.8,1.5
110,2016-04-20,15.8,20.5,10.2,,12.0,,3.9,9.5,1020.3,53.0,1023.9,3.5
111,2016-04-21,16.4,18.5,14.1,15.5,0.0,,4.3,14.0,1008.4,75.0,1012.1,10.0
112,2016-04-22,19.3,22.1,16.3,,10.4,,3.0,15.7,1004.5,71.0,1008.0,5.0
113,2016-04-23,18.3,22.4,15.6,3.0,4.6,,2.6,14.6,1008.0,70.0,1011.6,9.8
114,2016-04-24,17.8,21.0,15.3,0.5,4.6,,2.7,11.2,1009.8,57.0,1013.4,10.0
115,2016-04-25,18.7,24.0,13.6,,6.4,,2.4,12.5,1013.7,57.0,1017.3,8.5
116,2016-04-26,20.2,24.4,16.9,,11.7,,4.4,14.1,1012.6,60.0,1016.2,4.5
117,2016-04-27,18.8,20.7,17.2,2.5,0.0,,5.7,16.8,1005.9,78.0,1009.5,10.0
118,2016-04-28,16.5,19.3,12.9,3.5,0.0,,5.5,14.6,995.9,77.0,999.5,9.8
119,2016-04-29,13.4,17.9,11.0,,6.1,,4.3,7.5,1006.1,50.0,1009.8,5.3
120,2016-04-30,15.0,18.9,9.4,,12.7,,2.8,9.2,1011.8,54.0,1015.5,0.5
121,2016-05-01,19.5,25.2,15.2,,9.2,,2.9,13.2,1012.7,59.0,1016.3,4.0
122,2016-05-02,20.5,27.7,15.8,,11.4,,2.9,14.6,1015.2,61.0,1018.8,3.8
123,2016-05-03,20.6,23.1,16.6,9.5,0.6,,3.8,15.7,1008.0,65.0,1011.5,9.8
124,2016-05-04,19.9,24.6,16.0,3.0,12.7,,6.3,10.8,1004.1,48.0,1007.6,1.3
125,2016-05-05,20.9,24.1,17.7,,11.1,,4.2,9.4,1011.5,39.0,1015.1,5.0
126,2016-05-06,18.0,21.0,16.1,8.0,0.0,,3.1,11.9,1011.6,59.0,1015.2,10.0
127,2016-05-07,19.2,23.9,16.3,0.0,3.6,,3.1,14.8,1007.9,67.0,1011.5,10.0
128,2016-05-08,19.5,23.7,14.5,,11.4,,2.2,10.2,1014.1,46.0,1017.7,10.0
129,2016-05-09,17.3,19.9,14.9,27.5,0.0,,6.0,16.0,1010.0,82.0,1013.6,10.0
130,2016-05-10,18.9,21.4,16.3,19.5,0.0,,3.2,20.7,1002.4,94.0,1006.0,10.0
131,2016-05-11,19.5,22.3,15.6,5.5,0.3,,4.3,17.6,1000.6,76.0,1004.2,9.5
132,2016-05-12,18.8,22.6,13.6,,13.3,,2.8,11.9,1012.0,56.0,1015.6,0.0
133,2016-05-13,20.8,26.6,17.0,,11.7,,2.9,15.4,1015.6,63.0,1019.2,3.8
134,2016-05-14,21.9,26.8,17.5,,11.7,,2.4,14.6,1018.4,56.0,1022.0,6.3
135,2016-05-15,22.2,25.7,19.0,,11.1,,3.9,16.6,1014.9,63.0,1018.5,8.8
136,2016-05-16,21.2,24.6,15.5,60.5,0.3,,3.9,18.6,1007.0,74.0,1010.5,10.0
137,2016-05-17,17.9,24.1,13.2,5.0,11.3,,2.8,10.9,1010.6,56.0,1014.2,7.0
138,2016-05-18,19.3,24.4,13.6,,13.1,,2.6,11.7,1014.4,52.0,1018.0,2.5
139,2016-05-19,21.4,27.0,16.8,,11.2,,2.5,14.2,1015.4,56.0,1019.0,7.5
140,2016-05-20,21.5,26.9,18.8,,9.8,,3.1,15.3,1014.4,60.0,1018.0,4.0
141,2016-05-21,22.4,28.2,18.0,,12.9,,2.5,14.6,1013.1,56.0,1016.7,1.3
142,2016-05-22,22.1,25.7,18.0,,12.9,,4.3,15.4,1013.5,58.0,1017.0,2.8
143,2016-05-23,23.7,28.9,19.2,,12.3,,2.7,15.6,1011.7,55.0,1015.3,5.0
144,2016-05-24,23.6,27.2,20.0,,7.9,,4.1,13.6,1009.2,47.0,1012.7,8.0
145,2016-05-25,23.1,25.6,21.4,0.0,0.1,,2.2,17.1,1009.1,61.0,1012.6,10.0
146,2016-05-26,23.6,27.5,21.3,9.0,0.4,,3.2,22.8,1007.1,79.0,1010.6,10.0
147,2016-05-27,23.6,28.1,20.5,1.0,7.7,,2.9,17.9,1005.6,63.0,1009.1,7.0
148,2016-05-28,20.9,22.3,18.9,0.5,0.3,,2.4,17.0,1005.2,69.0,1008.8,7.8
149,2016-05-29,21.2,25.2,17.8,6.5,4.8,,4.0,18.4,1002.2,74.0,1005.7,6.8
150,2016-05-30,21.5,24.4,18.4,3.5,0.5,,4.4,20.5,1000.5,80.0,1004.1,9.8
151,2016-05-31,23.1,25.5,20.4,,10.2,,3.4,21.3,1002.6,76.0,1006.1,8.5
152,2016-06-01,21.0,24.6,17.3,,7.8,,3.8,12.1,1002.2,49.0,1005.7,7.0
153,2016-06-02,19.7,24.4,15.9,,12.4,,4.9,10.8,1005.2,48.0,1008.7,2.3
154,2016-06-03,20.4,25.1,14.6,,13.3,,3.2,11.7,1009.5,49.0,1013.1,3.0
155,2016-06-04,21.8,24.2,19.1,0.0,1.2,,3.1,16.4,1009.2,63.0,1012.8,8.5
156,2016-06-05,20.2,23.8,16.2,18.5,1.4,,7.3,16.7,1007.2,72.0,1010.8,7.8
157,2016-06-06,22.1,25.8,18.0,,7.4,,2.7,17.7,1010.1,67.0,1013.6,7.0
158,2016-06-07,20.9,22.3,19.5,11.5,0.0,,6.2,19.6,1009.2,80.0,1012.8,9.0
159,2016-06-08,23.1,28.1,19.4,,10.5,,4.6,19.7,1008.3,70.0,1011.8,8.3
160,2016-06-09,23.7,27.6,21.7,0.0,3.8,,3.0,21.5,1007.0,74.0,1010.5,7.3
161,2016-06-10,24.6,28.2,20.6,0.0,13.3,,2.8,20.4,1009.4,67.0,1012.9,1.5
162,2016-06-11,25.3,28.8,22.3,0.0,8.0,,3.9,21.7,1010.6,68.0,1014.1,9.3
163,2016-06-12,24.4,27.8,21.5,18.0,0.6,,5.2,22.5,1004.9,75.0,1008.4,10.0
164,2016-06-13,23.2,25.8,21.5,4.0,0.6,,4.2,22.3,995.8,79.0,999.3,9.5
165,2016-06-14,24.6,27.7,22.0,0.0,6.5,,2.6,21.5,1000.3,70.0,1003.8,7.8
166,2016-06-15,25.1,28.8,22.9,0.0,7.7,,3.5,23.3,1003.7,73.0,1007.2,7.5
167,2016-06-16,23.2,25.1,21.3,35.5,0.0,,4.8,24.0,998.6,85.0,1002.1,10.0
168,2016-06-17,24.4,27.3,21.4,0.0,3.4,,3.8,21.5,1003.9,71.0,1007.4,8.3
169,2016-06-18,25.3,30.1,20.8,,12.6,,2.8,19.0,1010.7,60.0,1014.2,4.3
170,2016-06-19,22.4,24.8,19.1,19.5,0.0,,2.8,22.5,1008.6,83.0,1012.2,10.0
171,2016-06-20,24.9,28.0,22.7,0.0,3.2,,3.0,25.7,1005.3,82.0,1008.8,10.0
172,2016-06-21,25.1,28.8,20.9,33.0,7.8,,3.7,24.3,1003.6,77.0,1007.1,8.3
173,2016-06-22,24.6,27.2,22.6,19.0,0.7,,2.0,26.5,1004.1,86.0,1007.6,10.0
174,2016-06-23,25.8,29.9,22.4,50.5,6.8,,4.2,24.2,1000.7,73.0,1004.2,5.5
175,2016-06-24,23.4,26.0,20.9,21.5,0.6,,4.0,22.8,1000.8,79.0,1004.3,10.0
176,2016-06-25,23.8,26.5,20.5,36.0,0.0,,4.4,23.6,1000.3,79.0,1003.8,10.0
177,2016-06-26,23.6,26.5,20.4,,8.7,,3.5,19.2,1006.0,66.0,1009.5,7.0
178,2016-06-27,23.4,28.0,18.8,22.0,6.8,,2.9,20.3,1009.3,72.0,1012.8,5.0
179,2016-06-28,21.3,23.3,19.2,5.0,0.1,,3.0,22.9,1007.4,90.0,1010.9,10.0
180,2016-06-29,23.1,25.1,20.3,15.0,0.1,,1.7,25.7,1009.5,91.0,1013.1,10.0
181,2016-06-30,25.0,27.0,23.5,0.0,0.2,,2.5,27.0,1009.4,85.0,1012.9,10.0
182,2016-07-01,26.0,29.7,22.8,,9.3,,3.2,26.2,1009.8,79.0,1013.3,9.8
183,2016-07-02,27.6,30.3,25.6,,11.7,,3.8,28.5,1008.2,77.0,1011.7,10.0
184,2016-07-03,28.1,31.3,25.7,0.0,9.4,,4.5,29.8,1007.5,79.0,1010.9,6.8
185,2016-07-04,28.8,33.1,25.5,1.0,8.9,,3.1,29.7,1009.5,75.0,1013.0,6.5
186,2016-07-05,29.3,33.4,26.4,,11.7,,3.7,28.0,1012.6,69.0,1016.0,8.0
187,2016-07-06,28.3,30.9,26.6,,10.5,,3.9,27.5,1013.6,72.0,1017.1,6.3
188,2016-07-07,28.5,32.2,25.9,,13.2,,3.4,27.9,1011.5,72.0,1015.0,6.3
189,2016-07-08,26.6,29.4,23.7,5.5,0.0,,1.9,27.4,1009.9,79.0,1013.4,10.0
190,2016-07-09,24.0,25.8,22.2,30.0,2.0,,4.0,27.6,1003.5,92.0,1007.0,8.5
191,2016-07-10,27.4,30.7,24.6,,7.1,,2.4,29.0,1001.6,80.0,1005.1,9.0
192,2016-07-11,27.9,32.5,25.2,0.0,6.4,,3.0,29.4,1002.7,79.0,1006.2,10.0
193,2016-07-12,27.8,29.9,25.8,8.0,0.8,,2.7,31.2,1002.7,84.0,1006.1,10.0
194,2016-07-13,26.9,28.0,25.7,14.5,0.0,,3.2,31.6,998.9,89.0,1002.3,10.0
195,2016-07-14,26.8,31.5,24.0,12.5,6.7,,2.9,28.6,995.4,82.0,998.9,9.0
196,2016-07-15,25.5,29.2,23.6,,1.2,,3.8,23.1,997.7,71.0,1001.1,8.0
197,2016-07-16,26.7,29.6,23.4,,2.9,,3.2,23.3,1002.4,67.0,1005.9,10.0
198,2016-07-17,28.4,31.4,25.5,1.5,1.0,,2.7,28.7,1003.3,75.0,1006.8,10.0
199,2016-07-18,28.2,31.3,25.5,,8.8,,2.8,26.0,1005.3,69.0,1008.8,6.0
200,2016-07-19,28.5,31.9,24.6,,13.1,,3.0,23.7,1006.8,61.0,1010.3,1.5
201,2016-07-20,28.3,32.3,24.7,,13.6,,3.5,21.8,1007.8,57.0,1011.3,5.5
202,2016-07-21,28.0,32.3,24.8,,10.1,,3.6,22.5,1007.5,60.0,1011.0,8.0
203,2016-07-22,28.3,33.1,24.6,0.0,11.7,,4.3,22.4,1006.8,59.0,1010.2,6.8
204,2016-07-23,27.3,31.6,24.8,,11.3,,4.7,23.9,1008.5,66.0,1011.9,8.5
205,2016-07-24,26.6,29.7,24.3,,2.9,,3.7,24.2,1010.4,70.0,1013.9,10.0
206,2016-07-25,26.5,28.0,25.5,0.0,0.0,,2.4,25.0,1010.1,72.0,1013.6,10.0
207,2016-07-26,25.8,27.2,24.3,11.0,0.2,,2.6,28.0,1007.1,85.0,1010.6,10.0
208,2016-07-27,27.4,30.1,25.3,0.0,7.8,,2.7,28.1,1005.9,78.0,1009.3,8.8
209,2016-07-28,28.6,31.5,26.4,,10.8,,3.1,26.5,1007.7,68.0,1011.1,6.5
210,2016-07-29,28.6,32.4,26.2,,9.9,,3.7,26.5,1009.2,68.0,1012.6,6.5
211,2016-07-30,28.7,33.7,26.4,,11.6,,3.2,26.1,1009.2,67.0,1012.6,7.0
212,2016-07-31,28.7,32.5,25.9,,9.5,,2.7,27.8,1007.7,71.0,1011.1,4.3
213,2016-08-01,29.7,34.2,26.4,,8.7,,3.2,28.1,1005.4,68.0,1008.8,5.8
214,2016-08-02,29.7,33.4,27.3,,8.2,,3.4,24.8,1004.2,59.0,1007.7,8.3
215,2016-08-03,29.6,33.9,26.3,,9.8,,3.0,26.0,1004.9,63.0,1008.3,8.5
216,2016-08-04,29.5,33.8,27.0,,11.1,,3.4,27.8,1005.8,68.0,1009.3,2.0
217,2016-08-05,29.3,34.3,25.6,7.5,11.2,,2.9,30.2,1006.7,75.0,1010.1,7.5
218,2016-08-06,29.4,35.4,27.1,0.0,9.3,,2.5,30.3,1005.6,74.0,1009.0,7.8
219,2016-08-07,29.9,34.8,27.4,,11.7,,3.2,28.3,1004.9,68.0,1008.3,5.3
220,2016-08-08,30.8,37.2,26.2,,10.9,,3.1,26.0,1002.1,60.0,1005.5,4.5
221,2016-08-09,30.3,35.6,27.7,,6.5,,3.5,25.4,1002.7,59.0,1006.1,5.8
222,2016-08-10,29.2,34.4,25.6,,12.0,,2.9,21.9,1005.5,54.0,1009.0,5.8
223,2016-08-11,29.1,33.1,25.0,,12.2,,3.5,19.6,1005.6,49.0,1009.1,6.5
224,2016-08-12,28.9,31.9,26.3,,12.7,,4.0,24.6,1004.8,62.0,1008.2,0.8
225,2016-08-13,29.3,32.6,26.9,,11.6,,3.4,28.8,1003.7,71.0,1007.1,2.8
226,2016-08-14,29.3,32.3,27.8,0.0,8.9,,3.2,30.7,1001.0,76.0,1004.4,3.3
227,2016-08-15,29.9,33.3,28.5,0.5,6.2,,2.8,31.4,998.3,75.0,1001.7,8.5
228,2016-08-16,29.9,33.7,27.8,0.0,10.4,,4.3,30.2,997.2,72.0,1000.6,6.5
229,2016-08-17,29.7,32.3,27.6,0.0,2.6,,2.8,28.1,997.9,68.0,1001.3,9.8
230,2016-08-18,30.9,35.4,26.8,,9.6,,3.2,26.9,1001.4,60.0,1004.8,6.3
231,2016-08-19,31.0,36.1,28.4,0.0,9.4,,3.9,29.8,1002.3,68.0,1005.7,5.8
232,2016-08-20,31.2,36.3,27.5,0.0,10.7,,3.6,27.6,1000.1,61.0,1003.5,2.8
233,2016-08-21,32.1,37.2,28.7,,11.8,,6.7,26.2,1000.1,56.0,1003.5,3.5
234,2016-08-22,31.4,37.6,28.9,0.0,8.8,,4.8,27.2,999.1,59.0,1002.5,7.3
235,2016-08-23,30.8,35.3,28.2,,7.6,,2.9,22.9,1001.4,52.0,1004.8,7.8
236,2016-08-24,30.3,35.8,27.6,0.0,8.0,,4.1,26.3,1002.8,61.0,1006.2,8.8
237,2016-08-25,29.8,34.0,27.8,,10.9,,4.5,28.6,1003.2,69.0,1006.6,5.8
238,2016-08-26,29.6,33.4,25.2,0.0,9.5,,3.8,25.8,1001.6,63.0,1005.0,6.3
239,2016-08-27,27.5,31.8,25.2,0.0,4.1,,2.7,22.6,1001.6,62.0,1005.1,9.8
240,2016-08-28,27.5,30.7,24.5,0.0,3.6,,5.9,24.3,995.4,66.0,998.9,5.3
241,2016-08-29,24.8,27.5,21.7,66.5,0.0,,4.7,26.3,988.5,85.0,992.0,10.0
242,2016-08-30,24.8,27.7,21.4,0.0,9.2,,6.1,18.1,989.0,59.0,992.4,5.3
243,2016-08-31,26.9,29.6,23.9,,12.2,,4.4,19.1,996.1,54.0,999.5,1.5
244,2016-09-01,27.0,31.2,23.3,,10.5,,2.3,19.7,1004.6,56.0,1008.1,5.3
245,2016-09-02,27.7,32.0,24.0,,11.7,,3.2,21.7,1007.3,59.0,1010.8,4.0
246,2016-09-03,29.1,34.1,26.0,0.0,4.1,,6.6,24.5,1007.7,61.0,1011.2,5.0
247,2016-09-04,28.8,33.2,25.7,9.5,6.9,,4.9,28.4,1008.9,73.0,1012.4,7.0
248,2016-09-05,26.9,29.4,25.3,6.5,0.9,,2.7,28.0,1008.6,79.0,1012.1,10.0
249,2016-09-06,27.9,33.1,25.3,0.5,6.9,,2.4,28.4,1005.2,76.0,1008.7,8.8
250,2016-09-07,28.8,33.5,25.8,0.0,8.5,,3.1,28.0,1000.9,71.0,1004.4,7.3
251,2016-09-08,26.6,28.5,24.5,5.5,0.7,,2.9,26.1,999.1,75.0,1002.5,8.8
