Unnamed: 0,calendar_date,avg_temperature,precipitation,hours_sunlight
49,2016-02-19,10.8,0.0,7.3
50,2016-02-20,13.1,52.5,0.3
51,2016-02-21,8.3,0.0,9.9
52,2016-02-22,7.8,0.0,4.5
53,2016-02-23,9.3,0.5,0.0
54,2016-02-24,8.9,0.0,7.1
55,2016-02-25,6.7,0.0,9.0
56,2016-02-26,6.7,0.0,7.9
57,2016-02-27,9.4,0.0,6.3
58,2016-02-28,11.8,0.0,9.2
59,2016-02-29,9.9,0.0,9.1
60,2016-03-01,4.1,0.0,7.7
61,2016-03-02,6.8,0.0,10.3
62,2016-03-03,10.1,0.0,10.4
63,2016-03-04,13.1,0.0,2.3
64,2016-03-05,16.2,0.5,9.3
65,2016-03-06,17.5,7.0,0.0
66,2016-03-07,16.6,0.0,8.8
67,2016-03-08,16.7,0.0,9.3
68,2016-03-09,14.0,45.5,0.0
69,2016-03-10,11.5,0.0,0.8
70,2016-03-11,10.4,0.0,9.2
71,2016-03-12,9.0,0.0,10.6
72,2016-03-13,10.7,7.5,1.4
73,2016-03-14,9.2,16.5,1.9
74,2016-03-15,9.3,0.0,10.8
75,2016-03-16,11.7,0.0,4.8
76,2016-03-17,13.6,0.0,10.8
77,2016-03-18,14.7,33.5,1.8
78,2016-03-19,17.3,5.0,5.4
79,2016-03-20,13.1,0.0,10.9
80,2016-03-21,11.0,0.0,11.1
81,2016-03-22,11.8,0.0,10.5
82,2016-03-23,14.1,0.0,6.1
83,2016-03-24,12.3,0.0,8.6
84,2016-03-25,8.9,0.0,10.1
85,2016-03-26,10.0,2.0,10.9
86,2016-03-27,11.2,2.5,7.9
87,2016-03-28,11.5,0.0,10.2
88,2016-03-29,12.3,0.0,6.5
89,2016-03-30,14.6,0.0,0.7
90,2016-03-31,15.5,3.5,4.7
91,2016-04-01,16.5,24.5,0.9
92,2016-04-02,16.7,0.0,0.6
93,2016-04-03,17.5,32.5,0.0
94,2016-04-04,18.1,36.5,2.9
95,2016-04-05,18.0,0.0,9.0
96,2016-04-06,16.8,1.0,8.1
97,2016-04-07,18.7,57.0,0.0
98,2016-04-08,17.8,0.0,1.1
99,2016-04-09,17.3,0.0,7.3
100,2016-04-10,17.2,0.0,1.2
101,2016-04-11,15.9,0.0,9.8
102,2016-04-12,13.2,0.0,9.2
103,2016-04-13,17.5,49.5,0.2
104,2016-04-14,19.7,8.5,9.6
105,2016-04-15,17.1,0.0,11.6
106,2016-04-16,17.7,0.0,10.4
107,2016-04-17,19.9,110.0,8.1
108,2016-04-18,14.8,1.0,0.0
109,2016-04-19,15.4,0.0,11.7
110,2016-04-20,16.4,0.0,9.3
111,2016-04-21,17.5,46.5,0.0
112,2016-04-22,19.5,0.0,11.5
113,2016-04-23,18.0,9.0,5.5
114,2016-04-24,17.3,0.0,0.8
115,2016-04-25,18.2,0.0,3.2
116,2016-04-26,19.5,0.0,11.0
117,2016-04-27,18.3,13.5,0.0
118,2016-04-28,20.3,1.0,6.1
119,2016-04-29,16.4,0.0,11.9
120,2016-04-30,16.2,0.0,11.6
121,2016-05-01,19.1,0.0,11.7
122,2016-05-02,20.1,0.0,10.3
123,2016-05-03,20.2,18.0,0.0
124,2016-05-04,19.5,0.0,11.1
125,2016-05-05,20.7,0.0,10.4
126,2016-05-06,17.3,2.0,0.0
127,2016-05-07,19.1,0.0,9.4
128,2016-05-08,19.8,0.0,4.9
129,2016-05-09,18.1,18.5,0.0
130,2016-05-10,21.0,80.5,0.0
131,2016-05-11,21.3,2.5,5.2
132,2016-05-12,19.1,0.0,12.1
133,2016-05-13,20.3,0.0,10.5
134,2016-05-14,20.2,0.0,11.1
135,2016-05-15,21.1,0.0,2.0
136,2016-05-16,21.2,29.5,0.0
137,2016-05-17,19.4,3.5,8.3
138,2016-05-18,19.5,0.0,12.1
139,2016-05-19,20.8,0.0,8.9
140,2016-05-20,21.0,0.0,9.2
141,2016-05-21,20.5,0.0,10.4
142,2016-05-22,20.6,0.0,11.0
143,2016-05-23,21.0,0.0,11.9
144,2016-05-24,21.6,0.0,8.6
145,2016-05-25,21.4,12.5,0.0
146,2016-05-26,22.4,22.5,0.0
147,2016-05-27,22.7,0.0,6.7
148,2016-05-28,20.9,1.0,0.0
149,2016-05-29,20.7,37.0,0.0
150,2016-05-30,22.6,2.5,3.9
151,2016-05-31,22.9,0.0,10.5
152,2016-06-01,21.9,0.0,1.3
153,2016-06-02,20.5,0.0,12.4
154,2016-06-03,20.8,0.0,11.6
155,2016-06-04,20.0,5.5,0.4
156,2016-06-05,21.1,0.5,0.1
157,2016-06-06,22.3,0.5,7.4
158,2016-06-07,20.5,97.0,0.1
159,2016-06-08,22.8,0.0,4.0
160,2016-06-09,23.3,0.0,4.5
161,2016-06-10,24.5,0.0,11.0
162,2016-06-11,24.7,0.0,8.0
163,2016-06-12,23.2,41.0,0.0
164,2016-06-13,23.8,1.5,0.3
165,2016-06-14,23.9,0.0,9.4
166,2016-06-15,24.4,0.0,5.9
167,2016-06-16,23.6,16.0,0.0
168,2016-06-17,24.1,0.0,4.5
169,2016-06-18,24.0,0.0,7.8
170,2016-06-19,23.5,33.0,0.0
171,2016-06-20,23.5,12.0,0.0
172,2016-06-21,25.2,102.5,5.2
173,2016-06-22,24.2,20.5,0.0
174,2016-06-23,26.7,16.5,6.7
175,2016-06-24,25.3,3.0,0.0
176,2016-06-25,23.8,2.5,0.2
177,2016-06-26,22.5,0.0,11.7
178,2016-06-27,22.0,32.0,6.1
179,2016-06-28,23.0,78.0,0.0
180,2016-06-29,24.2,5.5,0.4
181,2016-06-30,24.0,5.0,0.4
182,2016-07-01,24.6,0.0,9.6
183,2016-07-02,27.0,0.0,2.3
184,2016-07-03,27.9,0.0,7.9
185,2016-07-04,27.6,0.0,9.7
186,2016-07-05,27.6,0.0,11.9
187,2016-07-06,27.7,0.0,11.5
188,2016-07-07,27.0,0.0,8.5
189,2016-07-08,23.9,30.0,0.0
190,2016-07-09,25.9,91.5,0.4
191,2016-07-10,26.3,0.5,0.4
192,2016-07-11,26.8,0.0,0.7
193,2016-07-12,27.6,0.0,4.7
194,2016-07-13,27.0,0.5,0.2
195,2016-07-14,27.3,0.0,11.8
196,2016-07-15,27.1,0.0,10.9
197,2016-07-16,26.1,0.0,6.3
198,2016-07-17,27.7,0.0,7.0
199,2016-07-18,27.5,0.0,11.3
200,2016-07-19,27.0,0.0,11.1
201,2016-07-20,27.3,0.0,8.1
202,2016-07-21,27.4,0.0,8.4
203,2016-07-22,27.3,0.0,9.2
204,2016-07-23,27.4,0.0,9.8
205,2016-07-24,24.7,13.5,0.0
206,2016-07-25,25.4,0.0,0.5
207,2016-07-26,26.8,0.0,6.4
208,2016-07-27,27.5,0.0,8.9
209,2016-07-28,28.0,0.0,9.6
210,2016-07-29,27.1,0.0,1.4
211,2016-07-30,27.5,0.0,9.5
212,2016-07-31,27.7,0.0,10.2
213,2016-08-01,28.2,0.0,11.6
214,2016-08-02,27.8,0.0,9.0
215,2016-08-03,28.0,0.0,8.5
216,2016-08-04,27.3,0.0,7.8
217,2016-08-05,28.0,0.0,6.8
218,2016-08-06,28.6,0.0,10.1
219,2016-08-07,28.7,0.0,10.4
220,2016-08-08,28.3,0.0,11.9
221,2016-08-09,29.4,0.0,11.0
222,2016-08-10,29.1,0.0,10.9
223,2016-08-11,28.7,0.0,11.1
224,2016-08-12,28.8,0.0,11.4
225,2016-08-13,29.0,8.5,9.3
226,2016-08-14,29.0,0.0,10.7
227,2016-08-15,29.0,0.0,9.2
228,2016-08-16,28.6,5.5,8.0
229,2016-08-17,27.8,20.5,9.0
230,2016-08-18,29.0,0.0,10.8
231,2016-08-19,28.5,0.0,8.0
232,2016-08-20,28.8,2.5,8.8
233,2016-08-21,29.8,0.0,9.8
234,2016-08-22,29.3,0.0,11.6
235,2016-08-23,28.9,0.0,7.5
236,2016-08-24,29.8,0.0,10.3
237,2016-08-25,28.1,1.5,4.5
238,2016-08-26,28.3,0.0,10.6
239,2016-08-27,28.5,0.0,8.8
240,2016-08-28,28.1,0.0,6.0
241,2016-08-29,26.4,76.5,7.9
242,2016-08-30,25.3,0.0,9.5
243,2016-08-31,26.1,0.0,11.5
244,2016-09-01,25.4,0.0,9.6
245,2016-09-02,26.0,0.0,10.1
246,2016-09-03,26.4,7.0,3.7
247,2016-09-04,26.0,69.0,3.7
248,2016-09-05,25.3,130.5,0.0
249,2016-09-06,26.5,25.0,4.1
250,2016-09-07,27.0,0.0,6.9
251,2016-09-08,27.8,0.0,8.7
252,2016-09-09,25.6,0.0,9.4
253,2016-09-10,25.4,0.0,10.3
254,2016-09-11,25.9,0.0,8.5
255,2016-09-12,27.0,7.0,2.8
256,2016-09-13,27.1,24.5,0.6
257,2016-09-14,25.1,62.0,1.3
258,2016-09-15,25.5,18.0,0.8
259,2016-09-16,26.2,0.0,5.5
260,2016-09-17,27.2,3.0,8.4
261,2016-09-18,25.4,96.0,0.1
262,2016-09-19,25.1,13.5,1.0
263,2016-09-20,24.6,113.5,3.2
264,2016-09-21,23.6,2.0,4.1
265,2016-09-22,24.5,6.0,0.2
266,2016-09-23,25.4,0.0,4.4
267,2016-09-24,24.7,1.0,2.6
268,2016-09-25,24.8,52.0,1.6
269,2016-09-26,26.4,10.0,9.0
270,2016-09-27,26.0,19.0,3.0
271,2016-09-28,26.8,6.0,1.1
272,2016-09-29,27.0,5.0,2.9
273,2016-09-30,25.1,1.0,1.4
274,2016-10-01,26.6,3.5,8.1
275,2016-10-02,27.5,0.0,9.4
276,2016-10-03,24.0,23.0,0.0
277,2016-10-04,24.3,0.0,2.9
278,2016-10-05,26.1,42.5,1.0
279,2016-10-06,25.2,0.0,9.3
280,2016-10-07,23.0,0.0,8.4
281,2016-10-08,26.0,2.5,3.4
282,2016-10-09,23.1,36.5,1.1
283,2016-10-10,20.4,0.0,9.5
284,2016-10-11,21.0,0.0,7.7
285,2016-10-12,21.0,0.0,3.1
286,2016-10-13,19.4,0.0,0.5
287,2016-10-14,19.0,0.0,0.0
288,2016-10-15,19.1,0.0,7.3
289,2016-10-16,22.6,0.0,1.7
290,2016-10-17,24.0,45.5,9.6
291,2016-10-18,24.1,1.5,6.6
292,2016-10-19,23.1,0.0,0.1
293,2016-10-20,22.3,0.0,2.2
294,2016-10-21,21.7,0.0,0.1
295,2016-10-22,19.8,6.5,0.0
296,2016-10-23,19.9,0.5,0.0
297,2016-10-24,18.4,0.0,10.0
298,2016-10-25,21.1,0.0,4.2
299,2016-10-26,22.7,0.0,3.2
300,2016-10-27,21.6,0.0,8.5
301,2016-10-28,19.7,13.5,0.0
302,2016-10-29,19.9,0.0,8.2
303,2016-10-30,16.3,0.0,7.0
304,2016-10-31,17.3,0.5,0.9
305,2016-11-01,15.9,19.0,8.4
306,2016-11-02,15.0,0.0,6.6
307,2016-11-03,14.3,0.0,9.7
308,2016-11-04,14.1,0.0,8.2
309,2016-11-05,15.7,0.0,9.4
310,2016-11-06,16.1,0.0,7.2
311,2016-11-07,15.8,0.0,8.8
312,2016-11-08,16.6,19.0,0.0
313,2016-11-09,13.1,0.0,9.4
314,2016-11-10,12.5,0.0,1.2
315,2016-11-11,16.1,1.0,9.5
316,2016-11-12,16.4,0.0,8.3
317,2016-11-13,17.9,0.0,7.1
318,2016-11-14,18.0,15.5,0.0
319,2016-11-15,19.3,4.5,8.0
320,2016-11-16,14.5,0.0,9.2
321,2016-11-17,15.4,0.0,8.8
322,2016-11-18,16.7,3.5,4.4
323,2016-11-19,18.5,8.0,1.9
324,2016-11-20,18.9,0.0,4.4
325,2016-11-21,17.5,8.0,0.0
326,2016-11-22,18.4,0.0,9.1
327,2016-11-23,15.9,2.0,2.3
328,2016-11-24,12.0,3.0,9.1
329,2016-11-25,12.1,0.0,8.4
330,2016-11-26,13.9,0.0,4.4
331,2016-11-27,15.6,43.0,0.0
332,2016-11-28,12.5,0.0,7.9
333,2016-11-29,12.0,0.0,8.7
334,2016-11-30,12.9,0.0,4.9
335,2016-12-01,15.3,0.0,5.5
336,2016-12-02,12.3,0.0,7.9
337,2016-12-03,13.4,0.0,8.5
338,2016-12-04,14.6,16.0,0.5
339,2016-12-05,14.1,0.0,5.7
340,2016-12-06,12.2,0.0,7.9
341,2016-12-07,9.8,0.0,9.1
342,2016-12-08,10.2,0.0,5.9
343,2016-12-09,12.6,0.0,5.7
344,2016-12-10,10.2,0.0,8.6
345,2016-12-11,9.6,0.0,9.1
346,2016-12-12,11.0,0.0,3.5
347,2016-12-13,14.1,61.0,0.0
348,2016-12-14,11.2,0.0,4.3
349,2016-12-15,8.6,0.0,6.6
350,2016-12-16,6.1,0.0,8.9
351,2016-12-17,6.9,0.0,8.8
352,2016-12-18,9.0,0.0,7.6
353,2016-12-19,11.6,0.0,9.0
354,2016-12-20,13.4,3.0,0.2
355,2016-12-21,15.2,0.0,5.6
356,2016-12-22,19.2,63.5,0.0
357,2016-12-23,11.7,0.0,7.2
358,2016-12-24,9.3,0.0,6.1
359,2016-12-25,10.9,0.0,6.6
360,2016-12-26,12.4,11.5,0.0
361,2016-12-27,14.1,23.0,2.6
362,2016-12-28,7.0,0.0,8.9
363,2016-12-29,8.3,0.0,3.5
364,2016-12-30,6.8,0.0,9.0
365,2016-12-31,8.4,0.0,9.1
366,2017-01-01,8.9,0.0,9.1
367,2017-01-02,10.4,0.0,5.6
368,2017-01-03,11.1,0.0,9.0
369,2017-01-04,10.8,0.0,8.6
370,2017-01-05,9.1,0.0,6.0
371,2017-01-06,8.8,0.0,6.9
372,2017-01-07,10.8,0.0,2.3
373,2017-01-08,11.1,32.5,0.0
374,2017-01-09,9.9,0.0,5.4
375,2017-01-10,9.4,0.0,8.8
376,2017-01-11,7.0,0.0,8.6
377,2017-01-12,6.3,0.0,7.5
378,2017-01-13,6.6,0.0,7.6
379,2017-01-14,4.9,0.0,8.9
380,2017-01-15,2.7,0.0,7.4
381,2017-01-16,4.1,0.0,7.7
382,2017-01-17,5.8,0.0,8.3
383,2017-01-18,7.7,0.0,1.7
384,2017-01-19,8.9,2.0,4.8
385,2017-01-20,8.2,0.0,5.6
386,2017-01-21,7.0,0.0,8.5
387,2017-01-22,7.1,0.0,7.4
388,2017-01-23,3.6,0.0,8.3
389,2017-01-24,3.5,0.0,8.2
390,2017-01-25,4.1,0.0,9.3
391,2017-01-26,5.9,0.0,9.5
392,2017-01-27,10.8,0.0,5.4
393,2017-01-28,9.9,0.0,9.0
394,2017-01-29,12.1,1.0,1.5
395,2017-01-30,12.8,0.0,5.3
396,2017-01-31,6.7,0.0,9.4
397,2017-02-01,8.1,0.0,5.2
398,2017-02-02,7.0,0.0,9.7
399,2017-02-03,8.2,0.0,9.6
400,2017-02-04,9.5,0.0,6.1
401,2017-02-05,11.3,12.5,0.0
402,2017-02-06,8.6,0.0,9.4
403,2017-02-07,7.2,0.0,7.8
404,2017-02-08,7.0,0.0,6.6
405,2017-02-09,6.6,8.5,2.8
406,2017-02-10,3.5,0.0,7.1
407,2017-02-11,3.3,0.0,9.7
408,2017-02-12,3.9,0.0,8.6
409,2017-02-13,5.6,0.0,8.3
410,2017-02-14,6.1,0.0,7.5
411,2017-02-15,6.3,0.0,10.0
412,2017-02-16,10.2,0.0,9.0
413,2017-02-17,14.1,1.0,2.0
414,2017-02-18,11.3,0.0,8.5
415,2017-02-19,7.8,0.0,10.1
416,2017-02-20,12.8,3.5,0.8
417,2017-02-21,7.5,0.0,10.2
418,2017-02-22,8.9,10.5,0.2
419,2017-02-23,14.9,40.0,5.1
420,2017-02-24,8.9,0.0,8.1
421,2017-02-25,7.6,0.0,9.9
422,2017-02-26,9.0,0.0,6.2
423,2017-02-27,9.5,0.0,8.5
424,2017-02-28,8.9,0.0,9.3
425,2017-03-01,9.9,0.0,0.7
426,2017-03-02,11.5,0.0,9.1
427,2017-03-03,10.5,0.0,10.2
428,2017-03-04,11.7,0.0,7.0
429,2017-03-05,12.2,6.0,6.5
430,2017-03-06,12.0,0.0,2.5
431,2017-03-07,8.6,0.0,9.2
432,2017-03-08,6.4,0.0,10.4
433,2017-03-09,6.7,0.0,10.3
434,2017-03-10,9.8,0.0,10.1
435,2017-03-11,9.8,0.0,10.4
436,2017-03-12,10.3,0.0,10.5
437,2017-03-13,10.5,7.5,0.0
438,2017-03-14,10.5,1.0,6.9
439,2017-03-15,8.6,0.0,9.4
440,2017-03-16,9.2,0.0,8.4
441,2017-03-17,10.3,0.0,10.8
442,2017-03-18,10.8,0.0,7.3
443,2017-03-19,12.3,0.0,10.4
444,2017-03-20,12.0,6.5,5.6
445,2017-03-21,11.3,3.0,3.9
446,2017-03-22,10.3,0.0,9.8
447,2017-03-23,9.7,3.0,0.0
448,2017-03-24,10.3,0.0,8.2
449,2017-03-25,8.5,3.0,0.0
450,2017-03-26,9.4,1.0,0.0
451,2017-03-27,9.7,0.0,5.2
452,2017-03-28,10.5,0.0,10.8
453,2017-03-29,12.3,0.0,4.3
454,2017-03-30,15.3,0.0,8.4
455,2017-03-31,10.7,28.0,0.0
456,2017-04-01,10.5,1.0,3.8
457,2017-04-02,10.1,0.5,6.7
458,2017-04-03,12.2,0.0,11.5
459,2017-04-04,14.4,0.0,11.0
460,2017-04-05,15.8,0.0,3.1
461,2017-04-06,16.5,21.5,0.0
462,2017-04-07,17.9,67.0,0.0
463,2017-04-08,19.1,30.5,0.0
464,2017-04-09,18.8,0.5,5.1
465,2017-04-10,14.8,16.5,0.0
466,2017-04-11,17.4,3.0,0.4
467,2017-04-12,16.2,0.0,9.1
468,2017-04-13,14.9,0.0,11.7
469,2017-04-14,16.3,0.0,11.6
470,2017-04-15,18.5,2.5,10.0
471,2017-04-16,18.6,0.0,10.6
472,2017-04-17,19.7,52.5,0.0
473,2017-04-18,19.5,0.5,6.0
474,2017-04-19,18.1,0.0,11.7
475,2017-04-20,15.8,0.0,0.3
476,2017-04-21,17.0,0.0,1.3
477,2017-04-22,16.7,0.0,5.0
478,2017-04-23,14.7,0.0,11.6
479,2017-04-24,15.7,18.0,3.4
480,2017-04-25,16.5,1.0,2.3
481,2017-04-26,15.6,27.5,0.0
482,2017-04-27,16.6,0.0,8.1
483,2017-04-28,15.5,0.0,11.6
484,2017-04-29,17.5,0.0,9.7
485,2017-04-30,18.6,0.0,11.5
486,2017-05-01,19.8,0.0,11.3
487,2017-05-02,18.5,0.0,10.6
488,2017-05-03,18.7,0.0,0.9
489,2017-05-04,18.0,1.0,0.6
490,2017-05-05,20.0,0.0,7.4
491,2017-05-06,21.5,0.0,2.8
492,2017-05-07,20.1,0.0,5.6
493,2017-05-08,19.9,0.0,10.0
494,2017-05-09,17.9,14.5,0.0
495,2017-05-10,19.0,0.0,4.8
496,2017-05-11,19.6,0.0,11.4
497,2017-05-12,20.1,26.0,6.3
498,2017-05-13,19.4,53.5,0.6
499,2017-05-14,20.3,0.0,9.3
500,2017-05-15,20.1,0.0,9.4
501,2017-05-16,18.2,0.0,0.5
502,2017-05-17,18.2,0.0,5.5
503,2017-05-18,18.8,0.0,11.9
504,2017-05-19,19.6,0.0,12.2
505,2017-05-20,20.2,0.0,11.6
506,2017-05-21,20.4,0.0,8.9
507,2017-05-22,20.9,0.0,12.3
508,2017-05-23,21.9,0.0,10.7
509,2017-05-24,20.9,1.0,0.0
510,2017-05-25,20.5,11.5,0.9
511,2017-05-26,21.4,0.0,11.4
512,2017-05-27,19.5,0.0,12.0
513,2017-05-28,20.1,0.0,11.2
514,2017-05-29,21.2,0.0,12.0
515,2017-05-30,21.9,0.0,10.5
516,2017-05-31,22.0,0.0,3.8
