Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
54,2016-02-24,4.8,7.9,1.9,3.6,1008.5,43,1022.6,8.5
55,2016-02-25,3.6,8.8,-0.1,2.9,1011.6,38,1025.8,0.5
56,2016-02-26,4.4,10.0,-1.1,3.3,1010.3,41,1024.5,2.3
57,2016-02-27,6.4,11.6,-0.4,4.0,1010.5,43,1024.5,0.8
58,2016-02-28,8.3,14.8,2.4,5.3,1010.7,51,1024.7,5.5
59,2016-02-29,7.0,13.4,1.7,6.4,996.5,64,1010.4,8.0
60,2016-03-01,2.7,6.5,-0.2,2.9,1002.5,41,1016.7,1.0
61,2016-03-02,4.3,11.1,-2.4,3.3,1007.0,42,1021.2,0.5
62,2016-03-03,8.0,17.2,0.8,4.6,1008.1,45,1022.1,0.3
63,2016-03-04,8.8,14.9,3.4,6.0,1015.8,54,1029.8,5.0
64,2016-03-05,8.8,13.3,3.9,8.0,1018.5,71,1032.5,8.8
65,2016-03-06,11.8,15.9,7.7,10.2,1011.8,75,1025.6,8.3
66,2016-03-07,12.6,14.9,11.0,11.6,1004.7,79,1018.4,10.0
67,2016-03-08,15.3,20.5,10.3,11.3,999.8,66,1013.3,6.8
68,2016-03-09,8.0,13.6,3.8,8.5,1001.8,81,1015.7,10.0
69,2016-03-10,6.5,11.8,2.1,5.8,1003.0,63,1017.0,10.0
70,2016-03-11,4.5,7.7,2.1,6.4,1004.8,77,1018.9,10.0
71,2016-03-12,4.3,6.8,2.2,6.2,1009.5,75,1023.7,10.0
72,2016-03-13,5.9,8.7,3.5,6.4,1010.9,70,1025.0,10.0
73,2016-03-14,5.0,6.1,4.0,7.4,1001.5,85,1015.5,10.0
74,2016-03-15,6.3,10.4,2.9,4.6,1002.4,48,1016.4,0.0
75,2016-03-16,6.6,11.9,0.4,4.8,1009.1,49,1023.1,7.5
76,2016-03-17,13.3,22.1,4.6,5.1,1007.5,38,1021.2,0.5
77,2016-03-18,13.1,18.3,6.6,7.5,1004.5,50,1018.2,9.0
78,2016-03-19,14.4,21.5,10.8,10.0,993.8,62,1007.3,9.0
79,2016-03-20,11.2,15.0,7.6,5.6,998.5,43,1012.2,3.8
80,2016-03-21,8.2,13.5,3.5,4.1,1004.0,38,1017.9,3.8
81,2016-03-22,8.7,15.5,0.9,4.6,1001.7,41,1015.6,0.0
82,2016-03-23,9.2,14.5,4.6,6.3,1000.1,56,1013.9,7.5
83,2016-03-24,6.3,11.9,2.6,5.4,1001.9,58,1015.9,5.3
84,2016-03-25,5.5,10.5,1.1,4.0,1004.8,46,1018.8,4.8
85,2016-03-26,8.0,14.7,0.7,4.5,1006.0,44,1020.0,5.0
86,2016-03-27,9.8,14.5,6.7,7.0,1005.7,58,1019.5,8.3
87,2016-03-28,11.3,18.0,6.9,8.3,1005.4,64,1019.1,7.8
88,2016-03-29,12.3,18.0,6.0,7.3,1008.7,52,1022.5,5.3
89,2016-03-30,14.1,19.8,8.3,7.7,1004.1,49,1017.7,8.3
90,2016-03-31,14.6,21.7,6.6,4.2,1004.1,28,1017.7,6.0
91,2016-04-01,12.8,19.3,8.0,6.9,1007.2,45,1020.9,9.0
92,2016-04-02,11.0,13.1,9.2,7.8,1012.8,59,1026.6,10.0
93,2016-04-03,14.7,19.2,9.5,11.2,1008.5,67,1022.1,9.0
94,2016-04-04,15.7,23.5,10.7,13.8,994.3,78,1007.6,10.0
95,2016-04-05,9.8,11.3,8.1,10.4,1000.6,86,1014.3,8.0
96,2016-04-06,14.4,22.8,6.0,7.0,1004.7,47,1018.3,8.0
97,2016-04-07,11.8,17.3,9.4,11.1,997.2,80,1010.8,9.8
98,2016-04-08,16.9,21.5,10.4,9.6,995.4,51,1008.8,5.8
99,2016-04-09,15.3,23.9,8.2,9.2,1000.1,53,1013.5,7.0
100,2016-04-10,16.8,22.6,11.8,9.1,995.8,50,1009.1,9.8
101,2016-04-11,9.3,13.5,5.4,5.5,999.9,46,1013.7,3.5
102,2016-04-12,9.6,15.3,4.0,4.9,1008.8,43,1022.7,2.8
103,2016-04-13,13.7,18.6,8.0,9.4,1003.0,58,1016.6,9.3
104,2016-04-14,17.1,22.2,12.6,13.2,992.0,69,1005.2,7.5
105,2016-04-15,14.0,17.7,8.3,4.9,1001.0,30,1014.5,0.3
106,2016-04-16,13.4,18.8,5.6,6.8,1007.9,43,1021.6,5.8
107,2016-04-17,19.5,28.5,12.3,10.9,992.9,51,1006.0,7.3
108,2016-04-18,17.8,23.6,14.4,9.0,994.9,44,1008.2,9.0
109,2016-04-19,15.9,23.9,10.5,7.1,1002.9,40,1016.4,4.5
110,2016-04-20,14.4,20.5,8.0,7.5,1010.3,47,1023.9,5.0
111,2016-04-21,13.4,16.8,10.8,10.8,1001.4,71,1015.0,10.0
112,2016-04-22,18.2,26.6,12.6,13.8,992.3,69,1005.5,8.5
113,2016-04-23,18.1,23.2,13.7,13.3,997.6,65,1010.9,9.3
114,2016-04-24,17.1,19.4,15.7,10.4,999.8,53,1013.1,10.0
115,2016-04-25,17.9,22.4,13.9,9.4,1005.7,47,1019.1,9.8
116,2016-04-26,19.4,26.3,11.8,11.8,1003.1,54,1016.4,6.3
117,2016-04-27,16.7,19.7,14.1,14.1,999.7,74,1013.0,9.5
118,2016-04-28,14.2,15.9,12.8,15.0,987.0,93,1000.3,10.0
119,2016-04-29,13.6,17.4,10.3,7.3,988.9,47,1002.3,4.0
120,2016-04-30,15.0,22.1,8.1,7.1,998.2,44,1011.6,7.5
121,2016-05-01,18.5,26.4,11.4,10.4,999.3,51,1012.6,4.5
122,2016-05-02,15.8,18.4,13.0,13.3,1007.3,75,1020.9,10.0
123,2016-05-03,19.5,24.9,16.0,15.2,1002.3,68,1015.6,10.0
124,2016-05-04,22.4,29.7,18.2,12.7,989.4,51,1002.4,5.8
125,2016-05-05,19.9,27.6,13.5,7.7,996.7,36,1009.9,2.3
126,2016-05-06,17.4,21.2,12.3,10.3,1003.1,51,1016.5,10.0
127,2016-05-07,20.4,27.7,15.1,13.2,993.5,56,1006.7,8.8
128,2016-05-08,20.7,26.2,16.0,7.4,1002.4,32,1015.6,7.3
129,2016-05-09,17.7,21.8,14.7,13.6,1003.4,66,1016.8,10.0
130,2016-05-10,19.3,23.6,15.6,18.5,994.5,84,1007.6,10.0
131,2016-05-11,18.7,21.9,15.8,17.3,987.3,81,1000.5,8.3
132,2016-05-12,21.8,29.6,15.9,11.6,1000.0,46,1013.2,0.0
133,2016-05-13,21.4,27.5,14.8,14.1,1005.4,58,1018.6,3.3
134,2016-05-14,21.5,27.3,16.0,13.3,1009.1,52,1022.3,6.0
135,2016-05-15,18.1,23.4,15.1,12.1,1008.1,59,1021.5,7.8
136,2016-05-16,16.7,18.5,14.4,14.4,1001.4,76,1014.8,10.0
137,2016-05-17,17.9,23.4,13.6,16.6,998.7,81,1012.0,10.0
138,2016-05-18,19.7,28.5,10.6,9.3,1004.6,43,1017.9,1.5
139,2016-05-19,20.3,27.3,14.2,11.0,1007.5,49,1020.8,4.3
140,2016-05-20,17.7,22.5,13.4,11.4,1007.2,58,1020.6,8.3
141,2016-05-21,19.8,27.8,12.9,12.7,1003.7,58,1017.0,5.5
142,2016-05-22,23.0,30.9,15.9,11.9,1003.3,46,1016.4,3.3
143,2016-05-23,25.2,33.4,17.5,11.1,1000.6,39,1013.6,5.8
144,2016-05-24,24.8,31.6,18.4,12.0,999.3,39,1012.3,10.0
145,2016-05-25,21.9,24.5,19.6,15.4,1000.2,59,1013.3,10.0
146,2016-05-26,23.8,30.7,17.5,18.4,997.5,64,1010.5,7.3
147,2016-05-27,21.5,24.0,18.2,17.4,995.6,69,1008.7,9.5
148,2016-05-28,20.0,24.4,16.9,14.4,995.4,62,1008.5,7.5
149,2016-05-29,22.9,29.3,16.1,14.1,994.2,52,1007.2,6.5
150,2016-05-30,17.0,21.1,14.9,15.6,994.8,80,1008.1,10.0
151,2016-05-31,21.0,26.7,15.6,17.8,991.0,74,1004.1,10.0
152,2016-06-01,19.7,24.4,15.6,10.2,988.4,46,1001.4,5.8
153,2016-06-02,18.3,23.3,13.4,8.2,993.0,40,1006.2,2.3
154,2016-06-03,19.2,26.6,10.9,10.0,999.0,46,1012.3,1.8
155,2016-06-04,22.4,28.4,15.6,13.8,998.5,52,1011.6,9.5
156,2016-06-05,23.1,28.4,19.1,15.1,997.4,54,1010.4,8.0
157,2016-06-06,20.2,25.3,17.0,15.3,1002.7,65,1015.9,9.3
158,2016-06-07,19.0,22.1,17.2,18.1,1002.0,82,1015.3,10.0
159,2016-06-08,22.4,26.8,17.9,18.4,1000.2,70,1013.3,10.0
160,2016-06-09,21.6,25.2,18.9,21.1,997.9,82,1011.0,10.0
161,2016-06-10,25.2,31.9,18.2,16.8,999.5,55,1012.5,3.3
162,2016-06-11,25.7,32.0,21.1,16.2,1001.8,51,1014.7,10.0
163,2016-06-12,24.0,28.7,19.0,17.1,998.8,58,1011.8,10.0
164,2016-06-13,19.5,22.5,17.8,20.9,988.8,92,1001.9,10.0
165,2016-06-14,22.6,27.9,18.8,20.6,990.3,76,1003.2,8.3
166,2016-06-15,18.8,20.7,17.6,19.8,997.2,91,1010.4,10.0
167,2016-06-16,20.0,22.5,18.4,21.9,993.4,94,1006.5,10.0
168,2016-06-17,24.8,30.8,19.1,19.0,990.7,64,1003.6,7.3
169,2016-06-18,26.2,33.3,17.6,15.4,999.8,48,1012.7,3.3
170,2016-06-19,23.6,27.4,20.5,19.7,1000.2,68,1013.2,9.3
171,2016-06-20,24.7,31.2,19.4,21.3,994.0,70,1006.9,8.5
172,2016-06-21,23.2,27.0,21.3,20.1,994.6,71,1007.6,9.0
173,2016-06-22,21.6,24.2,20.1,22.1,995.9,85,1009.0,10.0
174,2016-06-23,23.2,28.7,20.4,22.1,990.5,79,1003.5,7.0
175,2016-06-24,20.7,22.3,19.1,20.5,993.6,84,1006.7,10.0
176,2016-06-25,23.7,27.0,20.6,23.4,986.3,81,999.2,10.0
177,2016-06-26,24.2,29.2,20.3,15.8,992.5,53,1005.4,8.0
178,2016-06-27,24.4,30.1,18.2,17.0,1000.2,57,1013.2,5.0
179,2016-06-28,19.9,22.5,16.7,19.5,999.5,85,1012.7,10.0
180,2016-06-29,21.3,24.5,19.3,21.4,1001.7,85,1014.9,10.0
181,2016-06-30,23.2,27.0,19.7,23.1,999.7,82,1012.7,10.0
182,2016-07-01,27.0,32.2,22.2,25.0,999.5,71,1012.4,7.8
183,2016-07-02,26.1,29.1,23.4,26.0,997.4,77,1010.3,10.0
184,2016-07-03,28.6,34.7,24.1,24.5,993.9,64,1006.6,9.5
185,2016-07-04,27.0,32.9,22.8,25.2,998.5,71,1011.3,8.8
186,2016-07-05,21.0,25.1,19.3,22.3,1006.0,90,1019.2,10.0
187,2016-07-06,22.8,27.4,18.8,21.4,1003.0,78,1016.1,7.3
188,2016-07-07,28.0,37.0,21.7,23.7,999.4,65,1012.2,6.8
189,2016-07-08,24.5,27.8,21.5,24.4,1000.6,80,1013.6,10.0
190,2016-07-09,22.6,24.5,21.4,24.6,994.7,89,1007.7,7.5
191,2016-07-10,26.7,33.2,19.6,23.2,990.8,68,1003.6,5.3
192,2016-07-11,28.8,35.9,22.4,19.6,991.5,51,1004.2,6.5
193,2016-07-12,27.7,33.8,22.4,22.4,992.5,61,1005.2,8.3
194,2016-07-13,25.0,26.8,23.3,27.3,989.2,86,1002.0,10.0
195,2016-07-14,26.5,33.3,22.8,26.7,983.6,78,996.3,7.8
196,2016-07-15,22.2,24.0,20.8,24.2,987.2,91,1000.1,10.0
197,2016-07-16,23.3,26.5,19.6,22.5,994.3,80,1007.3,10.0
198,2016-07-17,25.6,28.8,22.3,26.1,994.1,80,1006.9,10.0
199,2016-07-18,28.3,34.5,23.3,26.5,994.0,71,1006.7,8.3
200,2016-07-19,27.9,33.3,23.5,24.6,996.3,68,1009.1,8.0
201,2016-07-20,26.6,31.9,22.5,22.8,998.5,66,1011.4,8.3
202,2016-07-21,22.0,23.6,20.4,23.2,1000.4,88,1013.5,10.0
203,2016-07-22,21.0,24.2,19.6,22.1,1000.9,89,1014.1,10.0
204,2016-07-23,21.6,24.2,18.8,19.4,1002.0,76,1015.2,10.0
205,2016-07-24,24.1,28.4,20.1,21.0,1002.2,71,1015.3,9.0
206,2016-07-25,24.7,27.2,21.5,22.1,1001.3,71,1014.3,10.0
207,2016-07-26,22.3,23.8,21.1,24.2,998.4,90,1011.5,10.0
208,2016-07-27,24.3,27.5,21.1,24.6,997.7,82,1010.7,10.0
209,2016-07-28,26.6,30.9,22.8,25.6,999.5,74,1012.3,10.0
210,2016-07-29,27.9,32.9,24.0,24.4,1000.4,66,1013.3,6.8
211,2016-07-30,28.1,33.9,22.6,22.9,1000.5,62,1013.4,3.0
212,2016-07-31,28.3,34.4,23.8,25.8,999.1,69,1011.9,6.0
213,2016-08-01,26.8,34.6,24.1,27.6,996.3,81,1009.2,7.8
214,2016-08-02,25.2,31.8,21.4,27.4,995.5,86,1008.4,10.0
215,2016-08-03,26.8,31.8,22.0,25.9,995.9,75,1008.7,9.5
216,2016-08-04,29.0,34.1,23.8,26.8,996.3,68,1009.0,4.0
217,2016-08-05,29.7,35.1,24.9,27.7,997.0,67,1009.7,3.8
218,2016-08-06,30.2,34.8,25.5,27.9,996.6,66,1009.3,4.8
219,2016-08-07,29.5,34.0,26.3,26.9,997.1,66,1009.8,8.8
220,2016-08-08,29.9,35.5,24.1,24.2,990.8,59,1003.4,5.5
221,2016-08-09,30.8,35.1,26.8,22.3,989.2,51,1001.7,4.3
222,2016-08-10,29.0,34.6,25.1,22.9,994.9,58,1007.6,6.5
223,2016-08-11,27.6,32.3,24.9,23.4,996.9,64,1009.7,10.0
224,2016-08-12,27.2,31.8,24.3,22.6,996.9,64,1009.7,9.8
225,2016-08-13,26.8,31.6,23.7,21.2,995.5,60,1008.4,6.3
226,2016-08-14,25.3,29.9,23.1,21.8,992.9,68,1005.8,9.8
227,2016-08-15,24.8,26.9,23.5,24.5,990.8,78,1003.6,10.0
228,2016-08-16,27.1,32.7,23.8,26.3,990.4,75,1003.1,9.8
229,2016-08-17,28.2,35.5,23.6,26.2,986.0,71,998.6,7.8
230,2016-08-18,26.9,30.7,24.9,27.9,993.6,79,1006.4,9.3
231,2016-08-19,27.7,32.6,24.4,28.3,995.4,78,1008.2,7.3
232,2016-08-20,25.4,28.9,23.8,28.1,993.6,87,1006.5,10.0
233,2016-08-21,28.2,33.3,23.5,27.3,993.0,72,1005.7,6.8
234,2016-08-22,25.1,27.4,22.5,27.6,988.8,86,1001.6,9.3
235,2016-08-23,26.6,32.9,22.1,25.8,992.2,75,1005.0,4.3
236,2016-08-24,25.3,28.4,22.6,27.7,995.9,86,1008.8,7.5
237,2016-08-25,28.0,32.1,24.2,27.3,995.2,73,1007.9,9.5
238,2016-08-26,28.2,33.5,23.8,26.6,991.8,71,1004.6,8.8
239,2016-08-27,22.8,24.3,20.8,25.9,992.9,93,1005.9,10.0
240,2016-08-28,21.5,23.1,20.2,23.9,991.2,93,1004.2,10.0
241,2016-08-29,25.1,29.1,21.5,28.0,981.7,88,994.4,10.0
242,2016-08-30,23.9,27.4,20.4,24.0,974.3,81,987.0,7.5
243,2016-08-31,25.1,31.2,19.1,20.8,986.9,67,999.7,3.3
244,2016-09-01,26.0,32.5,20.3,19.6,995.6,61,1008.5,5.0
245,2016-09-02,26.7,31.8,22.3,22.4,1000.0,65,1012.9,5.3
246,2016-09-03,27.1,32.0,23.0,23.7,1002.4,68,1015.3,8.3
247,2016-09-04,26.2,30.7,22.8,27.7,1003.0,82,1015.9,8.8
248,2016-09-05,28.0,32.9,23.8,26.2,1000.3,71,1013.2,9.3
249,2016-09-06,28.9,34.6,24.6,27.6,995.3,70,1008.0,9.0
250,2016-09-07,26.7,31.8,22.8,27.8,992.4,80,1005.2,8.3
251,2016-09-08,24.8,27.6,22.9,28.5,989.5,91,1002.4,10.0
252,2016-09-09,26.4,31.8,21.8,20.4,991.7,61,1004.5,4.8
253,2016-09-10,26.3,31.3,21.5,21.2,998.5,63,1011.4,6.8
254,2016-09-11,25.0,28.3,23.0,23.4,1002.7,74,1015.7,10.0
255,2016-09-12,24.3,29.4,21.0,23.7,1004.9,79,1018.0,10.0
256,2016-09-13,22.5,26.6,20.7,24.7,1003.2,91,1016.4,10.0
257,2016-09-14,23.5,27.1,20.4,24.3,1002.9,85,1016.0,9.8
258,2016-09-15,24.8,28.7,22.1,24.0,1002.1,77,1015.1,10.0
259,2016-09-16,23.2,25.1,22.1,23.5,1003.5,83,1016.6,10.0
260,2016-09-17,24.6,29.1,21.1,22.6,1000.8,74,1013.8,9.8
261,2016-09-18,21.7,22.8,21.1,24.6,995.8,94,1008.8,10.0
262,2016-09-19,20.6,22.0,18.9,23.0,996.6,95,1009.7,10.0
263,2016-09-20,18.9,20.3,18.0,21.3,998.1,97,1011.3,10.0
264,2016-09-21,19.5,22.1,17.9,19.6,1006.1,87,1019.4,10.0
265,2016-09-22,19.2,20.4,18.3,21.2,1006.2,95,1019.6,10.0
266,2016-09-23,20.9,22.6,19.1,23.1,1001.9,93,1015.1,10.0
267,2016-09-24,21.1,23.7,18.9,22.8,1004.8,91,1018.0,10.0
268,2016-09-25,23.9,28.8,18.8,22.6,1005.2,78,1018.3,9.0
269,2016-09-26,24.1,28.6,21.7,24.2,1006.7,81,1019.8,10.0
270,2016-09-27,25.0,29.8,21.7,24.3,1004.6,78,1017.6,9.0
271,2016-09-28,23.6,26.8,22.0,25.0,999.5,86,1012.6,9.5
272,2016-09-29,22.8,28.7,18.9,19.6,998.1,71,1011.1,10.0
273,2016-09-30,19.4,23.9,14.9,13.9,1004.0,61,1017.3,9.3
274,2016-10-01,19.7,22.8,16.9,19.1,1005.5,83,1018.8,10.0
275,2016-10-02,23.4,28.5,19.3,21.8,1005.1,77,1018.3,9.3
276,2016-10-03,22.7,25.0,20.7,24.0,1000.4,87,1013.5,10.0
277,2016-10-04,24.4,31.7,20.0,17.1,1000.3,58,1013.3,10.0
278,2016-10-05,19.1,20.1,18.1,17.3,1002.1,78,1015.4,10.0
279,2016-10-06,23.6,28.5,18.8,16.2,999.7,56,1012.7,1.8
280,2016-10-07,20.1,25.3,16.0,11.0,1010.7,48,1024.0,4.5
281,2016-10-08,20.7,26.4,17.4,17.3,1000.8,71,1014.0,10.0
282,2016-10-09,19.4,22.6,15.2,16.0,994.7,70,1007.9,7.5
283,2016-10-10,17.1,21.9,13.8,12.3,1003.8,63,1017.2,9.8
284,2016-10-11,15.8,18.5,13.9,13.5,1005.0,76,1018.5,10.0
285,2016-10-12,17.2,25.5,11.7,10.3,1003.1,55,1016.5,7.3
286,2016-10-13,15.5,18.1,13.6,11.7,1008.1,66,1021.6,10.0
287,2016-10-14,14.9,20.3,10.9,10.0,1011.4,61,1025.0,4.0
288,2016-10-15,15.9,23.2,10.0,9.1,1014.2,53,1027.9,0.0
289,2016-10-16,17.7,24.3,11.7,10.6,1013.6,54,1027.1,5.8
290,2016-10-17,17.4,19.7,14.9,17.3,1006.9,88,1020.3,10.0
291,2016-10-18,22.2,28.7,16.9,18.0,1003.0,69,1016.2,7.3
292,2016-10-19,20.7,24.4,19.1,17.9,1003.4,73,1016.6,10.0
293,2016-10-20,20.7,26.6,17.0,13.7,1000.9,58,1014.1,0.5
294,2016-10-21,17.1,23.0,12.6,8.5,1004.7,44,1018.2,7.3
295,2016-10-22,14.5,18.0,10.0,11.3,1001.8,67,1015.3,9.0
296,2016-10-23,16.5,21.8,12.4,10.8,996.7,59,1010.1,7.5
297,2016-10-24,14.0,20.5,8.8,6.8,1003.5,44,1017.0,0.8
298,2016-10-25,11.1,14.4,6.4,8.7,1006.3,65,1020.0,7.5
299,2016-10-26,18.9,26.5,11.5,14.8,1000.0,69,1013.3,3.5
300,2016-10-27,16.2,20.8,10.3,9.1,1006.3,50,1019.8,1.5
301,2016-10-28,10.9,13.3,8.8,9.0,1004.2,69,1018.0,8.0
302,2016-10-29,15.3,21.0,11.3,9.4,1001.3,55,1014.8,6.3
303,2016-10-30,11.5,15.8,8.4,8.7,1012.9,65,1026.8,7.3
304,2016-10-31,12.7,16.1,8.9,9.9,1010.7,68,1024.4,9.8
305,2016-11-01,12.8,21.9,8.0,9.1,1004.8,62,1018.4,5.3
306,2016-11-02,10.3,14.3,6.8,7.8,1010.4,63,1024.3,9.5
307,2016-11-03,12.3,18.5,7.8,7.7,1001.1,56,1014.7,2.5
308,2016-11-04,11.8,17.9,7.0,6.7,1002.3,51,1016.0,0.8
309,2016-11-05,13.0,20.5,6.8,8.2,999.8,56,1013.4,0.8
310,2016-11-06,12.6,16.6,6.7,7.8,1006.1,53,1019.8,0.5
311,2016-11-07,8.3,13.5,4.5,6.9,1012.6,64,1026.6,0.8
312,2016-11-08,9.4,14.4,4.4,7.4,1003.5,64,1017.3,7.5
313,2016-11-09,9.0,12.1,5.7,5.1,1004.6,44,1018.5,2.5
314,2016-11-10,7.9,11.5,4.6,5.6,1010.8,53,1024.8,7.8
315,2016-11-11,9.1,12.2,5.3,10.1,1005.4,87,1019.2,10.0
316,2016-11-12,13.3,18.9,9.1,8.9,1009.2,61,1022.9,0.3
317,2016-11-13,12.3,18.7,7.2,8.9,1010.8,63,1024.6,2.8
318,2016-11-14,12.8,16.5,9.1,10.9,1008.1,74,1021.8,10.0
319,2016-11-15,15.3,22.3,10.6,11.7,996.7,67,1010.1,5.3
320,2016-11-16,10.6,14.6,6.9,5.9,1004.8,47,1018.6,0.8
321,2016-11-17,10.7,18.6,5.3,6.5,1007.1,51,1020.9,1.3
322,2016-11-18,8.3,13.5,2.7,6.2,1011.6,58,1025.6,1.8
323,2016-11-19,9.7,13.1,6.8,9.9,1002.1,82,1015.9,8.5
324,2016-11-20,12.7,17.4,6.3,12.3,1002.0,84,1015.7,6.5
325,2016-11-21,11.2,14.2,9.6,11.4,1007.4,86,1021.2,10.0
326,2016-11-22,14.5,22.0,9.9,11.1,996.5,70,1009.9,7.3
327,2016-11-23,9.1,14.2,6.3,5.1,1003.6,44,1017.4,7.0
328,2016-11-24,2.5,6.4,0.3,5.8,1006.2,81,1020.4,7.8
329,2016-11-25,4.1,9.6,-0.3,5.4,1008.1,67,1022.3,0.5
330,2016-11-26,6.3,10.0,1.4,6.9,1012.4,73,1026.5,5.0
331,2016-11-27,9.6,12.2,7.3,9.7,1001.6,81,1015.4,10.0
332,2016-11-28,9.7,12.7,5.0,7.2,1000.8,60,1014.6,5.0
333,2016-11-29,8.0,12.0,4.4,5.7,1010.8,54,1024.8,1.5
334,2016-11-30,6.6,9.8,2.4,5.4,1017.5,56,1031.7,4.8
335,2016-12-01,11.3,18.2,5.8,8.8,1004.3,65,1018.1,9.5
336,2016-12-02,10.4,13.9,6.4,5.3,1007.7,43,1021.5,0.0
337,2016-12-03,9.6,16.2,4.4,6.3,1011.8,54,1025.7,1.8
338,2016-12-04,9.9,14.5,6.4,8.1,1006.1,66,1019.9,9.8
339,2016-12-05,12.9,18.8,8.5,8.5,997.6,59,1011.2,5.3
