Unnamed: 0,calendar_date,avg_temperature,hours_sunlight,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
194,2016-07-13,26.0,2.0,29.3,1000.4,87,1000.9
195,2016-07-14,26.3,8.1,26.4,1001.0,78,1001.5
196,2016-07-15,24.3,10.2,22.6,1004.5,74,1005.0
197,2016-07-16,25.1,0.0,26.5,1002.6,83,1003.1
198,2016-07-17,25.3,4.1,24.1,1007.2,75,1007.7
199,2016-07-18,25.1,6.1,23.5,1009.4,74,1009.9
200,2016-07-19,24.6,8.4,25.5,1011.4,82,1011.9
201,2016-07-20,25.0,6.8,24.9,1012.4,79,1012.9
202,2016-07-21,24.8,9.3,23.5,1012.3,76,1012.8
203,2016-07-22,24.5,6.5,23.7,1011.1,77,1011.6
204,2016-07-23,25.2,7.5,26.5,1010.3,83,1010.8
205,2016-07-24,27.2,8.8,28.7,1011.1,81,1011.6
206,2016-07-25,28.4,10.8,28.6,1011.1,75,1011.6
207,2016-07-26,29.2,8.1,29.5,1008.8,73,1009.3
208,2016-07-27,27.3,1.8,32.1,1007.1,89,1007.6
209,2016-07-28,28.6,3.9,31.6,1008.0,81,1008.5
210,2016-07-29,29.4,11.2,30.9,1009.9,76,1010.4
211,2016-07-30,28.6,11.9,29.6,1011.1,77,1011.6
212,2016-07-31,28.7,11.7,29.3,1010.7,76,1011.2
213,2016-08-01,28.4,8.9,31.2,1009.5,81,1010.0
214,2016-08-02,28.0,6.5,31.0,1008.3,83,1008.8
215,2016-08-03,27.9,8.8,30.8,1008.6,82,1009.1
216,2016-08-04,28.8,8.4,30.2,1009.1,76,1009.6
217,2016-08-05,28.6,10.4,29.7,1009.5,76,1010.0
218,2016-08-06,28.8,9.1,31.9,1008.0,81,1008.5
219,2016-08-07,28.6,9.8,31.5,1006.9,81,1007.4
220,2016-08-08,29.0,10.1,31.4,1006.4,79,1006.9
221,2016-08-09,28.5,5.6,30.3,1007.7,78,1008.2
222,2016-08-10,28.5,11.4,29.0,1009.4,75,1009.9
223,2016-08-11,28.8,11.8,29.6,1009.0,76,1009.5
224,2016-08-12,29.8,8.8,32.3,1007.0,78,1007.5
225,2016-08-13,30.6,11.5,30.3,1005.5,71,1006.0
226,2016-08-14,30.8,11.6,30.1,1003.5,68,1004.0
227,2016-08-15,29.2,5.3,32.3,1001.1,80,1001.6
228,2016-08-16,28.3,7.0,30.5,1000.6,79,1001.1
229,2016-08-17,28.6,10.5,27.6,1002.9,72,1003.4
230,2016-08-18,29.4,10.0,28.9,1005.0,71,1005.5
231,2016-08-19,29.6,8.5,30.4,1005.9,74,1006.4
232,2016-08-20,29.1,7.5,28.2,1005.3,70,1005.8
233,2016-08-21,29.2,5.2,29.7,1004.3,73,1004.8
234,2016-08-22,29.3,8.8,29.2,1005.2,72,1005.7
235,2016-08-23,28.4,4.8,26.7,1005.8,69,1006.3
236,2016-08-24,28.4,8.4,27.4,1005.6,71,1006.1
237,2016-08-25,29.2,8.7,30.3,1004.6,75,1005.1
238,2016-08-26,26.1,0.7,26.0,1006.4,77,1006.9
239,2016-08-27,25.1,0.0,21.3,1006.5,67,1007.0
240,2016-08-28,21.5,0.0,22.8,999.0,89,999.5
241,2016-08-29,22.1,4.5,17.9,999.1,68,999.6
242,2016-08-30,24.3,5.4,17.8,993.9,59,994.4
243,2016-08-31,25.6,9.1,19.9,996.9,61,997.4
244,2016-09-01,26.4,5.4,24.0,1004.8,70,1005.3
245,2016-09-02,23.1,0.0,26.3,1006.8,93,1007.3
246,2016-09-03,24.4,0.8,27.5,1007.9,90,1008.4
247,2016-09-04,25.7,0.8,28.2,1008.5,85,1009.0
248,2016-09-05,25.2,0.1,29.1,1009.0,91,1009.5
249,2016-09-06,24.9,3.7,27.5,1008.2,88,1008.7
250,2016-09-07,24.4,3.0,26.3,1004.9,86,1005.4
251,2016-09-08,23.7,8.5,23.3,1006.3,80,1006.8
252,2016-09-09,23.6,7.8,22.5,1009.1,79,1009.6
253,2016-09-10,24.3,1.1,24.3,1011.5,81,1012.0
254,2016-09-11,24.9,1.2,25.0,1013.4,80,1013.9
255,2016-09-12,22.7,0.0,24.9,1014.0,91,1014.5
256,2016-09-13,24.2,8.2,22.6,1016.6,75,1017.1
257,2016-09-14,24.1,2.0,22.8,1016.8,76,1017.3
258,2016-09-15,23.6,2.0,23.2,1015.7,80,1016.2
259,2016-09-16,23.9,1.8,24.6,1014.1,83,1014.6
260,2016-09-17,24.5,0.0,28.5,1008.8,93,1009.3
261,2016-09-18,22.2,0.0,25.0,1008.6,93,1009.1
262,2016-09-19,21.4,0.0,21.7,1008.0,85,1008.5
263,2016-09-20,21.8,3.5,16.0,1011.5,61,1012.0
264,2016-09-21,22.4,4.5,16.3,1017.6,60,1018.1
265,2016-09-22,22.3,0.3,21.2,1016.0,78,1016.5
266,2016-09-23,22.5,3.7,20.9,1015.9,77,1016.4
267,2016-09-24,23.4,5.1,22.4,1015.1,78,1015.6
268,2016-09-25,23.9,3.2,25.7,1015.5,87,1016.0
269,2016-09-26,24.6,0.5,27.6,1015.3,89,1015.8
270,2016-09-27,24.8,4.7,28.0,1014.5,89,1015.0
271,2016-09-28,23.5,0.0,27.9,1012.8,96,1013.3
272,2016-09-29,21.0,0.0,21.7,1015.2,87,1015.7
273,2016-09-30,20.7,0.0,22.0,1014.3,90,1014.8
274,2016-10-01,21.8,0.0,24.4,1016.5,93,1017.0
275,2016-10-02,23.6,2.6,26.4,1015.2,90,1015.7
276,2016-10-03,25.8,9.4,27.1,1010.1,82,1010.6
277,2016-10-04,23.8,0.0,25.8,1013.1,88,1013.6
278,2016-10-05,23.8,2.8,24.7,1006.7,84,1007.2
279,2016-10-06,22.3,1.1,21.8,1018.2,82,1018.7
280,2016-10-07,21.7,0.8,19.0,1019.2,74,1019.7
281,2016-10-08,22.6,0.2,24.5,1010.4,89,1010.9
282,2016-10-09,18.6,7.2,12.6,1014.7,59,1015.2
283,2016-10-10,19.0,5.1,12.8,1017.7,59,1018.2
284,2016-10-11,19.1,0.0,14.4,1017.7,65,1018.2
285,2016-10-12,19.0,4.0,14.5,1019.6,66,1020.1
286,2016-10-13,19.5,0.0,14.4,1021.3,64,1021.8
287,2016-10-14,19.8,8.0,15.2,1023.3,66,1023.8
288,2016-10-15,20.7,2.7,15.6,1023.7,65,1024.2
289,2016-10-16,19.8,0.0,21.1,1019.0,91,1019.5
290,2016-10-17,21.8,7.4,21.2,1015.6,82,1016.1
291,2016-10-18,20.5,1.9,19.5,1017.8,81,1018.3
292,2016-10-19,19.7,0.7,17.8,1016.7,78,1017.2
293,2016-10-20,20.2,3.8,17.6,1017.3,75,1017.8
294,2016-10-21,19.8,0.0,16.3,1018.6,71,1019.1
295,2016-10-22,19.1,0.0,18.3,1012.5,83,1013.0
296,2016-10-23,18.7,0.0,15.2,1012.8,70,1013.3
297,2016-10-24,18.4,3.2,13.1,1016.4,62,1016.9
298,2016-10-25,20.4,2.0,19.2,1012.3,80,1012.8
299,2016-10-26,18.8,0.3,19.6,1016.6,90,1017.1
300,2016-10-27,19.4,2.7,16.0,1020.7,71,1021.2
301,2016-10-28,17.8,0.0,19.0,1012.9,93,1013.4
302,2016-10-29,16.6,3.6,13.7,1020.9,73,1021.4
303,2016-10-30,15.1,7.0,12.5,1025.8,73,1026.3
304,2016-10-31,14.6,0.0,13.0,1023.5,79,1024.0
305,2016-11-01,11.3,9.5,7.5,1025.2,56,1025.7
306,2016-11-02,9.8,9.7,6.6,1024.6,57,1025.1
307,2016-11-03,10.8,6.7,9.0,1022.2,71,1022.7
308,2016-11-04,12.6,9.4,10.4,1017.7,74,1018.2
309,2016-11-05,15.9,7.1,13.6,1014.4,76,1014.9
310,2016-11-06,17.2,1.2,14.1,1021.7,72,1022.2
311,2016-11-07,15.8,4.6,11.0,1022.7,62,1023.2
312,2016-11-08,14.3,0.0,11.9,1019.2,73,1019.7
313,2016-11-09,12.8,5.6,8.3,1024.1,56,1024.6
314,2016-11-10,13.2,0.0,11.5,1019.2,76,1019.7
315,2016-11-11,13.7,5.1,10.6,1018.6,68,1019.1
316,2016-11-12,13.9,8.1,12.1,1022.8,77,1023.3
317,2016-11-13,16.0,0.2,15.9,1021.9,87,1022.4
318,2016-11-14,17.0,0.0,18.5,1015.5,96,1016.0
319,2016-11-15,16.8,8.7,13.5,1015.8,71,1016.3
320,2016-11-16,13.5,7.3,11.2,1020.6,74,1021.1
321,2016-11-17,14.9,5.9,11.4,1022.3,68,1022.8
322,2016-11-18,17.1,4.1,15.3,1017.7,79,1018.2
323,2016-11-19,19.0,0.7,18.2,1013.0,83,1013.5
324,2016-11-20,18.3,0.3,15.3,1018.3,73,1018.8
325,2016-11-21,17.7,0.6,15.3,1016.1,76,1016.6
326,2016-11-22,14.9,1.7,12.3,1016.6,71,1017.1
327,2016-11-23,12.1,2.3,9.5,1019.4,67,1019.9
328,2016-11-24,6.6,9.1,4.9,1022.1,51,1022.6
329,2016-11-25,6.9,8.8,5.7,1025.1,58,1025.6
330,2016-11-26,9.2,0.1,9.8,1022.0,83,1022.5
331,2016-11-27,11.2,0.0,9.9,1018.1,74,1018.6
332,2016-11-28,8.4,4.4,6.7,1024.3,62,1024.8
333,2016-11-29,10.1,7.4,7.4,1029.4,61,1029.9
334,2016-11-30,13.5,1.3,10.6,1025.3,68,1025.8
335,2016-12-01,12.4,4.7,8.4,1023.6,58,1024.1
336,2016-12-02,8.2,9.0,5.9,1027.7,56,1028.2
337,2016-12-03,9.8,7.7,8.7,1024.8,72,1025.3
338,2016-12-04,11.6,0.2,10.6,1017.8,78,1018.3
339,2016-12-05,13.4,6.6,10.3,1017.0,68,1017.5
340,2016-12-06,8.1,8.9,5.4,1022.4,51,1022.9
341,2016-12-07,8.4,6.9,6.7,1021.1,62,1021.6
342,2016-12-08,9.4,8.4,7.6,1018.4,66,1018.9
343,2016-12-09,11.7,8.4,8.2,1016.4,59,1016.9
344,2016-12-10,7.2,8.8,5.1,1022.2,51,1022.7
345,2016-12-11,7.3,7.0,6.4,1025.3,63,1025.8
346,2016-12-12,11.1,0.9,10.2,1022.5,78,1023.0
347,2016-12-13,11.8,0.0,12.6,1014.9,91,1015.4
348,2016-12-14,9.5,0.9,9.2,1014.5,78,1015.0
349,2016-12-15,5.9,5.1,5.2,1018.4,55,1018.9
350,2016-12-16,4.2,9.0,3.6,1023.9,44,1024.4
351,2016-12-17,5.8,9.0,6.3,1028.8,68,1029.3
352,2016-12-18,9.3,6.8,9.5,1028.9,82,1029.4
353,2016-12-19,12.0,1.1,12.6,1024.5,90,1025.0
354,2016-12-20,14.6,0.3,14.3,1024.4,86,1024.9
355,2016-12-21,16.2,0.0,15.8,1023.0,86,1023.5
356,2016-12-22,13.7,0.1,12.5,1010.5,77,1011.0
357,2016-12-23,7.1,3.0,5.5,1017.1,54,1017.6
358,2016-12-24,6.4,6.5,6.5,1026.4,68,1026.9
359,2016-12-25,10.1,6.6,9.2,1027.3,76,1027.8
360,2016-12-26,12.6,0.0,13.9,1017.3,95,1017.8
361,2016-12-27,8.1,4.9,7.0,1016.8,63,1017.3
362,2016-12-28,6.2,4.4,6.7,1025.6,70,1026.1
363,2016-12-29,6.2,4.2,5.0,1026.1,52,1026.6
364,2016-12-30,4.9,8.8,4.4,1029.6,52,1030.1
365,2016-12-31,6.0,7.3,5.9,1028.4,65,1028.9
366,2017-01-01,6.5,8.9,7.5,1027.1,79,1027.6
367,2017-01-02,10.8,2.8,8.9,1021.6,69,1022.1
368,2017-01-03,9.7,8.6,7.2,1021.7,61,1022.2
369,2017-01-04,9.6,8.6,7.3,1021.5,62,1022.0
370,2017-01-05,10.0,0.8,8.3,1023.9,67,1024.4
371,2017-01-06,10.5,1.4,7.4,1024.6,59,1025.1
372,2017-01-07,11.4,0.0,9.3,1019.3,69,1019.8
373,2017-01-08,11.0,0.4,10.8,1010.9,82,1011.4
374,2017-01-09,9.1,7.4,7.3,1013.4,63,1013.9
375,2017-01-10,6.4,8.9,5.8,1019.1,61,1019.6
376,2017-01-11,4.2,9.0,4.0,1022.2,49,1022.7
377,2017-01-12,5.9,2.8,4.8,1017.2,53,1017.7
378,2017-01-13,5.6,5.4,4.2,1014.3,46,1014.8
379,2017-01-14,2.4,8.9,3.1,1019.2,43,1019.7
380,2017-01-15,1.0,9.1,3.2,1023.7,50,1024.2
381,2017-01-16,4.4,8.9,4.0,1025.1,48,1025.6
382,2017-01-17,6.1,4.4,6.7,1028.9,71,1029.4
383,2017-01-18,8.2,1.5,7.5,1026.9,70,1027.4
384,2017-01-19,7.9,3.7,6.4,1021.0,60,1021.5
385,2017-01-20,4.9,1.3,4.6,1017.7,53,1018.2
386,2017-01-21,4.1,7.2,4.6,1025.2,56,1025.7
387,2017-01-22,3.7,1.8,3.9,1022.9,49,1023.4
388,2017-01-23,1.4,8.8,2.9,1026.9,43,1027.4
389,2017-01-24,1.7,9.2,3.0,1030.7,44,1031.2
390,2017-01-25,2.3,9.3,4.1,1031.0,59,1031.5
391,2017-01-26,5.5,9.3,5.8,1027.5,66,1028.0
392,2017-01-27,9.4,4.8,6.9,1023.6,58,1024.1
393,2017-01-28,6.9,8.9,6.5,1024.8,67,1025.3
394,2017-01-29,10.4,0.0,11.5,1016.5,90,1017.0
395,2017-01-30,7.4,6.3,6.6,1018.6,60,1019.1
396,2017-01-31,6.1,4.3,6.8,1024.6,72,1025.1
397,2017-02-01,4.9,4.1,4.7,1023.7,54,1024.2
398,2017-02-02,6.6,9.5,3.6,1025.7,37,1026.2
399,2017-02-03,8.4,8.5,3.9,1023.9,36,1024.4
400,2017-02-04,11.3,1.6,7.0,1019.5,53,1020.0
401,2017-02-05,10.0,0.4,10.0,1010.8,80,1011.3
402,2017-02-06,5.5,9.3,4.3,1017.8,48,1018.3
403,2017-02-07,5.7,5.6,5.6,1022.2,62,1022.7
404,2017-02-08,6.8,0.9,6.3,1016.2,65,1016.7
405,2017-02-09,3.2,6.8,4.0,1010.7,52,1011.2
406,2017-02-10,1.4,3.1,3.0,1014.5,44,1015.0
407,2017-02-11,2.3,9.4,3.6,1020.8,51,1021.3
408,2017-02-12,3.2,9.6,4.1,1026.2,53,1026.7
409,2017-02-13,5.0,9.7,4.4,1028.9,53,1029.4
410,2017-02-14,6.7,8.6,5.2,1030.0,53,1030.5
411,2017-02-15,7.4,9.8,6.3,1029.1,62,1029.6
412,2017-02-16,12.7,2.4,11.3,1022.0,77,1022.5
413,2017-02-17,13.5,7.3,11.1,1016.7,69,1017.2
414,2017-02-18,6.9,8.3,3.5,1021.2,35,1021.7
415,2017-02-19,8.2,9.2,6.1,1018.7,53,1019.2
416,2017-02-20,12.3,4.9,9.1,1011.1,59,1011.6
417,2017-02-21,6.9,3.8,5.7,1027.6,57,1028.1
418,2017-02-22,11.0,0.0,10.9,1014.9,81,1015.4
419,2017-02-23,8.4,8.7,6.3,1012.8,56,1013.3
