Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_local_pressure
34,2016-02-04,-5.6,-1.3,-12.0,9.3,868.2
35,2016-02-05,-1.6,2.5,-5.1,9.2,866.0
36,2016-02-06,-2.5,1.3,-6.9,5.6,862.8
37,2016-02-07,-6.1,-2.7,-9.5,9.6,864.2
38,2016-02-08,-6.2,-1.8,-9.0,4.8,866.6
39,2016-02-09,-3.6,0.6,-8.6,5.5,859.8
40,2016-02-10,-5.9,-3.9,-10.4,7.1,866.1
41,2016-02-11,-4.9,0.7,-11.4,9.9,877.4
42,2016-02-12,-0.3,6.4,-6.2,9.2,879.4
43,2016-02-13,6.5,12.3,2.9,2.1,872.5
44,2016-02-14,9.0,14.0,4.4,2.2,856.9
45,2016-02-15,-2.3,4.8,-7.8,0.6,854.4
46,2016-02-16,-5.2,-1.3,-10.0,7.2,860.4
47,2016-02-17,-4.9,-0.7,-9.2,8.0,863.8
48,2016-02-18,-3.7,2.5,-10.3,10.0,872.9
49,2016-02-19,1.4,5.6,-3.6,9.9,875.1
50,2016-02-20,2.7,7.3,-1.2,0.0,872.0
51,2016-02-21,0.6,7.5,-4.5,8.6,865.2
52,2016-02-22,-2.5,1.2,-7.1,7.2,876.4
53,2016-02-23,-0.4,2.6,-3.0,4.3,871.1
54,2016-02-24,-4.1,-0.2,-6.8,6.8,869.9
55,2016-02-25,-6.3,-3.0,-10.9,9.3,872.3
56,2016-02-26,-4.2,-0.3,-7.5,7.4,872.0
57,2016-02-27,-2.1,3.4,-9.1,9.9,873.0
58,2016-02-28,-0.1,5.4,-2.8,6.6,874.3
59,2016-02-29,0.3,8.1,-6.8,3.9,861.4
60,2016-03-01,-7.0,-3.0,-10.1,8.4,862.6
61,2016-03-02,-4.6,-0.6,-9.7,5.0,869.1
62,2016-03-03,-0.4,3.7,-7.3,9.8,871.7
63,2016-03-04,0.8,4.9,-3.5,10.2,879.3
64,2016-03-05,2.2,5.9,-2.3,5.9,881.8
65,2016-03-06,6.3,11.6,0.7,5.7,877.5
66,2016-03-07,6.1,8.0,4.0,0.0,872.8
67,2016-03-08,6.5,13.5,1.3,6.9,868.7
68,2016-03-09,1.6,7.3,-2.9,0.0,867.1
69,2016-03-10,-2.2,-0.6,-4.0,0.0,866.5
70,2016-03-11,-4.5,-3.1,-5.3,0.0,867.3
71,2016-03-12,-4.6,-2.7,-5.9,0.2,871.3
72,2016-03-13,-2.9,-0.7,-6.4,1.2,873.2
73,2016-03-14,-1.6,-0.7,-3.4,0.0,865.5
74,2016-03-15,-2.9,0.4,-6.4,11.4,865.3
75,2016-03-16,-0.3,4.8,-7.5,9.9,872.9
76,2016-03-17,5.1,11.0,0.1,11.4,874.7
77,2016-03-18,5.0,12.3,-1.3,7.4,872.3
78,2016-03-19,7.0,13.1,1.6,2.7,862.8
79,2016-03-20,2.7,7.5,-3.1,7.5,864.3
80,2016-03-21,-1.6,3.7,-5.8,7.7,868.0
81,2016-03-22,-0.2,5.9,-6.9,10.7,867.0
82,2016-03-23,1.2,4.4,-2.1,0.2,865.6
83,2016-03-24,-2.5,1.0,-5.6,2.7,865.5
84,2016-03-25,-3.3,0.3,-6.6,9.9,867.4
85,2016-03-26,-1.9,3.6,-8.6,8.7,869.9
86,2016-03-27,0.8,5.1,-3.2,5.6,870.5
87,2016-03-28,1.2,5.3,-3.1,4.3,871.3
88,2016-03-29,2.7,7.5,-2.8,6.1,874.7
89,2016-03-30,5.5,12.2,-0.8,8.6,871.2
90,2016-03-31,4.6,11.0,-1.5,11.2,871.4
91,2016-04-01,3.1,10.7,-1.3,5.4,873.9
92,2016-04-02,3.6,8.7,-0.8,0.2,877.3
93,2016-04-03,7.5,11.7,3.4,5.3,875.9
94,2016-04-04,8.5,14.4,5.1,1.0,864.1
95,2016-04-05,3.1,5.3,-0.5,0.0,866.7
96,2016-04-06,6.4,12.5,0.2,10.7,872.4
97,2016-04-07,8.0,15.1,2.2,0.3,866.0
98,2016-04-08,8.4,13.2,0.8,4.7,864.9
99,2016-04-09,8.2,14.3,2.2,10.8,868.8
100,2016-04-10,8.4,13.7,1.1,3.8,866.0
101,2016-04-11,0.1,4.2,-5.3,9.7,864.2
102,2016-04-12,0.9,6.9,-7.2,11.5,872.8
103,2016-04-13,5.3,9.5,-0.1,5.2,870.7
104,2016-04-14,10.2,15.4,6.4,5.2,862.6
105,2016-04-15,4.0,7.7,0.3,11.9,866.5
106,2016-04-16,5.9,12.0,-0.9,10.0,874.7
107,2016-04-17,9.8,15.6,3.7,2.8,864.0
108,2016-04-18,10.9,17.1,6.6,6.0,865.0
109,2016-04-19,5.9,13.9,0.3,8.7,870.7
110,2016-04-20,4.7,10.3,-1.3,9.3,876.4
111,2016-04-21,6.7,12.1,1.7,0.9,869.8
112,2016-04-22,12.7,18.5,6.7,10.7,863.0
113,2016-04-23,10.4,15.0,6.8,6.6,867.2
114,2016-04-24,8.2,11.2,6.0,0.9,868.7
115,2016-04-25,8.8,13.4,4.4,8.4,874.1
116,2016-04-26,10.3,17.6,3.6,11.5,873.0
117,2016-04-27,8.5,13.0,4.9,4.8,869.3
118,2016-04-28,7.9,9.7,6.0,0.1,857.7
119,2016-04-29,4.7,8.5,0.8,6.8,856.0
120,2016-04-30,6.1,10.5,1.1,6.7,866.1
121,2016-05-01,10.8,15.2,6.1,6.8,869.0
122,2016-05-02,10.3,15.8,6.8,3.1,875.3
123,2016-05-03,11.4,18.0,5.3,8.0,872.8
124,2016-05-04,13.4,19.8,7.7,7.6,862.2
125,2016-05-05,10.7,15.3,4.8,11.0,867.1
126,2016-05-06,9.5,15.0,3.4,4.0,872.4
127,2016-05-07,13.7,20.2,8.6,9.0,864.8
128,2016-05-08,11.1,17.7,6.8,12.1,872.0
129,2016-05-09,9.9,13.1,5.3,3.1,873.1
130,2016-05-10,11.7,14.2,9.7,0.0,866.0
131,2016-05-11,14.3,18.3,10.7,0.0,859.8
132,2016-05-12,12.3,17.7,6.0,11.6,870.6
133,2016-05-13,13.0,19.1,6.3,10.6,875.9
134,2016-05-14,12.1,15.1,7.7,1.5,878.8
135,2016-05-15,10.8,16.0,6.8,11.7,876.4
136,2016-05-16,10.2,13.6,7.4,4.6,870.4
137,2016-05-17,10.7,14.2,4.1,0.1,869.3
138,2016-05-18,11.2,19.0,2.7,12.6,874.9
139,2016-05-19,10.9,17.1,4.5,12.2,877.3
140,2016-05-20,9.9,14.9,4.6,8.0,875.8
141,2016-05-21,11.7,17.1,5.4,8.3,873.8
142,2016-05-22,13.8,20.7,6.3,11.8,875.0
143,2016-05-23,14.3,22.6,6.6,9.7,873.8
144,2016-05-24,15.1,21.0,8.1,9.3,872.5
145,2016-05-25,14.2,17.4,11.2,0.0,871.7
146,2016-05-26,15.9,21.6,10.2,8.9,870.2
147,2016-05-27,13.3,17.8,6.2,2.3,867.4
148,2016-05-28,11.4,17.3,5.6,2.8,867.2
149,2016-05-29,13.2,20.7,4.8,10.1,867.2
150,2016-05-30,9.3,13.8,6.7,0.0,865.2
151,2016-05-31,13.4,17.2,9.1,5.5,863.2
152,2016-06-01,10.7,15.3,4.5,12.6,859.2
153,2016-06-02,9.1,14.2,3.7,11.6,862.1
154,2016-06-03,9.5,15.6,2.2,10.1,869.1
155,2016-06-04,13.0,18.3,6.9,7.9,870.2
156,2016-06-05,13.1,18.0,8.1,3.7,869.5
157,2016-06-06,10.3,13.3,6.1,2.9,872.8
158,2016-06-07,12.1,15.0,10.5,0.3,872.2
159,2016-06-08,14.0,17.5,11.8,0.9,871.7
160,2016-06-09,14.9,19.1,11.9,0.2,870.0
161,2016-06-10,15.0,20.5,10.0,6.8,872.2
162,2016-06-11,15.9,21.2,11.6,7.3,874.3
163,2016-06-12,15.2,20.0,10.8,6.3,871.3
164,2016-06-13,12.4,13.7,10.4,0.0,862.0
165,2016-06-14,13.5,16.5,11.2,0.4,863.4
166,2016-06-15,13.0,14.1,11.8,0.0,868.3
167,2016-06-16,13.7,14.7,12.8,0.0,865.9
168,2016-06-17,16.9,22.1,11.3,7.5,864.6
169,2016-06-18,17.1,23.0,9.8,12.1,873.0
170,2016-06-19,15.2,20.8,12.2,3.0,873.1
171,2016-06-20,16.7,22.6,12.4,8.9,867.7
172,2016-06-21,14.9,18.3,10.8,0.5,868.0
173,2016-06-22,15.3,19.5,10.9,2.6,868.5
174,2016-06-23,15.1,17.6,10.6,0.1,864.3
175,2016-06-24,14.2,18.1,9.7,1.0,866.2
176,2016-06-25,18.1,21.4,14.6,0.0,861.0
177,2016-06-26,15.6,19.9,11.2,6.0,865.7
178,2016-06-27,15.1,19.2,9.1,7.0,872.6
179,2016-06-28,12.6,14.2,10.1,0.0,870.7
180,2016-06-29,13.9,15.8,12.2,0.1,873.1
181,2016-06-30,16.4,21.6,14.0,2.9,872.1
182,2016-07-01,18.4,22.6,14.3,7.2,873.4
183,2016-07-02,20.3,26.2,15.7,4.8,871.5
184,2016-07-03,21.2,26.2,17.1,4.7,869.5
185,2016-07-04,18.4,22.8,15.6,2.2,872.6
186,2016-07-05,14.6,17.3,12.9,0.0,876.7
187,2016-07-06,21.1,25.9,13.0,6.0,874.8
188,2016-07-07,21.1,25.3,16.6,2.7,873.7
189,2016-07-08,18.8,22.8,13.7,3.0,873.6
190,2016-07-09,16.6,19.5,14.2,0.0,868.2
191,2016-07-10,17.9,22.6,12.3,9.7,865.9
192,2016-07-11,18.0,23.9,12.0,10.4,867.0
193,2016-07-12,17.7,23.2,11.8,10.7,867.2
194,2016-07-13,18.4,20.8,15.5,0.0,864.0
195,2016-07-14,19.3,24.9,16.4,3.9,859.5
196,2016-07-15,15.9,18.2,14.2,0.1,861.5
197,2016-07-16,16.3,19.1,14.6,0.7,867.2
198,2016-07-17,18.2,22.5,16.0,1.1,868.2
199,2016-07-18,19.8,23.5,17.6,5.9,869.3
200,2016-07-19,19.0,23.0,16.4,9.2,870.7
201,2016-07-20,17.5,20.8,14.4,3.7,872.1
202,2016-07-21,15.0,16.3,14.4,0.4,872.4
203,2016-07-22,14.0,15.7,12.4,0.0,872.4
204,2016-07-23,13.6,16.4,11.6,2.2,873.1
205,2016-07-24,15.9,19.8,12.5,6.0,874.3
206,2016-07-25,16.1,20.8,13.4,4.4,873.9
207,2016-07-26,16.2,18.1,15.3,0.0,871.2
208,2016-07-27,16.8,17.9,15.3,0.3,870.9
209,2016-07-28,18.5,21.9,16.0,3.1,873.2
210,2016-07-29,19.4,23.0,17.0,5.4,874.5
211,2016-07-30,18.9,24.9,14.2,7.8,874.7
212,2016-07-31,19.0,24.8,13.7,10.6,873.6
213,2016-08-01,18.8,22.7,16.2,0.4,871.1
214,2016-08-02,18.7,22.4,16.3,0.6,869.9
215,2016-08-03,18.5,22.7,15.5,3.1,870.5
216,2016-08-04,19.3,24.6,15.8,6.3,871.6
217,2016-08-05,20.3,25.4,16.4,8.2,872.6
218,2016-08-06,21.0,25.9,16.1,8.8,872.4
219,2016-08-07,19.9,24.1,15.9,9.4,872.3
220,2016-08-08,20.1,25.2,13.9,6.9,866.8
221,2016-08-09,21.4,26.1,15.6,5.4,865.0
222,2016-08-10,19.1,23.1,15.7,5.5,870.1
223,2016-08-11,17.8,20.6,15.6,2.5,870.9
224,2016-08-12,17.1,19.5,15.0,1.2,870.7
225,2016-08-13,17.6,21.8,15.2,3.5,869.3
226,2016-08-14,16.9,21.4,14.6,0.8,866.6
227,2016-08-15,18.8,21.9,16.4,1.1,865.2
228,2016-08-16,19.3,23.6,17.0,6.9,866.0
229,2016-08-17,21.3,26.3,17.2,3.2,862.2
230,2016-08-18,19.2,23.1,17.5,1.0,868.9
231,2016-08-19,19.7,23.6,18.0,4.7,870.7
232,2016-08-20,18.6,21.0,16.1,0.2,868.6
233,2016-08-21,19.8,24.9,15.6,6.6,868.6
234,2016-08-22,18.9,20.5,17.6,0.1,864.2
235,2016-08-23,19.1,23.0,15.9,4.4,867.7
236,2016-08-24,18.1,20.4,15.7,2.9,870.2
237,2016-08-25,19.9,23.8,17.6,2.7,870.2
238,2016-08-26,20.5,25.1,16.9,9.4,867.3
239,2016-08-27,16.9,18.7,15.5,0.0,866.9
240,2016-08-28,16.5,17.5,15.3,0.0,865.0
241,2016-08-29,18.1,19.4,16.4,0.1,858.1
242,2016-08-30,18.2,24.2,14.0,2.2,850.6
243,2016-08-31,16.4,22.4,12.1,5.2,862.0
244,2016-09-01,17.1,22.6,11.3,8.2,869.9
245,2016-09-02,17.7,21.7,14.2,5.7,874.0
246,2016-09-03,17.7,21.8,13.3,2.2,876.0
247,2016-09-04,19.0,22.1,17.1,1.8,876.6
248,2016-09-05,20.2,25.2,16.7,6.0,874.8
249,2016-09-06,20.8,26.2,17.6,5.9,870.6
250,2016-09-07,18.9,23.3,17.7,0.8,867.7
251,2016-09-08,18.2,19.8,17.1,0.0,864.9
252,2016-09-09,17.3,20.8,14.3,3.1,866.3
253,2016-09-10,17.0,21.1,13.8,6.1,872.2
254,2016-09-11,16.5,19.0,14.3,0.6,875.4
255,2016-09-12,15.8,18.8,13.7,0.9,877.3
256,2016-09-13,16.1,19.5,14.1,0.8,875.6
257,2016-09-14,17.1,20.5,15.0,2.2,875.3
258,2016-09-15,16.4,18.9,14.5,0.3,874.9
259,2016-09-16,15.3,17.9,13.5,0.0,875.4
260,2016-09-17,16.5,19.6,13.6,1.5,873.9
261,2016-09-18,16.2,17.7,15.3,0.0,869.1
262,2016-09-19,14.5,16.0,13.0,0.0,869.1
263,2016-09-20,12.8,14.3,11.7,0.0,869.6
264,2016-09-21,12.3,13.3,11.5,0.0,876.2
265,2016-09-22,13.5,15.5,11.9,0.0,876.9
266,2016-09-23,15.8,19.4,14.3,0.0,873.8
267,2016-09-24,15.0,17.0,12.5,0.1,876.4
268,2016-09-25,16.4,20.8,11.3,8.4,877.5
269,2016-09-26,16.0,19.5,14.4,0.0,879.4
270,2016-09-27,17.7,22.4,14.7,6.5,877.4
271,2016-09-28,17.7,21.1,15.5,0.2,873.1
272,2016-09-29,16.3,20.0,10.6,0.1,870.5
273,2016-09-30,10.4,14.6,5.3,4.7,873.9
274,2016-10-01,13.8,16.6,10.9,0.0,876.0
275,2016-10-02,16.6,19.7,14.0,0.6,877.1
276,2016-10-03,16.9,20.8,13.7,0.3,872.7
277,2016-10-04,17.5,25.3,11.8,4.6,873.3
278,2016-10-05,14.8,17.6,10.9,0.0,873.6
279,2016-10-06,16.4,21.2,9.1,10.2,871.3
280,2016-10-07,11.1,15.0,6.6,7.6,879.4
281,2016-10-08,15.9,20.4,10.8,1.0,872.1
282,2016-10-09,13.6,18.6,5.7,0.6,866.1
283,2016-10-10,7.7,9.6,6.6,0.8,872.4
284,2016-10-11,6.5,7.7,4.0,0.0,872.9
285,2016-10-12,8.8,15.5,2.4,6.2,872.3
286,2016-10-13,6.5,9.7,5.1,0.0,875.3
287,2016-10-14,6.0,10.8,1.8,5.8,878.5
288,2016-10-15,7.3,12.4,2.5,5.0,882.0
289,2016-10-16,9.7,16.0,2.9,7.7,882.2
290,2016-10-17,11.8,13.6,9.6,0.0,876.5
291,2016-10-18,13.4,17.9,9.7,6.4,874.9
292,2016-10-19,11.9,15.9,8.8,3.3,874.0
293,2016-10-20,14.5,19.4,9.9,10.1,871.1
294,2016-10-21,9.3,13.5,4.7,8.4,873.3
295,2016-10-22,8.4,12.2,3.7,4.4,870.6
296,2016-10-23,8.5,14.2,3.0,6.0,866.3
297,2016-10-24,3.9,9.2,0.0,6.9,870.6
298,2016-10-25,5.8,12.2,-0.4,2.9,873.4
299,2016-10-26,14.2,19.2,9.3,9.9,871.2
300,2016-10-27,8.7,13.6,2.4,9.6,874.2
301,2016-10-28,7.9,11.6,2.6,0.0,871.9
302,2016-10-29,8.8,14.0,1.8,9.4,868.8
303,2016-10-30,2.7,5.7,1.2,2.9,877.9
304,2016-10-31,5.6,11.1,2.2,2.8,877.2
305,2016-11-01,6.6,12.8,-1.2,4.4,871.6
306,2016-11-02,1.2,3.5,-1.6,0.0,875.2
307,2016-11-03,5.0,9.3,0.8,8.6,867.5
308,2016-11-04,3.8,7.9,0.3,7.9,868.7
309,2016-11-05,7.8,15.6,1.8,9.5,868.4
310,2016-11-06,6.6,11.3,-0.9,7.8,872.3
311,2016-11-07,1.5,5.4,-2.0,9.1,876.6
312,2016-11-08,5.6,12.4,-1.1,3.9,869.5
313,2016-11-09,0.3,5.1,-2.0,7.0,867.3
314,2016-11-10,0.2,4.4,-4.0,1.2,874.0
315,2016-11-11,4.8,6.4,2.7,0.0,871.8
316,2016-11-12,5.4,11.4,1.0,7.3,876.2
317,2016-11-13,6.2,13.9,1.0,9.2,878.1
318,2016-11-14,6.9,10.6,2.4,1.7,875.8
319,2016-11-15,9.2,15.4,2.9,5.2,865.9
320,2016-11-16,3.0,8.5,-1.1,9.2,870.0
321,2016-11-17,3.6,10.5,-1.9,7.9,872.9
322,2016-11-18,2.7,7.9,-2.5,9.1,876.4
323,2016-11-19,7.4,12.5,3.4,0.1,870.1
324,2016-11-20,10.0,15.6,4.7,7.1,871.2
325,2016-11-21,6.7,9.2,3.1,1.3,874.3
326,2016-11-22,9.7,14.0,5.9,8.4,866.0
327,2016-11-23,2.8,8.4,-1.8,7.8,868.0
328,2016-11-24,-4.6,-1.7,-7.6,0.0,868.4
329,2016-11-25,-2.3,2.2,-7.7,8.1,871.3
330,2016-11-26,0.0,3.1,-4.4,6.0,876.0
331,2016-11-27,5.6,10.2,2.5,0.0,868.6
332,2016-11-28,2.2,5.6,-0.4,5.9,865.8
333,2016-11-29,0.3,2.8,-3.4,8.5,873.6
334,2016-11-30,-1.4,2.3,-6.1,5.6,879.7
335,2016-12-01,6.5,10.9,1.9,3.0,871.1
336,2016-12-02,2.2,7.7,-2.1,8.8,871.7
337,2016-12-03,2.2,7.2,-2.3,8.8,877.1
338,2016-12-04,4.0,8.4,-0.7,4.9,872.7
339,2016-12-05,4.9,9.9,1.0,7.8,865.9
340,2016-12-06,1.2,5.6,-4.2,7.4,863.0
341,2016-12-07,-2.0,1.0,-4.7,8.7,867.3
342,2016-12-08,0.0,2.9,-3.7,7.3,867.9
343,2016-12-09,2.7,6.4,-0.3,6.7,863.2
344,2016-12-10,-2.5,0.8,-5.2,7.1,864.7
345,2016-12-11,-3.7,-1.6,-5.7,4.9,868.3
346,2016-12-12,-2.4,3.1,-6.9,7.6,874.1
347,2016-12-13,3.6,7.1,-1.9,0.9,868.9
348,2016-12-14,0.5,4.9,-5.1,3.2,856.2
349,2016-12-15,-4.1,-1.9,-5.9,6.9,861.9
350,2016-12-16,-4.9,-1.6,-7.2,5.3,861.8
351,2016-12-17,-1.5,1.0,-6.2,3.5,869.2
352,2016-12-18,0.7,6.0,-5.3,8.4,876.7
353,2016-12-19,1.6,6.1,-2.3,6.9,876.6
354,2016-12-20,2.0,7.9,-2.6,3.1,877.1
355,2016-12-21,2.2,8.5,-2.0,7.9,881.1
356,2016-12-22,7.0,9.4,-0.4,0.0,870.6
357,2016-12-23,4.2,11.1,-1.0,6.8,855.5
358,2016-12-24,-2.3,1.0,-6.0,8.2,869.3
359,2016-12-25,-2.9,3.0,-6.9,8.4,877.9
360,2016-12-26,1.4,7.8,-5.9,0.6,874.0
361,2016-12-27,4.8,8.8,-3.4,1.9,856.8
362,2016-12-28,-5.0,-1.3,-9.1,7.1,867.5
363,2016-12-29,-1.9,3.4,-8.9,7.5,866.9
364,2016-12-30,-5.3,-2.8,-9.2,7.5,870.1
365,2016-12-31,-1.5,3.4,-9.2,5.8,872.7
366,2017-01-01,-0.4,4.0,-4.3,7.7,872.9
367,2017-01-02,0.3,4.1,-4.2,5.1,868.6
368,2017-01-03,-0.5,1.8,-5.0,7.4,865.5
369,2017-01-04,-1.5,2.1,-4.2,3.7,864.0
370,2017-01-05,-4.4,-2.5,-7.9,6.2,866.6
371,2017-01-06,-6.2,1.0,-11.2,8.6,871.6
372,2017-01-07,-3.8,1.5,-9.4,8.6,870.5
373,2017-01-08,-2.3,1.3,-5.7,1.9,865.5
374,2017-01-09,0.5,3.7,-1.4,1.8,855.7
375,2017-01-10,-1.0,2.0,-4.3,8.0,860.1
376,2017-01-11,-4.5,-1.9,-6.4,4.9,859.4
377,2017-01-12,-4.1,-2.5,-5.9,2.0,855.1
378,2017-01-13,-4.2,-1.1,-7.8,2.6,852.5
379,2017-01-14,-9.1,-7.3,-12.2,0.2,850.8
380,2017-01-15,-10.6,-8.8,-12.4,1.1,855.0
381,2017-01-16,-7.5,-4.3,-9.8,2.1,859.0
382,2017-01-17,-5.0,-2.3,-7.5,0.3,870.4
383,2017-01-18,-4.7,0.1,-10.3,7.6,874.1
384,2017-01-19,-3.3,-0.2,-9.4,5.6,868.0
385,2017-01-20,-5.3,-2.7,-10.0,0.0,860.3
386,2017-01-21,-5.2,-2.0,-9.9,3.4,864.2
387,2017-01-22,-3.6,-0.1,-9.7,7.7,862.1
388,2017-01-23,-8.2,-5.1,-10.1,3.4,859.5
389,2017-01-24,-9.1,-7.4,-10.4,0.2,864.9
390,2017-01-25,-6.6,-4.5,-10.7,4.3,871.3
391,2017-01-26,-5.2,-0.2,-12.1,9.1,874.4
392,2017-01-27,-0.1,4.0,-6.2,4.4,868.7
393,2017-01-28,-1.5,3.0,-4.9,9.2,873.0
394,2017-01-29,-0.3,3.3,-4.2,5.7,870.8
395,2017-01-30,2.4,7.7,-5.4,5.8,856.9
396,2017-01-31,-5.2,-0.9,-8.2,9.3,867.0
397,2017-02-01,-4.2,2.1,-8.9,8.4,863.0
398,2017-02-02,-7.3,-3.4,-10.4,2.6,858.8
399,2017-02-03,-3.4,0.0,-6.6,9.0,864.1
400,2017-02-04,-2.3,2.6,-7.8,9.5,868.6
401,2017-02-05,-1.0,5.4,-6.8,2.3,863.0
402,2017-02-06,-1.3,4.6,-5.3,4.8,852.1
403,2017-02-07,-6.9,-4.8,-8.4,3.8,858.7
404,2017-02-08,-5.3,-1.8,-8.4,6.3,862.2
405,2017-02-09,-4.8,-3.1,-8.0,0.0,854.9
406,2017-02-10,-5.4,-2.7,-9.9,8.5,849.7
407,2017-02-11,-7.0,-3.4,-10.3,5.9,855.7
408,2017-02-12,-5.3,-2.0,-7.0,8.6,863.3
409,2017-02-13,-5.2,-1.1,-10.4,6.7,869.5
410,2017-02-14,-5.0,-1.0,-9.8,7.7,870.5
411,2017-02-15,-4.3,-0.1,-8.6,9.7,872.9
412,2017-02-16,-1.7,4.3,-9.4,9.9,873.3
413,2017-02-17,3.8,8.8,-1.4,5.5,864.6
414,2017-02-18,-2.3,0.3,-7.2,6.4,862.2
415,2017-02-19,-4.5,-0.5,-8.2,10.1,863.5
416,2017-02-20,0.8,5.8,-5.7,0.8,855.1
417,2017-02-21,-7.1,-5.4,-11.4,2.7,863.6
418,2017-02-22,-3.2,1.4,-11.6,7.6,871.3
419,2017-02-23,3.2,9.5,-2.8,2.9,856.2
420,2017-02-24,-4.7,-2.4,-7.8,10.4,861.6
421,2017-02-25,-2.7,1.8,-7.5,7.2,866.5
422,2017-02-26,-1.6,2.0,-6.3,7.4,868.6
423,2017-02-27,-3.1,0.4,-6.8,6.0,872.7
424,2017-02-28,-4.1,0.3,-8.9,7.8,873.0
425,2017-03-01,-2.3,1.7,-6.5,7.3,870.3
426,2017-03-02,0.0,2.9,-1.9,2.7,859.7
427,2017-03-03,-1.3,2.0,-4.6,10.3,861.3
428,2017-03-04,-0.2,5.8,-6.5,10.6,867.9
429,2017-03-05,0.9,6.1,-4.5,8.1,866.7
430,2017-03-06,1.5,5.0,-2.3,0.2,858.2
431,2017-03-07,-3.9,0.6,-7.4,5.4,854.0
432,2017-03-08,-5.2,-2.7,-7.3,6.2,855.2
433,2017-03-09,-2.2,2.1,-5.5,8.8,857.2
434,2017-03-10,-2.7,0.9,-5.2,7.5,860.9
435,2017-03-11,-3.0,1.7,-7.6,7.2,868.4
436,2017-03-12,-3.3,2.5,-9.0,9.3,871.8
437,2017-03-13,-0.3,3.1,-3.6,3.0,868.7
438,2017-03-14,-0.5,0.4,-1.7,0.0,861.1
439,2017-03-15,-2.5,-0.2,-4.7,0.0,858.5
440,2017-03-16,-1.7,2.1,-6.4,11.1,865.6
441,2017-03-17,-2.1,2.4,-6.7,9.2,868.2
442,2017-03-18,0.3,4.8,-3.6,8.7,870.6
443,2017-03-19,1.4,4.3,-1.8,6.1,870.4
444,2017-03-20,1.6,7.6,-1.7,10.6,872.0
445,2017-03-21,0.4,1.7,-0.7,0.0,861.0
446,2017-03-22,-1.8,1.5,-4.7,8.5,862.5
447,2017-03-23,-1.8,0.6,-4.1,2.8,866.4
448,2017-03-24,-3.7,-1.0,-6.1,5.9,865.9
449,2017-03-25,-2.7,2.0,-9.3,10.5,869.5
450,2017-03-26,-2.3,-0.9,-4.1,0.0,868.7
451,2017-03-27,-1.5,0.2,-3.1,0.0,861.7
452,2017-03-28,-1.5,2.2,-5.0,6.0,868.4
453,2017-03-29,-0.4,3.4,-5.2,10.4,872.3
454,2017-03-30,2.6,8.5,-3.6,10.6,870.2
455,2017-03-31,-1.1,1.6,-3.8,0.0,868.0
456,2017-04-01,-3.2,-2.3,-4.9,0.0,864.4
457,2017-04-02,-2.5,3.1,-8.7,8.4,864.8
458,2017-04-03,-0.9,3.8,-6.3,6.8,867.2
459,2017-04-04,1.7,6.6,-3.8,10.6,875.0
460,2017-04-05,5.0,11.7,-3.0,8.5,878.7
461,2017-04-06,6.0,12.1,-0.6,5.5,875.6
462,2017-04-07,8.2,14.4,3.9,1.4,871.0
