Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall,total_snowfall
118,2016-04-28,11.9,13.4,10.5,0.0,0,0
119,2016-04-29,10.3,14.4,6.8,4.2,0,0
120,2016-04-30,13.0,18.2,6.2,5.6,0,0
121,2016-05-01,16.2,20.7,11.6,0.1,0,0
122,2016-05-02,18.8,26.2,10.5,11.8,0,0
123,2016-05-03,21.9,26.7,12.2,4.0,0,0
124,2016-05-04,19.6,24.4,13.3,10.2,0,0
125,2016-05-05,17.3,20.4,12.4,10.2,0,0
126,2016-05-06,17.4,21.9,11.5,2.2,0,0
127,2016-05-07,17.6,22.1,13.0,1.8,0,0
128,2016-05-08,15.7,22.3,9.9,11.7,0,0
129,2016-05-09,15.0,18.7,10.4,0.1,0,0
130,2016-05-10,15.6,19.1,14.0,0.0,0,0
131,2016-05-11,15.3,19.5,12.7,0.5,0,0
132,2016-05-12,15.2,21.3,12.2,9.6,0,0
133,2016-05-13,18.0,24.6,11.2,8.1,0,0
134,2016-05-14,15.5,18.2,13.9,2.7,0,0
135,2016-05-15,19.5,26.5,11.8,12.7,0,0
136,2016-05-16,20.9,29.1,11.8,8.4,0,0
137,2016-05-17,14.2,19.4,10.9,4.9,0,0
138,2016-05-18,16.4,22.6,9.9,13.5,0,0
139,2016-05-19,17.3,22.6,11.1,11.4,0,0
140,2016-05-20,19.5,25.0,13.8,12.9,0,0
141,2016-05-21,18.9,25.0,13.6,12.7,0,0
142,2016-05-22,18.1,24.0,12.2,13.4,0,0
143,2016-05-23,19.3,28.0,13.9,11.0,0,0
144,2016-05-24,23.6,31.3,12.6,9.6,0,0
145,2016-05-25,21.3,26.3,18.2,0.0,0,0
146,2016-05-26,23.3,30.2,18.0,2.2,0,0
147,2016-05-27,19.6,24.9,16.3,7.0,0,0
148,2016-05-28,19.7,23.7,16.2,1.4,0,0
149,2016-05-29,20.3,27.2,15.6,8.1,0,0
150,2016-05-30,17.5,20.9,14.8,0.0,0,0
151,2016-05-31,20.6,26.3,16.6,10.3,0,0
152,2016-06-01,17.0,20.3,14.0,11.1,0,0
153,2016-06-02,15.5,20.6,11.5,10.5,0,0
154,2016-06-03,18.2,24.1,11.2,13.8,0,0
155,2016-06-04,21.6,28.1,13.0,7.6,0,0
156,2016-06-05,20.3,25.6,17.3,8.5,0,0
157,2016-06-06,18.6,21.7,15.6,8.6,0,0
158,2016-06-07,20.6,24.8,17.2,0.8,0,0
159,2016-06-08,23.1,29.0,16.8,9.4,0,0
160,2016-06-09,20.5,22.2,17.9,1.1,0,0
161,2016-06-10,20.8,24.7,17.0,10.8,0,0
162,2016-06-11,23.5,30.6,16.3,10.3,0,0
163,2016-06-12,24.4,29.7,19.7,3.7,0,0
164,2016-06-13,19.9,21.8,19.1,0.0,0,0
165,2016-06-14,21.1,25.3,18.9,1.0,0,0
166,2016-06-15,23.0,27.9,17.0,7.7,0,0
167,2016-06-16,23.9,29.2,20.1,0.1,0,0
168,2016-06-17,22.4,26.4,19.4,4.7,0,0
169,2016-06-18,22.9,29.4,17.1,12.8,0,0
170,2016-06-19,22.3,28.0,18.6,2.5,0,0
171,2016-06-20,23.8,27.8,19.2,7.6,0,0
172,2016-06-21,22.8,28.6,19.7,5.7,0,0
173,2016-06-22,22.9,26.7,21.0,1.6,0,0
174,2016-06-23,20.3,22.3,18.1,0.1,0,0
175,2016-06-24,21.0,26.3,17.6,1.3,0,0
176,2016-06-25,22.8,26.6,19.6,0.1,0,0
177,2016-06-26,20.9,25.5,17.0,7.7,0,0
178,2016-06-27,21.2,25.6,15.5,9.6,0,0
179,2016-06-28,19.6,23.2,17.0,0.1,0,0
180,2016-06-29,21.2,25.1,17.7,2.2,0,0
181,2016-06-30,23.1,26.8,20.4,0.8,0,0
182,2016-07-01,25.7,30.2,20.7,11.1,0,0
183,2016-07-02,28.2,35.7,22.9,4.7,0,0
184,2016-07-03,25.0,29.3,22.5,3.0,0,0
185,2016-07-04,23.6,26.3,21.6,0.4,0,0
186,2016-07-05,24.1,28.4,21.3,1.2,0,0
187,2016-07-06,27.3,33.0,22.2,7.7,0,0
188,2016-07-07,25.1,28.9,22.9,5.6,0,0
189,2016-07-08,24.3,28.8,22.1,0.0,0,0
190,2016-07-09,22.6,24.8,21.6,0.1,0,0
191,2016-07-10,24.7,29.3,21.4,10.2,0,0
192,2016-07-11,24.5,29.6,21.2,12.4,0,0
193,2016-07-12,25.1,30.5,20.1,6.8,0,0
194,2016-07-13,25.9,31.3,23.6,2.2,0,0
195,2016-07-14,24.8,29.3,21.2,3.7,0,0
196,2016-07-15,22.4,25.0,20.4,4.2,0,0
197,2016-07-16,23.9,27.9,20.0,4.2,0,0
198,2016-07-17,24.5,27.8,23.0,0.8,0,0
199,2016-07-18,24.0,27.7,20.8,1.7,0,0
200,2016-07-19,24.2,29.2,18.9,11.2,0,0
201,2016-07-20,23.4,25.8,21.9,3.2,0,0
202,2016-07-21,22.9,25.1,21.7,1.8,0,0
203,2016-07-22,23.5,26.7,20.4,4.1,0,0
204,2016-07-23,25.1,29.7,20.1,9.9,0,0
205,2016-07-24,26.5,31.6,21.5,9.9,0,0
206,2016-07-25,25.7,31.3,22.3,3.4,0,0
207,2016-07-26,23.3,25.6,21.6,0.0,0,0
208,2016-07-27,26.4,31.2,22.4,4.6,0,0
209,2016-07-28,28.0,33.9,23.9,7.2,0,0
210,2016-07-29,28.2,33.6,23.7,10.2,0,0
211,2016-07-30,28.2,33.2,23.9,10.4,0,0
212,2016-07-31,27.5,32.0,23.4,10.0,0,0
213,2016-08-01,26.7,30.6,23.4,7.2,0,0
214,2016-08-02,25.6,30.2,23.9,2.3,0,0
215,2016-08-03,25.8,30.2,23.3,2.2,0,0
216,2016-08-04,26.4,31.0,22.3,11.3,0,0
217,2016-08-05,27.0,31.8,22.5,12.5,0,0
218,2016-08-06,26.9,30.8,22.6,12.3,0,0
219,2016-08-07,28.9,34.7,23.8,9.9,0,0
220,2016-08-08,28.0,32.9,24.7,8.4,0,0
221,2016-08-09,26.8,30.6,24.4,7.1,0,0
222,2016-08-10,25.0,29.3,21.3,5.6,0,0
223,2016-08-11,24.6,28.8,20.0,10.6,0,0
224,2016-08-12,25.8,31.3,20.8,11.2,0,0
225,2016-08-13,27.3,33.5,21.8,11.2,0,0
226,2016-08-14,27.4,32.3,22.6,10.9,0,0
227,2016-08-15,25.7,29.6,22.8,3.7,0,0
228,2016-08-16,25.9,31.9,22.3,5.7,0,0
229,2016-08-17,26.2,29.7,23.9,3.7,0,0
230,2016-08-18,26.2,28.8,24.0,2.2,0,0
231,2016-08-19,26.9,30.1,24.0,7.6,0,0
232,2016-08-20,28.0,32.1,25.1,6.9,0,0
233,2016-08-21,28.1,33.0,25.6,3.9,0,0
234,2016-08-22,26.6,31.5,24.4,4.3,0,0
235,2016-08-23,26.5,30.3,23.7,9.3,0,0
236,2016-08-24,26.1,29.9,22.3,5.3,0,0
237,2016-08-25,27.6,34.1,22.7,10.1,0,0
238,2016-08-26,26.3,33.5,21.9,4.9,0,0
239,2016-08-27,21.6,23.8,20.3,0.0,0,0
240,2016-08-28,22.6,25.5,19.3,3.7,0,0
241,2016-08-29,25.0,31.7,20.4,4.7,0,0
242,2016-08-30,20.3,22.3,18.0,0.7,0,0
243,2016-08-31,25.3,32.6,17.0,12.4,0,0
244,2016-09-01,24.7,30.9,18.2,11.0,0,0
245,2016-09-02,25.0,30.9,18.5,10.6,0,0
246,2016-09-03,26.1,32.1,20.6,9.5,0,0
247,2016-09-04,26.1,33.5,22.2,6.7,0,0
248,2016-09-05,25.2,29.8,21.7,1.4,0,0
249,2016-09-06,25.3,28.6,22.9,4.4,0,0
250,2016-09-07,25.5,29.3,23.3,4.3,0,0
251,2016-09-08,22.8,25.2,20.3,1.1,0,0
252,2016-09-09,22.3,26.0,20.3,4.3,0,0
253,2016-09-10,22.6,27.1,19.0,10.6,0,0
254,2016-09-11,22.9,26.6,20.1,2.2,0,0
255,2016-09-12,22.8,26.4,19.7,2.2,0,0
256,2016-09-13,22.4,25.4,20.8,0.0,0,0
257,2016-09-14,22.8,26.9,20.8,1.9,0,0
258,2016-09-15,22.7,25.6,20.5,3.9,0,0
259,2016-09-16,22.7,27.1,19.6,0.7,0,0
260,2016-09-17,22.5,26.1,19.7,0.6,0,0
261,2016-09-18,20.5,21.8,19.8,0.0,0,0
262,2016-09-19,19.8,20.9,18.8,0.0,0,0
263,2016-09-20,18.2,19.6,17.0,0.0,0,0
264,2016-09-21,20.4,22.7,18.9,0.0,0,0
265,2016-09-22,20.4,23.2,18.2,0.1,0,0
266,2016-09-23,19.3,21.1,16.8,0.0,0,0
267,2016-09-24,19.7,23.3,15.6,4.7,0,0
268,2016-09-25,23.0,28.7,18.2,5.1,0,0
269,2016-09-26,22.6,24.9,20.8,0.0,0,0
270,2016-09-27,25.3,31.8,19.7,8.9,0,0
271,2016-09-28,22.8,24.8,21.5,0.0,0,0
272,2016-09-29,19.2,21.6,16.2,0.0,0,0
273,2016-09-30,18.4,23.3,14.0,5.8,0,0
274,2016-10-01,19.2,22.5,15.7,1.6,0,0
275,2016-10-02,21.8,25.8,18.9,6.3,0,0
276,2016-10-03,22.7,27.6,18.7,0.3,0,0
277,2016-10-04,22.5,25.8,19.3,3.8,0,0
278,2016-10-05,23.0,32.4,17.8,0.9,0,0
279,2016-10-06,20.0,23.1,15.8,0.7,0,0
280,2016-10-07,17.6,21.7,12.6,9.3,0,0
281,2016-10-08,20.3,25.5,15.9,0.4,0,0
282,2016-10-09,17.4,21.3,14.3,0.9,0,0
283,2016-10-10,15.0,17.0,12.9,0.1,0,0
284,2016-10-11,15.6,19.1,12.4,3.7,0,0
285,2016-10-12,14.6,20.4,11.2,4.7,0,0
286,2016-10-13,13.8,17.7,11.1,6.0,0,0
287,2016-10-14,14.4,20.3,10.3,9.7,0,0
288,2016-10-15,15.2,21.6,8.9,10.4,0,0
289,2016-10-16,17.5,23.6,10.4,8.1,0,0
290,2016-10-17,19.6,24.7,15.4,1.1,0,0
291,2016-10-18,19.7,24.7,16.8,2.0,0,0
292,2016-10-19,18.7,21.8,16.3,0.3,0,0
293,2016-10-20,18.3,23.5,12.8,4.6,0,0
294,2016-10-21,14.0,17.5,10.8,2.9,0,0
295,2016-10-22,13.9,18.1,8.6,1.4,0,0
296,2016-10-23,14.6,17.9,12.3,0.5,0,0
297,2016-10-24,12.3,16.5,9.0,9.3,0,0
298,2016-10-25,14.9,22.7,4.1,0.5,0,0
299,2016-10-26,19.0,24.2,15.4,5.0,0,0
300,2016-10-27,14.0,17.4,8.5,6.8,0,0
301,2016-10-28,11.9,14.6,9.2,0.0,0,0
302,2016-10-29,11.7,13.4,8.8,0.0,0,0
303,2016-10-30,10.2,15.3,6.4,8.2,0,0
304,2016-10-31,12.7,18.0,6.0,3.5,0,0
305,2016-11-01,10.6,15.8,6.1,0.1,0,0
306,2016-11-02,9.3,14.4,3.7,9.5,0,0
307,2016-11-03,10.2,13.5,7.3,1.9,0,0
308,2016-11-04,10.8,16.2,7.1,9.7,0,0
309,2016-11-05,13.5,20.0,8.3,9.9,0,0
310,2016-11-06,11.3,14.0,9.4,0.2,0,0
311,2016-11-07,9.8,13.5,5.6,9.5,0,0
312,2016-11-08,11.2,19.5,5.6,1.6,0,0
313,2016-11-09,5.7,7.2,4.1,0.3,0,0
314,2016-11-10,7.3,9.8,4.6,3.6,0,0
315,2016-11-11,11.1,18.0,6.7,3.3,0,0
316,2016-11-12,12.4,16.9,6.6,7.6,0,0
317,2016-11-13,12.7,20.1,5.3,9.1,0,0
318,2016-11-14,12.4,17.7,7.2,0.9,0,0
319,2016-11-15,12.9,18.0,8.1,0.3,0,0
320,2016-11-16,7.5,11.1,4.3,4.3,0,0
321,2016-11-17,7.9,10.3,4.6,0.0,0,0
322,2016-11-18,8.6,16.5,1.6,9.0,0,0
323,2016-11-19,12.9,16.6,8.0,0.0,0,0
324,2016-11-20,14.9,18.5,12.6,0.4,0,0
325,2016-11-21,12.7,15.6,10.9,6.0,0,0
326,2016-11-22,13.2,17.2,6.7,2.2,0,0
327,2016-11-23,5.5,7.0,4.4,1.6,0,0
328,2016-11-24,5.9,9.2,2.5,2.7,0,0
329,2016-11-25,6.3,9.9,1.3,0.8,0,0
330,2016-11-26,8.4,13.6,3.6,7.8,0,0
331,2016-11-27,10.0,10.8,8.4,0.0,0,0
332,2016-11-28,7.7,10.4,5.8,0.9,0,0
333,2016-11-29,6.6,10.2,4.2,0.4,0,0
334,2016-11-30,5.9,9.1,2.2,3.8,0,0
335,2016-12-01,12.0,17.2,6.7,0.0,0,0
336,2016-12-02,8.0,11.3,5.4,6.6,0,0
337,2016-12-03,9.9,15.3,6.4,9.0,0,0
338,2016-12-04,10.0,16.4,2.4,2.1,0,0
339,2016-12-05,12.2,15.4,9.2,1.5,0,0
340,2016-12-06,6.7,12.5,2.9,0.0,0,0
341,2016-12-07,5.6,9.3,1.0,1.8,0,0
342,2016-12-08,6.1,10.8,2.3,6.6,0,0
343,2016-12-09,7.7,12.4,1.7,1.0,0,0
344,2016-12-10,2.6,6.3,0.9,0.0,0,0
345,2016-12-11,2.0,3.7,1.2,0.1,0,0
346,2016-12-12,2.8,7.6,-0.6,7.6,0,0
347,2016-12-13,8.0,9.7,2.7,0.0,0,0
348,2016-12-14,4.5,8.2,0.9,0.1,0,0
349,2016-12-15,1.6,4.1,0.0,2.5,0,0
350,2016-12-16,0.3,2.2,-1.5,1.3,14,16
351,2016-12-17,3.6,5.2,1.6,0.3,10,1
352,2016-12-18,8.0,13.5,3.2,3.6,0,0
353,2016-12-19,9.9,15.8,6.2,5.5,0,0
354,2016-12-20,9.6,11.6,7.6,0.6,0,0
355,2016-12-21,9.0,14.5,2.9,7.8,0,0
356,2016-12-22,15.1,22.2,2.8,0.0,0,0
357,2016-12-23,7.6,12.3,2.9,0.4,0,0
358,2016-12-24,4.1,7.1,0.7,3.2,0,0
359,2016-12-25,4.5,8.4,1.0,4.0,0,0
360,2016-12-26,5.2,10.6,0.0,0.0,0,0
361,2016-12-27,5.7,8.3,0.8,0.1,0,0
362,2016-12-28,1.1,4.2,-0.9,3.6,0,0
363,2016-12-29,2.8,8.4,-0.9,1.5,0,0
364,2016-12-30,1.5,4.0,0.0,2.1,3,5
365,2016-12-31,4.7,9.3,1.2,1.4,0,0
366,2017-01-01,6.3,10.1,3.7,2.9,0,0
367,2017-01-02,8.4,13.2,4.3,5.0,0,0
368,2017-01-03,5.8,7.7,4.1,1.4,0,0
369,2017-01-04,5.9,9.5,2.2,0.0,0,0
370,2017-01-05,2.6,4.5,-0.5,3.3,0,0
371,2017-01-06,2.3,6.5,-0.6,3.3,0,0
372,2017-01-07,2.9,8.0,-1.1,8.7,0,0
373,2017-01-08,3.9,7.9,-1.4,0.0,0,0
374,2017-01-09,5.6,10.2,3.4,0.9,0,0
375,2017-01-10,5.3,10.8,2.6,3.6,0,0
376,2017-01-11,2.5,5.4,0.1,1.8,0,0
377,2017-01-12,2.5,5.0,0.6,1.1,0,0
378,2017-01-13,2.2,4.0,-0.1,0.2,6,7
379,2017-01-14,-1.6,0.9,-4.1,0.2,20,16
380,2017-01-15,-1.7,0.2,-4.3,0.1,33,18
381,2017-01-16,0.3,2.3,-2.3,0.7,34,4
382,2017-01-17,1.3,3.3,0.1,0.3,29,9
383,2017-01-18,2.6,6.3,-1.3,6.8,23,2
384,2017-01-19,2.2,5.6,-1.7,6.9,19,2
385,2017-01-20,0.9,7.9,-4.3,2.1,16,7
386,2017-01-21,1.3,3.1,-0.5,0.8,13,1
387,2017-01-22,1.0,4.0,-3.1,0.2,17,9
388,2017-01-23,-1.7,-0.5,-2.7,0.7,43,30
389,2017-01-24,-2.2,-1.0,-4.0,0.2,53,14
390,2017-01-25,-0.9,1.9,-4.5,2.2,59,9
391,2017-01-26,0.6,6.1,-4.2,8.7,42,0
392,2017-01-27,2.8,10.7,-4.6,0.2,35,0
393,2017-01-28,2.5,6.9,-1.2,8.7,23,0
394,2017-01-29,2.3,6.9,-3.5,3.4,20,0
395,2017-01-30,4.2,8.2,0.9,0.0,18,0
396,2017-01-31,0.5,2.9,-2.5,2.3,12,1
397,2017-02-01,1.7,7.9,-3.4,2.0,10,0
398,2017-02-02,0.5,3.4,-2.0,1.4,17,9
399,2017-02-03,2.9,7.1,0.4,7.3,11,0
400,2017-02-04,4.4,10.5,-1.3,8.7,8,0
401,2017-02-05,2.9,7.4,0.3,0.0,5,0
402,2017-02-06,2.8,6.6,0.2,0.0,0,0
403,2017-02-07,-0.2,1.6,-1.3,0.0,3,5
404,2017-02-08,1.3,4.7,-1.1,3.7,3,3
405,2017-02-09,2.0,4.8,-0.1,0.0,0,0
406,2017-02-10,0.3,3.4,-2.0,0.9,4,4
407,2017-02-11,0.4,3.4,-1.9,1.8,9,9
408,2017-02-12,0.0,2.3,-3.1,1.3,21,12
409,2017-02-13,0.0,4.4,-4.0,3.2,13,1
410,2017-02-14,-0.1,2.3,-4.1,1.5,10,3
411,2017-02-15,2.5,6.2,-0.5,4.0,10,2
412,2017-02-16,6.8,14.5,0.7,9.8,5,0
413,2017-02-17,7.7,13.5,2.2,0.0,0,0
414,2017-02-18,2.4,7.4,-1.6,5.6,6,6
415,2017-02-19,1.9,6.8,-2.7,7.5,7,1
416,2017-02-20,5.5,9.3,1.0,0.0,0,0
417,2017-02-21,0.5,2.4,-0.8,0.7,2,2
418,2017-02-22,2.4,6.5,-2.8,5.3,0,0
419,2017-02-23,6.3,11.2,1.3,0.0,0,0
420,2017-02-24,1.4,3.8,-0.3,1.8,0,0
421,2017-02-25,3.7,7.9,-0.1,4.3,0,0
422,2017-02-26,3.5,7.0,0.6,1.1,0,0
423,2017-02-27,2.5,4.5,0.6,0.6,0,0
424,2017-02-28,3.2,6.1,-0.5,4.5,0,0
425,2017-03-01,4.4,9.8,-0.7,7.3,0,0
426,2017-03-02,5.0,11.1,-0.1,2.0,0,0
427,2017-03-03,4.6,7.5,0.6,6.2,0,0
428,2017-03-04,6.3,13.1,0.0,10.5,0,0
429,2017-03-05,6.8,12.6,1.1,7.1,0,0
430,2017-03-06,7.7,14.6,3.0,0.3,0,0
431,2017-03-07,1.0,3.7,-0.7,1.0,3,3
432,2017-03-08,1.1,4.1,-1.2,4.1,12,10
433,2017-03-09,3.1,5.4,0.3,0.8,3,2
434,2017-03-10,3.6,8.6,1.1,2.9,0,0
435,2017-03-11,4.1,8.0,0.5,5.5,0,0
436,2017-03-12,4.1,9.2,-1.4,8.9,0,0
437,2017-03-13,7.8,16.5,0.6,7.6,0,0
438,2017-03-14,5.9,8.8,2.0,1.1,0,0
439,2017-03-15,3.9,7.3,1.1,1.1,0,0
440,2017-03-16,5.2,8.6,3.2,3.5,0,0
441,2017-03-17,5.7,9.8,2.7,7.4,0,0
442,2017-03-18,7.1,12.1,2.7,7.5,0,0
443,2017-03-19,9.1,14.2,4.9,6.9,0,0
444,2017-03-20,7.9,14.4,1.2,9.2,0,0
445,2017-03-21,6.0,7.5,4.7,0.0,0,0
446,2017-03-22,6.2,10.4,2.7,6.8,0,0
447,2017-03-23,6.4,11.3,2.4,3.0,0,0
448,2017-03-24,3.7,8.2,0.5,5.6,0,0
449,2017-03-25,4.3,9.0,-1.0,11.1,0,0
450,2017-03-26,5.7,10.4,0.5,6.4,0,0
451,2017-03-27,5.5,7.4,3.3,0.9,0,0
452,2017-03-28,6.1,10.7,1.5,6.9,0,0
453,2017-03-29,7.8,13.5,1.4,8.6,0,0
454,2017-03-30,10.7,16.4,4.6,8.0,0,0
455,2017-03-31,6.8,7.8,5.8,0.0,0,0
456,2017-04-01,6.1,8.9,1.9,3.2,0,0
457,2017-04-02,5.5,11.0,-0.4,12.0,0,0
458,2017-04-03,8.2,13.8,0.9,5.4,0,0
459,2017-04-04,9.7,15.7,4.8,10.6,0,0
460,2017-04-05,14.0,22.6,3.1,7.3,0,0
461,2017-04-06,16.2,19.5,8.7,1.4,0,0
462,2017-04-07,14.5,19.8,11.0,1.7,0,0
463,2017-04-08,14.7,19.9,10.6,0.1,0,0
464,2017-04-09,9.8,13.2,4.9,0.0,0,0
465,2017-04-10,7.9,12.7,2.3,10.2,0,0
466,2017-04-11,8.8,11.2,4.4,0.0,0,0
467,2017-04-12,9.0,11.8,2.8,2.7,0,0
468,2017-04-13,8.4,14.6,1.2,5.9,0,0
469,2017-04-14,14.7,21.1,3.6,11.0,0,0
470,2017-04-15,15.6,19.3,9.6,1.2,0,0
471,2017-04-16,17.5,24.1,9.4,11.5,0,0
472,2017-04-17,15.7,20.3,10.0,3.1,0,0
473,2017-04-18,13.7,19.2,9.1,1.6,0,0
474,2017-04-19,11.3,16.0,7.2,3.1,0,0
