Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
44,2016-02-14,3.4,8.2,-1.7,0.2,2.52,6.9,989.3,87,992.5,10.0
45,2016-02-15,-5.7,-0.9,-8.6,2.1,8.0,2.4,997.9,57,1001.2,5.5
46,2016-02-16,-5.4,-3.6,-8.4,2.2,7.22,2.7,1003.1,66,1006.5,7.0
47,2016-02-17,-4.4,-3.3,-5.4,0.7,5.98,3.0,1005.9,67,1009.3,9.3
48,2016-02-18,-0.6,1.5,-4.9,1.5,7.25,4.5,1013.7,76,1017.0,10.0
49,2016-02-19,2.5,6.0,-1.4,3.9,9.45,5.3,1014.4,72,1017.7,9.0
50,2016-02-20,1.5,4.4,-1.3,4.8,10.07,3.8,1020.6,57,1023.9,10.0
51,2016-02-21,-0.5,1.9,-2.5,0.1,4.32,4.7,1007.1,80,1010.4,10.0
52,2016-02-22,-2.9,-0.6,-4.8,3.3,9.25,2.9,1022.9,59,1026.3,9.3
53,2016-02-23,-1.9,0.7,-4.8,1.2,5.56,4.2,1016.1,78,1019.5,9.3
54,2016-02-24,-6.8,-4.4,-8.5,1.2,7.48,2.7,1020.2,74,1023.7,10.0
55,2016-02-25,-6.4,-2.3,-10.9,4.0,10.77,2.3,1019.8,60,1023.3,5.8
56,2016-02-26,-5.6,-3.1,-8.5,0.9,6.38,2.7,1018.5,66,1021.9,7.3
57,2016-02-27,-4.7,-1.4,-8.8,5.3,11.26,2.5,1021.1,60,1024.5,8.8
58,2016-02-28,-3.4,-0.9,-7.0,9.6,15.65,2.3,1024.5,49,1027.9,5.0
59,2016-02-29,0.7,6.9,-4.5,1.4,6.69,4.4,1002.0,69,1005.3,9.8
60,2016-03-01,-2.0,2.0,-4.5,0.7,6.44,4.0,1001.1,75,1004.4,9.8
61,2016-03-02,-3.3,0.4,-6.9,4.2,11.6,3.0,1013.4,63,1016.8,8.0
62,2016-03-03,-3.4,-0.1,-5.9,0.1,6.21,3.6,1017.1,76,1020.5,9.0
63,2016-03-04,-2.5,1.1,-6.4,3.9,11.94,3.4,1028.7,67,1032.1,8.3
64,2016-03-05,-0.9,3.0,-6.6,10.3,17.16,3.0,1031.5,54,1034.9,3.5
65,2016-03-06,3.8,6.9,0.1,0.8,8.61,6.4,1017.1,79,1020.4,10.0
66,2016-03-07,4.7,7.6,1.4,5.6,11.63,5.6,1014.2,66,1017.5,9.3
67,2016-03-08,3.1,7.2,-0.2,3.9,11.43,4.5,1007.5,59,1010.8,8.5
68,2016-03-09,-0.6,2.3,-3.0,6.4,13.76,2.9,1013.2,49,1016.5,3.8
69,2016-03-10,-2.0,1.2,-4.9,4.2,9.83,3.5,1015.5,67,1018.9,4.8
70,2016-03-11,-2.4,1.0,-4.9,6.2,12.91,3.2,1014.1,63,1017.4,6.3
71,2016-03-12,-2.0,1.0,-5.5,5.2,11.13,3.1,1019.8,59,1023.2,4.0
72,2016-03-13,-0.7,3.1,-6.6,5.9,12.83,3.8,1020.3,64,1023.7,4.5
73,2016-03-14,2.1,7.5,-2.3,6.4,13.9,4.8,1013.5,69,1016.8,5.0
74,2016-03-15,1.0,3.3,-1.5,7.2,14.14,3.2,1010.9,49,1014.2,6.3
75,2016-03-16,5.4,11.0,-3.1,7.9,17.97,4.3,1008.9,49,1012.1,2.8
76,2016-03-17,7.9,13.4,1.4,10.8,18.17,4.9,1012.6,48,1015.8,0.8
77,2016-03-18,8.4,13.0,5.1,1.6,8.04,6.3,1010.0,58,1013.2,9.5
78,2016-03-19,5.7,10.0,3.2,0.0,2.54,7.5,1004.0,82,1007.2,10.0
79,2016-03-20,1.1,3.3,-1.3,2.0,10.39,4.1,1011.5,62,1014.8,8.3
80,2016-03-21,0.1,3.2,-2.0,6.8,16.17,3.8,1012.3,62,1015.6,4.5
81,2016-03-22,2.4,6.7,-2.7,6.2,14.26,3.4,1006.0,47,1009.3,4.0
82,2016-03-23,1.8,5.1,-1.3,4.3,12.87,4.6,1008.2,68,1011.5,7.0
83,2016-03-24,1.0,4.4,-2.4,4.2,13.65,4.8,1012.3,74,1015.6,9.5
84,2016-03-25,1.0,4.2,-0.8,1.9,10.44,5.1,1012.9,78,1016.2,8.0
85,2016-03-26,3.3,6.3,0.1,7.6,19.13,5.1,1014.7,67,1018.0,5.3
86,2016-03-27,6.5,11.5,-0.1,10.3,20.71,4.6,1012.5,49,1015.7,3.3
87,2016-03-28,5.7,8.2,1.9,10.0,20.89,4.9,1014.7,54,1017.9,3.0
88,2016-03-29,6.4,13.5,0.1,8.7,17.99,4.8,1018.1,51,1021.4,7.5
89,2016-03-30,6.6,9.4,3.3,1.8,10.01,7.2,1011.1,73,1014.4,7.8
90,2016-03-31,5.9,10.3,0.4,9.0,18.31,5.6,1012.2,62,1015.5,4.5
91,2016-04-01,7.0,12.8,2.5,11.5,21.53,5.8,1022.3,61,1025.5,3.8
92,2016-04-02,4.7,7.3,3.5,7.6,17.31,5.2,1023.4,61,1026.7,9.0
93,2016-04-03,7.9,11.8,4.2,0.5,9.11,5.6,1013.9,55,1017.1,10.0
94,2016-04-04,7.0,13.1,3.3,8.4,19.02,4.2,1008.8,43,1012.0,6.8
95,2016-04-05,8.5,15.0,1.7,10.5,22.7,4.2,1004.3,39,1007.5,2.3
96,2016-04-06,9.0,13.2,5.5,10.6,22.03,3.7,1011.6,34,1014.8,1.5
97,2016-04-07,8.2,12.0,3.9,0.7,11.24,5.8,1010.0,54,1013.3,8.0
98,2016-04-08,8.8,14.8,5.2,4.7,13.19,6.4,1002.7,56,1005.9,6.0
99,2016-04-09,6.6,12.9,3.2,9.0,20.91,3.5,1002.6,36,1005.8,7.0
100,2016-04-10,4.3,8.1,1.9,8.6,19.73,3.1,1008.6,38,1011.9,5.0
101,2016-04-11,2.2,5.4,0.1,3.6,11.45,5.0,1009.0,70,1012.3,10.0
102,2016-04-12,6.9,11.0,2.1,9.8,22.08,4.0,1015.0,41,1018.2,8.5
103,2016-04-13,8.1,11.4,5.3,0.5,9.61,6.4,1008.1,59,1011.3,10.0
104,2016-04-14,11.0,15.4,7.5,1.1,10.68,9.6,1002.5,74,1005.7,9.3
105,2016-04-15,4.7,7.8,3.2,0.2,6.71,6.2,1005.6,73,1008.8,10.0
106,2016-04-16,8.0,12.8,2.6,7.6,19.23,5.2,1014.9,50,1018.1,7.5
107,2016-04-17,8.8,11.6,7.1,0.0,2.48,8.5,996.4,75,999.6,10.0
108,2016-04-18,6.8,12.3,2.7,5.4,20.04,7.0,998.9,72,1002.1,9.8
109,2016-04-19,4.4,6.4,2.8,0.0,7.64,6.6,1013.3,80,1016.6,10.0
110,2016-04-20,9.7,16.2,3.8,8.3,21.51,6.1,1014.8,53,1018.1,8.0
111,2016-04-21,13.8,20.9,7.7,11.1,22.93,8.1,1006.1,54,1009.2,5.0
112,2016-04-22,14.1,21.1,9.1,8.7,22.42,8.0,1005.2,50,1008.3,5.8
113,2016-04-23,9.5,14.4,7.0,4.2,13.74,8.3,1004.8,70,1008.0,6.8
114,2016-04-24,9.8,15.3,4.8,10.5,21.68,6.5,1009.5,56,1012.7,1.3
115,2016-04-25,10.3,16.4,5.8,9.7,22.71,6.9,1016.4,57,1019.5,5.3
116,2016-04-26,8.5,14.1,6.0,4.4,16.16,7.1,1015.2,64,1018.4,10.0
117,2016-04-27,8.1,13.0,4.8,13.1,27.49,5.6,1013.9,53,1017.1,0.3
118,2016-04-28,7.6,12.6,3.8,3.8,14.79,6.2,1006.9,60,1010.1,7.5
119,2016-04-29,4.8,5.6,3.3,0.0,4.27,6.8,998.6,79,1001.8,10.0
120,2016-04-30,4.3,6.2,2.2,0.8,8.17,5.2,1005.4,63,1008.6,7.8
121,2016-05-01,6.3,10.6,3.6,9.6,23.32,5.6,1012.5,59,1015.7,7.3
122,2016-05-02,9.9,17.0,1.7,10.0,23.84,6.2,1015.3,53,1018.5,7.5
123,2016-05-03,16.4,24.1,9.6,9.4,22.96,10.7,1007.2,60,1010.3,9.0
124,2016-05-04,13.6,16.6,10.9,1.7,10.8,12.2,996.0,78,999.1,9.8
125,2016-05-05,12.0,15.0,8.9,1.3,7.9,9.4,998.6,68,1001.7,10.0
126,2016-05-06,11.5,15.0,7.5,1.3,12.48,9.7,1010.3,72,1013.5,10.0
127,2016-05-07,12.5,16.3,10.4,2.6,12.26,9.6,997.0,67,1000.1,9.5
128,2016-05-08,15.2,19.3,10.5,10.9,27.37,5.4,1004.8,34,1007.9,2.3
129,2016-05-09,14.1,19.8,8.7,3.7,14.08,6.5,1012.6,42,1015.8,8.0
130,2016-05-10,15.8,20.6,11.8,1.0,12.57,7.3,1011.2,42,1014.3,10.0
131,2016-05-11,11.4,13.6,9.7,0.0,5.8,10.8,1001.0,81,1004.1,10.0
132,2016-05-12,10.4,13.5,9.0,3.1,10.74,9.9,1005.9,79,1009.1,9.3
133,2016-05-13,15.6,24.2,8.0,11.8,27.58,9.1,1012.9,54,1016.0,5.8
134,2016-05-14,14.5,20.6,9.2,12.9,29.49,7.0,1023.8,45,1027.0,5.5
135,2016-05-15,14.7,18.5,11.0,6.9,19.91,4.2,1018.3,26,1021.4,9.3
136,2016-05-16,12.6,15.0,9.8,0.2,7.69,10.3,1007.0,69,1010.2,10.0
137,2016-05-17,16.5,21.9,12.5,10.6,25.33,9.6,1007.6,54,1010.6,6.3
138,2016-05-18,16.0,20.8,12.8,12.6,25.82,10.0,1014.5,56,1017.6,5.5
139,2016-05-19,17.6,24.1,12.2,12.4,23.5,10.1,1018.3,51,1021.5,2.0
140,2016-05-20,19.1,27.6,11.5,12.9,24.01,9.8,1018.0,47,1021.1,0.0
141,2016-05-21,19.9,29.7,12.3,13.3,26.72,9.4,1015.1,43,1018.1,1.0
142,2016-05-22,18.6,27.9,14.3,13.6,28.26,12.7,1012.6,61,1015.7,0.3
143,2016-05-23,17.2,23.5,13.2,9.1,24.83,12.2,1010.6,64,1013.6,9.5
144,2016-05-24,16.9,23.6,13.3,3.8,18.23,10.0,1010.3,55,1013.4,10.0
145,2016-05-25,16.9,19.8,13.8,5.3,15.61,13.6,1004.8,71,1007.9,10.0
146,2016-05-26,19.8,24.7,16.0,0.2,10.8,12.8,1003.1,56,1006.2,10.0
147,2016-05-27,17.3,22.1,13.0,9.8,23.15,9.5,1002.6,47,1005.6,5.0
148,2016-05-28,15.5,23.2,10.5,11.0,26.25,9.6,1002.3,55,1005.3,5.0
149,2016-05-29,14.2,18.8,9.1,13.4,29.88,10.6,1005.6,67,1008.8,3.3
150,2016-05-30,16.2,20.9,13.1,10.5,25.93,10.2,1005.0,57,1008.1,7.3
151,2016-05-31,15.1,19.6,11.8,4.6,17.43,13.1,998.7,77,1001.8,8.3
152,2016-06-01,11.7,17.1,9.1,1.7,10.87,11.0,993.2,80,996.3,9.5
153,2016-06-02,10.8,12.6,8.7,3.2,14.67,8.3,1001.5,64,1004.7,9.3
154,2016-06-03,11.3,12.6,9.6,0.3,4.69,10.4,1006.3,78,1009.5,9.5
155,2016-06-04,13.4,17.9,10.3,0.5,6.19,12.7,1003.9,83,1007.0,10.0
156,2016-06-05,12.2,15.9,10.1,11.3,29.26,9.3,1009.8,66,1012.9,2.3
157,2016-06-06,14.7,22.1,8.4,8.7,24.29,9.5,1013.7,58,1016.8,3.5
158,2016-06-07,18.6,25.1,13.8,11.1,25.01,11.0,1010.9,52,1014.0,9.5
159,2016-06-08,17.2,20.5,14.7,0.1,6.8,14.3,1009.1,73,1012.2,9.8
160,2016-06-09,16.6,19.4,13.8,1.0,6.7,16.1,1007.7,85,1010.8,9.5
161,2016-06-10,14.8,17.7,13.1,3.3,14.51,13.8,1010.0,82,1013.1,8.5
162,2016-06-11,15.2,19.6,13.2,8.8,24.18,12.9,1013.2,75,1016.3,8.5
163,2016-06-12,16.1,19.6,13.1,8.2,22.61,12.7,1009.5,70,1012.7,7.5
164,2016-06-13,16.5,17.5,14.9,0.0,3.95,14.9,1003.0,80,1006.1,10.0
165,2016-06-14,15.9,17.6,14.8,0.6,8.04,13.9,1003.4,77,1006.5,9.3
166,2016-06-15,16.8,20.0,14.9,10.1,26.24,13.3,1007.7,70,1010.8,7.8
167,2016-06-16,15.2,17.6,14.2,0.7,9.32,13.6,1005.1,79,1008.2,10.0
168,2016-06-17,16.1,20.0,14.1,0.3,7.84,16.0,999.5,88,1002.6,10.0
169,2016-06-18,14.0,16.2,12.6,0.4,11.98,13.6,1009.4,86,1012.5,10.0
170,2016-06-19,16.9,21.6,12.7,8.2,24.35,14.0,1010.8,73,1013.9,8.5
171,2016-06-20,17.7,20.8,16.9,0.1,5.47,17.3,1004.2,85,1007.3,10.0
172,2016-06-21,20.3,25.4,16.5,9.9,27.24,16.9,1006.3,72,1009.3,8.5
173,2016-06-22,19.8,24.0,16.7,8.6,25.98,16.7,1007.5,73,1010.6,7.3
174,2016-06-23,19.1,24.0,14.3,6.3,18.93,14.0,1005.5,65,1008.5,7.3
175,2016-06-24,17.9,21.5,14.6,3.1,20.25,13.0,1004.9,64,1008.0,9.5
176,2016-06-25,15.8,18.1,13.5,1.5,8.3,14.8,994.4,82,997.5,9.3
177,2016-06-26,15.8,18.6,13.3,2.0,10.78,14.4,996.3,80,999.4,10.0
178,2016-06-27,16.5,21.8,13.4,8.5,24.49,13.2,1009.9,71,1013.0,5.3
179,2016-06-28,19.5,26.6,14.6,12.3,28.34,14.5,1010.8,65,1013.8,5.0
180,2016-06-29,21.1,28.4,15.6,13.1,28.25,15.4,1011.3,63,1014.3,0.8
181,2016-06-30,21.6,28.2,15.7,13.8,29.58,16.4,1008.9,65,1012.0,1.5
182,2016-07-01,22.1,26.9,17.9,11.7,23.89,17.4,1008.4,66,1011.4,3.5
183,2016-07-02,20.4,23.8,18.4,0.0,5.86,19.6,1001.5,82,1004.6,9.8
184,2016-07-03,21.2,26.1,16.6,5.3,19.26,17.4,997.8,71,1000.8,9.3
185,2016-07-04,16.5,19.1,14.7,7.2,22.75,14.0,1009.6,75,1012.7,7.5
186,2016-07-05,17.7,23.3,13.4,10.0,24.64,14.0,1017.4,70,1020.6,7.5
187,2016-07-06,16.8,20.7,14.6,7.8,22.7,13.1,1012.9,69,1016.0,5.8
188,2016-07-07,18.6,24.7,14.3,13.1,27.42,14.4,1011.3,68,1014.3,7.3
189,2016-07-08,19.5,24.0,14.4,12.1,28.21,16.0,1008.0,71,1011.0,3.0
190,2016-07-09,20.9,24.6,16.3,6.5,18.01,17.9,1002.0,73,1005.1,8.0
191,2016-07-10,18.4,20.8,16.4,0.0,4.83,18.9,999.1,89,1002.1,10.0
192,2016-07-11,17.8,22.1,15.4,7.7,21.94,15.9,1003.2,79,1006.3,8.0
193,2016-07-12,19.6,24.1,16.2,12.6,29.83,16.6,1003.4,74,1006.5,8.0
194,2016-07-13,21.8,28.3,18.4,10.1,26.18,18.2,1000.1,70,1003.1,5.5
195,2016-07-14,21.2,26.4,18.2,6.9,21.77,16.3,998.0,65,1001.0,7.8
196,2016-07-15,21.6,26.8,18.4,8.7,24.27,17.6,999.8,69,1002.8,7.8
197,2016-07-16,21.9,27.0,19.0,9.1,22.75,19.0,1004.0,73,1007.0,10.0
198,2016-07-17,20.1,21.9,18.3,0.4,8.76,17.8,1004.5,76,1007.5,9.0
199,2016-07-18,22.0,25.6,18.8,1.6,15.47,19.0,1004.5,72,1007.5,9.3
200,2016-07-19,19.9,21.4,18.2,0.1,6.2,20.3,1006.1,87,1009.1,10.0
201,2016-07-20,20.8,25.0,17.9,7.7,21.71,18.6,1010.7,77,1013.8,6.5
202,2016-07-21,21.2,27.6,17.5,7.3,21.49,18.1,1012.0,73,1015.0,9.0
203,2016-07-22,20.7,25.5,17.6,8.7,23.74,17.6,1012.6,73,1015.6,6.3
204,2016-07-23,20.7,26.9,16.9,12.9,27.7,16.6,1013.7,69,1016.7,3.3
205,2016-07-24,20.6,26.5,16.9,13.5,28.89,16.2,1013.7,68,1016.8,0.0
206,2016-07-25,21.1,25.8,17.5,12.3,26.51,17.8,1011.9,71,1014.9,7.0
207,2016-07-26,22.1,26.8,17.5,10.1,24.69,18.7,1008.6,71,1011.6,6.0
208,2016-07-27,20.6,21.6,19.4,0.0,3.42,20.8,1006.4,86,1009.4,10.0
209,2016-07-28,22.8,25.5,20.6,0.3,5.74,24.1,1004.7,87,1007.7,10.0
210,2016-07-29,23.2,26.5,21.3,0.0,5.01,24.9,1007.8,88,1010.8,10.0
211,2016-07-30,24.6,28.5,22.6,1.9,10.77,24.2,1008.5,78,1011.5,8.0
212,2016-07-31,25.4,30.5,21.6,5.5,16.33,24.7,1009.6,76,1012.6,4.8
213,2016-08-01,26.5,31.2,23.5,5.9,18.35,25.4,1008.6,74,1011.6,7.8
214,2016-08-02,25.1,29.3,22.4,9.2,24.21,25.8,1005.6,82,1008.6,9.3
215,2016-08-03,25.0,30.0,23.0,3.3,15.47,25.3,1004.9,80,1007.9,9.3
216,2016-08-04,24.9,29.6,22.1,7.2,18.94,23.1,1003.8,74,1006.8,6.8
217,2016-08-05,23.5,27.0,19.9,7.5,18.53,19.7,1004.4,68,1007.4,6.5
218,2016-08-06,23.2,29.8,18.2,12.7,25.42,17.8,1007.1,63,1010.1,3.0
219,2016-08-07,25.9,31.7,19.9,13.3,25.01,22.3,1006.8,67,1009.8,0.5
220,2016-08-08,26.5,30.4,23.0,11.0,23.82,25.0,1004.6,73,1007.5,7.0
221,2016-08-09,23.0,26.3,19.7,8.2,19.93,19.4,999.9,70,1002.9,7.5
222,2016-08-10,22.3,25.7,20.0,10.9,24.81,18.2,1005.0,68,1008.0,3.3
223,2016-08-11,23.4,29.0,18.4,11.1,23.83,18.8,1008.1,66,1011.1,3.3
224,2016-08-12,24.1,30.0,19.4,10.0,21.37,20.6,1007.0,69,1010.0,1.8
225,2016-08-13,24.2,30.1,20.1,12.9,24.96,17.8,1006.0,60,1009.0,0.0
226,2016-08-14,24.4,28.9,19.5,12.9,26.92,19.4,1004.2,64,1007.2,4.8
227,2016-08-15,24.8,29.2,22.5,4.3,18.05,22.4,999.0,72,1001.9,9.5
228,2016-08-16,24.2,27.1,21.7,1.4,11.91,23.8,1002.6,79,1005.6,9.3
229,2016-08-17,22.2,23.3,20.9,0.0,1.81,24.6,999.1,92,1002.1,10.0
230,2016-08-18,24.5,29.3,20.5,6.8,17.54,22.7,1004.9,75,1007.9,9.0
231,2016-08-19,24.3,27.5,21.3,0.2,10.53,23.8,1007.7,78,1010.7,10.0
232,2016-08-20,23.4,26.6,22.0,0.2,5.91,25.4,1008.4,89,1011.4,10.0
233,2016-08-21,24.7,29.0,22.1,4.6,16.27,26.6,1004.3,86,1007.3,9.3
234,2016-08-22,23.9,24.9,22.6,0.0,4.0,26.5,1001.9,90,1004.9,10.0
235,2016-08-23,22.7,26.3,20.1,3.7,11.9,22.9,1000.5,83,1003.5,6.5
236,2016-08-24,23.1,28.6,18.2,10.9,23.55,19.3,1007.1,69,1010.1,3.5
237,2016-08-25,23.7,29.1,18.7,11.9,23.71,21.4,1002.7,73,1005.7,4.0
238,2016-08-26,20.5,24.7,17.3,0.1,3.38,17.3,1002.2,72,1005.2,10.0
239,2016-08-27,20.3,24.3,15.4,12.5,24.87,13.7,1007.7,59,1010.7,0.5
240,2016-08-28,20.5,26.0,15.1,10.3,22.64,14.6,1006.0,61,1009.1,4.0
241,2016-08-29,25.8,31.9,19.4,11.6,23.09,21.0,1000.8,64,1003.7,7.5
242,2016-08-30,27.1,31.0,23.7,5.4,16.38,24.2,994.7,68,997.6,5.5
243,2016-08-31,24.1,28.2,21.7,5.3,14.88,22.9,998.4,77,1001.4,6.8
244,2016-09-01,25.8,31.1,21.7,9.0,20.19,21.8,1006.6,67,1009.6,4.3
245,2016-09-02,24.2,30.3,20.8,4.0,15.04,22.7,1012.7,76,1015.8,9.5
246,2016-09-03,23.5,26.3,21.8,5.1,15.13,21.5,1015.2,74,1018.2,10.0
247,2016-09-04,22.8,26.3,21.2,4.1,14.23,19.5,1015.4,71,1018.4,10.0
248,2016-09-05,23.7,27.8,20.7,8.8,20.69,21.6,1010.8,74,1013.9,8.3
249,2016-09-06,23.3,25.1,22.0,0.0,4.23,24.8,1001.8,87,1004.8,9.3
250,2016-09-07,22.6,27.7,19.5,5.2,14.86,20.7,1003.3,76,1006.3,7.8
251,2016-09-08,18.5,21.1,15.2,0.4,7.8,16.3,1006.5,77,1009.6,10.0
252,2016-09-09,17.9,21.1,14.3,0.0,8.5,16.8,1002.8,83,1005.9,10.0
253,2016-09-10,18.6,22.3,16.3,1.3,9.4,18.1,1006.7,85,1009.8,9.5
254,2016-09-11,18.3,21.9,15.7,8.2,19.96,14.7,1015.9,71,1019.0,7.3
255,2016-09-12,18.2,22.5,14.3,8.4,17.92,13.5,1019.8,65,1022.9,8.0
256,2016-09-13,18.9,21.7,17.2,1.3,9.65,15.3,1018.4,70,1021.5,9.8
257,2016-09-14,19.3,22.7,16.7,3.2,12.36,16.0,1014.7,71,1017.8,10.0
258,2016-09-15,19.8,24.3,16.7,5.4,13.0,18.0,1012.6,79,1015.7,5.8
259,2016-09-16,21.0,26.6,15.4,8.6,17.02,16.6,1011.3,68,1014.4,3.3
260,2016-09-17,18.1,21.8,14.1,3.6,11.74,15.5,1009.8,75,1012.9,8.3
261,2016-09-18,15.3,18.2,12.5,0.2,6.93,12.8,1010.2,74,1013.3,7.3
262,2016-09-19,14.9,19.1,11.6,4.9,12.63,11.8,1009.6,71,1012.7,7.5
263,2016-09-20,16.1,22.0,9.5,7.7,15.77,10.6,1012.7,60,1015.9,9.0
264,2016-09-21,16.3,21.6,11.8,11.4,19.95,10.1,1019.6,57,1022.7,0.3
265,2016-09-22,16.4,20.1,11.3,3.1,9.08,13.1,1019.8,70,1022.9,7.3
266,2016-09-23,16.3,17.8,15.2,0.0,4.21,16.3,1013.7,88,1016.8,10.0
267,2016-09-24,18.6,24.2,13.2,7.5,15.2,16.4,1014.8,78,1017.9,8.0
268,2016-09-25,20.9,26.6,16.2,10.0,17.81,15.9,1013.3,66,1016.4,8.3
269,2016-09-26,20.3,25.8,15.2,10.8,17.35,14.7,1015.5,63,1018.6,3.5
270,2016-09-27,19.9,26.4,14.4,6.8,14.43,13.5,1013.1,59,1016.1,7.3
271,2016-09-28,19.0,23.1,15.6,0.9,5.81,18.0,1006.5,82,1009.5,10.0
272,2016-09-29,16.1,19.3,13.5,4.9,12.83,11.9,1009.1,66,1012.2,5.3
273,2016-09-30,16.6,22.5,9.5,10.2,17.72,10.8,1011.4,58,1014.5,5.8
274,2016-10-01,17.6,23.4,12.8,10.4,17.15,12.0,1014.3,61,1017.4,1.3
275,2016-10-02,18.4,24.7,12.1,8.9,15.93,13.1,1013.4,63,1016.5,4.8
276,2016-10-03,18.1,21.3,15.3,0.0,2.34,16.5,1004.0,79,1007.1,9.3
277,2016-10-04,15.5,20.5,12.2,7.3,15.02,8.9,1006.3,49,1009.4,6.8
