Unnamed: 0,calendar_date,avg_temperature,avg_vapor_pressure,avg_local_pressure,avg_humidity
272,2016-09-29,5.0,8.6,647.1,98
273,2016-09-30,3.8,4.3,648.8,52
274,2016-10-01,5.3,8.9,650.3,100
275,2016-10-02,5.6,8.4,652.8,92
276,2016-10-03,4.1,7.8,649.3,95
277,2016-10-04,6.4,1.1,651.2,12
278,2016-10-05,5.5,4.5,649.0,50
279,2016-10-06,2.6,2.6,647.6,36
280,2016-10-07,0.8,1.6,650.6,24
281,2016-10-08,2.5,7.2,645.8,97
282,2016-10-09,1.8,4.0,641.7,53
283,2016-10-10,-0.8,0.8,643.4,14
284,2016-10-11,-2.2,2.1,643.6,40
285,2016-10-12,-4.9,1.3,642.1,30
286,2016-10-13,-6.4,0.8,643.0,22
287,2016-10-14,-5.2,0.9,646.0,22
288,2016-10-15,-4.0,0.8,648.8,17
289,2016-10-16,-0.5,0.3,650.4,6
290,2016-10-17,1.0,4.1,648.0,66
291,2016-10-18,2.0,0.9,647.8,13
292,2016-10-19,0.2,1.5,646.4,26
293,2016-10-20,-0.9,1.2,645.2,21
294,2016-10-21,-1.5,0.9,645.4,16
295,2016-10-22,-2.4,3.3,642.9,63
296,2016-10-23,-2.6,4.0,638.8,77
297,2016-10-24,-5.2,1.2,639.8,30
298,2016-10-25,-2.5,4.2,642.5,77
299,2016-10-26,-2.9,4.2,645.3,84
300,2016-10-27,-3.3,1.7,645.2,37
301,2016-10-28,-1.0,4.2,643.1,67
302,2016-10-29,-1.5,4.2,641.0,77
303,2016-10-30,-7.8,3.2,644.0,90
304,2016-10-31,-7.1,1.0,644.5,29
305,2016-11-01,-5.8,3.1,640.9,74
306,2016-11-02,-8.5,1.5,640.5,45
307,2016-11-03,-10.8,1.7,635.2,65
308,2016-11-04,-7.2,1.1,637.1,32
309,2016-11-05,-6.4,1.3,639.4,35
310,2016-11-06,-3.8,0.9,642.3,20
311,2016-11-07,-3.3,1.1,644.8,22
312,2016-11-08,-6.7,2.4,638.8,65
313,2016-11-09,-12.5,1.2,633.7,49
314,2016-11-10,-9.8,1.2,639.5,42
315,2016-11-11,-6.2,2.6,639.5,66
316,2016-11-12,-6.4,1.2,643.8,33
317,2016-11-13,-6.6,1.8,646.3,48
318,2016-11-14,-5.1,3.4,644.4,76
319,2016-11-15,-5.1,4.0,638.3,90
320,2016-11-16,-10.1,1.4,638.6,49
321,2016-11-17,-10.0,1.6,639.7,54
322,2016-11-18,-8.7,0.8,643.9,25
323,2016-11-19,-4.4,4.3,640.0,97
324,2016-11-20,-6.1,2.3,642.5,59
325,2016-11-21,-6.2,2.7,643.1,68
326,2016-11-22,-6.1,3.5,637.9,89
327,2016-11-23,-10.1,2.3,635.0,79
328,2016-11-24,-13.2,2.0,631.4,89
329,2016-11-25,-16.3,1.1,634.1,66
330,2016-11-26,-11.0,1.2,639.4,46
331,2016-11-27,-4.7,4.2,637.3,96
332,2016-11-28,-13.0,1.7,633.3,74
333,2016-11-29,-13.8,1.0,637.4,46
334,2016-11-30,-11.5,1.4,642.5,51
335,2016-12-01,-9.4,2.9,638.7,92
336,2016-12-02,-12.5,1.3,638.7,56
337,2016-12-03,-10.5,1.0,643.3,37
338,2016-12-04,-9.0,1.8,640.4,51
339,2016-12-05,-9.2,2.1,635.9,66
340,2016-12-06,-13.1,1.2,630.8,53
341,2016-12-07,-15.5,0.8,631.0,43
342,2016-12-08,-16.0,0.6,631.3,37
343,2016-12-09,-15.8,1.3,629.0,74
344,2016-12-10,-18.5,0.6,628.5,42
345,2016-12-11,-18.7,0.4,629.8,32
346,2016-12-12,-12.8,0.4,636.6,19
347,2016-12-13,-8.6,3.0,634.8,93
348,2016-12-14,-11.4,2.6,624.9,90
349,2016-12-15,-21.2,0.9,624.3,81
350,2016-12-16,-22.7,0.8,622.8,80
351,2016-12-17,-18.1,1.1,632.0,73
352,2016-12-18,-12.8,1.0,641.1,45
353,2016-12-19,-13.2,0.9,641.1,41
354,2016-12-20,-11.2,2.0,641.7,76
355,2016-12-21,-8.8,0.6,647.1,20
356,2016-12-22,-5.7,3.5,638.3,77
357,2016-12-23,-13.7,2.1,624.9,89
358,2016-12-24,-19.7,0.9,630.5,71
359,2016-12-25,-16.4,1.0,639.0,58
360,2016-12-26,-12.9,1.8,638.5,74
361,2016-12-27,-9.0,3.0,626.6,93
362,2016-12-28,-19.0,0.8,628.7,62
363,2016-12-29,-18.8,1.0,629.7,73
364,2016-12-30,-18.8,0.7,631.2,50
365,2016-12-31,-16.7,0.9,635.1,53
366,2017-01-01,-15.7,0.8,635.4,44
367,2017-01-02,-14.3,0.9,633.4,45
368,2017-01-03,-16.8,0.7,629.5,46
369,2017-01-04,-15.7,0.8,628.2,45
370,2017-01-05,-19.2,0.4,627.4,33
371,2017-01-06,-16.3,0.3,632.5,16
372,2017-01-07,-14.9,0.7,634.7,33
373,2017-01-08,-11.4,1.9,629.9,72
374,2017-01-09,-14.4,1.8,623.1,88
375,2017-01-10,-18.6,0.7,624.4,52
376,2017-01-11,-19.5,0.5,622.5,39
377,2017-01-12,-21.5,0.6,618.5,60
378,2017-01-13,-23.5,0.8,615.1,80
379,2017-01-14,-28.5,0.5,610.1,76
380,2017-01-15,-30.9,0.4,611.7,74
381,2017-01-16,-27.6,0.5,617.2,77
382,2017-01-17,-23.2,0.8,628.4,80
383,2017-01-18,-19.9,1.1,633.7,83
384,2017-01-19,-17.7,1.0,630.3,64
385,2017-01-20,-20.2,1.0,621.5,79
386,2017-01-21,-21.9,0.7,624.8,69
387,2017-01-22,-22.2,0.7,622.3,69
388,2017-01-23,-27.3,0.4,617.9,70
389,2017-01-24,-28.2,0.3,621.2,56
390,2017-01-25,-25.4,0.3,628.5,39
391,2017-01-26,-19.6,0.2,633.8,17
392,2017-01-27,-16.4,0.7,631.9,45
393,2017-01-28,-14.4,0.5,635.9,23
394,2017-01-29,-11.3,1.7,635.8,57
395,2017-01-30,-12.3,2.3,625.9,90
396,2017-01-31,-17.1,0.8,629.0,55
397,2017-02-01,-17.8,0.9,625.7,56
398,2017-02-02,-22.9,0.5,619.8,54
399,2017-02-03,-17.6,0.6,626.8,39
400,2017-02-04,-14.0,0.4,632.8,18
401,2017-02-05,-11.3,2.4,629.3,91
402,2017-02-06,-19.9,1.1,617.4,83
403,2017-02-07,-22.6,0.4,619.5,43
404,2017-02-08,-17.2,0.9,624.4,51
405,2017-02-09,-16.0,1.6,619.1,86
406,2017-02-10,-25.0,0.7,612.3,79
407,2017-02-11,-28.2,0.5,615.3,76
408,2017-02-12,-26.4,0.5,622.9,77
409,2017-02-13,-23.2,0.6,627.8,59
410,2017-02-14,-24.3,0.5,627.8,65
411,2017-02-15,-19.9,0.3,632.1,27
412,2017-02-16,-12.3,0.4,637.6,16
413,2017-02-17,-11.7,2.2,630.5,83
414,2017-02-18,-18.4,1.2,626.4,84
415,2017-02-19,-19.9,0.6,625.2,51
416,2017-02-20,-12.3,2.3,620.3,89
417,2017-02-21,-22.9,0.7,622.4,71
418,2017-02-22,-12.0,1.1,634.5,42
419,2017-02-23,-9.3,2.9,626.3,93
420,2017-02-24,-18.7,1.0,624.8,73
421,2017-02-25,-20.2,0.7,627.0,53
422,2017-02-26,-18.2,0.6,629.4,41
423,2017-02-27,-17.7,0.4,632.4,27
424,2017-02-28,-17.4,0.4,633.2,23
425,2017-03-01,-15.0,1.0,632.6,47
426,2017-03-02,-14.7,1.8,625.1,87
427,2017-03-03,-17.5,0.9,625.9,60
428,2017-03-04,-17.0,0.9,630.8,56
429,2017-03-05,-16.6,1.2,629.9,72
430,2017-03-06,-12.8,1.9,625.3,80
431,2017-03-07,-20.3,0.6,617.0,52
432,2017-03-08,-24.6,0.6,616.8,70
433,2017-03-09,-20.9,0.7,620.1,57
434,2017-03-10,-20.4,0.7,623.3,63
435,2017-03-11,-17.2,0.2,628.9,13
436,2017-03-12,-15.1,0.4,633.4,20
437,2017-03-13,-17.0,1.1,630.6,66
438,2017-03-14,-14.8,1.7,625.5,88
439,2017-03-15,-21.1,0.9,620.9,82
440,2017-03-16,-20.1,1.0,627.5,82
441,2017-03-17,-19.2,0.8,629.6,61
442,2017-03-18,-16.0,0.8,632.7,47
443,2017-03-19,-16.4,0.9,633.6,54
444,2017-03-20,-14.5,0.6,634.9,30
445,2017-03-21,-12.3,2.2,626.7,89
446,2017-03-22,-19.5,0.8,625.7,61
447,2017-03-23,-16.7,0.5,628.8,30
448,2017-03-24,-19.7,0.5,626.6,42
449,2017-03-25,-17.6,0.6,630.2,34
450,2017-03-26,-14.0,1.8,630.3,88
451,2017-03-27,-18.0,1.3,624.9,85
452,2017-03-28,-20.1,1.0,629.0,83
453,2017-03-29,-17.8,0.8,633.2,55
454,2017-03-30,-13.6,1.0,634.8,45
455,2017-03-31,-12.1,1.7,632.2,69
456,2017-04-01,-13.0,2.0,627.8,89
457,2017-04-02,-18.8,1.2,627.3,84
458,2017-04-03,-18.8,1.2,629.5,84
459,2017-04-04,-14.1,0.7,636.7,38
460,2017-04-05,-9.8,0.8,644.0,27
461,2017-04-06,-8.9,2.5,642.0,78
462,2017-04-07,-4.1,4.4,640.7,97
463,2017-04-08,-0.5,5.9,641.2,100
464,2017-04-09,-2.9,5.0,635.6,99
465,2017-04-10,-12.3,2.0,637.5,86
466,2017-04-11,-4.5,4.3,630.4,98
467,2017-04-12,-10.6,2.2,629.0,79
468,2017-04-13,-15.4,1.4,631.0,74
469,2017-04-14,-12.9,1.6,637.7,70
470,2017-04-15,-11.2,2.3,636.1,87
471,2017-04-16,-10.1,1.9,639.9,65
472,2017-04-17,-6.6,3.1,638.1,79
473,2017-04-18,-5.1,3.9,628.3,86
474,2017-04-19,-10.3,2.0,626.0,72
475,2017-04-20,-7.4,2.4,635.6,71
476,2017-04-21,-8.3,3.0,632.9,90
477,2017-04-22,-11.5,2.1,630.8,80
478,2017-04-23,-10.8,0.8,635.5,31
479,2017-04-24,-8.4,1.3,644.0,39
480,2017-04-25,-9.8,1.5,644.3,51
481,2017-04-26,-8.9,2.9,637.0,90
482,2017-04-27,-10.3,2.5,629.8,85
483,2017-04-28,-13.3,1.5,629.8,67
484,2017-04-29,-11.7,1.9,630.8,78
485,2017-04-30,-6.6,1.9,637.8,52
486,2017-05-01,-8.2,2.8,637.9,81
487,2017-05-02,-5.5,0.6,643.9,14
488,2017-05-03,-2.6,0.8,649.1,16
489,2017-05-04,-4.6,1.7,646.2,39
490,2017-05-05,-2.6,2.8,643.9,60
491,2017-05-06,-0.8,5.6,641.7,97
492,2017-05-07,-7.3,1.7,636.4,49
493,2017-05-08,-4.9,1.6,638.9,37
494,2017-05-09,-3.7,2.1,643.6,46
495,2017-05-10,-2.2,4.6,639.0,88
496,2017-05-11,-5.4,4.0,637.7,97
497,2017-05-12,-3.9,2.5,642.8,56
498,2017-05-13,-1.5,5.2,638.3,92
499,2017-05-14,-2.6,1.9,639.9,38
500,2017-05-15,-6.7,2.5,636.6,69
501,2017-05-16,-6.4,1.7,635.9,45
502,2017-05-17,-5.4,2.5,636.6,63
503,2017-05-18,-7.2,3.4,639.8,95
504,2017-05-19,-3.2,1.6,643.9,34
505,2017-05-20,1.0,2.6,647.2,40
506,2017-05-21,2.3,2.4,649.4,34
507,2017-05-22,1.8,3.3,647.9,47
508,2017-05-23,1.1,1.9,645.1,28
509,2017-05-24,-1.1,5.3,641.2,93
510,2017-05-25,-0.5,5.9,638.7,100
511,2017-05-26,-1.0,5.7,637.1,100
512,2017-05-27,-3.9,2.3,638.1,49
513,2017-05-28,-2.4,1.5,641.0,29
514,2017-05-29,2.6,1.9,645.3,24
515,2017-05-30,2.4,3.3,646.3,45
516,2017-05-31,1.1,3.1,642.8,47
