Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
63,2016-03-04,-3.5,1.6,-10.9,0.0,10.7,7,0,2.2
64,2016-03-05,-2.1,1.8,-8.1,0.0,10.6,3,0,2.3
65,2016-03-06,4.2,8.4,-0.3,15.0,0.0,1,2,4.7
66,2016-03-07,5.0,8.8,2.0,2.0,7.0,1,1,2.5
67,2016-03-08,3.4,6.4,0.3,0.5,0.5,0,0,2.8
68,2016-03-09,-0.1,3.0,-4.1,0.0,9.3,0,0,3.7
69,2016-03-10,-2.6,1.4,-6.8,0.0,8.6,1,1,2.1
70,2016-03-11,-2.4,2.0,-6.3,0.0,9.3,1,1,2.7
71,2016-03-12,-2.7,1.9,-7.8,0.0,11.1,1,1,2.2
72,2016-03-13,0.2,4.0,-5.5,0.5,6.6,1,1,2.6
73,2016-03-14,2.1,6.7,-2.4,0.0,9.2,0,0,1.7
74,2016-03-15,1.6,4.8,-0.5,0.0,10.1,0,0,4.2
75,2016-03-16,3.0,9.0,-4.2,0.0,7.6,0,0,2.0
76,2016-03-17,4.8,11.9,-0.9,0.0,10.6,0,0,2.0
77,2016-03-18,7.3,13.2,1.3,0.0,4.5,0,0,2.0
78,2016-03-19,6.2,9.1,3.7,15.5,0.0,1,2,1.7
79,2016-03-20,2.5,5.8,-1.8,0.0,10.6,0,0,4.3
80,2016-03-21,-0.1,4.5,-4.1,0.0,9.6,0,0,2.7
81,2016-03-22,0.1,5.7,-5.3,0.0,9.7,0,0,1.8
82,2016-03-23,1.8,5.6,-3.3,0.0,8.1,1,1,2.5
83,2016-03-24,0.3,4.6,-4.6,0.0,11.4,1,2,2.3
84,2016-03-25,0.9,5.0,-3.9,0.0,10.3,0,0,3.1
85,2016-03-26,1.7,6.9,-3.5,0.0,9.9,0,0,2.8
86,2016-03-27,3.8,8.1,-1.9,0.0,9.2,0,0,2.1
87,2016-03-28,5.0,9.6,0.4,0.0,7.8,0,0,2.2
88,2016-03-29,3.6,7.6,-2.3,0.0,9.2,0,0,2.3
89,2016-03-30,7.0,10.8,2.1,3.0,2.1,0,0,3.4
90,2016-03-31,4.6,8.9,-0.8,0.0,10.8,0,0,2.8
91,2016-04-01,3.2,8.0,-0.4,0.0,11.4,0,0,2.4
92,2016-04-02,3.4,5.6,-0.1,0.0,4.8,0,0,4.3
93,2016-04-03,6.4,8.2,3.7,12.0,0.0,0,0,2.7
94,2016-04-04,4.6,8.6,-1.1,0.0,3.8,0,0,2.0
95,2016-04-05,5.0,9.7,-2.7,0.0,9.3,1,1,2.3
96,2016-04-06,5.9,9.7,0.5,0.0,11.4,0,0,3.3
97,2016-04-07,6.8,12.4,-0.3,11.0,0.2,0,0,3.4
98,2016-04-08,6.3,8.5,2.8,4.0,0.5,0,0,1.5
99,2016-04-09,4.8,11.4,-1.1,0.0,9.0,0,0,3.5
100,2016-04-10,4.7,9.1,1.0,0.0,9.6,0,0,2.8
101,2016-04-11,2.6,7.8,0.0,0.0,7.6,0,0,3.7
102,2016-04-12,4.2,8.6,-0.5,0.5,9.8,4,4,3.0
103,2016-04-13,7.6,11.6,1.7,6.0,0.0,1,2,2.1
104,2016-04-14,9.4,13.7,6.5,4.0,3.3,1,3,1.8
105,2016-04-15,5.8,8.6,3.8,1.5,5.6,1,0,6.2
106,2016-04-16,6.0,8.9,2.4,0.0,8.9,1,1,3.4
107,2016-04-17,9.2,14.1,6.1,11.0,0.0,1,3,4.8
108,2016-04-18,7.2,8.9,5.0,0.0,1.4,1,2,4.2
109,2016-04-19,5.3,7.6,2.0,0.0,2.4,1,1,1.7
110,2016-04-20,6.0,10.2,-0.3,0.0,8.7,1,3,1.9
111,2016-04-21,10.3,13.8,4.9,0.0,8.8,1,2,1.6
112,2016-04-22,10.2,14.9,5.1,0.0,10.0,1,1,2.1
113,2016-04-23,9.0,11.8,4.6,3.0,3.5,1,2,3.7
114,2016-04-24,7.7,13.6,3.2,0.0,8.4,1,2,2.2
115,2016-04-25,8.1,13.3,1.7,0.0,11.3,1,2,2.4
116,2016-04-26,7.7,10.4,5.6,0.0,6.8,1,2,2.5
117,2016-04-27,4.8,7.8,1.4,0.0,8.8,1,2,2.2
118,2016-04-28,6.3,11.2,1.0,12.0,5.2,1,1,3.8
119,2016-04-29,4.8,7.0,2.3,11.5,0.0,1,1,3.0
120,2016-04-30,4.4,8.5,1.0,0.0,9.1,0,0,5.1
121,2016-05-01,5.5,10.6,0.9,0.0,9.7,1,1,2.6
122,2016-05-02,6.5,10.6,-0.4,0.0,11.1,1,2,2.1
123,2016-05-03,13.8,17.9,8.2,0.0,10.2,1,2,2.8
124,2016-05-04,12.6,15.4,9.5,13.5,0.6,1,3,3.4
125,2016-05-05,9.8,12.0,8.0,0.0,1.2,1,3,2.5
126,2016-05-06,10.7,15.1,6.3,0.0,7.9,1,4,2.3
127,2016-05-07,11.0,14.1,8.1,6.0,3.3,1,2,4.0
128,2016-05-08,11.5,17.6,6.8,0.0,11.6,0,0,4.3
129,2016-05-09,10.3,15.3,4.1,0.0,7.9,0,0,1.7
130,2016-05-10,11.3,14.3,6.9,1.5,1.5,0,0,1.6
131,2016-05-11,10.7,14.2,8.3,14.5,0.0,0,0,1.8
132,2016-05-12,9.8,13.0,7.1,3.5,3.1,0,0,3.2
133,2016-05-13,12.5,20.0,5.0,0.0,12.3,0,0,2.1
134,2016-05-14,12.4,16.2,6.8,0.0,11.5,0,0,2.3
135,2016-05-15,11.3,15.3,5.3,0.0,10.5,0,0,3.5
136,2016-05-16,13.8,18.4,7.5,0.0,5.4,0,0,6.6
137,2016-05-17,12.2,15.6,7.8,23.5,7.9,0,0,2.2
138,2016-05-18,12.9,18.7,6.9,0.0,12.6,0,0,2.2
139,2016-05-19,12.8,16.4,8.3,0.0,12.2,0,0,1.9
140,2016-05-20,13.0,18.2,7.8,0.0,12.7,0,0,1.9
141,2016-05-21,13.5,19.2,7.3,0.0,13.0,0,0,1.8
142,2016-05-22,14.1,18.5,8.9,0.0,13.4,0,0,1.8
143,2016-05-23,15.3,21.9,9.0,0.0,9.8,0,0,1.9
144,2016-05-24,14.9,18.6,11.4,0.0,6.8,0,0,2.9
145,2016-05-25,15.9,19.4,12.7,4.0,0.9,0,0,2.6
146,2016-05-26,16.5,19.1,13.7,0.0,0.2,0,0,1.3
147,2016-05-27,14.5,19.5,9.9,1.0,10.4,0,0,1.9
148,2016-05-28,14.5,19.2,7.7,0.5,9.5,0,0,2.6
149,2016-05-29,13.7,18.4,8.4,0.0,13.2,0,0,2.4
150,2016-05-30,12.7,15.1,9.7,0.0,10.7,0,0,3.0
151,2016-05-31,15.0,17.6,10.7,21.0,0.0,0,0,3.6
152,2016-06-01,10.8,13.3,7.4,1.0,0.0,0,0,2.1
153,2016-06-02,10.6,16.0,6.4,0.0,6.0,0,0,3.7
154,2016-06-03,11.2,13.9,7.4,0.0,3.3,0,0,2.1
155,2016-06-04,11.8,12.9,10.6,19.5,0.0,0,0,1.0
156,2016-06-05,11.2,14.7,7.2,0.0,10.0,0,0,2.5
157,2016-06-06,12.3,17.2,7.2,0.0,11.7,0,0,2.1
158,2016-06-07,15.1,20.7,9.7,0.0,12.0,0,0,1.8
159,2016-06-08,16.2,20.0,11.5,4.5,4.3,0,0,2.7
160,2016-06-09,15.6,18.4,12.8,35.5,0.0,0,0,1.3
161,2016-06-10,17.3,21.9,12.8,0.0,14.2,0,0,3.3
162,2016-06-11,15.7,20.3,12.6,0.0,13.8,0,0,3.1
163,2016-06-12,14.7,19.4,12.7,0.0,3.6,0,0,3.5
164,2016-06-13,17.2,19.4,13.8,0.0,0.0,0,0,4.5
165,2016-06-14,14.5,16.3,12.6,0.0,0.0,0,0,3.6
166,2016-06-15,15.1,18.3,11.8,0.0,5.7,0,0,3.0
167,2016-06-16,14.9,16.5,13.5,13.5,0.0,0,0,3.2
168,2016-06-17,16.1,17.1,14.2,63.5,0.0,0,0,4.3
169,2016-06-18,14.7,18.0,12.6,3.0,4.2,0,0,1.5
170,2016-06-19,14.4,17.1,12.6,0.0,2.0,0,0,2.3
171,2016-06-20,17.6,19.2,15.7,64.5,0.0,0,0,4.4
172,2016-06-21,16.4,19.0,14.2,2.0,6.9,0,0,2.2
173,2016-06-22,14.8,18.3,13.1,0.0,5.5,0,0,2.1
174,2016-06-23,15.9,19.5,13.0,0.0,6.1,0,0,1.9
175,2016-06-24,14.2,16.6,12.9,0.0,8.9,0,0,2.2
176,2016-06-25,17.1,20.4,13.8,9.0,1.0,0,0,3.8
177,2016-06-26,14.9,20.0,12.6,0.5,0.2,0,0,2.6
178,2016-06-27,15.8,19.8,12.5,0.0,12.6,0,0,2.4
179,2016-06-28,16.9,21.8,11.7,0.0,13.7,0,0,1.6
180,2016-06-29,14.8,16.6,12.7,0.0,6.8,0,0,1.8
181,2016-06-30,18.7,23.3,12.2,0.0,11.5,0,0,2.5
182,2016-07-01,18.0,21.3,15.5,0.0,11.4,0,0,2.0
183,2016-07-02,19.5,23.8,17.1,31.5,0.0,0,0,3.4
184,2016-07-03,17.8,22.1,15.5,2.0,4.8,0,0,2.7
185,2016-07-04,17.0,20.5,13.9,0.0,2.7,0,0,2.2
186,2016-07-05,13.6,15.9,11.8,0.0,3.9,0,0,1.9
187,2016-07-06,14.3,16.3,12.0,0.5,0.2,0,0,1.4
188,2016-07-07,15.5,19.4,12.5,0.0,8.4,0,0,1.7
189,2016-07-08,16.0,19.9,11.7,0.0,6.5,0,0,1.5
190,2016-07-09,18.0,22.4,12.9,0.0,4.9,0,0,1.7
191,2016-07-10,19.5,22.8,16.5,0.0,6.5,0,0,1.8
192,2016-07-11,18.8,23.2,16.3,0.0,3.8,0,0,1.9
193,2016-07-12,18.7,22.2,15.8,0.0,12.9,0,0,1.7
194,2016-07-13,18.7,23.5,15.0,0.0,12.7,0,0,2.6
195,2016-07-14,18.7,22.9,15.4,0.0,10.6,0,0,2.5
196,2016-07-15,18.6,23.5,14.6,0.0,9.0,0,0,1.9
197,2016-07-16,18.7,21.0,16.5,0.0,9.6,0,0,1.9
198,2016-07-17,17.5,19.8,16.2,0.0,0.0,0,0,2.2
199,2016-07-18,18.3,21.2,16.5,2.5,0.0,0,0,1.4
200,2016-07-19,16.9,18.0,15.9,14.5,0.0,0,0,1.5
201,2016-07-20,16.3,17.2,15.6,1.5,0.0,0,0,1.3
202,2016-07-21,17.1,20.2,14.0,0.0,4.1,0,0,1.8
203,2016-07-22,16.7,18.5,15.9,0.0,0.1,0,0,1.8
204,2016-07-23,17.4,20.1,15.4,0.0,6.7,0,0,1.9
205,2016-07-24,16.8,19.3,15.0,0.0,1.9,0,0,1.9
206,2016-07-25,17.8,21.1,15.0,0.0,3.7,0,0,2.4
207,2016-07-26,19.6,22.5,16.4,0.0,4.7,0,0,3.0
208,2016-07-27,20.8,23.0,19.4,25.0,0.0,0,0,4.4
209,2016-07-28,20.8,22.1,19.6,110.0,0.0,0,0,2.8
210,2016-07-29,22.4,25.3,20.3,8.0,2.4,0,0,1.8
211,2016-07-30,22.2,25.4,19.4,0.0,1.1,0,0,2.0
212,2016-07-31,23.4,26.6,20.6,1.5,2.8,0,0,2.6
213,2016-08-01,23.6,25.7,21.1,0.0,0.6,0,0,3.0
214,2016-08-02,22.8,25.9,21.1,0.0,9.6,0,0,1.6
215,2016-08-03,21.0,23.1,19.6,0.0,6.9,0,0,1.4
216,2016-08-04,22.8,25.5,20.3,0.0,9.6,0,0,1.4
217,2016-08-05,22.2,27.1,18.4,0.0,3.1,0,0,1.4
218,2016-08-06,21.2,26.6,15.4,0.0,12.6,0,0,2.0
219,2016-08-07,23.4,27.7,17.8,0.0,12.5,0,0,2.7
220,2016-08-08,26.2,29.7,22.3,22.5,10.3,0,0,3.1
221,2016-08-09,24.1,29.1,19.5,0.0,4.5,0,0,2.0
222,2016-08-10,21.1,26.2,17.4,0.0,10.0,0,0,2.0
223,2016-08-11,20.1,23.0,16.3,0.0,11.4,0,0,1.7
224,2016-08-12,20.1,23.1,17.4,0.0,7.1,0,0,1.7
225,2016-08-13,20.6,24.0,16.5,0.0,11.4,0,0,2.6
226,2016-08-14,22.3,27.0,18.5,0.0,8.8,0,0,1.9
227,2016-08-15,22.6,25.2,20.9,0.0,2.6,0,0,2.3
228,2016-08-16,23.0,24.5,21.5,11.5,0.0,0,0,2.7
229,2016-08-17,22.9,25.6,20.7,98.0,0.0,0,0,3.4
230,2016-08-18,23.0,25.5,20.6,0.5,8.9,0,0,1.6
231,2016-08-19,23.0,24.3,21.8,3.0,0.0,0,0,2.4
232,2016-08-20,23.9,25.0,23.0,2.5,0.0,0,0,3.5
233,2016-08-21,23.7,28.9,21.3,28.0,1.7,0,0,1.6
234,2016-08-22,22.9,25.3,21.5,12.0,0.0,0,0,1.6
235,2016-08-23,22.2,25.1,19.0,105.5,6.5,0,0,2.8
236,2016-08-24,21.5,26.9,17.3,0.0,11.7,0,0,1.8
237,2016-08-25,22.6,26.3,18.6,0.0,5.0,0,0,2.9
238,2016-08-26,21.2,23.3,18.1,24.5,0.0,0,0,2.2
239,2016-08-27,18.9,22.7,15.1,0.0,6.3,0,0,1.9
240,2016-08-28,19.8,24.9,13.7,0.0,9.0,0,0,2.0
241,2016-08-29,24.4,29.6,18.4,0.0,10.5,0,0,3.0
242,2016-08-30,26.1,30.4,23.2,8.0,7.5,0,0,4.2
243,2016-08-31,24.0,26.2,22.4,4.0,6.3,0,0,5.3
244,2016-09-01,23.0,25.9,19.5,0.0,6.2,0,0,2.7
245,2016-09-02,22.5,26.6,18.9,0.0,7.9,0,0,2.1
246,2016-09-03,21.6,24.2,20.2,0.0,5.8,0,0,2.1
247,2016-09-04,21.2,22.8,19.7,0.0,0.1,0,0,2.1
248,2016-09-05,22.0,25.7,19.9,0.0,0.7,0,0,1.6
249,2016-09-06,22.6,24.6,21.1,21.0,0.0,0,0,2.4
250,2016-09-07,21.5,24.9,18.8,0.0,10.8,0,0,1.8
251,2016-09-08,19.5,22.9,15.1,7.5,0.8,0,0,1.5
252,2016-09-09,18.2,22.0,14.2,16.5,0.2,0,0,1.5
253,2016-09-10,19.8,24.0,16.6,1.5,9.8,0,0,2.3
254,2016-09-11,18.5,23.9,13.9,0.0,9.7,0,0,2.1
255,2016-09-12,17.1,21.0,13.9,0.0,4.8,0,0,2.6
256,2016-09-13,17.1,20.2,14.4,0.0,0.0,0,0,1.8
257,2016-09-14,17.7,21.4,15.2,0.0,0.2,0,0,2.3
258,2016-09-15,19.2,23.1,15.7,0.0,10.5,0,0,2.0
259,2016-09-16,19.5,22.7,14.8,0.0,5.9,0,0,2.6
260,2016-09-17,19.7,23.3,16.6,2.5,5.7,0,0,1.7
261,2016-09-18,14.9,16.9,12.9,13.0,0.0,0,0,1.6
262,2016-09-19,14.9,21.6,10.4,0.0,9.0,0,0,2.0
263,2016-09-20,14.3,20.3,9.2,0.0,8.1,0,0,2.1
264,2016-09-21,15.1,20.9,9.3,0.0,10.8,0,0,2.2
265,2016-09-22,16.2,20.2,11.7,1.5,5.4,0,0,2.9
266,2016-09-23,16.0,18.6,13.3,14.0,0.0,0,0,1.6
267,2016-09-24,18.0,21.5,15.8,1.5,5.5,0,0,1.5
268,2016-09-25,18.6,22.3,14.8,0.0,6.5,0,0,2.1
269,2016-09-26,18.5,23.0,14.4,0.0,7.6,0,0,1.9
270,2016-09-27,17.6,23.0,13.8,0.0,4.3,0,0,2.1
271,2016-09-28,19.0,23.2,15.9,0.0,0.6,0,0,1.9
272,2016-09-29,14.7,18.4,10.7,12.0,0.4,0,0,1.9
273,2016-09-30,13.4,18.7,8.5,0.0,8.6,0,0,1.9
274,2016-10-01,15.2,21.0,10.2,0.0,10.8,0,0,2.3
275,2016-10-02,16.1,20.9,12.0,0.0,8.7,0,0,1.8
276,2016-10-03,18.0,21.5,14.0,15.0,0.1,0,0,2.5
277,2016-10-04,15.7,21.2,9.2,2.5,8.3,0,0,4.7
278,2016-10-05,11.6,15.6,5.1,6.0,8.0,0,0,1.9
279,2016-10-06,13.7,17.4,8.8,8.5,8.2,0,0,3.3
280,2016-10-07,9.7,14.3,6.3,0.0,9.4,0,0,2.7
281,2016-10-08,12.1,17.0,6.7,0.0,0.0,0,0,1.7
282,2016-10-09,13.3,17.4,5.9,0.0,7.5,0,0,3.1
283,2016-10-10,8.8,13.4,5.1,0.0,7.1,0,0,2.2
284,2016-10-11,10.2,14.5,3.3,16.0,8.3,0,0,2.0
285,2016-10-12,9.3,13.5,4.7,0.5,8.0,0,0,2.2
286,2016-10-13,8.5,13.9,3.1,0.0,10.4,0,0,2.3
287,2016-10-14,8.6,14.7,2.5,0.0,9.4,0,0,2.1
288,2016-10-15,7.9,14.8,1.3,0.0,10.5,0,0,2.3
289,2016-10-16,12.8,18.8,6.6,0.0,2.8,0,0,1.7
290,2016-10-17,15.5,18.7,12.0,1.0,0.1,0,0,1.7
291,2016-10-18,13.0,17.9,6.4,0.0,9.9,0,0,1.8
292,2016-10-19,9.4,15.2,3.8,0.0,10.2,0,0,1.9
293,2016-10-20,7.7,15.2,2.3,5.0,1.1,0,0,3.5
294,2016-10-21,4.5,7.9,1.8,0.0,5.0,0,0,3.3
295,2016-10-22,5.6,9.9,1.3,1.5,0.2,0,0,1.9
296,2016-10-23,5.8,9.9,1.0,0.0,6.8,0,0,2.8
297,2016-10-24,3.6,9.1,-1.1,0.0,4.3,0,0,3.2
298,2016-10-25,6.5,11.3,-1.3,0.0,6.9,0,0,2.0
299,2016-10-26,10.6,16.1,6.3,0.0,8.9,0,0,3.3
300,2016-10-27,6.5,9.4,4.3,0.0,7.3,0,0,3.3
301,2016-10-28,6.9,10.1,2.4,0.0,2.5,0,0,2.1
302,2016-10-29,5.0,7.5,3.0,0.0,7.6,0,0,4.3
303,2016-10-30,3.0,7.1,-2.1,0.0,4.3,0,0,2.8
304,2016-10-31,5.5,12.0,-1.1,2.0,0.1,0,0,3.8
305,2016-11-01,3.2,5.6,1.1,0.0,0.1,0,0,2.5
306,2016-11-02,2.9,7.2,-0.8,0.0,5.2,0,0,2.1
307,2016-11-03,2.8,5.2,-0.4,16.5,0.6,0,0,2.6
308,2016-11-04,2.0,5.0,-0.7,0.0,2.2,0,0,2.8
309,2016-11-05,6.3,14.6,0.4,4.5,0.0,0,0,3.1
310,2016-11-06,2.3,5.0,-0.1,0.5,3.4,0,0,4.2
311,2016-11-07,1.8,5.5,-0.8,0.0,9.3,0,0,2.2
312,2016-11-08,7.9,12.7,0.7,10.5,0.0,0,0,4.5
313,2016-11-09,1.8,6.2,-1.0,0.5,1.0,0,0,3.8
314,2016-11-10,0.4,3.8,-2.5,0.0,4.3,0,0,3.3
315,2016-11-11,2.3,7.6,-4.4,4.0,1.5,0,0,1.7
316,2016-11-12,8.1,12.0,2.6,1.5,6.1,0,0,3.3
317,2016-11-13,7.4,12.2,2.9,7.5,2.0,0,0,2.9
318,2016-11-14,6.7,13.1,-1.4,0.0,7.5,0,0,2.5
319,2016-11-15,8.7,13.6,1.7,5.5,2.2,0,0,3.0
320,2016-11-16,1.0,3.7,-2.0,0.0,3.4,0,0,3.3
321,2016-11-17,0.5,3.5,-2.9,0.0,5.4,0,0,2.8
322,2016-11-18,5.6,12.1,-2.8,3.0,2.5,0,0,3.1
323,2016-11-19,9.3,13.8,5.6,2.5,1.3,0,0,1.7
324,2016-11-20,6.7,12.6,3.0,2.0,1.2,0,0,3.2
325,2016-11-21,1.4,3.2,-0.8,0.0,2.6,0,0,2.8
326,2016-11-22,2.9,7.5,-0.5,0.0,2.0,0,0,3.0
327,2016-11-23,-4.1,-0.4,-8.2,0.0,1.3,0,0,4.0
328,2016-11-24,-4.5,0.0,-9.5,0.0,8.0,0,0,2.4
329,2016-11-25,-2.1,2.4,-5.8,0.0,5.1,0,0,2.4
330,2016-11-26,-0.5,3.8,-6.8,0.0,7.0,1,1,2.3
331,2016-11-27,5.9,10.2,0.5,0.5,2.2,0,0,2.6
332,2016-11-28,2.3,5.8,-0.5,0.0,6.6,0,0,2.9
333,2016-11-29,-0.2,3.2,-2.2,0.0,6.6,0,0,2.9
334,2016-11-30,-1.2,1.3,-4.1,0.0,5.9,0,0,2.4
335,2016-12-01,7.3,11.5,-0.1,6.0,0.0,1,1,3.8
336,2016-12-02,2.9,6.7,0.6,0.5,0.4,0,0,6.8
337,2016-12-03,2.4,6.7,-1.2,0.0,8.7,0,0,3.2
338,2016-12-04,4.2,7.6,-0.8,0.5,0.4,0,0,2.4
339,2016-12-05,6.1,9.5,2.0,4.5,1.0,0,0,1.7
340,2016-12-06,0.5,9.4,-5.5,4.0,2.4,0,0,4.5
341,2016-12-07,-4.5,-2.0,-6.6,0.0,6.3,0,0,3.2
342,2016-12-08,-2.4,0.7,-7.2,0.0,1.4,1,1,2.2
343,2016-12-09,1.1,7.3,-1.7,8.0,0.0,4,4,2.5
344,2016-12-10,-2.1,0.9,-5.2,0.0,6.7,0,0,2.9
345,2016-12-11,-5.2,-2.3,-7.5,0.0,6.7,1,3,3.6
346,2016-12-12,-4.2,0.2,-8.1,0.0,7.7,2,2,3.1
347,2016-12-13,1.4,7.5,-5.5,3.5,0.2,2,1,3.5
348,2016-12-14,-0.6,2.5,-3.4,0.0,0.3,1,3,1.8
349,2016-12-15,-2.5,0.4,-7.8,0.5,6.4,2,4,2.4
350,2016-12-16,-5.4,-2.8,-8.5,1.5,2.5,5,8,2.0
351,2016-12-17,-5.1,-1.9,-10.6,0.0,2.1,5,1,2.6
352,2016-12-18,2.7,7.6,-4.4,0.0,2.4,5,4,3.7
353,2016-12-19,1.6,5.2,-2.9,0.0,8.2,2,1,2.3
354,2016-12-20,0.6,5.0,-3.3,0.0,2.9,1,1,2.5
355,2016-12-21,1.7,4.7,-2.4,0.0,1.4,1,0,2.0
356,2016-12-22,1.1,3.6,-2.2,19.5,0.0,1,3,2.1
357,2016-12-23,1.9,4.6,-2.1,4.0,0.0,2,4,3.8
358,2016-12-24,-4.7,-2.0,-7.5,0.5,4.7,3,3,3.2
359,2016-12-25,-2.3,1.9,-6.9,0.0,6.7,3,1,2.5
360,2016-12-26,2.3,7.4,-4.2,5.5,0.4,1,4,2.8
361,2016-12-27,-1.1,2.3,-6.1,0.5,0.0,1,0,2.7
362,2016-12-28,-5.4,-2.1,-7.6,0.0,8.4,1,2,3.4
363,2016-12-29,-3.5,3.1,-8.1,2.0,0.2,2,3,3.4
364,2016-12-30,-3.3,1.7,-9.6,0.0,6.0,2,3,2.9
365,2016-12-31,-2.2,1.7,-8.1,0.0,5.0,2,1,3.5
366,2017-01-01,-2.3,1.5,-8.0,0.0,0.1,2,1,2.1
