Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
70,2016-03-11,3.0,5.3,0.9,0.0,6.5,990.2,86,1019.1
71,2016-03-12,2.8,5.5,1.5,0.7,6.7,994.6,90,1023.6
72,2016-03-13,3.8,5.1,2.3,0.0,6.9,996.2,87,1025.2
73,2016-03-14,2.2,4.4,0.2,0.0,6.8,987.2,94,1016.1
74,2016-03-15,4.6,11.3,-0.7,10.6,5.3,987.9,67,1016.5
75,2016-03-16,4.9,11.6,-2.7,5.3,6.2,994.6,73,1023.4
76,2016-03-17,10.8,21.6,1.1,11.0,6.4,993.5,57,1021.6
77,2016-03-18,11.0,18.8,2.1,6.3,8.5,990.3,67,1018.4
78,2016-03-19,12.9,19.7,9.1,3.5,11.3,979.8,78,1007.3
79,2016-03-20,11.0,16.9,6.4,10.6,6.5,983.8,51,1011.6
80,2016-03-21,8.4,14.5,3.4,4.5,4.7,989.2,43,1017.5
81,2016-03-22,7.8,17.1,-1.3,10.8,6.1,987.2,60,1015.5
82,2016-03-23,7.8,16.4,1.6,3.2,7.3,985.7,73,1014.0
83,2016-03-24,5.1,10.7,0.4,3.2,6.1,987.5,72,1016.1
84,2016-03-25,4.8,11.8,-2.2,7.6,4.4,990.0,56,1018.7
85,2016-03-26,7.0,12.9,1.3,7.3,5.8,991.4,59,1019.9
86,2016-03-27,8.0,13.3,4.3,3.1,7.7,991.0,73,1019.4
87,2016-03-28,9.3,15.9,5.3,4.4,8.5,991.2,75,1019.4
88,2016-03-29,9.7,17.4,2.7,6.3,8.6,994.2,75,1022.5
89,2016-03-30,11.9,19.2,5.0,7.3,9.6,989.9,71,1017.8
90,2016-03-31,12.2,20.4,3.4,11.2,7.2,990.0,56,1017.9
91,2016-04-01,11.2,18.7,4.2,7.0,8.8,992.8,68,1020.8
92,2016-04-02,9.4,12.3,7.2,0.0,8.7,998.3,73,1026.7
93,2016-04-03,13.3,20.2,6.1,6.1,11.3,994.1,75,1022.0
94,2016-04-04,14.7,21.0,11.3,1.7,14.0,980.2,85,1007.6
95,2016-04-05,9.7,11.7,6.1,0.0,10.6,985.8,88,1013.8
96,2016-04-06,11.8,20.9,3.4,7.3,8.4,990.6,67,1018.6
97,2016-04-07,10.0,11.6,8.9,0.0,11.4,983.2,93,1011.1
98,2016-04-08,14.0,21.4,7.1,4.3,11.8,981.4,77,1008.8
99,2016-04-09,14.4,22.9,6.1,8.7,11.2,985.9,72,1013.4
100,2016-04-10,14.6,22.3,7.7,1.8,9.8,981.9,64,1009.3
101,2016-04-11,9.8,15.6,3.8,8.9,6.3,984.6,51,1012.6
102,2016-04-12,8.3,16.2,0.0,11.3,5.4,993.9,52,1022.3
103,2016-04-13,12.9,20.8,5.5,5.2,9.7,988.5,66,1016.3
104,2016-04-14,15.9,22.7,11.7,4.5,14.5,978.1,82,1005.3
105,2016-04-15,14.1,20.1,5.2,12.1,5.8,986.4,39,1014.0
106,2016-04-16,12.2,20.2,2.8,9.3,8.5,993.5,62,1021.5
107,2016-04-17,18.4,28.8,10.8,5.3,10.9,978.9,56,1005.8
108,2016-04-18,16.7,24.6,8.8,6.2,10.8,980.9,58,1008.0
109,2016-04-19,14.9,22.7,8.3,9.9,9.9,988.6,61,1016.2
110,2016-04-20,12.9,20.4,5.0,11.5,8.8,995.6,63,1023.6
111,2016-04-21,12.1,15.7,8.7,0.0,11.1,987.2,80,1015.0
112,2016-04-22,16.6,26.3,9.6,5.5,14.1,978.3,77,1005.4
113,2016-04-23,16.5,21.8,12.3,4.2,14.4,983.5,77,1010.8
114,2016-04-24,15.1,18.8,12.9,2.5,13.4,985.7,78,1013.2
115,2016-04-25,16.7,23.5,11.9,6.8,11.3,991.4,62,1018.9
116,2016-04-26,18.1,26.9,9.7,11.7,13.1,989.1,67,1016.3
117,2016-04-27,15.3,17.8,11.8,2.0,15.0,985.5,86,1012.9
118,2016-04-28,13.5,15.2,12.2,0.0,14.9,973.0,96,1000.3
119,2016-04-29,14.2,19.4,10.0,11.0,7.4,974.7,47,1002.0
120,2016-04-30,15.0,22.6,6.3,11.9,7.8,984.0,48,1011.4
121,2016-05-01,17.1,27.2,7.6,7.9,11.3,985.5,62,1012.8
122,2016-05-02,15.2,19.5,10.1,3.0,13.6,992.9,79,1020.6
123,2016-05-03,18.4,22.9,14.7,1.3,14.7,988.2,71,1015.4
124,2016-05-04,20.7,29.1,14.5,8.1,13.7,975.4,59,1001.9
125,2016-05-05,18.4,27.9,9.0,12.9,8.3,982.8,45,1009.9
126,2016-05-06,15.0,20.5,9.8,1.9,11.8,989.2,71,1016.8
127,2016-05-07,19.8,29.4,12.6,11.8,14.8,979.7,67,1006.5
128,2016-05-08,19.3,26.2,11.3,12.4,9.9,988.2,50,1015.3
129,2016-05-09,16.5,21.2,12.1,0.0,14.9,989.1,79,1016.5
130,2016-05-10,18.3,23.2,14.9,2.0,18.0,980.6,86,1007.6
131,2016-05-11,17.9,21.3,15.0,0.2,18.7,973.6,91,1000.4
132,2016-05-12,19.8,28.8,12.2,13.2,13.3,986.0,63,1013.0
133,2016-05-13,19.7,28.2,11.2,12.2,14.2,991.4,65,1018.6
134,2016-05-14,19.4,26.6,13.7,7.3,13.6,995.0,62,1022.3
135,2016-05-15,17.3,24.1,11.9,5.7,12.9,993.6,67,1021.1
136,2016-05-16,14.7,15.6,13.5,0.0,14.9,987.3,89,1014.9
137,2016-05-17,16.6,19.5,13.7,0.0,17.7,984.8,94,1012.1
138,2016-05-18,18.6,28.2,9.8,11.9,11.1,990.7,60,1017.9
139,2016-05-19,18.5,27.3,10.0,11.4,11.5,993.5,58,1020.8
140,2016-05-20,16.2,22.9,10.3,6.2,10.6,993.0,61,1020.6
141,2016-05-21,18.1,28.4,8.0,13.1,12.3,989.8,63,1017.1
142,2016-05-22,21.4,30.8,11.8,13.1,12.0,989.7,53,1016.6
143,2016-05-23,22.5,33.0,12.2,12.5,12.2,987.2,51,1013.9
144,2016-05-24,22.7,30.5,14.1,8.1,14.3,985.6,55,1012.2
145,2016-05-25,19.5,23.0,16.8,0.0,16.6,986.5,74,1013.5
146,2016-05-26,22.9,32.6,14.3,10.2,19.2,983.6,71,1010.2
147,2016-05-27,20.5,25.0,16.4,1.9,18.5,981.8,78,1008.6
148,2016-05-28,18.8,24.0,14.8,0.8,16.2,981.6,75,1008.5
149,2016-05-29,21.6,30.4,12.7,10.3,16.1,980.3,66,1007.0
150,2016-05-30,15.1,19.1,13.3,0.0,15.9,980.8,92,1008.2
151,2016-05-31,20.0,27.1,13.9,7.5,18.4,977.2,80,1003.9
152,2016-06-01,18.9,27.0,12.5,11.5,12.4,974.5,60,1001.2
153,2016-06-02,17.5,24.7,10.4,11.9,8.7,978.7,46,1005.7
154,2016-06-03,17.8,27.4,7.1,12.4,11.3,984.9,59,1012.1
155,2016-06-04,20.8,28.0,12.3,8.0,15.5,984.7,66,1011.6
156,2016-06-05,21.0,28.1,16.3,5.1,15.9,983.8,67,1010.6
157,2016-06-06,19.1,24.0,14.1,0.3,16.4,988.6,75,1015.7
158,2016-06-07,17.7,19.2,16.1,0.0,18.7,988.0,92,1015.2
159,2016-06-08,20.9,26.0,17.2,0.3,18.4,986.3,76,1013.2
160,2016-06-09,20.6,25.8,17.3,1.2,19.8,984.2,82,1011.0
161,2016-06-10,24.2,32.4,16.6,13.1,17.9,985.8,63,1012.3
162,2016-06-11,24.0,32.0,18.2,8.0,17.0,987.9,60,1014.5
163,2016-06-12,22.7,30.1,16.8,7.3,16.9,984.9,64,1011.5
164,2016-06-13,18.0,19.3,16.9,0.0,20.0,975.5,97,1002.3
165,2016-06-14,21.7,27.5,17.3,3.8,20.3,976.6,80,1003.1
166,2016-06-15,18.2,19.7,17.2,0.0,20.3,983.0,97,1010.0
167,2016-06-16,19.2,21.0,17.7,0.0,21.3,979.5,96,1006.3
168,2016-06-17,23.6,31.4,18.1,7.2,20.7,977.3,74,1003.7
169,2016-06-18,24.8,34.2,15.7,13.5,17.0,986.1,60,1012.6
170,2016-06-19,22.2,27.0,17.7,2.4,20.7,986.3,77,1013.0
171,2016-06-20,24.2,32.0,19.2,8.3,22.5,980.3,77,1006.7
172,2016-06-21,21.4,25.4,18.7,2.4,22.2,981.1,87,1007.7
173,2016-06-22,20.0,22.0,17.7,0.0,22.5,982.2,96,1009.0
174,2016-06-23,21.8,26.6,19.2,2.5,23.8,977.0,91,1003.5
175,2016-06-24,19.1,20.1,17.4,0.0,21.4,979.9,97,1006.7
176,2016-06-25,22.7,27.8,18.9,0.7,24.4,972.9,89,999.2
177,2016-06-26,23.0,28.9,17.8,6.5,19.0,979.0,69,1005.4
178,2016-06-27,22.9,30.3,15.8,7.6,18.7,986.4,69,1013.0
179,2016-06-28,19.0,21.2,16.6,0.0,19.1,985.6,87,1012.7
180,2016-06-29,20.2,24.4,18.3,0.7,21.5,987.9,91,1014.9
181,2016-06-30,22.7,26.3,19.6,0.2,23.1,985.9,85,1012.6
182,2016-07-01,25.8,32.8,21.4,5.9,24.4,986.0,75,1012.3
183,2016-07-02,25.5,31.5,22.0,3.5,26.4,983.9,82,1010.2
184,2016-07-03,27.3,34.9,21.0,5.1,25.1,980.7,71,1006.8
185,2016-07-04,25.7,33.4,21.9,4.9,26.4,984.9,81,1011.3
186,2016-07-05,21.0,23.6,18.2,0.0,22.1,991.8,89,1018.8
187,2016-07-06,22.0,27.6,18.1,5.7,22.4,989.2,85,1016.1
188,2016-07-07,26.6,36.7,18.8,10.6,24.0,985.8,73,1012.1
189,2016-07-08,24.3,29.0,20.5,1.6,25.2,986.9,83,1013.4
190,2016-07-09,22.1,24.5,19.2,0.0,24.7,981.0,93,1007.5
191,2016-07-10,25.8,33.0,18.1,12.0,24.0,977.4,75,1003.6
192,2016-07-11,27.6,34.4,21.1,9.7,24.2,978.1,68,1004.1
193,2016-07-12,26.9,33.5,20.9,10.8,24.5,978.8,71,1004.9
194,2016-07-13,24.1,25.4,22.9,0.0,28.2,975.7,94,1001.9
195,2016-07-14,24.7,32.8,21.0,4.3,27.1,970.4,88,996.5
196,2016-07-15,21.6,23.8,20.3,0.1,24.5,973.5,95,999.9
197,2016-07-16,21.8,23.8,19.8,0.1,23.3,980.6,89,1007.2
198,2016-07-17,24.8,29.9,21.0,2.4,26.3,980.6,85,1006.9
199,2016-07-18,28.0,33.3,23.2,9.5,27.4,980.5,74,1006.5
200,2016-07-19,26.8,31.9,22.9,6.1,25.1,982.8,73,1009.0
201,2016-07-20,26.1,30.6,22.8,6.9,24.6,984.8,74,1011.1
202,2016-07-21,21.7,24.2,20.3,0.0,23.2,986.4,90,1013.2
203,2016-07-22,20.5,22.8,19.2,0.0,21.7,986.9,90,1013.8
204,2016-07-23,20.3,23.5,18.3,0.1,20.2,988.2,85,1015.2
205,2016-07-24,22.6,27.7,17.8,4.5,21.5,988.5,79,1015.3
206,2016-07-25,23.4,28.2,20.0,2.4,23.3,987.6,82,1014.2
207,2016-07-26,22.0,23.2,21.2,0.0,25.2,984.6,95,1011.2
208,2016-07-27,22.7,25.7,20.0,0.0,24.9,984.1,91,1010.7
209,2016-07-28,25.1,30.2,21.8,2.5,26.0,985.9,82,1012.3
210,2016-07-29,26.2,33.0,21.0,8.1,24.1,986.8,73,1013.2
211,2016-07-30,26.8,34.5,19.7,12.5,22.3,986.9,66,1013.2
212,2016-07-31,27.3,33.7,21.8,12.1,24.5,985.7,69,1011.9
213,2016-08-01,27.1,33.7,23.2,4.8,27.0,982.8,77,1008.9
214,2016-08-02,25.0,31.2,21.0,3.3,27.7,981.8,88,1008.2
215,2016-08-03,26.0,31.5,21.9,4.5,26.8,982.4,81,1008.7
216,2016-08-04,27.6,32.8,22.7,11.0,27.3,982.9,75,1009.0
217,2016-08-05,28.2,34.5,22.5,10.1,28.0,983.7,75,1009.8
218,2016-08-06,28.6,35.4,23.1,11.4,27.9,983.3,73,1009.3
219,2016-08-07,27.9,33.2,24.0,8.1,26.8,983.7,73,1009.8
220,2016-08-08,27.3,32.6,21.8,5.2,25.3,977.9,71,1003.8
221,2016-08-09,30.3,37.3,25.3,9.1,22.0,976.0,52,1001.7
222,2016-08-10,27.5,33.3,21.9,5.7,24.6,981.5,68,1007.5
223,2016-08-11,26.6,33.2,22.6,4.1,23.9,983.3,70,1009.5
224,2016-08-12,25.8,30.4,23.1,2.8,23.8,983.3,72,1009.5
225,2016-08-13,26.4,33.6,22.1,6.1,23.6,981.7,69,1007.9
226,2016-08-14,24.7,29.2,22.0,2.4,22.7,979.3,73,1005.6
227,2016-08-15,23.3,24.5,21.8,0.0,24.5,977.4,85,1003.7
228,2016-08-16,25.2,30.5,21.5,0.8,26.7,977.1,85,1003.2
229,2016-08-17,27.0,37.0,21.4,5.0,27.8,972.9,81,998.8
230,2016-08-18,25.4,29.9,23.5,1.8,29.5,980.3,91,1006.5
231,2016-08-19,26.0,32.2,23.5,3.6,28.6,982.1,86,1008.3
232,2016-08-20,23.9,27.5,22.8,0.2,29.0,980.3,98,1006.7
233,2016-08-21,26.2,32.3,21.1,9.1,27.8,979.6,83,1005.8
234,2016-08-22,23.0,25.1,21.2,0.0,27.4,975.5,97,1001.8
235,2016-08-23,24.6,32.0,19.5,6.7,26.0,979.1,86,1005.4
236,2016-08-24,23.7,25.5,21.9,0.0,27.5,982.5,94,1009.0
237,2016-08-25,26.0,31.7,22.3,3.4,27.0,981.7,81,1007.9
238,2016-08-26,26.5,32.5,22.4,4.6,27.1,978.4,79,1004.5
239,2016-08-27,22.3,25.0,20.3,0.0,26.3,979.4,98,1005.9
240,2016-08-28,20.6,22.5,19.4,0.0,23.8,977.6,98,1004.3
241,2016-08-29,23.2,27.9,20.6,1.4,27.6,968.5,97,994.6
242,2016-08-30,22.7,26.3,19.5,0.7,26.7,961.1,97,987.1
243,2016-08-31,22.7,30.3,17.1,8.9,21.7,973.5,79,999.9
244,2016-09-01,23.4,32.2,15.8,9.8,19.3,982.4,70,1008.9
245,2016-09-02,24.3,31.1,18.4,6.8,23.7,986.6,80,1013.1
246,2016-09-03,25.3,30.3,21.8,4.1,25.8,988.8,81,1015.3
247,2016-09-04,24.4,28.9,21.6,1.8,27.4,989.4,90,1016.0
248,2016-09-05,26.1,32.0,21.6,7.3,26.5,986.8,80,1013.2
249,2016-09-06,26.9,33.5,22.6,7.1,28.2,982.1,81,1008.2
250,2016-09-07,25.7,31.3,22.9,3.6,28.5,979.0,87,1005.2
251,2016-09-08,23.6,27.6,22.0,0.5,28.4,976.0,97,1002.3
252,2016-09-09,25.0,30.1,20.4,5.9,24.8,978.4,80,1004.6
253,2016-09-10,24.2,30.2,19.3,7.0,23.1,985.0,78,1011.5
254,2016-09-11,24.2,28.6,21.4,1.1,23.8,988.9,80,1015.4
255,2016-09-12,23.1,26.5,21.0,0.1,23.9,991.4,85,1018.2
256,2016-09-13,21.8,24.9,19.8,0.0,24.5,989.4,94,1016.3
257,2016-09-14,22.2,24.8,19.7,0.1,24.6,989.3,92,1016.1
258,2016-09-15,23.4,27.0,20.6,0.4,25.2,988.4,89,1015.1
259,2016-09-16,21.4,23.7,19.8,0.0,23.7,989.8,93,1016.7
260,2016-09-17,24.0,29.6,20.1,5.2,24.0,987.2,82,1013.7
261,2016-09-18,21.6,22.8,20.8,0.0,25.1,982.2,97,1008.8
262,2016-09-19,20.5,22.4,18.6,0.0,23.8,982.8,98,1009.6
263,2016-09-20,18.2,19.3,17.2,0.0,20.8,984.7,100,1011.8
264,2016-09-21,18.9,22.2,17.0,0.0,19.7,992.1,91,1019.3
265,2016-09-22,18.3,19.3,17.2,0.0,20.9,992.4,99,1019.7
266,2016-09-23,19.8,21.3,18.3,0.0,22.8,988.2,99,1015.3
267,2016-09-24,20.3,22.0,19.0,0.0,23.3,990.9,98,1018.0
268,2016-09-25,22.2,28.4,16.3,6.8,22.8,991.6,86,1018.4
269,2016-09-26,23.6,29.5,20.4,1.9,25.3,993.1,88,1019.9
270,2016-09-27,24.2,30.0,21.4,4.8,25.6,990.9,85,1017.6
271,2016-09-28,23.3,28.1,20.3,1.3,26.3,986.0,92,1012.6
272,2016-09-29,22.2,25.2,19.0,0.0,24.0,984.3,89,1011.0
273,2016-09-30,18.5,20.2,17.1,0.1,17.6,990.0,83,1017.2
274,2016-10-01,19.1,23.0,16.7,0.3,19.5,991.6,88,1018.8
275,2016-10-02,22.5,28.5,18.4,3.7,23.1,991.3,86,1018.2
276,2016-10-03,21.2,23.1,18.5,0.0,24.0,986.7,95,1013.6
277,2016-10-04,22.4,30.9,17.5,7.0,20.9,987.0,80,1013.8
278,2016-10-05,18.9,21.8,15.8,0.0,19.7,988.1,91,1015.3
279,2016-10-06,21.8,30.3,16.3,8.5,18.6,986.0,74,1012.7
280,2016-10-07,18.2,22.6,13.2,4.8,13.9,996.5,68,1024.0
281,2016-10-08,19.0,25.1,15.4,4.2,18.1,987.1,83,1014.2
282,2016-10-09,18.0,22.1,13.1,0.8,18.5,981.0,89,1008.1
283,2016-10-10,16.0,19.3,13.5,0.2,14.2,989.6,80,1017.1
284,2016-10-11,14.6,17.3,12.0,0.0,13.9,990.9,84,1018.6
285,2016-10-12,15.5,23.4,10.1,8.2,12.8,989.3,76,1016.8
286,2016-10-13,13.5,15.3,11.8,0.0,13.4,993.9,87,1021.7
287,2016-10-14,13.7,19.2,8.8,7.1,12.5,997.2,81,1025.1
288,2016-10-15,13.7,23.1,6.6,10.5,11.3,1000.2,76,1028.2
289,2016-10-16,14.7,23.2,7.1,7.8,12.6,999.6,78,1027.4
290,2016-10-17,15.4,18.1,13.6,0.0,17.0,993.0,97,1020.6
291,2016-10-18,19.9,27.9,13.4,8.9,18.6,989.5,83,1016.5
292,2016-10-19,19.5,25.0,17.0,1.3,19.5,989.4,87,1016.5
293,2016-10-20,19.1,27.3,13.6,9.9,15.9,987.1,75,1014.1
294,2016-10-21,14.3,21.5,9.4,6.4,12.4,990.7,79,1018.3
295,2016-10-22,12.9,16.6,8.9,1.4,13.2,987.8,89,1015.6
296,2016-10-23,14.4,22.8,9.3,5.2,12.6,982.7,79,1010.1
297,2016-10-24,11.9,19.2,6.0,10.1,9.5,989.3,73,1017.2
298,2016-10-25,9.6,14.0,4.1,2.9,9.6,992.0,82,1020.3
299,2016-10-26,16.6,26.5,7.2,10.0,15.2,986.5,81,1013.8
300,2016-10-27,15.4,22.9,7.6,10.1,11.8,992.1,70,1019.7
301,2016-10-28,9.7,12.2,6.6,0.0,11.0,990.1,92,1018.2
302,2016-10-29,14.1,22.0,9.8,6.6,10.7,987.0,69,1014.6
303,2016-10-30,10.5,13.5,6.5,0.2,9.5,998.5,76,1026.8
304,2016-10-31,10.1,14.6,5.6,1.5,10.5,996.7,86,1025.0
305,2016-11-01,11.7,19.0,9.4,3.9,10.9,990.5,80,1018.5
306,2016-11-02,9.6,11.9,8.3,0.2,8.9,995.9,75,1024.2
307,2016-11-03,10.5,18.9,4.9,8.5,8.7,987.0,71,1015.0
308,2016-11-04,9.4,18.4,2.4,9.7,7.5,988.2,70,1016.4
309,2016-11-05,10.0,19.6,2.4,9.6,9.2,986.0,78,1014.0
310,2016-11-06,11.0,18.4,5.3,9.3,8.8,991.5,70,1019.5
311,2016-11-07,8.7,13.7,3.9,4.4,8.1,997.8,73,1026.3
312,2016-11-08,7.3,13.3,1.8,2.4,8.5,989.3,84,1017.7
313,2016-11-09,8.5,13.2,2.1,9.2,6.0,990.0,56,1018.3
314,2016-11-10,6.0,10.3,1.0,0.0,6.4,996.2,69,1025.0
315,2016-11-11,7.8,10.5,4.9,0.0,10.5,991.3,98,1019.7
316,2016-11-12,10.5,18.6,5.0,9.2,10.4,995.2,84,1023.5
317,2016-11-13,10.3,19.6,3.9,7.6,9.9,996.8,82,1025.0
318,2016-11-14,11.3,16.0,7.1,0.3,12.0,994.1,89,1022.2
319,2016-11-15,13.8,20.2,8.9,3.7,13.5,982.7,85,1010.3
320,2016-11-16,9.2,15.8,3.9,9.2,8.1,990.2,73,1018.4
321,2016-11-17,9.5,18.3,3.2,8.8,8.0,992.9,72,1021.1
322,2016-11-18,6.2,13.9,1.2,5.9,7.8,997.2,84,1025.9
323,2016-11-19,7.4,10.6,4.2,0.0,10.1,988.3,98,1016.6
324,2016-11-20,11.8,20.6,5.3,5.5,12.3,988.2,89,1016.1
325,2016-11-21,9.6,11.3,7.2,0.0,11.9,993.0,99,1021.3
326,2016-11-22,13.7,21.0,8.8,7.6,13.2,982.6,86,1010.1
327,2016-11-23,8.4,11.2,5.4,0.2,7.1,988.6,64,1016.9
328,2016-11-24,1.7,5.6,-0.2,0.0,6.4,991.5,93,1020.5
329,2016-11-25,1.9,8.4,-1.8,7.2,6.2,993.7,90,1022.8
330,2016-11-26,3.8,10.5,-1.6,5.2,7.3,997.8,91,1026.9
331,2016-11-27,8.3,15.0,3.8,2.6,9.8,987.5,90,1015.7
332,2016-11-28,8.8,14.0,3.6,4.7,7.9,986.3,72,1014.5
333,2016-11-29,7.2,13.5,2.6,8.9,5.7,996.1,60,1024.7
334,2016-11-30,4.3,9.5,-1.2,5.7,6.2,1002.7,76,1031.9
335,2016-12-01,8.1,15.9,3.6,5.3,9.4,990.3,87,1018.6
336,2016-12-02,7.2,15.4,1.4,8.9,6.7,993.3,70,1021.8
337,2016-12-03,6.4,16.2,-0.9,8.9,7.0,997.7,76,1026.4
338,2016-12-04,7.6,14.6,1.2,4.4,8.4,992.1,82,1020.5
339,2016-12-05,9.7,17.2,5.1,5.4,10.6,983.9,90,1011.9
340,2016-12-06,7.7,15.6,1.4,7.0,7.2,983.8,71,1012.0
341,2016-12-07,3.0,9.8,-1.6,7.7,5.5,989.3,76,1018.2
342,2016-12-08,3.9,13.0,-2.2,8.8,5.8,988.9,75,1017.6
343,2016-12-09,4.9,15.0,-1.8,8.1,6.4,983.0,77,1011.5
