,Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
156,156,2016-06-05,18.1,22.8,15.1,5.0,2.2,1.1
157,157,2016-06-06,20.6,25.6,15.8,0.0,10.3,2.5
158,158,2016-06-07,20.1,23.2,17.4,7.5,0.1,2.1
159,159,2016-06-08,21.3,26.2,16.8,0.0,10.4,2.2
160,160,2016-06-09,21.3,25.2,19.1,1.5,1.1,0.8
161,161,2016-06-10,23.2,28.7,19.4,0.0,11.1,2.5
162,162,2016-06-11,22.4,27.4,17.7,0.0,9.8,1.9
163,163,2016-06-12,22.5,26.4,19.7,2.0,0.3,2.8
164,164,2016-06-13,21.3,23.3,19.9,8.0,0.0,2.6
165,165,2016-06-14,22.0,25.4,19.7,0.0,2.0,2.1
166,166,2016-06-15,23.1,27.8,20.3,0.0,7.1,2.8
167,167,2016-06-16,20.6,22.5,19.7,9.5,0.0,2.7
168,168,2016-06-17,23.7,28.8,20.0,0.0,4.0,2.4
169,169,2016-06-18,24.6,31.1,20.3,0.0,11.8,2.4
170,170,2016-06-19,22.0,26.7,19.6,12.5,0.1,2.0
171,171,2016-06-20,24.0,29.1,19.3,0.0,4.7,1.5
172,172,2016-06-21,23.4,29.2,19.6,43.5,4.8,1.5
173,173,2016-06-22,23.4,27.7,21.2,12.5,0.2,1.5
174,174,2016-06-23,24.6,29.6,20.0,12.5,3.0,2.2
175,175,2016-06-24,22.0,26.4,19.8,9.5,0.0,2.1
176,176,2016-06-25,23.4,27.7,18.4,14.5,1.0,2.0
177,177,2016-06-26,23.1,28.6,17.3,0.0,9.9,2.0
178,178,2016-06-27,24.1,29.1,19.1,4.0,7.9,2.5
179,179,2016-06-28,20.1,22.8,17.3,21.0,0.0,1.2
180,180,2016-06-29,21.2,23.1,20.2,5.0,0.0,1.5
181,181,2016-06-30,24.1,29.4,20.6,0.0,1.4,1.2
182,182,2016-07-01,25.9,32.5,21.8,0.0,11.5,1.7
183,183,2016-07-02,26.7,32.1,22.3,0.0,11.2,1.6
184,184,2016-07-03,27.8,33.6,23.3,0.0,4.0,1.6
185,185,2016-07-04,28.8,34.8,23.6,0.0,9.3,2.1
186,186,2016-07-05,26.8,32.5,23.1,0.0,7.4,3.1
187,187,2016-07-06,25.0,30.5,21.4,0.0,6.0,1.8
188,188,2016-07-07,29.5,34.7,23.6,0.0,11.5,2.5
189,189,2016-07-08,25.6,27.6,24.0,0.0,0.0,1.4
190,190,2016-07-09,22.2,24.6,19.3,48.0,0.0,1.9
191,191,2016-07-10,25.9,30.8,21.9,0.0,7.3,1.6
192,192,2016-07-11,28.9,34.2,23.0,0.0,11.9,1.9
193,193,2016-07-12,27.3,30.3,24.7,0.0,0.5,1.2
194,194,2016-07-13,26.6,30.3,24.3,1.5,0.4,1.1
195,195,2016-07-14,27.7,33.6,23.7,3.5,10.5,2.5
196,196,2016-07-15,25.6,29.2,21.6,0.0,7.0,2.7
197,197,2016-07-16,24.7,29.2,21.4,0.0,3.9,1.9
198,198,2016-07-17,26.9,31.0,23.5,0.0,1.0,1.4
199,199,2016-07-18,28.4,33.4,24.3,0.0,12.1,3.1
200,200,2016-07-19,27.3,32.2,23.4,0.0,9.9,2.0
201,201,2016-07-20,26.8,32.3,22.0,0.0,11.7,2.0
202,202,2016-07-21,26.1,31.4,22.4,0.0,7.1,2.2
203,203,2016-07-22,24.9,28.2,23.1,0.0,1.5,2.7
204,204,2016-07-23,23.7,27.1,21.5,0.0,0.7,1.8
205,205,2016-07-24,24.3,28.9,21.4,0.0,3.4,1.8
206,206,2016-07-25,24.8,30.1,20.8,0.0,7.3,1.7
207,207,2016-07-26,22.1,23.3,21.2,78.0,0.0,1.2
208,208,2016-07-27,24.1,29.0,21.7,0.0,1.4,1.3
209,209,2016-07-28,25.4,30.0,22.7,0.0,5.4,1.9
210,210,2016-07-29,25.7,31.1,22.3,0.0,5.8,1.6
211,211,2016-07-30,26.2,32.1,21.3,0.0,11.7,1.7
212,212,2016-07-31,27.3,33.4,22.8,0.0,9.5,1.6
213,213,2016-08-01,27.1,33.6,23.4,3.0,8.0,1.6
214,214,2016-08-02,26.6,31.1,23.4,0.0,6.8,1.7
215,215,2016-08-03,27.0,31.5,23.2,0.0,8.4,1.8
216,216,2016-08-04,27.6,32.8,23.3,0.0,9.7,1.9
217,217,2016-08-05,27.8,32.9,23.6,0.0,10.8,1.9
218,218,2016-08-06,28.1,32.6,24.3,0.0,10.7,1.8
219,219,2016-08-07,27.8,32.8,24.3,0.0,8.3,1.5
220,220,2016-08-08,30.2,37.4,23.8,0.0,12.3,2.3
221,221,2016-08-09,30.1,35.5,26.3,0.0,12.3,3.9
222,222,2016-08-10,28.3,34.4,23.5,0.0,11.0,2.3
223,223,2016-08-11,27.0,32.7,22.4,0.0,11.3,1.8
224,224,2016-08-12,27.1,31.8,23.8,0.0,7.0,2.3
225,225,2016-08-13,27.4,32.6,24.2,0.0,6.3,1.8
226,226,2016-08-14,26.0,28.8,24.6,0.0,0.1,2.1
227,227,2016-08-15,27.5,33.3,23.6,0.0,6.1,1.7
228,228,2016-08-16,28.9,33.3,25.1,0.0,9.9,2.0
229,229,2016-08-17,29.9,35.4,26.8,0.0,10.2,2.0
230,230,2016-08-18,29.1,34.4,26.4,0.0,6.8,2.2
231,231,2016-08-19,28.6,33.4,25.0,1.0,9.1,1.7
232,232,2016-08-20,28.6,35.2,24.0,0.0,6.8,1.8
233,233,2016-08-21,28.8,34.5,24.3,0.0,10.0,2.2
234,234,2016-08-22,30.4,35.6,26.8,0.0,3.5,3.0
235,235,2016-08-23,29.0,35.0,25.0,0.0,8.4,2.0
236,236,2016-08-24,28.1,33.4,25.0,0.0,6.3,2.9
237,237,2016-08-25,27.7,32.7,24.8,0.0,8.0,2.3
238,238,2016-08-26,28.0,34.1,23.7,0.0,11.3,1.6
239,239,2016-08-27,27.2,32.7,24.2,0.0,4.2,1.6
240,240,2016-08-28,26.1,31.2,22.8,2.0,0.4,2.8
241,241,2016-08-29,28.0,36.4,23.1,0.0,4.9,2.9
242,242,2016-08-30,23.8,28.8,20.6,6.0,7.3,3.3
243,243,2016-08-31,26.5,31.5,21.0,0.0,11.8,2.5
244,244,2016-09-01,26.8,32.9,22.5,0.0,10.1,1.9
245,245,2016-09-02,27.2,32.5,22.9,0.0,11.8,2.4
246,246,2016-09-03,28.7,36.1,24.0,0.0,7.2,3.2
247,247,2016-09-04,28.0,33.2,22.4,16.5,8.3,3.8
248,248,2016-09-05,24.8,27.1,21.6,16.0,0.5,2.2
249,249,2016-09-06,26.1,30.6,23.8,7.5,2.4,1.7
250,250,2016-09-07,27.1,31.7,23.7,4.5,7.4,2.1
251,251,2016-09-08,25.0,27.1,23.3,30.5,2.3,2.8
252,252,2016-09-09,25.3,30.5,21.9,0.0,10.9,2.7
253,253,2016-09-10,24.9,30.5,19.8,0.0,10.5,2.0
254,254,2016-09-11,25.0,30.1,21.8,0.0,2.2,1.3
255,255,2016-09-12,25.4,29.3,23.3,0.0,1.0,2.4
256,256,2016-09-13,24.4,26.7,22.5,35.5,0.0,1.7
257,257,2016-09-14,24.9,29.4,22.0,9.5,1.4,1.3
258,258,2016-09-15,24.0,27.8,21.6,0.0,1.8,1.2
259,259,2016-09-16,24.6,29.0,22.4,1.0,2.9,1.3
260,260,2016-09-17,25.5,29.7,22.6,0.0,3.3,1.5
261,261,2016-09-18,24.6,25.8,23.2,9.5,0.0,1.7
262,262,2016-09-19,25.1,31.2,22.2,20.5,3.1,1.4
263,263,2016-09-20,22.2,24.2,20.0,77.5,0.0,3.8
264,264,2016-09-21,22.1,26.5,19.9,2.0,0.4,1.1
265,265,2016-09-22,21.6,23.3,20.1,22.5,0.0,1.2
266,266,2016-09-23,22.7,24.0,21.7,26.5,0.1,0.9
267,267,2016-09-24,20.9,22.7,19.4,17.5,0.1,1.4
268,268,2016-09-25,22.5,28.7,18.5,0.0,7.4,1.2
269,269,2016-09-26,24.6,29.7,21.2,0.0,7.1,1.2
270,270,2016-09-27,25.5,30.0,22.1,0.0,6.6,1.2
271,271,2016-09-28,24.7,28.4,23.0,11.0,0.0,1.2
272,272,2016-09-29,24.0,27.7,21.3,5.5,2.1,2.1
273,273,2016-09-30,21.4,23.8,17.4,0.0,0.4,1.9
274,274,2016-10-01,23.3,27.2,21.2,1.0,0.9,1.3
275,275,2016-10-02,24.1,28.7,21.9,1.0,2.3,1.2
276,276,2016-10-03,22.7,25.8,20.1,8.0,0.0,1.7
277,277,2016-10-04,23.6,29.4,20.8,0.0,3.4,1.8
278,278,2016-10-05,23.6,27.1,20.4,3.0,1.4,2.5
279,279,2016-10-06,23.6,27.9,20.1,0.0,10.7,3.5
280,280,2016-10-07,21.9,27.4,17.8,0.0,5.6,2.4
281,281,2016-10-08,23.5,27.9,20.1,2.0,1.2,2.5
282,282,2016-10-09,20.6,24.1,16.8,16.5,0.5,2.4
283,283,2016-10-10,18.7,23.7,15.1,0.0,4.4,2.1
284,284,2016-10-11,18.9,23.7,15.3,0.0,4.8,1.1
285,285,2016-10-12,19.1,25.1,14.9,0.0,7.4,1.9
286,286,2016-10-13,16.7,21.3,14.6,0.0,1.1,2.0
287,287,2016-10-14,16.7,21.4,13.4,0.0,2.2,1.1
288,288,2016-10-15,18.3,24.3,12.8,0.0,10.2,1.3
289,289,2016-10-16,20.8,26.2,15.9,0.0,9.1,3.0
290,290,2016-10-17,19.7,21.4,17.5,45.5,0.0,2.2
291,291,2016-10-18,22.2,28.7,17.6,0.0,9.7,1.6
292,292,2016-10-19,21.9,26.6,18.3,0.0,6.0,1.5
293,293,2016-10-20,22.3,27.3,19.1,0.0,8.7,2.4
294,294,2016-10-21,18.2,22.0,15.3,0.0,1.3,1.8
295,295,2016-10-22,18.6,21.8,15.8,0.0,1.6,0.8
296,296,2016-10-23,18.7,21.6,16.3,0.0,1.4,2.1
297,297,2016-10-24,16.3,21.6,12.6,0.0,5.8,1.6
298,298,2016-10-25,16.2,17.8,13.3,3.5,0.0,2.0
299,299,2016-10-26,20.3,26.9,15.5,2.0,8.3,1.6
300,300,2016-10-27,18.6,24.4,13.9,0.0,10.2,2.3
301,301,2016-10-28,17.1,19.5,13.4,10.5,0.0,1.1
302,302,2016-10-29,18.0,23.2,13.3,0.0,10.0,3.2
303,303,2016-10-30,14.1,20.2,11.3,0.0,5.0,1.8
304,304,2016-10-31,15.6,20.2,10.5,0.0,5.0,1.4
305,305,2016-11-01,13.9,18.9,10.7,11.0,5.6,2.7
306,306,2016-11-02,12.5,15.0,9.8,0.0,0.1,1.4
307,307,2016-11-03,13.6,17.8,9.8,0.0,9.6,2.1
308,308,2016-11-04,13.4,19.2,7.9,0.0,10.0,2.0
309,309,2016-11-05,14.7,20.4,8.2,0.0,10.0,1.6
310,310,2016-11-06,15.7,21.1,11.0,0.0,9.9,2.8
311,311,2016-11-07,13.1,18.0,7.7,0.0,9.1,1.2
312,312,2016-11-08,14.2,17.6,11.4,8.5,0.1,1.1
313,313,2016-11-09,9.8,14.4,6.7,0.0,10.0,2.6
314,314,2016-11-10,9.6,12.9,6.3,1.0,0.4,2.2
315,315,2016-11-11,14.6,20.2,9.9,9.5,8.1,2.0
316,316,2016-11-12,14.2,20.4,9.2,0.0,9.8,1.5
317,317,2016-11-13,15.9,22.5,10.8,0.0,8.2,1.1
318,318,2016-11-14,14.2,15.7,13.2,11.5,0.0,0.9
319,319,2016-11-15,16.2,21.2,12.2,1.0,6.4,1.9
320,320,2016-11-16,11.8,16.3,8.3,0.0,9.7,2.7
321,321,2016-11-17,13.5,18.8,8.3,0.0,9.3,2.5
322,322,2016-11-18,13.4,18.8,8.2,0.0,5.3,1.4
323,323,2016-11-19,16.4,19.6,14.2,10.0,0.9,2.0
324,324,2016-11-20,18.2,22.4,14.9,0.0,7.6,2.3
325,325,2016-11-21,15.6,18.1,13.4,5.5,0.0,1.0
326,326,2016-11-22,17.0,21.6,14.6,0.0,8.1,2.2
327,327,2016-11-23,12.4,15.1,8.4,0.0,3.6,2.3
328,328,2016-11-24,7.7,11.8,5.5,9.0,3.0,1.0
329,329,2016-11-25,9.1,14.2,5.0,0.0,8.3,1.6
330,330,2016-11-26,11.6,16.5,6.3,0.5,8.0,1.7
331,331,2016-11-27,11.8,14.0,9.8,17.0,0.1,1.4
332,332,2016-11-28,10.9,14.9,7.5,0.0,5.4,2.1
333,333,2016-11-29,9.3,14.8,4.6,0.0,9.1,2.4
334,334,2016-11-30,9.3,12.9,6.0,0.0,1.0,1.7
335,335,2016-12-01,13.0,17.5,10.2,0.5,1.8,1.4
336,336,2016-12-02,10.8,14.4,7.9,0.0,9.0,2.6
337,337,2016-12-03,11.4,16.8,6.6,0.0,9.3,1.9
338,338,2016-12-04,11.9,17.3,7.7,4.5,6.1,1.0
339,339,2016-12-05,13.5,17.8,11.1,0.0,6.4,1.8
340,340,2016-12-06,10.8,14.5,5.8,0.0,7.4,2.5
341,341,2016-12-07,7.7,12.5,3.8,0.0,9.4,1.9
342,342,2016-12-08,9.1,14.0,5.7,0.0,9.1,1.6
343,343,2016-12-09,10.4,16.1,5.8,0.0,6.9,1.4
344,344,2016-12-10,7.8,11.4,2.9,0.0,9.4,2.3
345,345,2016-12-11,6.3,11.2,2.9,0.0,9.1,2.7
346,346,2016-12-12,6.6,12.0,1.9,0.0,4.2,1.5
347,347,2016-12-13,8.3,13.3,6.3,26.0,0.0,0.7
348,348,2016-12-14,9.0,13.3,3.6,15.0,8.5,3.2
349,349,2016-12-15,5.6,10.8,1.6,0.0,8.9,2.0
350,350,2016-12-16,4.8,9.8,1.6,0.0,8.6,2.1
351,351,2016-12-17,6.2,10.7,2.1,0.0,7.9,1.9
352,352,2016-12-18,9.5,13.9,4.5,0.0,8.8,2.5
353,353,2016-12-19,11.0,15.4,5.2,0.0,8.5,2.1
354,354,2016-12-20,11.3,13.8,7.8,0.0,0.1,1.2
355,355,2016-12-21,10.6,16.9,5.6,0.0,8.0,1.1
356,356,2016-12-22,15.0,18.5,8.8,39.5,0.0,2.2
357,357,2016-12-23,11.1,15.8,6.8,0.0,3.0,2.7
358,358,2016-12-24,7.7,11.7,5.2,0.0,8.3,2.2
359,359,2016-12-25,8.3,12.5,5.1,0.0,9.0,2.2
360,360,2016-12-26,8.5,13.6,4.2,1.0,2.3,0.8
361,361,2016-12-27,11.1,15.1,6.6,21.5,2.1,2.1
362,362,2016-12-28,5.0,9.4,1.2,0.0,9.2,2.2
363,363,2016-12-29,5.8,9.5,1.1,0.0,6.9,2.1
364,364,2016-12-30,5.3,10.3,1.8,0.0,9.3,2.2
365,365,2016-12-31,6.7,11.4,1.3,0.0,9.3,2.9
366,366,2017-01-01,8.2,13.0,5.6,0.0,9.3,2.6
367,367,2017-01-02,8.9,13.3,4.1,0.0,8.8,1.7
368,368,2017-01-03,8.9,13.1,5.7,0.0,4.7,2.0
369,369,2017-01-04,8.1,12.1,4.2,0.0,6.2,2.2
370,370,2017-01-05,5.9,10.7,3.3,0.0,9.3,2.3
371,371,2017-01-06,4.3,8.6,2.0,0.0,1.3,2.4
372,372,2017-01-07,5.8,12.5,0.3,0.0,8.3,1.1
373,373,2017-01-08,5.9,8.8,3.7,19.0,0.0,1.6
374,374,2017-01-09,8.5,13.5,5.4,0.0,6.3,2.7
375,375,2017-01-10,8.4,12.4,5.1,0.0,6.9,2.2
376,376,2017-01-11,5.4,7.9,3.4,0.0,3.1,1.8
377,377,2017-01-12,5.1,8.4,2.1,0.0,2.6,2.2
378,378,2017-01-13,4.9,9.6,1.9,0.0,2.6,2.4
379,379,2017-01-14,0.3,3.5,-2.2,10.5,0.3,2.3
380,380,2017-01-15,-0.4,2.9,-3.3,2.0,4.4,2.2
381,381,2017-01-16,1.7,4.8,-0.3,0.0,4.5,2.7
382,382,2017-01-17,4.0,9.7,-0.5,0.0,7.3,1.9
383,383,2017-01-18,5.6,10.6,0.7,0.0,9.0,2.3
384,384,2017-01-19,6.2,10.6,1.9,0.0,3.9,2.2
385,385,2017-01-20,4.5,8.7,0.1,0.5,1.9,1.7
386,386,2017-01-21,4.9,9.2,2.6,0.0,9.3,2.6
387,387,2017-01-22,4.9,10.2,0.9,1.0,3.4,1.9
388,388,2017-01-23,2.0,6.0,-0.7,0.0,6.0,2.9
389,389,2017-01-24,1.0,5.0,-2.2,0.0,8.0,2.4
390,390,2017-01-25,2.7,7.9,-1.3,0.0,9.7,2.8
391,391,2017-01-26,4.1,9.5,0.6,0.0,9.9,2.5
392,392,2017-01-27,6.9,12.9,0.4,0.0,4.0,1.2
393,393,2017-01-28,7.2,12.9,2.8,0.0,9.3,2.3
394,394,2017-01-29,6.9,12.7,1.7,1.0,5.8,0.9
395,395,2017-01-30,7.9,12.6,4.5,4.0,3.3,2.1
