Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
43,2016-02-13,11.7,18.2,9.1,1.2,12.8,1017.2,93,1019.3
44,2016-02-14,17.5,24.2,13.2,2.6,15.8,1000.9,79,1002.9
45,2016-02-15,9.0,14.7,2.8,4.0,5.7,1004.8,50,1006.8
46,2016-02-16,5.3,9.8,2.0,3.5,3.7,1013.3,43,1015.4
47,2016-02-17,5.6,11.6,1.0,2.6,4.8,1017.1,55,1019.2
48,2016-02-18,5.8,12.9,-0.2,2.2,5.6,1023.3,62,1025.4
49,2016-02-19,9.2,16.1,2.7,2.2,7.0,1025.3,63,1027.4
50,2016-02-20,10.3,14.1,8.2,1.6,11.2,1014.7,89,1016.7
51,2016-02-21,9.3,14.1,4.3,3.0,6.3,1018.1,56,1020.2
52,2016-02-22,7.2,10.9,2.3,1.7,5.4,1026.9,55,1029.1
53,2016-02-23,10.0,14.2,5.7,1.5,7.5,1020.7,62,1022.8
54,2016-02-24,7.5,12.0,2.1,3.3,4.7,1021.3,47,1023.5
55,2016-02-25,5.2,11.2,-0.6,2.4,3.9,1025.4,46,1027.5
56,2016-02-26,5.9,12.6,0.4,2.7,3.6,1025.8,40,1028.0
57,2016-02-27,8.1,16.0,0.9,2.4,5.6,1024.4,53,1026.5
58,2016-02-28,10.0,15.0,4.0,2.2,8.1,1022.4,66,1024.5
59,2016-02-29,10.6,19.7,3.5,4.7,7.8,1010.5,58,1012.6
60,2016-03-01,4.3,9.6,1.0,3.2,3.2,1019.3,40,1021.4
61,2016-03-02,5.7,12.4,-0.4,2.5,4.7,1022.3,53,1024.4
62,2016-03-03,8.7,16.0,1.5,2.6,5.3,1023.5,49,1025.6
63,2016-03-04,11.0,18.2,4.3,2.4,8.6,1027.2,64,1029.3
64,2016-03-05,12.7,17.6,7.6,2.2,10.8,1027.9,74,1030.0
65,2016-03-06,15.7,20.1,11.4,1.9,13.7,1022.1,78,1024.1
66,2016-03-07,14.9,18.5,12.5,1.5,15.3,1014.3,91,1016.3
67,2016-03-08,14.9,19.8,10.5,2.0,14.2,1013.4,84,1015.4
68,2016-03-09,11.8,14.1,9.4,1.5,12.8,1010.1,92,1012.2
69,2016-03-10,9.3,13.0,5.4,1.8,8.3,1012.9,73,1015.0
70,2016-03-11,8.8,13.2,4.5,1.6,6.7,1014.8,60,1016.9
71,2016-03-12,7.4,13.3,1.2,2.4,5.9,1019.4,59,1021.6
72,2016-03-13,8.6,13.5,3.9,2.1,7.7,1020.9,71,1023.0
73,2016-03-14,7.3,9.0,3.7,1.2,9.2,1009.8,90,1011.9
74,2016-03-15,9.0,16.0,3.2,3.1,5.1,1015.0,48,1017.1
75,2016-03-16,8.9,14.8,3.0,2.3,7.3,1021.1,63,1023.2
76,2016-03-17,12.1,19.9,5.3,2.7,8.8,1020.4,65,1022.4
77,2016-03-18,13.7,20.9,7.4,2.0,11.7,1016.7,75,1018.8
78,2016-03-19,16.3,20.3,11.8,1.8,15.0,1005.1,81,1007.1
79,2016-03-20,12.6,20.1,7.0,2.7,6.1,1010.3,45,1012.3
80,2016-03-21,10.4,18.1,4.0,2.1,5.0,1015.1,43,1017.2
81,2016-03-22,10.6,17.7,3.0,2.7,6.6,1015.1,51,1017.2
82,2016-03-23,13.0,20.2,6.7,2.4,9.3,1011.9,62,1014.0
83,2016-03-24,10.9,16.3,5.3,2.7,6.1,1012.8,47,1014.9
84,2016-03-25,8.6,14.7,2.5,2.5,4.1,1017.0,38,1019.1
85,2016-03-26,8.2,14.5,1.9,2.5,5.2,1017.6,49,1019.7
86,2016-03-27,9.4,14.3,4.2,2.2,8.4,1016.7,72,1018.8
87,2016-03-28,9.5,16.0,5.6,1.9,8.4,1017.1,72,1019.2
88,2016-03-29,11.7,18.5,4.3,2.0,6.8,1021.4,51,1023.5
89,2016-03-30,13.3,17.8,8.7,2.0,9.7,1018.5,64,1020.6
90,2016-03-31,14.7,19.1,9.5,2.4,10.4,1016.8,63,1018.8
91,2016-04-01,13.6,14.9,12.3,2.7,14.3,1014.8,92,1016.9
92,2016-04-02,12.9,13.7,11.9,1.5,13.9,1021.5,93,1023.6
93,2016-04-03,14.5,15.4,13.3,1.3,15.8,1019.7,96,1021.8
94,2016-04-04,16.7,18.9,14.7,1.4,17.5,1005.8,92,1007.8
95,2016-04-05,15.0,19.9,11.3,2.0,14.7,1011.0,86,1013.1
96,2016-04-06,15.4,22.7,9.4,2.4,10.5,1017.2,63,1019.3
97,2016-04-07,15.9,21.2,13.0,1.3,16.9,1008.1,92,1010.1
98,2016-04-08,16.5,21.5,10.8,1.7,13.6,1009.4,74,1011.5
99,2016-04-09,15.0,21.6,9.7,2.4,11.0,1013.2,65,1015.3
100,2016-04-10,15.3,19.6,11.3,1.6,10.7,1009.0,62,1011.1
101,2016-04-11,13.0,17.7,6.3,3.8,6.7,1011.9,46,1014.0
102,2016-04-12,10.8,16.4,4.0,2.1,8.2,1019.9,62,1022.0
103,2016-04-13,15.0,17.6,12.0,1.7,15.9,1012.0,93,1014.1
104,2016-04-14,18.2,23.8,13.7,1.7,16.6,1003.2,80,1005.2
105,2016-04-15,16.3,23.3,10.3,2.9,7.1,1013.9,42,1016.0
106,2016-04-16,15.2,19.9,8.0,2.9,10.2,1018.9,57,1020.9
107,2016-04-17,20.8,28.0,14.8,4.4,16.2,1006.7,67,1008.7
108,2016-04-18,15.2,19.7,12.3,1.8,13.0,1010.0,76,1012.1
109,2016-04-19,15.1,21.3,8.4,3.0,10.1,1017.0,61,1019.0
110,2016-04-20,14.7,19.4,8.4,2.9,10.9,1022.4,66,1024.5
111,2016-04-21,15.1,16.9,13.4,1.1,14.3,1012.1,83,1014.1
112,2016-04-22,19.1,25.8,14.9,2.2,16.9,1004.5,79,1006.4
113,2016-04-23,17.6,21.9,13.4,2.3,16.8,1009.7,83,1011.7
114,2016-04-24,17.9,22.2,15.0,1.8,16.2,1010.5,80,1012.5
115,2016-04-25,17.1,20.2,15.0,2.0,15.4,1016.6,79,1018.6
116,2016-04-26,18.0,22.7,14.1,2.4,14.8,1015.1,73,1017.1
117,2016-04-27,16.5,18.7,14.9,1.7,16.9,1009.5,90,1011.5
118,2016-04-28,17.3,19.6,14.9,2.4,16.8,997.1,85,999.1
119,2016-04-29,14.8,19.3,8.8,4.5,7.5,1003.6,46,1005.6
120,2016-04-30,15.0,22.1,7.2,2.8,8.5,1012.4,52,1014.4
121,2016-05-01,17.2,22.5,10.7,2.0,12.4,1013.8,63,1015.8
122,2016-05-02,18.3,23.1,13.4,2.7,14.3,1017.4,68,1019.4
123,2016-05-03,19.1,22.0,14.7,3.0,16.7,1013.0,76,1015.0
124,2016-05-04,21.3,27.6,16.5,3.8,13.1,1005.1,54,1007.0
125,2016-05-05,19.8,25.9,13.1,2.6,10.7,1011.7,49,1013.7
126,2016-05-06,16.1,19.8,14.3,1.2,13.8,1014.9,76,1016.9
127,2016-05-07,17.0,20.7,14.4,1.9,16.6,1009.4,86,1011.4
128,2016-05-08,18.7,25.9,11.4,2.5,12.0,1015.2,59,1017.2
129,2016-05-09,15.9,17.6,14.0,1.1,16.2,1013.5,90,1015.5
130,2016-05-10,17.4,19.4,15.4,1.5,18.4,1005.8,93,1007.8
131,2016-05-11,21.9,26.3,15.0,3.9,18.4,1000.6,70,1002.5
132,2016-05-12,19.2,25.9,12.4,2.7,13.9,1012.6,65,1014.6
133,2016-05-13,18.7,23.6,12.5,2.6,17.1,1017.3,79,1019.3
134,2016-05-14,20.4,26.5,15.4,2.3,15.9,1020.0,69,1022.0
135,2016-05-15,18.6,22.3,15.6,2.5,16.6,1018.8,78,1020.8
136,2016-05-16,18.5,20.3,17.0,1.1,20.0,1011.1,94,1013.1
137,2016-05-17,17.9,21.8,12.4,1.8,18.2,1008.8,88,1010.8
138,2016-05-18,18.3,25.5,11.9,2.9,13.3,1015.8,64,1017.9
139,2016-05-19,19.6,25.8,13.1,2.4,11.0,1017.9,52,1020.0
140,2016-05-20,18.2,22.6,13.6,2.4,14.6,1017.4,70,1019.4
141,2016-05-21,18.7,24.6,11.4,2.7,14.4,1014.7,67,1016.7
142,2016-05-22,22.0,28.4,16.3,2.4,14.3,1014.8,57,1016.8
143,2016-05-23,21.8,26.8,17.1,2.5,17.4,1013.0,67,1015.0
144,2016-05-24,21.8,29.0,16.1,2.9,15.0,1011.6,58,1013.6
145,2016-05-25,20.5,23.4,17.9,1.5,18.2,1012.3,75,1014.3
146,2016-05-26,21.1,23.5,19.5,1.4,23.0,1009.9,92,1011.9
147,2016-05-27,23.5,29.7,19.9,2.3,21.4,1005.9,76,1007.9
148,2016-05-28,20.3,22.1,18.1,1.6,19.8,1007.1,83,1009.1
149,2016-05-29,19.6,23.7,16.3,2.4,19.0,1005.6,84,1007.6
150,2016-05-30,19.3,21.5,17.2,1.5,19.4,1002.9,87,1004.9
151,2016-05-31,21.7,26.3,16.6,2.4,20.3,1003.7,79,1005.7
152,2016-06-01,21.1,25.9,15.2,2.3,16.1,1001.0,65,1002.9
153,2016-06-02,20.3,27.3,12.8,3.0,9.4,1003.6,43,1005.6
154,2016-06-03,19.6,25.3,12.3,3.0,11.8,1011.0,51,1013.0
155,2016-06-04,19.7,25.7,15.2,2.1,17.0,1011.6,75,1013.6
156,2016-06-05,17.6,21.2,15.0,1.9,17.4,1009.7,86,1011.7
157,2016-06-06,20.0,24.7,14.5,3.0,17.9,1013.1,77,1015.1
158,2016-06-07,18.9,19.9,17.7,1.6,20.5,1012.6,94,1014.6
159,2016-06-08,20.1,24.0,17.9,1.6,20.0,1011.2,86,1013.2
160,2016-06-09,21.4,26.0,19.1,1.3,23.0,1008.7,90,1010.7
161,2016-06-10,22.4,26.4,18.9,2.4,22.2,1011.1,82,1013.1
162,2016-06-11,22.3,25.6,20.0,2.1,22.1,1013.7,82,1015.7
163,2016-06-12,21.3,23.2,19.6,1.8,22.7,1008.7,90,1010.7
164,2016-06-13,22.4,25.3,19.7,1.6,24.6,996.4,91,998.4
165,2016-06-14,22.9,27.6,19.0,2.4,22.2,1001.7,81,1003.7
166,2016-06-15,22.7,26.5,19.2,2.0,23.1,1006.8,84,1008.8
167,2016-06-16,21.3,22.7,20.6,1.6,24.3,1001.8,96,1003.8
168,2016-06-17,23.6,28.5,20.0,2.2,22.5,1004.6,78,1006.6
169,2016-06-18,23.7,28.7,17.9,2.6,21.0,1011.8,72,1013.8
170,2016-06-19,21.9,25.5,19.9,1.3,22.8,1010.8,86,1012.8
171,2016-06-20,23.1,26.6,20.7,1.6,24.8,1006.9,88,1008.9
172,2016-06-21,23.6,27.7,20.3,2.3,24.8,1005.0,86,1006.9
173,2016-06-22,23.3,25.2,21.4,1.5,25.9,1006.1,91,1008.1
174,2016-06-23,25.2,31.1,22.0,2.0,26.1,1001.1,82,1003.0
175,2016-06-24,22.2,26.6,19.1,1.7,22.2,1003.7,83,1005.7
176,2016-06-25,24.8,28.8,20.6,2.0,25.3,1000.8,81,1002.8
177,2016-06-26,22.7,27.4,18.4,2.5,18.1,1006.9,66,1008.8
178,2016-06-27,22.9,29.9,18.1,2.7,19.0,1011.3,70,1013.3
179,2016-06-28,20.8,22.8,18.1,0.9,23.4,1008.8,95,1010.8
180,2016-06-29,22.3,24.0,21.3,1.1,24.9,1011.8,93,1013.8
181,2016-06-30,23.9,27.1,20.8,1.8,26.0,1010.9,88,1012.9
182,2016-07-01,25.1,28.4,21.3,2.4,26.7,1011.2,84,1013.1
183,2016-07-02,28.1,35.9,22.5,2.5,24.6,1009.5,68,1011.4
184,2016-07-03,30.6,38.6,25.0,2.3,26.1,1008.0,62,1010.0
185,2016-07-04,27.3,30.6,24.4,2.1,29.1,1010.8,81,1012.7
186,2016-07-05,26.9,31.9,24.1,2.4,28.9,1015.0,83,1017.0
187,2016-07-06,24.1,25.5,22.6,1.6,28.0,1015.9,93,1017.9
188,2016-07-07,26.5,31.2,21.7,2.2,27.0,1012.6,79,1014.5
189,2016-07-08,25.2,27.8,21.5,1.8,27.2,1011.9,85,1013.9
190,2016-07-09,22.4,24.9,20.7,1.3,25.5,1006.0,94,1008.0
191,2016-07-10,25.1,28.9,21.3,2.1,27.5,1003.2,87,1005.1
192,2016-07-11,27.4,32.3,23.7,2.0,29.6,1003.4,82,1005.3
193,2016-07-12,26.2,28.8,24.6,1.5,29.4,1004.1,86,1006.0
194,2016-07-13,26.7,31.8,24.1,1.4,29.9,1000.0,86,1001.9
195,2016-07-14,27.4,31.5,24.4,2.1,27.6,996.0,76,997.9
196,2016-07-15,26.8,32.3,23.5,2.5,24.4,997.8,70,999.7
197,2016-07-16,25.1,28.2,23.3,1.9,24.9,1004.8,78,1006.7
198,2016-07-17,26.2,28.9,23.3,1.7,28.6,1005.2,84,1007.1
199,2016-07-18,27.4,32.6,23.9,2.5,29.3,1005.7,81,1007.6
200,2016-07-19,27.2,32.2,23.0,2.8,25.1,1007.7,71,1009.6
201,2016-07-20,26.5,31.0,22.8,2.9,25.9,1009.0,76,1011.0
202,2016-07-21,25.8,29.9,23.1,2.3,27.2,1009.3,83,1011.3
203,2016-07-22,23.1,24.0,22.1,1.4,26.8,1009.7,95,1011.7
204,2016-07-23,22.3,24.0,21.2,1.6,24.7,1012.1,92,1014.1
205,2016-07-24,23.1,25.6,20.9,1.5,23.9,1013.3,85,1015.3
206,2016-07-25,24.3,27.6,22.2,2.1,24.2,1012.5,80,1014.5
207,2016-07-26,23.6,24.8,22.2,1.1,26.2,1009.2,90,1011.2
208,2016-07-27,25.2,28.6,22.8,2.1,27.9,1008.2,87,1010.1
209,2016-07-28,24.9,27.6,23.1,1.7,28.8,1010.3,91,1012.3
210,2016-07-29,25.5,29.5,21.9,2.4,27.0,1011.8,83,1013.8
211,2016-07-30,25.5,30.0,21.2,2.8,25.3,1011.5,78,1013.5
212,2016-07-31,26.8,31.9,21.4,2.7,22.9,1009.3,66,1011.2
213,2016-08-01,27.6,32.8,23.7,2.7,27.5,1006.7,75,1008.7
214,2016-08-02,27.2,31.3,23.8,2.6,28.7,1005.8,80,1007.7
215,2016-08-03,26.5,30.5,23.3,2.3,29.0,1006.7,84,1008.7
216,2016-08-04,26.9,31.6,23.8,2.6,28.9,1007.9,82,1009.8
217,2016-08-05,27.2,30.7,23.5,2.6,29.0,1008.8,81,1010.7
218,2016-08-06,27.3,31.1,23.7,2.6,29.5,1007.7,81,1009.6
219,2016-08-07,27.6,32.7,23.8,2.6,24.9,1007.2,68,1009.2
220,2016-08-08,30.0,37.5,23.4,2.3,23.9,1001.7,58,1003.6
221,2016-08-09,30.8,37.4,24.4,1.9,23.4,1002.1,54,1004.0
222,2016-08-10,28.1,32.6,24.6,2.5,26.0,1005.9,69,1007.8
223,2016-08-11,27.1,30.8,23.8,2.7,25.6,1007.0,72,1008.9
224,2016-08-12,26.5,30.7,24.2,2.4,27.3,1007.5,79,1009.5
225,2016-08-13,26.8,31.2,23.1,2.5,27.3,1006.0,78,1007.9
226,2016-08-14,26.9,31.4,23.9,2.4,29.4,1002.9,83,1004.8
227,2016-08-15,25.8,28.6,23.7,1.8,30.0,1000.8,90,1002.7
228,2016-08-16,26.1,29.4,24.0,2.1,28.9,999.5,86,1001.4
229,2016-08-17,27.6,33.5,24.3,2.3,29.1,998.9,80,1000.8
230,2016-08-18,27.5,31.9,24.2,2.5,31.2,1003.3,85,1005.2
231,2016-08-19,26.8,31.1,25.0,1.9,29.7,1004.5,85,1006.4
232,2016-08-20,28.3,33.3,23.7,2.6,28.8,1002.0,76,1003.9
233,2016-08-21,27.9,31.4,25.6,2.6,30.7,1003.0,82,1004.9
234,2016-08-22,30.7,38.0,26.2,2.4,28.7,999.3,67,1001.2
235,2016-08-23,27.7,32.3,25.0,2.0,29.3,1002.8,79,1004.7
236,2016-08-24,26.5,31.0,24.5,2.1,30.0,1005.5,87,1007.4
237,2016-08-25,26.5,30.8,23.7,2.1,29.0,1006.0,84,1008.0
238,2016-08-26,26.9,31.0,22.4,2.4,28.0,1003.5,79,1005.4
239,2016-08-27,26.4,30.1,23.9,2.0,28.8,1002.2,85,1004.1
240,2016-08-28,25.4,26.8,23.9,4.5,29.1,998.1,90,1000.1
241,2016-08-29,24.4,26.2,21.3,3.1,28.4,990.0,93,991.9
242,2016-08-30,24.0,29.9,18.9,3.0,17.9,989.7,63,991.7
243,2016-08-31,25.7,33.8,18.9,2.4,17.9,998.0,58,1000.0
244,2016-09-01,25.2,30.5,20.2,2.5,21.3,1006.4,67,1008.4
245,2016-09-02,25.1,29.4,20.7,2.1,24.3,1009.9,76,1011.9
246,2016-09-03,25.3,28.1,23.6,2.9,28.4,1010.9,88,1012.8
247,2016-09-04,26.0,27.4,23.5,4.3,30.5,1012.0,91,1013.9
248,2016-09-05,25.5,28.5,23.3,1.7,28.8,1011.0,89,1013.0
249,2016-09-06,25.1,29.7,23.2,2.0,29.0,1007.5,92,1009.5
250,2016-09-07,25.7,29.8,22.3,1.8,28.6,1003.2,87,1005.1
251,2016-09-08,25.9,29.9,21.9,1.7,29.1,999.8,87,1001.7
252,2016-09-09,24.8,30.5,20.3,2.3,21.6,1005.1,71,1007.0
253,2016-09-10,24.1,29.5,18.9,2.6,20.3,1009.4,68,1011.4
254,2016-09-11,25.3,29.9,21.7,2.0,24.0,1012.6,75,1014.6
255,2016-09-12,24.3,26.9,22.9,1.8,26.4,1014.8,87,1016.8
256,2016-09-13,24.6,26.7,22.8,0.9,29.3,1012.2,95,1014.2
257,2016-09-14,24.7,26.5,23.7,1.0,28.7,1013.6,92,1015.6
258,2016-09-15,24.9,27.8,23.1,1.5,27.3,1013.1,87,1015.0
259,2016-09-16,24.7,28.4,22.7,2.0,26.6,1013.7,86,1015.7
260,2016-09-17,24.8,27.6,22.1,1.8,27.1,1011.9,87,1013.9
261,2016-09-18,23.6,25.1,22.9,1.0,27.6,1007.3,94,1009.3
262,2016-09-19,25.0,28.9,22.8,1.9,29.2,1005.1,92,1007.1
263,2016-09-20,24.3,28.1,21.4,3.2,25.6,1001.3,85,1003.3
264,2016-09-21,21.4,22.9,20.3,1.5,23.5,1014.6,92,1016.6
265,2016-09-22,22.1,23.4,21.0,0.9,25.5,1014.4,96,1016.4
266,2016-09-23,22.8,24.9,21.1,1.1,26.4,1012.8,95,1014.8
267,2016-09-24,20.9,21.9,19.7,1.4,23.8,1015.2,96,1017.2
268,2016-09-25,22.8,27.1,19.2,1.7,22.8,1016.3,83,1018.3
269,2016-09-26,24.1,27.8,21.6,1.8,26.0,1017.4,87,1019.4
270,2016-09-27,24.5,28.5,21.8,1.6,26.7,1015.9,87,1017.9
271,2016-09-28,25.5,30.2,23.0,1.5,29.4,1011.7,90,1013.7
272,2016-09-29,25.0,30.2,22.3,1.4,27.9,1009.9,88,1011.9
273,2016-09-30,22.2,24.8,20.5,1.2,22.7,1013.6,85,1015.6
274,2016-10-01,23.8,26.7,21.4,1.5,27.1,1014.7,92,1016.7
275,2016-10-02,24.8,27.8,22.5,1.8,28.2,1015.8,90,1017.8
276,2016-10-03,22.9,25.3,21.5,1.1,26.8,1011.5,96,1013.5
277,2016-10-04,23.9,29.3,20.6,1.8,24.6,1012.6,84,1014.6
278,2016-10-05,22.5,25.3,19.6,1.4,24.4,1012.5,90,1014.5
279,2016-10-06,23.3,29.2,17.5,2.1,21.0,1013.1,75,1015.0
280,2016-10-07,20.4,24.2,16.0,1.5,18.8,1020.3,78,1022.3
281,2016-10-08,23.8,28.5,20.2,1.6,25.9,1012.0,88,1014.0
282,2016-10-09,21.1,27.6,15.1,1.7,21.7,1007.7,86,1009.7
283,2016-10-10,18.7,24.8,12.9,1.9,15.2,1012.8,72,1014.8
284,2016-10-11,20.1,24.1,16.7,2.0,17.4,1014.2,75,1016.2
285,2016-10-12,19.4,24.3,15.3,2.0,15.6,1014.6,70,1016.6
286,2016-10-13,17.3,21.5,13.6,1.6,13.0,1017.7,67,1019.7
287,2016-10-14,17.3,21.6,14.4,1.6,11.8,1021.3,61,1023.3
288,2016-10-15,18.0,23.4,12.9,2.1,14.5,1024.5,72,1026.5
289,2016-10-16,19.7,23.7,17.1,2.1,18.2,1023.3,79,1025.3
290,2016-10-17,20.3,22.6,18.5,1.8,22.0,1015.2,92,1017.2
291,2016-10-18,21.5,25.9,18.0,1.6,21.8,1014.7,86,1016.7
292,2016-10-19,21.4,25.7,18.5,1.7,21.1,1014.2,83,1016.2
293,2016-10-20,21.2,26.3,17.2,2.0,19.5,1012.5,77,1014.5
294,2016-10-21,18.9,24.7,15.4,2.2,12.3,1015.0,58,1017.0
295,2016-10-22,18.3,22.2,15.2,1.5,17.0,1011.7,81,1013.7
296,2016-10-23,19.1,23.9,14.3,1.5,16.7,1006.8,77,1008.8
297,2016-10-24,16.9,22.9,12.5,2.0,12.7,1013.1,67,1015.1
298,2016-10-25,16.6,18.3,15.1,1.0,17.3,1015.9,91,1017.9
299,2016-10-26,19.7,23.4,15.7,1.7,20.8,1013.4,91,1015.4
300,2016-10-27,19.3,26.0,12.5,2.0,13.8,1017.0,63,1019.0
301,2016-10-28,16.8,18.4,12.2,1.1,16.0,1012.7,82,1014.7
302,2016-10-29,18.3,24.6,11.0,2.5,14.2,1012.4,69,1014.5
303,2016-10-30,14.5,20.7,9.4,2.4,9.2,1022.3,57,1024.4
304,2016-10-31,15.4,20.3,9.6,2.1,12.9,1021.8,73,1023.9
305,2016-11-01,15.5,21.4,11.1,1.6,12.9,1016.9,74,1019.0
306,2016-11-02,14.2,19.5,8.6,2.5,10.0,1019.4,64,1021.5
307,2016-11-03,13.9,20.2,9.4,2.3,8.5,1014.8,57,1016.9
308,2016-11-04,13.0,19.7,8.0,2.0,9.1,1015.0,63,1017.0
309,2016-11-05,13.7,20.2,8.7,2.3,11.0,1012.9,71,1015.0
310,2016-11-06,14.5,21.6,9.4,2.5,9.1,1016.4,57,1018.4
311,2016-11-07,14.9,18.3,10.3,1.5,11.4,1021.0,68,1023.1
312,2016-11-08,15.4,19.4,13.7,1.2,14.7,1015.3,85,1017.4
313,2016-11-09,11.1,16.1,5.1,2.8,8.3,1017.4,64,1019.5
314,2016-11-10,11.2,15.7,4.7,1.5,8.8,1019.4,66,1021.5
315,2016-11-11,15.3,20.4,12.1,2.0,14.2,1014.2,82,1016.2
316,2016-11-12,14.0,20.6,9.2,2.0,11.1,1020.9,72,1023.0
317,2016-11-13,15.7,21.9,10.5,2.1,13.1,1022.3,74,1024.4
318,2016-11-14,15.3,16.8,13.9,1.4,15.9,1018.0,92,1020.0
319,2016-11-15,17.7,23.8,11.5,1.9,16.4,1009.4,81,1011.4
320,2016-11-16,12.4,19.5,7.2,2.0,9.0,1015.9,65,1018.0
321,2016-11-17,13.5,21.4,7.9,1.9,9.1,1018.9,61,1020.9
322,2016-11-18,14.0,19.7,7.4,2.0,11.0,1021.5,67,1023.6
323,2016-11-19,17.2,20.7,14.8,1.3,17.7,1012.3,91,1014.3
324,2016-11-20,18.4,23.0,14.0,1.9,18.0,1014.4,85,1016.4
325,2016-11-21,16.5,18.6,14.3,1.5,16.7,1015.4,89,1017.5
326,2016-11-22,17.5,22.7,12.4,2.0,16.1,1009.4,81,1011.4
327,2016-11-23,14.3,18.3,10.4,2.1,9.9,1013.4,61,1015.4
328,2016-11-24,9.8,15.2,6.5,1.6,9.8,1013.6,81,1015.7
329,2016-11-25,10.3,16.3,6.1,1.9,9.4,1019.5,76,1021.6
330,2016-11-26,11.1,16.0,5.2,1.7,9.3,1022.0,71,1024.1
331,2016-11-27,13.4,14.4,12.2,0.8,14.7,1011.9,96,1014.0
332,2016-11-28,11.9,16.1,6.1,3.0,8.0,1014.9,59,1017.0
333,2016-11-29,9.6,16.2,4.9,2.0,7.4,1023.7,64,1025.8
334,2016-11-30,10.4,15.6,4.3,1.7,8.5,1026.7,68,1028.8
335,2016-12-01,14.6,17.2,11.9,1.9,13.2,1018.0,79,1020.1
336,2016-12-02,11.9,17.4,7.5,2.3,8.1,1021.8,60,1023.9
