Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed,avg_local_pressure,avg_sea_pressure
39,2016-02-09,1.6,4.0,-0.4,5.0,999.1,1007.6
40,2016-02-10,-0.5,1.1,-1.6,7.5,1010.7,1019.3
41,2016-02-11,1.0,3.2,-0.8,4.3,1022.9,1031.5
42,2016-02-12,5.0,9.6,-1.6,3.5,1019.1,1027.6
43,2016-02-13,9.6,11.1,7.6,5.8,1006.3,1014.6
44,2016-02-14,8.8,14.1,0.9,6.8,987.5,995.6
45,2016-02-15,-2.9,1.4,-5.7,6.9,997.8,1006.4
46,2016-02-16,-1.9,0.9,-5.3,5.1,1001.4,1010.0
47,2016-02-17,-1.1,0.6,-3.4,6.2,1005.6,1014.2
48,2016-02-18,3.5,6.9,-0.3,4.3,1011.7,1020.2
49,2016-02-19,4.3,7.8,2.2,4.1,1013.2,1021.6
50,2016-02-20,3.7,5.9,1.0,2.1,1013.0,1021.5
51,2016-02-21,2.0,5.6,-1.8,6.0,1005.5,1013.9
52,2016-02-22,-0.3,1.5,-1.9,4.1,1021.1,1029.8
53,2016-02-23,2.3,4.5,0.0,4.1,1011.4,1019.9
54,2016-02-24,-2.9,0.4,-4.8,6.3,1017.0,1025.8
55,2016-02-25,-2.6,-0.1,-5.4,4.2,1017.4,1026.1
56,2016-02-26,-2.0,0.0,-3.6,3.7,1015.7,1024.4
57,2016-02-27,-1.1,1.0,-4.1,3.5,1017.3,1026.0
58,2016-02-28,0.3,3.9,-3.1,2.2,1017.1,1025.7
59,2016-02-29,4.1,9.8,-0.3,7.0,998.0,1006.4
60,2016-03-01,-1.4,0.2,-3.9,8.5,1005.5,1014.1
61,2016-03-02,-0.6,2.1,-3.2,4.7,1011.2,1019.9
62,2016-03-03,2.3,5.0,-1.0,4.6,1011.8,1020.3
63,2016-03-04,1.6,5.4,-1.2,2.7,1023.4,1032.1
64,2016-03-05,2.7,8.5,-1.9,2.1,1023.5,1032.1
65,2016-03-06,10.2,14.7,1.9,4.8,1011.4,1019.6
66,2016-03-07,5.5,10.6,2.3,2.5,1010.9,1019.3
67,2016-03-08,5.1,10.2,1.8,4.7,1005.7,1014.1
68,2016-03-09,1.4,4.6,-0.2,4.0,1010.8,1019.3
69,2016-03-10,0.2,2.7,-1.3,2.8,1011.8,1020.4
70,2016-03-11,0.4,3.4,-1.7,4.2,1011.5,1020.1
71,2016-03-12,0.4,4.1,-1.6,2.9,1015.9,1024.5
72,2016-03-13,2.4,6.8,-1.2,3.5,1015.3,1023.8
73,2016-03-14,3.4,9.3,0.3,2.5,1008.7,1017.2
74,2016-03-15,3.9,6.0,1.9,6.3,1008.4,1016.9
75,2016-03-16,7.4,10.5,3.1,6.0,1009.6,1017.9
76,2016-03-17,9.5,11.7,7.3,5.7,1011.6,1019.9
77,2016-03-18,12.4,16.1,9.8,6.0,1006.8,1015.0
78,2016-03-19,8.3,10.6,5.5,4.5,999.6,1007.9
79,2016-03-20,4.1,6.2,1.7,6.2,1007.0,1015.4
80,2016-03-21,3.1,6.9,-0.2,3.4,1009.7,1018.2
81,2016-03-22,3.0,5.8,-0.1,2.7,1004.2,1012.7
82,2016-03-23,3.1,6.1,0.1,3.9,1006.2,1014.7
83,2016-03-24,1.4,4.0,-0.3,4.8,1009.0,1017.6
84,2016-03-25,3.1,6.5,0.0,5.5,1010.0,1018.5
85,2016-03-26,4.8,8.8,1.2,2.9,1011.7,1020.2
86,2016-03-27,6.3,9.3,4.2,4.4,1010.6,1019.0
87,2016-03-28,7.0,11.7,4.0,3.7,1011.8,1020.1
88,2016-03-29,8.6,11.7,4.3,3.5,1013.7,1022.1
89,2016-03-30,8.6,14.1,3.1,4.8,1007.5,1015.8
90,2016-03-31,6.7,10.8,1.9,3.3,1010.1,1018.5
91,2016-04-01,7.6,14.2,0.7,3.4,1013.6,1021.9
92,2016-04-02,9.0,14.3,3.2,2.1,1014.3,1022.6
93,2016-04-03,8.5,14.6,4.1,3.6,1010.7,1019.0
94,2016-04-04,4.5,9.4,1.3,3.3,1005.0,1013.4
95,2016-04-05,7.5,11.1,1.2,4.9,1004.2,1012.5
96,2016-04-06,8.3,11.9,4.8,3.9,1011.0,1019.4
97,2016-04-07,8.8,14.1,4.3,2.1,1001.9,1010.1
98,2016-04-08,7.8,11.9,4.1,2.8,1001.0,1009.3
99,2016-04-09,9.2,13.8,3.4,5.0,1002.0,1010.2
100,2016-04-10,5.7,9.1,2.8,4.0,1004.8,1013.1
101,2016-04-11,3.3,4.9,0.8,6.2,1006.9,1015.3
102,2016-04-12,6.0,10.4,2.3,3.4,1012.8,1021.2
103,2016-04-13,11.7,17.3,3.8,5.2,1004.0,1012.1
104,2016-04-14,11.6,15.1,7.8,2.9,998.3,1006.5
105,2016-04-15,6.0,8.0,3.4,6.5,1006.2,1014.6
106,2016-04-16,8.5,13.0,4.1,2.8,1010.5,1018.9
107,2016-04-17,11.4,20.2,6.0,6.0,990.9,999.0
108,2016-04-18,8.7,10.7,7.0,4.3,999.9,1008.1
109,2016-04-19,7.1,9.6,5.4,3.2,1010.8,1019.1
110,2016-04-20,10.5,13.0,7.8,5.3,1013.4,1021.7
111,2016-04-21,13.5,15.8,11.2,5.7,1003.8,1011.9
112,2016-04-22,13.8,20.2,10.4,2.9,999.6,1007.7
113,2016-04-23,11.6,17.8,5.7,3.6,1000.9,1009.0
114,2016-04-24,9.6,15.7,4.4,3.2,1007.1,1015.4
115,2016-04-25,10.0,16.4,5.8,2.4,1011.9,1020.2
116,2016-04-26,9.8,13.9,5.5,2.0,1010.7,1019.0
117,2016-04-27,9.5,12.8,5.9,4.7,1006.5,1014.7
118,2016-04-28,9.7,13.1,6.3,1.4,995.4,1003.5
119,2016-04-29,6.4,9.5,3.7,6.2,994.0,1002.2
120,2016-04-30,7.4,11.5,4.6,4.8,1003.6,1011.9
121,2016-05-01,8.9,14.9,3.6,2.1,1006.0,1014.3
122,2016-05-02,12.7,18.5,5.3,2.0,1010.4,1018.5
123,2016-05-03,21.2,25.5,17.5,3.5,1001.0,1008.8
124,2016-05-04,14.3,24.0,11.3,7.0,992.1,1000.1
125,2016-05-05,12.3,15.3,10.1,5.9,998.5,1006.6
126,2016-05-06,14.3,20.7,10.0,3.4,1005.0,1013.1
127,2016-05-07,12.6,17.3,10.8,5.2,996.8,1004.9
128,2016-05-08,12.7,17.6,9.2,3.3,1007.3,1015.5
129,2016-05-09,12.1,17.8,7.0,2.6,1008.0,1016.2
130,2016-05-10,14.7,20.3,9.7,2.1,1000.8,1008.9
131,2016-05-11,12.9,16.2,10.2,5.8,989.6,997.6
132,2016-05-12,11.1,15.3,9.0,4.5,1005.6,1013.8
133,2016-05-13,14.6,22.2,9.0,4.0,1010.0,1018.2
134,2016-05-14,14.6,20.3,9.6,4.5,1016.9,1025.0
135,2016-05-15,16.2,21.7,10.6,1.3,1010.4,1018.5
136,2016-05-16,18.2,27.5,10.8,2.5,1000.0,1008.0
137,2016-05-17,13.0,17.4,9.6,3.9,1006.2,1014.4
138,2016-05-18,14.6,19.5,9.6,4.4,1011.3,1019.5
139,2016-05-19,14.8,19.7,9.4,1.1,1013.6,1021.8
140,2016-05-20,17.1,22.1,12.7,1.3,1011.3,1019.3
141,2016-05-21,17.1,22.7,13.0,1.4,1010.2,1018.3
142,2016-05-22,18.8,26.0,12.0,2.8,1009.5,1017.4
143,2016-05-23,17.8,23.0,13.2,4.2,1007.1,1015.1
144,2016-05-24,18.2,22.8,13.9,1.6,1004.2,1012.2
145,2016-05-25,17.1,23.5,15.3,5.9,1002.1,1010.1
146,2016-05-26,18.7,20.8,17.3,5.0,1000.8,1008.7
147,2016-05-27,15.5,18.9,11.3,3.0,1001.1,1009.1
148,2016-05-28,16.4,21.5,12.1,3.9,1000.3,1008.3
149,2016-05-29,16.7,22.0,13.2,2.9,999.5,1007.4
150,2016-05-30,19.4,23.5,14.2,2.1,997.5,1005.4
151,2016-05-31,16.5,22.0,11.6,4.0,994.3,1002.2
152,2016-06-01,11.6,13.3,10.1,5.4,992.2,1000.3
153,2016-06-02,12.4,15.5,9.9,7.6,998.5,1006.6
154,2016-06-03,13.6,16.8,9.0,3.9,1003.5,1011.7
155,2016-06-04,15.9,19.1,13.2,5.0,1001.1,1009.1
156,2016-06-05,13.0,16.5,9.0,3.4,1005.0,1013.2
157,2016-06-06,13.9,17.8,8.3,2.0,1008.7,1016.9
158,2016-06-07,17.6,22.1,13.0,1.3,1005.6,1013.5
159,2016-06-08,17.1,19.4,14.8,1.5,1004.1,1012.1
160,2016-06-09,17.5,19.5,16.0,1.8,1002.8,1010.8
161,2016-06-10,15.1,17.5,11.2,2.4,1007.2,1015.3
162,2016-06-11,16.3,20.6,10.1,2.4,1007.1,1015.1
163,2016-06-12,20.1,24.8,15.2,1.2,1002.2,1010.1
164,2016-06-13,18.9,22.8,17.2,1.2,995.3,1003.2
165,2016-06-14,19.0,23.9,17.0,1.6,996.3,1004.1
166,2016-06-15,20.0,24.7,16.4,1.9,1000.2,1008.1
167,2016-06-16,18.3,19.7,16.7,1.4,995.8,1003.7
168,2016-06-17,18.1,20.3,16.3,3.6,995.2,1003.1
169,2016-06-18,15.8,17.6,14.4,2.2,1006.1,1014.2
170,2016-06-19,19.7,24.8,13.2,1.3,1003.9,1011.9
171,2016-06-20,18.9,22.0,16.9,3.2,997.9,1005.8
172,2016-06-21,18.3,21.9,16.6,2.5,1000.4,1008.4
173,2016-06-22,18.3,21.4,16.1,1.8,1001.2,1009.2
174,2016-06-23,19.2,22.9,15.8,1.2,997.4,1005.3
175,2016-06-24,19.1,22.8,16.8,1.6,997.2,1005.1
176,2016-06-25,19.7,22.6,16.1,7.0,987.2,995.0
177,2016-06-26,14.1,16.1,12.8,4.6,996.7,1004.7
178,2016-06-27,16.2,21.7,12.7,2.0,1006.7,1014.8
179,2016-06-28,18.9,24.3,13.9,2.1,1005.1,1013.0
180,2016-06-29,19.4,23.5,15.1,1.8,1006.4,1014.4
181,2016-06-30,21.3,26.7,17.2,2.2,1004.0,1011.9
182,2016-07-01,21.8,24.7,19.9,3.3,1004.6,1012.4
183,2016-07-02,22.4,27.1,17.5,5.7,997.5,1005.3
184,2016-07-03,19.0,23.5,17.1,3.3,1000.0,1007.9
185,2016-07-04,16.9,19.7,14.7,2.6,1005.8,1013.8
186,2016-07-05,19.8,25.2,14.4,1.7,1010.0,1018.0
187,2016-07-06,17.8,19.6,16.4,1.3,1004.1,1012.0
188,2016-07-07,18.2,20.1,16.7,1.2,1005.8,1013.8
189,2016-07-08,19.4,23.7,16.4,2.7,1005.4,1013.3
190,2016-07-09,21.0,22.6,19.1,2.8,998.7,1006.6
191,2016-07-10,19.4,21.2,17.6,2.4,996.2,1004.1
192,2016-07-11,18.1,21.3,14.8,2.4,999.5,1007.5
193,2016-07-12,19.0,24.3,14.5,2.1,999.2,1007.1
194,2016-07-13,21.7,25.8,15.7,2.0,993.7,1001.5
195,2016-07-14,21.0,22.8,19.9,1.7,988.8,996.5
196,2016-07-15,22.0,26.2,19.2,1.3,992.6,1000.3
197,2016-07-16,22.0,26.5,18.5,1.3,998.1,1005.9
198,2016-07-17,21.6,22.8,20.7,1.8,997.7,1005.5
199,2016-07-18,20.2,22.6,19.1,2.9,1000.4,1008.3
200,2016-07-19,19.4,21.6,18.5,2.5,1003.0,1010.9
201,2016-07-20,19.6,23.5,16.9,1.9,1005.9,1013.8
202,2016-07-21,20.3,25.4,17.0,2.2,1006.1,1014.1
203,2016-07-22,21.1,26.1,15.7,3.0,1006.1,1014.0
204,2016-07-23,21.3,27.0,14.9,1.7,1006.2,1014.1
205,2016-07-24,22.6,27.0,17.7,2.1,1006.5,1014.3
206,2016-07-25,22.8,27.6,18.6,1.7,1005.3,1013.2
207,2016-07-26,23.6,27.4,20.2,1.8,1001.9,1009.7
208,2016-07-27,22.3,24.6,20.5,3.8,999.9,1007.7
209,2016-07-28,24.7,27.0,22.7,5.5,1001.7,1009.4
210,2016-07-29,26.8,30.7,23.5,3.3,1003.8,1011.5
211,2016-07-30,26.0,30.0,22.9,3.2,1004.7,1012.4
212,2016-07-31,25.4,29.1,22.9,1.6,1004.6,1012.4
213,2016-08-01,25.4,29.1,22.3,2.0,1002.1,1009.9
214,2016-08-02,24.4,27.9,23.1,2.0,1000.5,1008.3
215,2016-08-03,23.4,26.6,21.3,2.1,1001.5,1009.3
216,2016-08-04,24.2,27.2,22.0,3.0,1001.8,1009.6
217,2016-08-05,25.1,27.9,22.6,4.3,1002.0,1009.7
218,2016-08-06,25.5,29.4,22.6,2.6,1002.5,1010.2
219,2016-08-07,26.4,30.9,22.1,1.5,1001.4,1009.1
220,2016-08-08,26.3,30.3,21.7,2.3,998.4,1006.1
221,2016-08-09,24.4,27.9,20.9,3.6,994.7,1002.4
222,2016-08-10,22.0,26.0,18.0,2.4,1001.8,1009.7
223,2016-08-11,21.8,27.0,17.3,2.6,1003.6,1011.5
224,2016-08-12,22.8,27.5,17.3,2.1,1002.2,1010.0
225,2016-08-13,24.7,28.6,19.5,2.4,1000.0,1007.8
226,2016-08-14,24.2,29.2,19.4,1.9,996.8,1004.5
227,2016-08-15,23.5,29.3,19.4,2.4,994.2,1002.0
228,2016-08-16,23.3,27.6,20.2,2.1,996.4,1004.1
229,2016-08-17,22.4,25.6,21.3,2.2,992.7,1000.4
230,2016-08-18,23.5,27.6,20.5,2.2,1000.1,1007.9
231,2016-08-19,24.6,29.3,20.7,2.0,1001.4,1009.2
232,2016-08-20,25.8,29.7,22.0,2.3,1000.3,1008.0
233,2016-08-21,25.8,30.5,22.7,3.0,997.0,1004.7
234,2016-08-22,23.2,25.9,21.5,1.6,996.3,1004.1
235,2016-08-23,22.8,27.2,19.5,2.6,997.5,1005.3
236,2016-08-24,22.9,27.7,18.6,3.0,1001.3,1009.1
237,2016-08-25,25.1,29.5,20.3,2.9,998.3,1006.0
238,2016-08-26,20.8,26.8,16.5,4.5,997.8,1005.7
239,2016-08-27,20.0,24.5,15.6,4.2,1000.9,1008.8
240,2016-08-28,23.5,28.4,18.8,3.1,996.6,1004.4
241,2016-08-29,26.4,31.5,23.1,3.5,989.3,996.9
242,2016-08-30,24.9,30.6,20.1,5.0,980.8,988.4
243,2016-08-31,23.8,28.8,20.1,2.4,991.4,999.1
244,2016-09-01,23.6,29.5,19.1,2.2,1001.4,1009.1
245,2016-09-02,23.7,29.5,18.6,2.5,1005.7,1013.6
246,2016-09-03,24.7,29.4,20.5,1.9,1007.0,1014.8
247,2016-09-04,24.6,28.9,20.8,1.4,1007.2,1015.0
248,2016-09-05,25.4,29.7,22.0,1.6,1004.1,1011.9
249,2016-09-06,23.9,26.2,21.9,3.4,999.0,1006.7
250,2016-09-07,22.5,25.9,18.9,2.3,999.4,1007.2
251,2016-09-08,19.7,23.6,17.3,2.5,996.4,1004.3
252,2016-09-09,19.8,24.1,17.1,2.4,995.6,1003.5
253,2016-09-10,19.9,23.0,16.6,3.1,1004.8,1012.7
254,2016-09-11,19.5,23.2,16.4,3.5,1009.8,1017.8
255,2016-09-12,19.9,24.5,15.4,1.7,1011.3,1019.3
256,2016-09-13,19.9,23.1,18.2,1.4,1010.0,1018.0
257,2016-09-14,20.7,24.3,18.2,1.5,1008.2,1016.1
258,2016-09-15,20.0,24.8,16.9,2.5,1008.5,1016.4
259,2016-09-16,19.7,25.2,16.1,2.2,1008.1,1016.1
260,2016-09-17,20.0,24.9,16.8,2.9,1005.8,1013.7
261,2016-09-18,18.2,22.3,15.5,3.4,1003.3,1011.2
262,2016-09-19,16.4,20.7,13.2,3.2,1004.6,1012.7
263,2016-09-20,16.2,20.3,13.2,2.8,1007.2,1015.2
264,2016-09-21,17.7,22.7,13.3,2.8,1012.1,1020.2
265,2016-09-22,18.2,24.0,13.7,2.0,1011.5,1019.5
266,2016-09-23,18.7,22.8,16.9,2.0,1007.3,1015.3
267,2016-09-24,19.1,22.9,16.1,1.8,1010.0,1018.0
268,2016-09-25,20.1,24.6,15.6,2.4,1010.0,1017.9
269,2016-09-26,20.7,25.2,17.1,2.2,1012.0,1019.9
270,2016-09-27,20.6,24.8,17.0,2.3,1008.6,1016.5
271,2016-09-28,20.6,23.9,16.4,3.0,1004.0,1011.9
272,2016-09-29,16.9,20.5,12.9,3.4,1005.1,1013.2
273,2016-09-30,15.3,19.5,11.2,2.7,1008.7,1016.8
274,2016-10-01,17.6,22.8,14.1,2.4,1010.6,1018.6
275,2016-10-02,17.1,22.0,14.0,2.4,1011.0,1019.0
276,2016-10-03,19.5,25.4,13.3,4.6,1000.7,1008.6
277,2016-10-04,16.9,19.7,12.6,5.2,1007.1,1015.1
278,2016-10-05,13.7,19.5,10.4,2.4,1006.1,1014.2
279,2016-10-06,16.1,18.6,13.5,6.4,1005.9,1014.0
280,2016-10-07,13.5,17.0,11.8,4.6,1016.4,1024.6
281,2016-10-08,14.8,19.3,10.3,3.4,1001.2,1009.3
282,2016-10-09,14.6,18.2,10.8,5.4,1000.2,1008.2
283,2016-10-10,11.9,15.7,9.0,4.7,1010.4,1018.6
284,2016-10-11,13.7,16.6,8.7,3.5,1008.9,1017.0
285,2016-10-12,12.2,14.3,8.8,4.3,1009.5,1017.7
286,2016-10-13,12.5,15.7,9.6,4.0,1013.0,1021.2
287,2016-10-14,13.2,16.8,9.7,2.8,1015.7,1023.9
288,2016-10-15,12.4,17.6,7.3,2.6,1019.0,1027.3
289,2016-10-16,15.6,19.9,12.3,3.2,1017.1,1025.3
290,2016-10-17,17.4,21.2,12.4,4.0,1008.3,1016.3
291,2016-10-18,14.8,19.6,9.3,2.4,1010.6,1018.7
292,2016-10-19,12.4,17.1,8.6,2.3,1009.4,1017.5
293,2016-10-20,11.5,17.6,7.6,6.7,1007.1,1015.3
294,2016-10-21,9.8,12.3,8.3,5.2,1012.9,1021.2
295,2016-10-22,10.7,14.3,6.5,2.3,1007.4,1015.6
296,2016-10-23,10.3,12.0,9.0,6.5,1005.8,1014.0
297,2016-10-24,11.1,13.1,9.8,6.3,1008.0,1016.2
298,2016-10-25,10.2,14.7,6.7,2.2,1007.1,1015.3
299,2016-10-26,13.4,16.9,9.6,3.8,1005.6,1013.8
300,2016-10-27,9.5,11.7,7.9,5.6,1013.6,1021.9
301,2016-10-28,9.6,11.9,6.8,3.0,1009.4,1017.7
302,2016-10-29,7.3,9.2,6.4,6.8,1010.4,1018.8
303,2016-10-30,7.3,9.6,3.7,4.5,1018.3,1026.7
304,2016-10-31,9.8,14.7,4.4,5.0,1012.6,1020.9
305,2016-11-01,5.3,7.2,3.4,4.3,1013.7,1022.2
306,2016-11-02,4.9,9.4,1.3,2.4,1016.2,1024.7
307,2016-11-03,6.6,9.3,3.0,4.1,1005.1,1013.4
308,2016-11-04,7.3,9.7,5.1,4.8,1006.1,1014.5
309,2016-11-05,12.2,15.2,8.2,5.4,999.9,1008.0
310,2016-11-06,5.3,8.2,4.2,6.6,1015.1,1023.6
311,2016-11-07,5.3,8.6,2.5,2.8,1018.3,1026.7
312,2016-11-08,8.5,13.5,2.1,5.2,1004.5,1012.8
313,2016-11-09,2.4,6.3,0.1,8.8,1008.2,1016.7
314,2016-11-10,2.9,5.1,-0.1,4.3,1016.2,1024.8
315,2016-11-11,6.6,13.7,0.5,3.5,1008.2,1016.6
316,2016-11-12,10.9,13.4,7.6,3.7,1013.7,1022.0
317,2016-11-13,10.2,13.3,3.9,4.0,1014.0,1022.3
318,2016-11-14,10.3,16.0,3.4,3.2,1010.6,1018.9
319,2016-11-15,10.1,15.8,5.0,5.4,1002.0,1010.2
320,2016-11-16,4.9,5.6,2.7,5.7,1010.4,1018.9
321,2016-11-17,4.7,5.6,3.0,4.7,1014.1,1022.6
322,2016-11-18,8.9,11.7,4.1,4.3,1013.9,1022.2
323,2016-11-19,11.6,15.6,8.4,3.7,1006.1,1014.3
324,2016-11-20,9.3,13.8,4.6,4.1,1008.0,1016.3
325,2016-11-21,4.7,6.8,2.4,2.7,1014.2,1022.6
326,2016-11-22,4.2,8.6,0.2,4.8,1005.3,1013.7
327,2016-11-23,0.0,2.1,-2.3,6.8,1012.8,1021.4
328,2016-11-24,0.6,2.6,-1.1,3.3,1012.7,1021.3
329,2016-11-25,2.6,3.3,1.1,4.4,1013.7,1022.3
330,2016-11-26,3.3,6.5,-0.3,2.4,1016.4,1024.9
331,2016-11-27,6.5,9.0,3.8,2.6,1007.6,1016.0
332,2016-11-28,4.5,6.7,2.5,6.1,1006.5,1014.9
333,2016-11-29,1.7,4.1,-0.2,7.6,1016.5,1025.1
334,2016-11-30,2.1,4.1,0.2,2.8,1022.2,1030.8
335,2016-12-01,7.3,11.7,1.5,5.8,1005.6,1013.9
336,2016-12-02,4.7,7.1,2.3,9.8,1010.6,1019.0
337,2016-12-03,6.4,8.8,3.6,3.3,1016.8,1025.2
338,2016-12-04,11.8,13.5,7.2,5.3,1008.5,1016.8
339,2016-12-05,8.6,12.9,5.5,2.3,1001.4,1009.6
340,2016-12-06,2.4,10.1,-3.5,7.4,1002.8,1011.3
341,2016-12-07,-0.5,1.8,-3.1,4.0,1010.0,1018.6
342,2016-12-08,1.9,4.5,-1.1,3.1,1008.9,1017.4
343,2016-12-09,4.7,7.6,2.0,4.2,1000.3,1008.6
344,2016-12-10,0.4,3.3,-2.1,7.6,1007.0,1015.6
345,2016-12-11,-0.9,0.3,-2.8,8.1,1012.1,1020.7
346,2016-12-12,1.2,4.7,-2.2,3.3,1016.6,1025.2
347,2016-12-13,5.3,7.5,1.4,4.2,1007.2,1015.6
348,2016-12-14,1.6,3.9,-0.6,4.3,998.5,1007.0
349,2016-12-15,-1.1,1.0,-3.7,4.9,1002.2,1010.8
350,2016-12-16,-1.7,0.2,-3.7,5.7,1003.4,1012.0
351,2016-12-17,0.7,3.1,-2.5,6.5,1009.9,1018.5
352,2016-12-18,6.1,9.2,2.3,4.4,1015.1,1023.5
353,2016-12-19,5.1,8.2,1.3,2.2,1015.9,1024.4
354,2016-12-20,4.8,8.1,0.8,2.4,1017.1,1025.6
355,2016-12-21,5.1,8.9,1.2,2.9,1020.9,1029.4
356,2016-12-22,7.6,13.9,1.6,4.6,1002.4,1010.7
357,2016-12-23,6.4,13.7,2.4,9.2,988.8,997.0
358,2016-12-24,1.2,3.1,-0.6,7.0,1012.9,1021.5
359,2016-12-25,2.2,4.4,-0.5,3.2,1020.7,1029.4
360,2016-12-26,5.8,8.4,2.8,4.8,1011.7,1020.1
361,2016-12-27,1.0,4.5,-1.5,5.0,1000.0,1008.5
362,2016-12-28,-0.5,1.3,-2.8,4.7,1011.8,1020.4
363,2016-12-29,0.9,4.6,-2.9,6.3,1007.3,1015.8
364,2016-12-30,0.2,2.7,-3.1,6.7,1013.5,1022.1
365,2016-12-31,2.2,4.0,-0.4,4.3,1014.2,1022.7
366,2017-01-01,2.9,5.3,-0.7,4.0,1013.8,1022.3
367,2017-01-02,3.1,6.4,0.8,2.1,1007.6,1016.1
368,2017-01-03,2.2,4.2,-0.2,3.5,1007.0,1015.5
369,2017-01-04,1.6,4.8,-0.3,3.9,1005.9,1014.4
370,2017-01-05,0.5,1.9,-1.3,8.8,1012.0,1020.6
371,2017-01-06,1.3,4.0,-0.8,4.7,1016.5,1025.1
372,2017-01-07,3.8,6.1,2.3,4.9,1011.9,1020.4
373,2017-01-08,1.7,4.9,-0.3,2.8,1007.6,1016.1
374,2017-01-09,2.7,5.6,0.8,3.2,996.6,1005.0
375,2017-01-10,-0.3,2.8,-3.1,6.3,1001.6,1010.1
376,2017-01-11,-4.0,-2.1,-6.1,9.0,1002.3,1011.0
377,2017-01-12,-3.5,-1.9,-5.4,10.0,996.5,1005.0
378,2017-01-13,-3.6,-2.1,-5.2,5.0,995.1,1003.7
379,2017-01-14,-4.8,-3.3,-6.9,4.6,993.7,1002.3
380,2017-01-15,-1.1,1.3,-5.6,7.8,996.8,1005.3
381,2017-01-16,0.7,4.5,-2.3,3.9,1000.9,1009.4
382,2017-01-17,0.7,2.0,-1.3,4.2,1015.0,1023.6
383,2017-01-18,1.8,4.1,-0.3,3.0,1015.0,1023.6
384,2017-01-19,1.5,3.6,-0.4,6.0,1009.5,1018.1
385,2017-01-20,-0.1,2.2,-1.9,3.1,1004.9,1013.5
386,2017-01-21,0.2,2.1,-1.9,3.8,1009.2,1017.8
387,2017-01-22,0.7,4.4,-2.0,5.1,1001.1,1009.6
388,2017-01-23,-0.4,1.2,-3.6,9.1,1001.4,1009.9
389,2017-01-24,-2.6,-1.1,-4.5,7.9,1009.4,1018.1
390,2017-01-25,-1.2,0.8,-3.3,4.8,1015.2,1023.9
391,2017-01-26,2.7,5.3,0.3,3.9,1015.2,1023.8
392,2017-01-27,3.2,7.7,-1.8,9.2,1004.4,1012.8
