Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
57,2016-02-27,5.1,9.6,-0.1,6.1,9,0,4.8
58,2016-02-28,6.7,9.9,4.1,8.7,0,0,3.5
59,2016-02-29,5.1,15.7,-0.1,0.0,9,11,6.5
60,2016-03-01,0.3,2.4,-1.1,1.7,9,2,6.1
61,2016-03-02,3.0,6.2,0.1,2.0,6,3,5.6
62,2016-03-03,8.1,11.8,3.9,1.3,0,0,6.0
63,2016-03-04,6.5,11.0,1.7,10.4,0,0,3.0
64,2016-03-05,8.9,14.0,3.7,8.1,0,0,2.1
65,2016-03-06,14.7,21.1,6.3,6.8,0,0,4.2
66,2016-03-07,11.2,16.7,8.8,0.1,0,0,4.1
67,2016-03-08,10.3,12.7,8.1,0.0,0,0,3.7
68,2016-03-09,4.3,8.1,2.7,0.0,0,0,6.7
69,2016-03-10,4.8,7.4,3.1,1.8,0,0,3.6
70,2016-03-11,4.8,9.3,0.8,6.0,0,0,2.6
71,2016-03-12,4.3,6.9,1.6,8.9,0,0,4.3
72,2016-03-13,6.2,9.6,2.2,3.0,0,0,2.8
73,2016-03-14,5.0,6.6,3.0,0.0,0,0,2.8
74,2016-03-15,5.0,8.8,2.1,4.0,0,0,2.8
75,2016-03-16,7.8,13.7,1.3,6.8,0,0,2.5
76,2016-03-17,11.7,17.5,6.2,10.7,0,0,3.6
77,2016-03-18,12.7,19.8,5.6,5.5,0,0,2.7
78,2016-03-19,11.2,13.6,8.1,0.0,0,0,2.4
79,2016-03-20,7.8,9.9,5.6,0.0,0,0,2.6
80,2016-03-21,6.6,11.5,3.2,6.9,0,0,2.5
81,2016-03-22,9.3,15.3,2.1,10.1,0,0,5.0
82,2016-03-23,7.3,10.8,4.9,0.0,0,0,3.4
83,2016-03-24,5.5,10.7,2.7,3.4,0,0,2.9
84,2016-03-25,3.9,8.5,0.6,6.1,0,0,2.8
85,2016-03-26,6.4,11.6,2.0,10.4,0,0,3.6
86,2016-03-27,7.4,12.3,2.0,11.3,0,0,3.0
87,2016-03-28,8.7,13.6,4.3,10.7,0,0,3.3
88,2016-03-29,10.8,15.5,4.9,10.0,0,0,2.4
89,2016-03-30,13.3,19.1,8.4,4.2,0,0,6.3
90,2016-03-31,11.7,16.6,6.4,10.8,0,0,3.3
91,2016-04-01,12.0,16.6,7.1,9.2,0,0,3.5
92,2016-04-02,13.5,19.3,7.5,10.9,0,0,2.3
93,2016-04-03,17.5,24.3,12.7,2.1,0,0,4.4
94,2016-04-04,9.8,14.0,8.5,0.0,0,0,6.7
95,2016-04-05,11.1,15.7,8.3,4.7,0,0,3.8
96,2016-04-06,12.2,16.6,7.3,10.2,0,0,3.2
97,2016-04-07,12.4,17.2,10.4,0.0,0,0,4.1
98,2016-04-08,13.3,17.0,10.5,3.6,0,0,3.9
99,2016-04-09,17.9,22.3,10.6,10.7,0,0,5.5
100,2016-04-10,15.3,20.5,9.3,4.1,0,0,6.2
101,2016-04-11,6.3,9.5,3.3,1.3,0,0,3.3
102,2016-04-12,8.1,11.9,2.7,9.4,0,0,2.8
103,2016-04-13,14.0,20.3,7.5,5.3,0,0,2.7
104,2016-04-14,14.4,19.2,12.2,3.4,0,0,2.9
105,2016-04-15,11.4,15.5,6.7,9.2,0,0,4.6
106,2016-04-16,12.5,19.1,5.8,11.2,0,0,2.1
107,2016-04-17,17.2,28.9,12.9,6.0,0,0,8.3
108,2016-04-18,14.0,16.2,10.8,2.2,0,0,6.3
109,2016-04-19,12.6,17.0,9.4,8.1,0,0,5.6
110,2016-04-20,12.4,16.4,6.3,11.4,0,0,2.2
111,2016-04-21,14.0,19.6,11.2,0.9,0,0,3.5
112,2016-04-22,13.9,16.3,12.5,0.0,0,0,1.9
113,2016-04-23,16.0,22.7,10.7,7.0,0,0,3.6
114,2016-04-24,13.6,16.0,10.1,7.0,0,0,4.4
115,2016-04-25,13.1,16.8,8.4,9.6,0,0,3.0
116,2016-04-26,15.0,20.0,10.4,12.0,0,0,3.3
117,2016-04-27,13.6,16.0,11.3,8.1,0,0,4.3
118,2016-04-28,12.5,13.6,11.3,0.0,0,0,3.0
119,2016-04-29,11.7,16.0,9.9,5.4,0,0,4.2
120,2016-04-30,13.9,17.7,9.2,4.2,0,0,5.2
121,2016-05-01,17.4,19.9,13.1,0.0,0,0,6.2
122,2016-05-02,18.2,24.0,12.1,11.3,0,0,2.4
123,2016-05-03,19.2,25.1,13.2,5.3,0,0,2.8
124,2016-05-04,19.8,24.7,13.4,8.4,0,0,9.5
125,2016-05-05,17.8,21.4,14.3,8.9,0,0,9.0
126,2016-05-06,16.1,19.1,11.4,3.9,0,0,1.9
127,2016-05-07,18.1,22.5,14.5,2.8,0,0,6.1
128,2016-05-08,15.6,20.6,12.0,11.6,0,0,4.1
129,2016-05-09,15.9,22.4,11.6,3.3,0,0,2.6
130,2016-05-10,15.4,17.2,14.4,0.0,0,0,2.2
131,2016-05-11,15.7,19.1,13.9,0.0,0,0,6.2
132,2016-05-12,15.1,20.0,13.1,7.4,0,0,4.2
133,2016-05-13,18.8,25.3,11.8,9.1,0,0,2.6
134,2016-05-14,15.7,19.8,13.9,3.5,0,0,4.4
135,2016-05-15,19.1,23.9,12.6,12.7,0,0,3.2
136,2016-05-16,20.5,27.2,12.7,8.6,0,0,3.5
137,2016-05-17,14.5,18.8,11.9,7.3,0,0,2.4
138,2016-05-18,16.4,21.0,11.0,13.1,0,0,3.5
139,2016-05-19,16.9,20.9,12.3,10.4,0,0,2.7
140,2016-05-20,19.2,25.2,14.5,12.4,0,0,2.4
141,2016-05-21,18.2,22.5,15.3,13.2,0,0,3.4
142,2016-05-22,17.8,22.2,13.4,13.4,0,0,2.8
143,2016-05-23,19.0,22.8,15.0,11.0,0,0,3.1
144,2016-05-24,22.0,28.4,14.6,8.8,0,0,2.2
145,2016-05-25,20.5,25.0,18.6,0.0,0,0,2.6
146,2016-05-26,22.4,27.3,18.6,3.6,0,0,2.5
147,2016-05-27,18.6,22.2,16.0,6.8,0,0,3.5
148,2016-05-28,19.4,24.1,16.6,3.7,0,0,1.4
149,2016-05-29,19.6,24.7,15.7,8.5,0,0,3.2
150,2016-05-30,18.1,21.2,14.7,0.2,0,0,1.8
151,2016-05-31,20.8,26.2,16.7,5.9,0,0,4.8
152,2016-06-01,17.5,20.7,14.8,5.1,0,0,4.5
153,2016-06-02,15.6,20.1,12.2,10.0,0,0,3.5
154,2016-06-03,17.9,23.8,11.1,13.9,0,0,2.6
155,2016-06-04,22.1,27.9,15.2,8.0,0,0,2.8
156,2016-06-05,20.2,23.5,18.1,6.5,0,0,4.4
157,2016-06-06,18.6,21.7,15.8,11.1,0,0,4.4
158,2016-06-07,21.2,23.8,17.6,0.8,0,0,2.5
159,2016-06-08,23.0,27.5,18.0,11.9,0,0,2.8
160,2016-06-09,20.7,23.3,18.2,0.1,0,0,1.7
161,2016-06-10,20.5,23.4,17.8,10.3,0,0,4.1
162,2016-06-11,23.1,27.7,17.6,12.7,0,0,2.9
163,2016-06-12,24.1,27.6,20.7,6.9,0,0,2.9
164,2016-06-13,21.0,23.9,19.7,0.0,0,0,2.0
165,2016-06-14,21.7,26.8,19.3,2.5,0,0,2.5
166,2016-06-15,23.6,28.0,18.6,9.5,0,0,2.7
167,2016-06-16,24.3,27.6,20.9,0.4,0,0,1.7
168,2016-06-17,23.4,27.5,20.5,7.1,0,0,5.7
169,2016-06-18,23.1,27.8,19.3,13.0,0,0,3.9
170,2016-06-19,23.1,27.3,19.5,6.1,0,0,2.3
171,2016-06-20,24.4,27.7,21.5,7.6,0,0,4.5
172,2016-06-21,22.9,26.9,20.9,6.5,0,0,2.9
173,2016-06-22,23.2,26.8,20.7,7.3,0,0,4.2
174,2016-06-23,20.9,22.6,19.1,0.1,0,0,3.3
175,2016-06-24,21.2,23.5,18.7,0.6,0,0,2.5
176,2016-06-25,23.2,26.1,20.5,0.2,0,0,7.4
177,2016-06-26,21.8,26.4,17.5,10.7,0,0,5.1
178,2016-06-27,21.6,25.1,17.3,10.4,0,0,3.8
179,2016-06-28,19.8,22.1,18.2,0.0,0,0,2.2
180,2016-06-29,21.6,25.0,18.0,4.3,0,0,3.1
181,2016-06-30,23.6,26.8,20.9,0.9,0,0,3.5
182,2016-07-01,26.0,30.5,21.8,10.8,0,0,2.4
183,2016-07-02,28.4,36.1,24.2,1.6,0,0,4.4
184,2016-07-03,24.4,26.8,23.2,0.2,0,0,4.2
185,2016-07-04,22.5,24.6,21.3,0.0,0,0,3.2
186,2016-07-05,23.7,26.4,21.5,2.2,0,0,2.7
187,2016-07-06,27.6,33.5,22.8,4.6,0,0,5.8
188,2016-07-07,24.1,26.6,22.3,0.2,0,0,3.2
189,2016-07-08,23.6,26.3,21.8,0.3,0,0,2.4
190,2016-07-09,23.0,25.1,22.0,0.6,0,0,2.5
191,2016-07-10,24.8,30.0,22.1,10.7,0,0,3.3
192,2016-07-11,24.5,27.9,21.5,12.5,0,0,3.6
193,2016-07-12,25.1,29.3,20.1,10.6,0,0,2.0
194,2016-07-13,25.5,29.0,23.2,1.4,0,0,2.8
195,2016-07-14,25.2,29.6,21.3,3.3,0,0,5.3
196,2016-07-15,23.0,27.1,20.5,1.1,0,0,4.0
197,2016-07-16,24.8,28.4,21.5,4.3,0,0,3.0
198,2016-07-17,24.9,27.1,23.0,0.1,0,0,3.2
199,2016-07-18,24.2,26.1,22.7,0.4,0,0,2.8
200,2016-07-19,25.1,30.1,20.2,12.5,0,0,2.7
201,2016-07-20,24.1,27.2,22.7,5.5,0,0,5.3
202,2016-07-21,23.7,27.0,22.1,2.9,0,0,3.9
203,2016-07-22,24.1,27.7,20.9,7.9,0,0,3.4
204,2016-07-23,25.1,28.5,21.5,7.5,0,0,2.8
205,2016-07-24,26.6,31.2,22.6,9.3,0,0,2.7
206,2016-07-25,26.1,29.9,23.9,2.4,0,0,2.5
207,2016-07-26,23.4,24.8,22.3,0.0,0,0,2.2
208,2016-07-27,27.4,32.0,23.1,5.8,0,0,3.0
209,2016-07-28,28.5,32.1,25.2,7.6,0,0,2.5
210,2016-07-29,28.8,34.0,25.1,7.7,0,0,1.9
211,2016-07-30,29.0,33.4,25.6,10.6,0,0,3.0
212,2016-07-31,27.9,31.4,25.0,8.9,0,0,3.5
213,2016-08-01,27.7,31.1,24.9,10.9,0,0,3.3
214,2016-08-02,26.4,30.1,23.8,3.4,0,0,2.6
215,2016-08-03,25.9,29.6,23.9,6.7,0,0,2.5
216,2016-08-04,27.1,30.9,23.0,13.0,0,0,3.5
217,2016-08-05,27.2,30.7,23.5,12.9,0,0,3.3
218,2016-08-06,27.6,30.6,23.7,9.7,0,0,3.5
219,2016-08-07,29.1,34.4,24.8,12.6,0,0,2.0
220,2016-08-08,28.6,32.5,24.9,11.3,0,0,3.0
221,2016-08-09,26.9,31.1,24.9,2.8,0,0,3.2
222,2016-08-10,26.0,30.1,22.5,6.6,0,0,2.8
223,2016-08-11,25.5,29.6,21.2,8.7,0,0,3.2
224,2016-08-12,26.0,30.5,21.3,12.9,0,0,2.8
225,2016-08-13,27.8,33.3,23.7,12.5,0,0,2.8
226,2016-08-14,28.1,33.5,24.1,12.0,0,0,3.1
227,2016-08-15,26.1,29.1,23.6,2.4,0,0,3.0
228,2016-08-16,27.3,32.3,22.7,7.0,0,0,3.2
229,2016-08-17,26.5,30.6,24.7,5.0,0,0,3.3
230,2016-08-18,26.6,29.7,23.8,3.5,0,0,4.2
231,2016-08-19,27.5,30.4,24.8,6.1,0,0,3.8
232,2016-08-20,27.9,31.3,24.6,6.2,0,0,2.7
233,2016-08-21,29.2,34.3,25.9,7.5,0,0,2.9
234,2016-08-22,27.5,32.5,24.3,2.7,0,0,3.2
235,2016-08-23,26.8,30.4,23.8,7.8,0,0,3.7
236,2016-08-24,26.6,30.1,23.0,6.4,0,0,3.5
237,2016-08-25,28.4,33.0,23.6,10.5,0,0,2.7
238,2016-08-26,26.8,33.0,22.5,2.2,0,0,4.6
239,2016-08-27,23.0,25.0,21.4,0.0,0,0,7.7
240,2016-08-28,24.1,26.9,20.5,5.6,0,0,3.5
241,2016-08-29,26.4,32.0,22.4,9.1,0,0,2.4
242,2016-08-30,20.8,23.5,18.5,0.7,0,0,5.0
243,2016-08-31,25.3,31.8,18.7,11.4,0,0,3.4
244,2016-09-01,25.5,31.3,20.1,11.2,0,0,3.1
245,2016-09-02,25.2,29.3,21.1,8.5,0,0,2.1
246,2016-09-03,26.2,30.5,21.5,11.5,0,0,3.0
247,2016-09-04,27.4,32.8,23.5,7.2,0,0,2.2
248,2016-09-05,26.7,32.0,23.4,5.6,0,0,2.3
249,2016-09-06,25.6,29.4,23.3,1.9,0,0,3.4
250,2016-09-07,25.9,28.8,23.3,3.4,0,0,4.5
251,2016-09-08,23.2,25.7,21.1,0.0,0,0,3.3
252,2016-09-09,23.0,27.9,20.8,4.0,0,0,3.9
253,2016-09-10,23.3,27.3,20.5,9.0,0,0,3.4
254,2016-09-11,24.0,26.4,21.5,5.1,0,0,4.5
255,2016-09-12,23.5,27.5,20.9,3.0,0,0,3.2
256,2016-09-13,23.3,26.0,21.3,0.2,0,0,3.0
257,2016-09-14,23.4,26.7,21.5,0.6,0,0,1.8
258,2016-09-15,23.6,26.7,21.3,8.2,0,0,3.5
259,2016-09-16,23.2,27.4,20.4,2.0,0,0,1.9
260,2016-09-17,23.2,27.3,20.1,0.9,0,0,3.6
261,2016-09-18,21.2,23.0,20.5,0.0,0,0,2.1
262,2016-09-19,20.3,21.2,19.6,0.0,0,0,8.4
263,2016-09-20,18.8,20.9,17.4,0.0,0,0,7.6
264,2016-09-21,21.3,23.7,19.6,0.3,0,0,3.8
265,2016-09-22,21.1,22.7,19.2,0.0,0,0,1.8
266,2016-09-23,19.4,20.4,17.7,0.0,0,0,1.8
267,2016-09-24,20.5,23.3,16.6,4.4,0,0,1.8
268,2016-09-25,23.4,28.5,18.9,6.9,0,0,1.9
269,2016-09-26,23.1,25.3,21.7,0.0,0,0,1.5
270,2016-09-27,25.4,31.4,20.5,8.4,0,0,2.1
271,2016-09-28,23.0,25.6,21.9,0.0,0,0,2.4
272,2016-09-29,19.7,22.0,17.6,0.1,0,0,2.7
273,2016-09-30,19.0,23.8,14.4,5.5,0,0,2.3
274,2016-10-01,20.1,23.6,17.0,4.4,0,0,2.5
275,2016-10-02,22.3,25.2,19.9,9.1,0,0,3.0
276,2016-10-03,23.8,27.7,20.3,0.1,0,0,2.3
277,2016-10-04,22.9,25.7,18.8,2.8,0,0,4.8
278,2016-10-05,22.3,33.2,17.8,0.1,0,0,4.6
279,2016-10-06,20.4,24.3,18.4,0.0,0,0,4.0
280,2016-10-07,19.1,21.6,17.1,9.8,0,0,5.0
281,2016-10-08,21.3,25.0,17.7,0.0,0,0,3.5
282,2016-10-09,17.5,21.9,15.2,0.1,0,0,3.8
283,2016-10-10,16.2,18.6,14.0,0.5,0,0,3.8
284,2016-10-11,16.4,20.5,12.0,4.7,0,0,3.1
285,2016-10-12,15.6,21.0,12.6,4.0,0,0,3.7
286,2016-10-13,15.0,19.4,12.2,5.8,0,0,2.5
287,2016-10-14,15.1,21.3,10.4,10.4,0,0,2.6
288,2016-10-15,15.9,21.6,10.9,10.2,0,0,2.8
289,2016-10-16,17.9,22.4,12.4,8.2,0,0,2.6
290,2016-10-17,19.2,23.0,15.5,0.2,0,0,2.5
291,2016-10-18,20.4,24.7,18.4,0.9,0,0,3.1
292,2016-10-19,19.5,22.4,16.1,9.1,0,0,2.9
293,2016-10-20,19.5,24.5,15.5,5.2,0,0,4.2
294,2016-10-21,15.7,18.0,12.0,4.8,0,0,4.4
295,2016-10-22,15.0,18.8,10.3,3.2,0,0,1.8
296,2016-10-23,15.4,17.5,13.6,0.0,0,0,4.8
297,2016-10-24,13.7,17.5,8.7,10.0,0,0,3.8
298,2016-10-25,15.7,23.8,7.5,1.9,0,0,4.1
299,2016-10-26,19.4,24.7,16.2,2.7,0,0,3.9
300,2016-10-27,15.1,18.9,9.5,7.0,0,0,3.8
301,2016-10-28,13.1,15.3,9.4,0.0,0,0,3.1
302,2016-10-29,12.6,14.4,9.7,0.0,0,0,3.7
303,2016-10-30,11.7,16.3,7.7,8.2,0,0,3.1
304,2016-10-31,14.2,19.1,8.5,4.0,0,0,4.2
305,2016-11-01,11.9,17.4,8.4,0.5,0,0,5.4
306,2016-11-02,11.1,15.0,6.8,8.3,0,0,4.0
307,2016-11-03,10.8,13.2,8.7,1.4,0,0,7.0
308,2016-11-04,12.3,17.1,8.5,9.3,0,0,3.8
309,2016-11-05,15.3,20.3,9.6,9.5,0,0,5.1
310,2016-11-06,12.3,15.2,10.4,0.1,0,0,5.3
311,2016-11-07,11.0,14.1,6.9,9.3,0,0,4.4
312,2016-11-08,12.6,19.3,7.3,1.2,0,0,5.3
313,2016-11-09,7.0,8.4,6.1,0.0,0,0,4.3
314,2016-11-10,8.5,12.2,5.8,4.1,0,0,3.4
315,2016-11-11,12.5,18.2,7.5,1.1,0,0,4.0
316,2016-11-12,13.2,17.8,9.0,6.3,0,0,3.1
317,2016-11-13,14.2,21.5,7.6,8.8,0,0,3.0
318,2016-11-14,13.8,16.5,9.7,0.4,0,0,2.0
319,2016-11-15,13.6,18.2,9.5,0.0,0,0,3.9
320,2016-11-16,9.2,12.4,6.9,2.5,0,0,2.4
321,2016-11-17,9.9,13.4,6.3,0.0,0,0,4.5
322,2016-11-18,9.4,14.6,4.2,9.1,0,0,2.1
323,2016-11-19,13.5,17.6,10.3,0.0,0,0,3.1
324,2016-11-20,15.6,18.8,12.9,0.5,0,0,4.6
325,2016-11-21,13.5,15.8,11.6,6.7,0,0,3.5
326,2016-11-22,13.7,16.1,7.9,0.5,0,0,3.7
327,2016-11-23,6.4,7.9,5.4,0.3,0,0,4.1
328,2016-11-24,6.6,8.5,2.7,1.2,0,0,6.4
329,2016-11-25,7.3,10.2,3.0,0.7,0,0,4.3
330,2016-11-26,9.4,13.9,4.9,7.2,0,0,2.5
331,2016-11-27,10.7,12.0,9.4,0.0,0,0,2.5
332,2016-11-28,8.7,11.1,6.6,0.3,0,0,4.3
333,2016-11-29,6.9,10.6,5.5,0.8,0,0,3.1
334,2016-11-30,7.3,10.0,4.2,4.0,0,0,2.3
335,2016-12-01,13.0,17.1,8.0,0.1,0,0,6.7
336,2016-12-02,9.3,12.2,7.6,7.0,0,0,6.6
337,2016-12-03,11.3,16.1,7.9,8.7,0,0,3.5
338,2016-12-04,11.7,16.9,5.5,3.8,0,0,2.0
339,2016-12-05,13.6,16.8,11.0,5.3,0,0,6.1
340,2016-12-06,7.5,13.5,3.2,0.0,0,0,6.2
341,2016-12-07,6.8,11.1,3.7,4.0,0,0,3.8
342,2016-12-08,7.0,11.4,4.4,8.3,0,0,3.6
343,2016-12-09,8.5,12.0,4.6,0.0,0,0,5.9
344,2016-12-10,3.8,6.9,1.6,0.3,0,0,3.8
345,2016-12-11,2.7,4.6,1.6,0.0,0,0,3.5
346,2016-12-12,3.7,8.3,0.4,7.4,0,0,2.6
347,2016-12-13,9.3,12.6,5.7,0.0,0,0,3.5
348,2016-12-14,5.3,9.6,1.7,0.0,0,0,6.4
349,2016-12-15,1.8,4.2,0.6,1.2,0,0,4.1
350,2016-12-16,1.6,3.1,0.4,0.1,2,5,5.1
351,2016-12-17,5.0,6.6,2.6,0.3,0,0,5.7
352,2016-12-18,9.6,13.9,4.8,1.6,0,0,5.3
353,2016-12-19,11.8,16.2,8.5,6.0,0,0,4.1
354,2016-12-20,10.3,11.8,8.8,0.0,0,0,2.8
355,2016-12-21,10.8,15.5,6.4,6.1,0,0,3.1
356,2016-12-22,14.0,21.4,6.4,0.0,0,0,3.9
357,2016-12-23,8.9,12.9,4.5,0.0,0,0,6.3
358,2016-12-24,4.6,7.3,2.7,0.1,0,0,2.8
359,2016-12-25,5.5,10.2,2.4,3.6,0,0,3.2
360,2016-12-26,7.1,11.0,2.1,1.5,0,0,2.4
361,2016-12-27,6.9,9.8,3.1,0.0,0,0,5.4
362,2016-12-28,3.0,6.3,0.5,0.3,0,0,4.6
363,2016-12-29,4.5,9.5,0.6,1.4,0,0,5.4
364,2016-12-30,3.1,5.9,1.1,3.2,0,0,4.5
365,2016-12-31,6.5,10.9,2.2,0.7,0,0,5.1
366,2017-01-01,7.6,9.6,5.3,1.6,0,0,5.1
367,2017-01-02,9.6,13.0,6.4,1.9,0,0,5.4
368,2017-01-03,6.3,8.5,4.9,1.2,0,0,3.6
369,2017-01-04,7.3,10.6,4.0,0.2,0,0,5.9
370,2017-01-05,4.0,6.3,1.4,0.6,0,0,4.0
371,2017-01-06,3.7,8.1,1.4,0.6,0,0,2.6
372,2017-01-07,4.4,9.3,1.1,8.3,0,0,2.7
373,2017-01-08,5.1,8.6,1.0,0.3,0,0,2.7
374,2017-01-09,5.8,9.5,3.7,0.0,0,0,3.8
375,2017-01-10,6.2,11.2,2.4,2.7,0,0,7.1
376,2017-01-11,1.8,4.6,0.2,0.4,6,9,4.9
377,2017-01-12,2.7,4.7,0.6,0.2,1,1,7.9
378,2017-01-13,2.1,3.7,0.3,0.0,6,6,6.7
379,2017-01-14,-1.0,1.5,-3.1,0.0,18,15,7.7
380,2017-01-15,-0.5,1.8,-3.1,0.3,19,5,5.9
381,2017-01-16,1.4,5.2,-0.7,0.0,21,7,6.0
382,2017-01-17,2.1,3.5,0.4,0.0,15,1,3.6
383,2017-01-18,4.0,7.0,0.8,6.6,14,1,4.2
384,2017-01-19,3.8,6.6,0.8,2.0,11,0,3.0
385,2017-01-20,2.8,7.3,-0.8,2.0,9,1,3.2
386,2017-01-21,3.2,5.7,0.7,0.1,6,1,5.9
387,2017-01-22,2.3,6.0,0.3,0.0,5,6,6.8
388,2017-01-23,0.0,1.8,-1.7,0.0,7,6,6.2
389,2017-01-24,-0.9,0.5,-2.0,0.0,18,13,4.9
390,2017-01-25,0.7,2.8,-0.9,1.4,17,1,4.4
391,2017-01-26,3.1,6.8,-1.1,9.2,13,0,4.4
392,2017-01-27,5.7,11.5,-0.3,0.0,7,0,7.0
393,2017-01-28,4.5,8.7,1.9,5.9,0,0,2.5
394,2017-01-29,5.5,9.2,0.2,3.4,0,0,2.1
395,2017-01-30,6.4,9.1,3.5,0.0,0,0,5.4
396,2017-01-31,1.9,5.1,-0.1,2.1,0,0,3.9
397,2017-02-01,3.5,10.1,0.2,3.3,0,0,7.0
398,2017-02-02,1.4,4.0,-1.3,0.9,5,5,7.0
399,2017-02-03,5.0,8.5,2.5,3.8,0,0,5.2
400,2017-02-04,6.0,11.5,1.7,9.4,0,0,3.9
401,2017-02-05,5.8,8.0,3.1,0.0,0,0,1.9
402,2017-02-06,4.8,7.8,1.7,0.0,0,0,6.1
403,2017-02-07,1.1,3.2,-0.2,0.3,3,4,6.1
404,2017-02-08,2.5,5.5,0.4,1.3,3,0,4.4
405,2017-02-09,3.7,5.7,1.6,0.0,0,0,2.7
406,2017-02-10,2.8,5.6,-1.2,1.0,1,1,5.8
407,2017-02-11,0.6,3.2,-1.5,1.9,20,26,7.0
408,2017-02-12,1.4,3.0,0.2,0.4,19,0,4.2
409,2017-02-13,1.6,3.8,-0.4,2.2,10,0,4.3
410,2017-02-14,1.6,5.3,-1.0,4.7,6,0,3.3
411,2017-02-15,4.0,7.5,0.9,4.4,3,0,4.9
412,2017-02-16,8.8,14.1,3.8,9.5,0,0,5.4
413,2017-02-17,9.8,15.1,3.8,0.0,0,0,7.0
414,2017-02-18,3.3,6.4,-0.3,2.7,0,0,5.2
415,2017-02-19,3.3,7.7,-0.9,6.8,0,0,4.4
416,2017-02-20,7.1,11.1,0.7,0.0,0,0,8.1
417,2017-02-21,2.1,4.1,0.2,1.1,0,0,6.8
