Unnamed: 0,calendar_date,precipitation,deepest_snowfall
65,2016-03-06,0.0,3
66,2016-03-07,6.5,0
67,2016-03-08,3.5,0
68,2016-03-09,0.0,0
69,2016-03-10,1.5,0
70,2016-03-11,4.0,0
71,2016-03-12,1.0,0
72,2016-03-13,0.0,0
73,2016-03-14,1.0,0
74,2016-03-15,0.5,0
75,2016-03-16,0.0,0
76,2016-03-17,0.0,0
77,2016-03-18,0.0,0
78,2016-03-19,6.0,0
79,2016-03-20,8.5,0
80,2016-03-21,0.0,0
81,2016-03-22,6.5,0
82,2016-03-23,0.5,0
83,2016-03-24,3.0,0
84,2016-03-25,3.5,0
85,2016-03-26,3.5,0
86,2016-03-27,0.0,0
87,2016-03-28,0.0,0
88,2016-03-29,0.0,0
89,2016-03-30,17.0,0
90,2016-03-31,0.0,0
91,2016-04-01,0.0,0
92,2016-04-02,0.0,0
93,2016-04-03,3.0,0
94,2016-04-04,24.0,0
95,2016-04-05,0.0,0
96,2016-04-06,2.5,0
97,2016-04-07,27.0,0
98,2016-04-08,0.5,0
99,2016-04-09,0.0,0
100,2016-04-10,0.0,0
101,2016-04-11,8.0,0
102,2016-04-12,0.0,0
103,2016-04-13,5.0,0
104,2016-04-14,7.0,0
105,2016-04-15,8.5,0
106,2016-04-16,0.0,0
107,2016-04-17,4.0,0
108,2016-04-18,0.0,0
109,2016-04-19,2.5,0
110,2016-04-20,0.0,0
111,2016-04-21,0.5,0
112,2016-04-22,1.5,0
113,2016-04-23,0.0,0
114,2016-04-24,0.0,0
115,2016-04-25,0.0,0
116,2016-04-26,0.0,0
117,2016-04-27,0.0,0
118,2016-04-28,22.5,0
119,2016-04-29,11.0,0
120,2016-04-30,4.0,0
121,2016-05-01,16.5,0
122,2016-05-02,0.5,0
123,2016-05-03,0.0,0
124,2016-05-04,3.0,0
125,2016-05-05,0.0,0
126,2016-05-06,0.0,0
127,2016-05-07,7.5,0
128,2016-05-08,0.0,0
129,2016-05-09,0.0,0
130,2016-05-10,6.0,0
131,2016-05-11,10.5,0
132,2016-05-12,2.5,0
133,2016-05-13,0.0,0
134,2016-05-14,0.0,0
135,2016-05-15,0.0,0
136,2016-05-16,1.0,0
137,2016-05-17,8.5,0
138,2016-05-18,0.0,0
139,2016-05-19,0.0,0
140,2016-05-20,0.0,0
141,2016-05-21,0.0,0
142,2016-05-22,0.0,0
143,2016-05-23,0.0,0
144,2016-05-24,0.0,0
145,2016-05-25,0.0,0
146,2016-05-26,3.5,0
147,2016-05-27,18.0,0
148,2016-05-28,0.0,0
149,2016-05-29,0.0,0
150,2016-05-30,0.0,0
151,2016-05-31,3.5,0
152,2016-06-01,4.0,0
153,2016-06-02,5.5,0
154,2016-06-03,0.0,0
155,2016-06-04,0.0,0
156,2016-06-05,0.0,0
157,2016-06-06,0.0,0
158,2016-06-07,0.0,0
159,2016-06-08,0.0,0
160,2016-06-09,6.0,0
161,2016-06-10,0.5,0
162,2016-06-11,0.0,0
163,2016-06-12,0.0,0
164,2016-06-13,4.0,0
165,2016-06-14,0.5,0
166,2016-06-15,1.0,0
167,2016-06-16,16.5,0
168,2016-06-17,3.0,0
169,2016-06-18,0.0,0
170,2016-06-19,13.0,0
171,2016-06-20,8.5,0
172,2016-06-21,0.0,0
173,2016-06-22,0.0,0
174,2016-06-23,3.0,0
175,2016-06-24,4.5,0
176,2016-06-25,4.5,0
177,2016-06-26,7.0,0
178,2016-06-27,0.5,0
179,2016-06-28,1.5,0
180,2016-06-29,0.0,0
181,2016-06-30,3.0,0
182,2016-07-01,0.0,0
183,2016-07-02,5.0,0
184,2016-07-03,3.5,0
185,2016-07-04,3.0,0
186,2016-07-05,0.0,0
187,2016-07-06,67.0,0
188,2016-07-07,1.5,0
189,2016-07-08,1.0,0
190,2016-07-09,9.5,0
191,2016-07-10,0.0,0
192,2016-07-11,1.0,0
193,2016-07-12,0.0,0
194,2016-07-13,9.5,0
195,2016-07-14,17.0,0
196,2016-07-15,0.0,0
197,2016-07-16,1.5,0
198,2016-07-17,3.0,0
199,2016-07-18,2.0,0
200,2016-07-19,1.0,0
201,2016-07-20,4.0,0
202,2016-07-21,0.0,0
203,2016-07-22,0.0,0
204,2016-07-23,0.0,0
205,2016-07-24,0.0,0
206,2016-07-25,0.0,0
207,2016-07-26,15.5,0
208,2016-07-27,11.5,0
209,2016-07-28,0.0,0
210,2016-07-29,0.0,0
211,2016-07-30,1.0,0
212,2016-07-31,0.0,0
213,2016-08-01,0.0,0
214,2016-08-02,0.5,0
215,2016-08-03,0.0,0
216,2016-08-04,0.0,0
217,2016-08-05,0.0,0
218,2016-08-06,0.0,0
219,2016-08-07,0.0,0
220,2016-08-08,0.0,0
221,2016-08-09,0.0,0
222,2016-08-10,0.0,0
223,2016-08-11,0.0,0
224,2016-08-12,0.0,0
225,2016-08-13,0.0,0
226,2016-08-14,0.0,0
227,2016-08-15,3.5,0
228,2016-08-16,0.0,0
229,2016-08-17,82.0,0
230,2016-08-18,0.0,0
231,2016-08-19,0.0,0
232,2016-08-20,0.0,0
233,2016-08-21,0.0,0
234,2016-08-22,109.0,0
235,2016-08-23,20.0,0
236,2016-08-24,0.0,0
237,2016-08-25,0.0,0
238,2016-08-26,32.0,0
239,2016-08-27,5.5,0
240,2016-08-28,0.0,0
241,2016-08-29,0.0,0
242,2016-08-30,31.0,0
243,2016-08-31,0.0,0
244,2016-09-01,0.0,0
245,2016-09-02,0.0,0
246,2016-09-03,0.0,0
247,2016-09-04,0.0,0
248,2016-09-05,0.5,0
249,2016-09-06,1.0,0
250,2016-09-07,0.0,0
251,2016-09-08,10.0,0
252,2016-09-09,2.0,0
253,2016-09-10,12.5,0
254,2016-09-11,0.0,0
255,2016-09-12,1.5,0
256,2016-09-13,20.0,0
257,2016-09-14,0.0,0
258,2016-09-15,0.0,0
259,2016-09-16,0.0,0
260,2016-09-17,0.0,0
261,2016-09-18,1.0,0
262,2016-09-19,1.5,0
263,2016-09-20,9.5,0
264,2016-09-21,0.0,0
265,2016-09-22,5.5,0
266,2016-09-23,3.0,0
267,2016-09-24,0.0,0
268,2016-09-25,0.0,0
269,2016-09-26,1.0,0
270,2016-09-27,1.5,0
271,2016-09-28,1.5,0
272,2016-09-29,29.5,0
273,2016-09-30,0.0,0
274,2016-10-01,0.0,0
275,2016-10-02,0.0,0
276,2016-10-03,2.5,0
277,2016-10-04,7.5,0
278,2016-10-05,9.0,0
279,2016-10-06,15.5,0
280,2016-10-07,0.0,0
281,2016-10-08,33.5,0
282,2016-10-09,24.5,0
283,2016-10-10,2.0,0
284,2016-10-11,0.0,0
285,2016-10-12,18.0,0
286,2016-10-13,1.5,0
287,2016-10-14,1.0,0
288,2016-10-15,0.5,0
289,2016-10-16,0.0,0
290,2016-10-17,0.0,0
291,2016-10-18,3.5,0
292,2016-10-19,0.0,0
293,2016-10-20,4.0,0
294,2016-10-21,0.5,0
295,2016-10-22,0.0,0
296,2016-10-23,6.5,0
297,2016-10-24,0.0,0
298,2016-10-25,15.0,0
299,2016-10-26,1.5,0
300,2016-10-27,0.0,0
301,2016-10-28,5.0,0
302,2016-10-29,11.0,0
303,2016-10-30,0.0,0
304,2016-10-31,18.5,0
305,2016-11-01,14.0,0
306,2016-11-02,0.5,0
307,2016-11-03,27.0,0
308,2016-11-04,2.5,0
309,2016-11-05,4.5,0
310,2016-11-06,3.0,0
311,2016-11-07,0.0,0
312,2016-11-08,28.5,0
313,2016-11-09,11.0,0
314,2016-11-10,5.0,0
315,2016-11-11,8.0,0
316,2016-11-12,1.5,0
317,2016-11-13,0.5,0
318,2016-11-14,0.0,0
319,2016-11-15,8.0,0
320,2016-11-16,6.5,0
321,2016-11-17,9.0,0
322,2016-11-18,0.0,0
323,2016-11-19,3.0,0
324,2016-11-20,5.5,0
325,2016-11-21,0.0,0
326,2016-11-22,15.5,0
327,2016-11-23,8.0,0
328,2016-11-24,0.0,0
329,2016-11-25,1.5,0
330,2016-11-26,0.0,0
331,2016-11-27,12.0,0
332,2016-11-28,13.0,0
333,2016-11-29,7.0,0
334,2016-11-30,0.0,0
335,2016-12-01,33.0,0
336,2016-12-02,14.0,0
337,2016-12-03,2.5,0
338,2016-12-04,0.0,0
339,2016-12-05,14.0,0
340,2016-12-06,50.5,0
341,2016-12-07,1.5,0
342,2016-12-08,2.5,0
343,2016-12-09,13.5,0
344,2016-12-10,21.0,7
345,2016-12-11,21.0,21
346,2016-12-12,1.5,22
347,2016-12-13,9.5,14
348,2016-12-14,5.5,5
349,2016-12-15,3.0,7
350,2016-12-16,10.5,17
351,2016-12-17,0.5,16
352,2016-12-18,2.5,4
353,2016-12-19,2.0,0
354,2016-12-20,6.0,0
355,2016-12-21,0.0,0
356,2016-12-22,6.0,0
357,2016-12-23,15.5,0
358,2016-12-24,4.0,0
359,2016-12-25,2.0,0
360,2016-12-26,1.5,0
361,2016-12-27,30.5,0
362,2016-12-28,20.5,10
363,2016-12-29,13.5,8
364,2016-12-30,5.0,5
365,2016-12-31,8.5,4
366,2017-01-01,8.0,0
367,2017-01-02,10.0,0
368,2017-01-03,7.5,0
369,2017-01-04,22.0,0
370,2017-01-05,12.5,5
371,2017-01-06,1.5,6
372,2017-01-07,1.5,3
373,2017-01-08,0.0,0
374,2017-01-09,10.5,0
375,2017-01-10,18.0,6
376,2017-01-11,9.0,12
377,2017-01-12,17.5,36
378,2017-01-13,33.0,71
379,2017-01-14,17.0,77
380,2017-01-15,19.0,85
381,2017-01-16,4.5,75
382,2017-01-17,9.5,74
383,2017-01-18,3.5,67
384,2017-01-19,12.5,52
385,2017-01-20,2.5,46
386,2017-01-21,8.0,46
387,2017-01-22,16.0,45
388,2017-01-23,5.5,50
389,2017-01-24,5.5,55
390,2017-01-25,9.5,64
391,2017-01-26,0.0,60
392,2017-01-27,14.0,51
393,2017-01-28,0.0,44
394,2017-01-29,0.0,41
395,2017-01-30,13.5,38
396,2017-01-31,3.0,38
397,2017-02-01,9.0,37
398,2017-02-02,4.5,37
399,2017-02-03,5.5,47
400,2017-02-04,1.0,39
401,2017-02-05,2.5,33
402,2017-02-06,33.0,31
403,2017-02-07,5.0,28
404,2017-02-08,4.0,30
405,2017-02-09,0.0,30
406,2017-02-10,5.0,27
407,2017-02-11,15.0,35
408,2017-02-12,4.0,36
409,2017-02-13,4.5,35
410,2017-02-14,7.5,35
411,2017-02-15,6.0,37
412,2017-02-16,0.0,35
413,2017-02-17,30.5,31
414,2017-02-18,0.5,26
415,2017-02-19,0.5,27
416,2017-02-20,21.0,26
417,2017-02-21,4.0,22
418,2017-02-22,0.0,21
419,2017-02-23,22.5,18
420,2017-02-24,3.5,17
421,2017-02-25,10.0,24
422,2017-02-26,9.5,17
423,2017-02-27,2.0,17
424,2017-02-28,0.0,14
425,2017-03-01,0.0,11
426,2017-03-02,0.0,8
427,2017-03-03,3.5,4
428,2017-03-04,10.0,2
429,2017-03-05,0.0,0
430,2017-03-06,8.5,0
431,2017-03-07,2.5,0
432,2017-03-08,5.0,1
433,2017-03-09,5.0,1
434,2017-03-10,9.0,1
435,2017-03-11,4.5,7
436,2017-03-12,0.0,0
437,2017-03-13,0.0,0
438,2017-03-14,8.5,0
439,2017-03-15,5.5,0
440,2017-03-16,5.5,0
441,2017-03-17,6.5,0
442,2017-03-18,13.0,0
443,2017-03-19,0.5,0
444,2017-03-20,0.0,0
445,2017-03-21,8.5,0
446,2017-03-22,4.5,0
447,2017-03-23,0.0,0
448,2017-03-24,4.0,0
449,2017-03-25,0.5,0
450,2017-03-26,0.0,0
451,2017-03-27,4.0,0
452,2017-03-28,2.0,0
453,2017-03-29,0.5,0
454,2017-03-30,1.0,0
455,2017-03-31,1.5,0
456,2017-04-01,1.0,0
457,2017-04-02,2.0,0
458,2017-04-03,1.0,0
459,2017-04-04,0.0,0
460,2017-04-05,0.0,0
461,2017-04-06,0.0,0
462,2017-04-07,7.5,0
463,2017-04-08,0.0,0
464,2017-04-09,2.0,0
465,2017-04-10,0.0,0
466,2017-04-11,10.5,0
467,2017-04-12,3.0,0
468,2017-04-13,6.5,0
469,2017-04-14,0.0,0
470,2017-04-15,7.5,0
471,2017-04-16,0.0,0
472,2017-04-17,1.5,0
473,2017-04-18,1.0,0
474,2017-04-19,26.5,0
475,2017-04-20,0.0,0
476,2017-04-21,0.0,0
477,2017-04-22,5.0,0
478,2017-04-23,1.5,0
479,2017-04-24,0.0,0
480,2017-04-25,0.0,0
481,2017-04-26,33.5,0
482,2017-04-27,1.0,0
483,2017-04-28,0.0,0
484,2017-04-29,4.5,0
485,2017-04-30,0.0,0
486,2017-05-01,0.0,0
487,2017-05-02,0.0,0
488,2017-05-03,0.0,0
489,2017-05-04,0.0,0
490,2017-05-05,0.0,0
491,2017-05-06,10.5,0
492,2017-05-07,0.0,0
493,2017-05-08,0.0,0
494,2017-05-09,0.0,0
495,2017-05-10,6.5,0
496,2017-05-11,11.5,0
497,2017-05-12,0.0,0
498,2017-05-13,7.0,0
499,2017-05-14,6.0,0
500,2017-05-15,11.5,0
501,2017-05-16,2.0,0
502,2017-05-17,0.0,0
503,2017-05-18,0.0,0
504,2017-05-19,0.0,0
505,2017-05-20,0.0,0
506,2017-05-21,0.0,0
507,2017-05-22,0.0,0
508,2017-05-23,0.5,0
509,2017-05-24,3.5,0
510,2017-05-25,2.5,0
511,2017-05-26,39.5,0
512,2017-05-27,8.0,0
513,2017-05-28,2.5,0
514,2017-05-29,0.0,0
515,2017-05-30,0.0,0
516,2017-05-31,0.5,0
