,calendar_date,precipitation,deepest_snowfall,total_snowfall
59,2016-02-29,17.0,96,4
60,2016-03-01,11.0,104,17
61,2016-03-02,1.0,103,3
62,2016-03-03,7.0,109,10
63,2016-03-04,0.0,103,2
64,2016-03-05,0.0,100,0
65,2016-03-06,51.5,98,0
66,2016-03-07,1.5,87,0
67,2016-03-08,2.5,85,0
68,2016-03-09,0.0,82,1
69,2016-03-10,0.0,82,3
70,2016-03-11,1.0,84,5
71,2016-03-12,0.0,83,1
72,2016-03-13,6.5,89,8
73,2016-03-14,1.0,86,1
74,2016-03-15,0.0,81,0
75,2016-03-16,0.0,80,0
76,2016-03-17,0.0,72,0
77,2016-03-18,0.0,64,0
78,2016-03-19,17.0,54,0
79,2016-03-20,0.0,50,0
80,2016-03-21,0.0,48,1
81,2016-03-22,1.0,47,1
82,2016-03-23,0.0,46,2
83,2016-03-24,0.5,45,1
84,2016-03-25,0.0,43,2
85,2016-03-26,0.0,41,0
86,2016-03-27,0.0,37,0
87,2016-03-28,0.0,32,0
88,2016-03-29,0.0,27,0
89,2016-03-30,14.0,21,0
90,2016-03-31,0.0,18,0
91,2016-04-01,0.0,14,0
92,2016-04-02,0.0,10,0
93,2016-04-03,12.0,6,0
94,2016-04-04,0.0,2,0
95,2016-04-05,2.5,0,0
96,2016-04-06,0.0,0,0
97,2016-04-07,11.0,0,0
98,2016-04-08,3.0,0,0
99,2016-04-09,0.0,0,0
100,2016-04-10,0.0,0,0
101,2016-04-11,0.0,0,0
102,2016-04-12,0.0,0,0
103,2016-04-13,17.0,0,0
104,2016-04-14,7.0,0,0
105,2016-04-15,1.0,0,0
106,2016-04-16,0.0,0,0
107,2016-04-17,36.5,0,0
108,2016-04-18,0.5,0,0
109,2016-04-19,0.0,0,0
110,2016-04-20,0.0,0,0
111,2016-04-21,0.0,0,0
112,2016-04-22,0.0,0,0
113,2016-04-23,6.0,0,0
114,2016-04-24,0.0,0,0
115,2016-04-25,0.0,0,0
116,2016-04-26,0.0,0,0
117,2016-04-27,0.0,0,0
118,2016-04-28,13.0,0,0
119,2016-04-29,17.0,0,0
120,2016-04-30,0.5,0,0
121,2016-05-01,0.0,0,0
122,2016-05-02,0.0,0,0
123,2016-05-03,0.0,0,0
124,2016-05-04,12.0,0,0
125,2016-05-05,5.0,0,0
126,2016-05-06,0.0,0,0
127,2016-05-07,33.0,0,0
128,2016-05-08,0.0,0,0
129,2016-05-09,0.0,0,0
130,2016-05-10,15.0,0,0
131,2016-05-11,55.0,0,0
132,2016-05-12,2.0,0,0
133,2016-05-13,0.0,0,0
134,2016-05-14,0.0,0,0
135,2016-05-15,0.0,0,0
136,2016-05-16,2.5,0,0
137,2016-05-17,2.0,0,0
138,2016-05-18,0.0,0,0
139,2016-05-19,0.0,0,0
140,2016-05-20,0.0,0,0
141,2016-05-21,0.0,0,0
142,2016-05-22,0.0,0,0
143,2016-05-23,0.0,0,0
144,2016-05-24,0.0,0,0
145,2016-05-25,11.5,0,0
146,2016-05-26,1.0,0,0
147,2016-05-27,0.0,0,0
148,2016-05-28,0.0,0,0
149,2016-05-29,0.5,0,0
150,2016-05-30,0.0,0,0
151,2016-05-31,9.5,0,0
152,2016-06-01,8.0,0,0
153,2016-06-02,0.0,0,0
154,2016-06-03,27.5,0,0
155,2016-06-04,4.0,0,0
156,2016-06-05,0.0,0,0
157,2016-06-06,0.0,0,0
158,2016-06-07,0.0,0,0
159,2016-06-08,5.5,0,0
160,2016-06-09,35.5,0,0
161,2016-06-10,0.0,0,0
162,2016-06-11,0.0,0,0
163,2016-06-12,0.5,0,0
164,2016-06-13,18.0,0,0
165,2016-06-14,12.0,0,0
166,2016-06-15,1.5,0,0
167,2016-06-16,6.5,0,0
168,2016-06-17,48.5,0,0
169,2016-06-18,0.0,0,0
170,2016-06-19,0.0,0,0
171,2016-06-20,26.0,0,0
172,2016-06-21,0.5,0,0
173,2016-06-22,3.5,0,0
174,2016-06-23,0.5,0,0
175,2016-06-24,0.5,0,0
176,2016-06-25,66.5,0,0
177,2016-06-26,10.5,0,0
178,2016-06-27,0.0,0,0
179,2016-06-28,0.0,0,0
180,2016-06-29,0.0,0,0
181,2016-06-30,0.0,0,0
182,2016-07-01,0.0,0,0
183,2016-07-02,81.0,0,0
184,2016-07-03,1.0,0,0
185,2016-07-04,0.0,0,0
186,2016-07-05,0.0,0,0
187,2016-07-06,22.0,0,0
188,2016-07-07,2.5,0,0
189,2016-07-08,0.0,0,0
190,2016-07-09,3.5,0,0
191,2016-07-10,2.5,0,0
192,2016-07-11,0.0,0,0
193,2016-07-12,0.0,0,0
194,2016-07-13,0.0,0,0
195,2016-07-14,32.0,0,0
196,2016-07-15,3.0,0,0
197,2016-07-16,1.0,0,0
198,2016-07-17,11.0,0,0
199,2016-07-18,4.5,0,0
200,2016-07-19,0.5,0,0
201,2016-07-20,0.0,0,0
202,2016-07-21,0.0,0,0
203,2016-07-22,0.0,0,0
204,2016-07-23,0.0,0,0
205,2016-07-24,0.0,0,0
206,2016-07-25,0.5,0,0
207,2016-07-26,1.0,0,0
208,2016-07-27,38.5,0,0
209,2016-07-28,47.5,0,0
210,2016-07-29,1.0,0,0
211,2016-07-30,0.5,0,0
212,2016-07-31,0.0,0,0
213,2016-08-01,0.0,0,0
214,2016-08-02,0.0,0,0
215,2016-08-03,0.0,0,0
216,2016-08-04,0.0,0,0
217,2016-08-05,0.0,0,0
218,2016-08-06,0.0,0,0
219,2016-08-07,0.0,0,0
220,2016-08-08,0.0,0,0
221,2016-08-09,0.0,0,0
222,2016-08-10,0.0,0,0
223,2016-08-11,0.0,0,0
224,2016-08-12,0.0,0,0
225,2016-08-13,0.0,0,0
226,2016-08-14,0.0,0,0
227,2016-08-15,0.0,0,0
228,2016-08-16,4.0,0,0
229,2016-08-17,14.0,0,0
230,2016-08-18,0.0,0,0
231,2016-08-19,0.0,0,0
232,2016-08-20,0.0,0,0
233,2016-08-21,12.5,0,0
234,2016-08-22,32.0,0,0
235,2016-08-23,8.0,0,0
236,2016-08-24,0.0,0,0
237,2016-08-25,0.0,0,0
238,2016-08-26,6.5,0,0
239,2016-08-27,0.5,0,0
240,2016-08-28,0.0,0,0
241,2016-08-29,4.5,0,0
242,2016-08-30,68.5,0,0
243,2016-08-31,0.0,0,0
244,2016-09-01,0.0,0,0
245,2016-09-02,0.0,0,0
246,2016-09-03,0.0,0,0
247,2016-09-04,1.0,0,0
248,2016-09-05,1.5,0,0
249,2016-09-06,59.0,0,0
250,2016-09-07,0.0,0,0
251,2016-09-08,66.5,0,0
252,2016-09-09,22.5,0,0
253,2016-09-10,0.0,0,0
254,2016-09-11,0.0,0,0
255,2016-09-12,0.0,0,0
256,2016-09-13,6.0,0,0
257,2016-09-14,0.5,0,0
258,2016-09-15,0.0,0,0
259,2016-09-16,0.0,0,0
260,2016-09-17,4.5,0,0
261,2016-09-18,0.0,0,0
262,2016-09-19,0.0,0,0
263,2016-09-20,0.0,0,0
264,2016-09-21,0.0,0,0
265,2016-09-22,16.5,0,0
266,2016-09-23,13.5,0,0
267,2016-09-24,0.0,0,0
268,2016-09-25,0.0,0,0
269,2016-09-26,0.0,0,0
270,2016-09-27,0.0,0,0
271,2016-09-28,8.0,0,0
272,2016-09-29,0.5,0,0
273,2016-09-30,0.0,0,0
274,2016-10-01,0.0,0,0
275,2016-10-02,0.0,0,0
276,2016-10-03,31.0,0,0
277,2016-10-04,2.0,0,0
278,2016-10-05,13.0,0,0
279,2016-10-06,8.5,0,0
280,2016-10-07,0.0,0,0
281,2016-10-08,11.5,0,0
282,2016-10-09,2.0,0,0
283,2016-10-10,0.0,0,0
284,2016-10-11,10.0,0,0
285,2016-10-12,0.0,0,0
286,2016-10-13,3.5,0,0
287,2016-10-14,2.0,0,0
288,2016-10-15,0.0,0,0
289,2016-10-16,0.0,0,0
290,2016-10-17,7.0,0,0
291,2016-10-18,0.5,0,0
292,2016-10-19,0.0,0,0
293,2016-10-20,5.0,0,0
294,2016-10-21,0.0,0,0
295,2016-10-22,0.5,0,0
296,2016-10-23,0.5,0,0
297,2016-10-24,1.5,0,0
298,2016-10-25,0.5,0,0
299,2016-10-26,2.0,0,0
300,2016-10-27,0.0,0,0
301,2016-10-28,0.0,0,0
302,2016-10-29,0.5,0,0
303,2016-10-30,3.5,0,0
304,2016-10-31,16.5,0,0
305,2016-11-01,0.0,0,0
306,2016-11-02,0.0,0,0
307,2016-11-03,11.0,0,0
308,2016-11-04,4.0,0,0
309,2016-11-05,8.0,0,0
310,2016-11-06,7.0,1,1
311,2016-11-07,0.0,0,0
312,2016-11-08,14.0,0,0
313,2016-11-09,12.5,7,9
314,2016-11-10,1.0,9,2
315,2016-11-11,28.5,4,0
316,2016-11-12,2.0,0,0
317,2016-11-13,24.0,0,0
318,2016-11-14,0.0,0,0
319,2016-11-15,4.5,0,0
320,2016-11-16,3.0,0,0
321,2016-11-17,0.0,0,0
322,2016-11-18,0.0,0,0
323,2016-11-19,0.0,0,0
324,2016-11-20,3.5,0,0
325,2016-11-21,0.0,0,0
326,2016-11-22,0.0,0,0
327,2016-11-23,7.0,8,13
328,2016-11-24,7.0,20,16
329,2016-11-25,0.5,14,0
330,2016-11-26,0.0,8,0
331,2016-11-27,0.0,4,0
332,2016-11-28,5.5,2,2
333,2016-11-29,4.5,7,5
334,2016-11-30,0.0,6,0
335,2016-12-01,25.0,4,0
336,2016-12-02,7.5,5,5
337,2016-12-03,0.0,2,0
338,2016-12-04,8.5,2,0
339,2016-12-05,20.0,0,0
340,2016-12-06,18.5,6,7
341,2016-12-07,3.5,11,8
342,2016-12-08,0.5,10,3
343,2016-12-09,12.5,15,9
344,2016-12-10,16.5,27,20
345,2016-12-11,13.5,41,19
346,2016-12-12,0.0,40,0
347,2016-12-13,6.5,31,1
348,2016-12-14,0.0,23,0
349,2016-12-15,3.5,29,8
350,2016-12-16,8.5,37,13
351,2016-12-17,5.0,40,5
352,2016-12-18,0.0,35,0
353,2016-12-19,0.0,23,0
354,2016-12-20,0.0,22,0
355,2016-12-21,0.0,19,0
356,2016-12-22,156.5,17,0
357,2016-12-23,41.0,8,6
358,2016-12-24,0.0,8,0
359,2016-12-25,1.0,9,2
360,2016-12-26,19.0,8,0
361,2016-12-27,2.0,3,1
362,2016-12-28,0.0,4,1
363,2016-12-29,10.0,18,15
364,2016-12-30,4.0,19,5
365,2016-12-31,3.0,21,4
366,2017-01-01,0.0,17,0
367,2017-01-02,0.5,15,0
368,2017-01-03,0.0,13,1
369,2017-01-04,2.5,17,4
370,2017-01-05,5.5,24,8
371,2017-01-06,0.0,21,0
372,2017-01-07,0.0,19,0
373,2017-01-08,0.0,18,0
374,2017-01-09,1.0,18,2
375,2017-01-10,10.0,34,19
376,2017-01-11,15.0,46,17
377,2017-01-12,7.0,52,9
378,2017-01-13,6.5,53,9
379,2017-01-14,20.0,78,29
380,2017-01-15,2.5,70,1
381,2017-01-16,0.5,62,0
382,2017-01-17,0.0,56,0
383,2017-01-18,4.5,57,7
384,2017-01-19,12.0,63,7
385,2017-01-20,0.0,61,0
386,2017-01-21,0.0,57,0
387,2017-01-22,11.5,66,12
388,2017-01-23,7.0,74,13
389,2017-01-24,3.5,77,8
390,2017-01-25,1.5,80,5
391,2017-01-26,0.0,76,0
392,2017-01-27,27.0,69,2
393,2017-01-28,0.0,51,0
394,2017-01-29,6.0,53,6
395,2017-01-30,9.0,61,9
396,2017-01-31,1.5,65,6
397,2017-02-01,6.5,74,15
398,2017-02-02,7.5,77,7
399,2017-02-03,4.5,81,6
400,2017-02-04,0.0,75,0
401,2017-02-05,0.0,70,0
402,2017-02-06,22.0,68,5
403,2017-02-07,4.5,73,8
404,2017-02-08,1.0,75,2
405,2017-02-09,1.5,73,4
406,2017-02-10,23.5,89,20
407,2017-02-11,0.0,87,0
408,2017-02-12,1.0,83,0
409,2017-02-13,1.5,78,2
410,2017-02-14,3.0,78,6
411,2017-02-15,0.5,78,0
412,2017-02-16,1.0,75,0
413,2017-02-17,6.5,61,4
414,2017-02-18,3.0,63,6
415,2017-02-19,6.0,71,10
416,2017-02-20,18.5,84,16
417,2017-02-21,3.5,87,4
418,2017-02-22,3.0,84,3
419,2017-02-23,8.5,89,6
420,2017-02-24,6.0,86,8
421,2017-02-25,4.0,91,6
422,2017-02-26,3.5,91,8
423,2017-02-27,0.5,92,3
424,2017-02-28,0.0,86,0
425,2017-03-01,0.0,81,0
426,2017-03-02,0.0,76,0
427,2017-03-03,0.0,75,2
428,2017-03-04,6.5,88,14
429,2017-03-05,0.0,80,3
430,2017-03-06,3.5,82,4
431,2017-03-07,5.0,90,10
432,2017-03-08,5.0,91,5
433,2017-03-09,6.5,95,9
434,2017-03-10,5.0,97,6
435,2017-03-11,0.5,96,2
436,2017-03-12,0.0,90,0
437,2017-03-13,0.0,85,0
438,2017-03-14,23.0,81,4
439,2017-03-15,0.0,80,0
440,2017-03-16,0.0,78,1
441,2017-03-17,0.0,77,0
442,2017-03-18,0.0,74,0
443,2017-03-19,0.0,73,0
444,2017-03-20,0.0,70,0
445,2017-03-21,0.0,67,1
446,2017-03-22,0.0,64,2
447,2017-03-23,5.5,69,11
448,2017-03-24,1.5,68,2
449,2017-03-25,0.0,62,0
450,2017-03-26,0.5,59,0
451,2017-03-27,0.0,59,0
452,2017-03-28,3.0,55,2
453,2017-03-29,4.5,54,0
454,2017-03-30,10.5,51,1
455,2017-03-31,7.0,49,2
456,2017-04-01,7.0,53,5
457,2017-04-02,0.5,49,0
458,2017-04-03,6.0,46,0
459,2017-04-04,0.0,44,0
460,2017-04-05,0.0,37,0
461,2017-04-06,28.0,24,0
462,2017-04-07,10.5,9,0
463,2017-04-08,1.0,0,0
464,2017-04-09,0.0,0,0
465,2017-04-10,0.0,0,0
466,2017-04-11,7.0,0,0
467,2017-04-12,3.5,0,0
468,2017-04-13,2.0,1,1
469,2017-04-14,0.0,0,0
470,2017-04-15,0.0,0,0
471,2017-04-16,0.0,0,0
472,2017-04-17,0.5,0,0
473,2017-04-18,78.5,0,0
474,2017-04-19,4.5,0,0
475,2017-04-20,0.5,0,0
476,2017-04-21,2.0,0,0
477,2017-04-22,5.0,0,0
478,2017-04-23,0.0,0,0
479,2017-04-24,0.0,0,0
480,2017-04-25,23.0,0,0
481,2017-04-26,6.5,0,0
482,2017-04-27,0.0,0,0
483,2017-04-28,1.5,0,0
484,2017-04-29,0.0,0,0
485,2017-04-30,0.0,0,0
486,2017-05-01,0.0,0,0
487,2017-05-02,0.0,0,0
488,2017-05-03,0.0,0,0
489,2017-05-04,0.0,0,0
490,2017-05-05,0.0,0,0
491,2017-05-06,9.0,0,0
492,2017-05-07,0.0,0,0
493,2017-05-08,0.0,0,0
494,2017-05-09,0.0,0,0
495,2017-05-10,2.0,0,0
496,2017-05-11,6.0,0,0
497,2017-05-12,0.0,0,0
498,2017-05-13,3.0,0,0
499,2017-05-14,12.5,0,0
500,2017-05-15,13.5,0,0
501,2017-05-16,8.5,0,0
502,2017-05-17,0.0,0,0
503,2017-05-18,0.0,0,0
504,2017-05-19,0.0,0,0
505,2017-05-20,0.0,0,0
506,2017-05-21,0.0,0,0
507,2017-05-22,0.0,0,0
508,2017-05-23,0.0,0,0
509,2017-05-24,0.0,0,0
510,2017-05-25,0.0,0,0
511,2017-05-26,0.0,0,0
512,2017-05-27,20.5,0,0
513,2017-05-28,4.5,0,0
514,2017-05-29,0.0,0,0
515,2017-05-30,0.0,0,0
516,2017-05-31,0.0,0,0
