Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall
46,2016-02-16,-1.4,3.9,-4.7,5.8,36
47,2016-02-17,-2.5,0.0,-5.0,0.1,52
48,2016-02-18,-1.3,6.4,-5.5,7.9,50
49,2016-02-19,1.7,9.7,-4.3,7.9,34
50,2016-02-20,2.5,6.4,0.0,0.0,33
51,2016-02-21,2.3,6.1,0.2,0.1,29
52,2016-02-22,1.8,7.4,-1.1,6.9,28
53,2016-02-23,3.3,8.0,-0.7,6.1,25
54,2016-02-24,-1.4,1.0,-2.5,2.5,29
55,2016-02-25,-2.2,1.3,-4.8,5.8,25
56,2016-02-26,-0.7,3.0,-4.6,6.7,25
57,2016-02-27,2.4,8.1,-1.6,7.7,23
58,2016-02-28,5.0,10.7,0.0,8.0,20
59,2016-02-29,1.8,8.5,-3.5,2.6,30
60,2016-03-01,-3.4,-2.1,-5.0,0.0,36
61,2016-03-02,-1.2,3.1,-5.5,2.4,31
62,2016-03-03,1.2,8.8,-4.8,3.9,21
63,2016-03-04,3.9,12.5,-1.3,8.4,16
64,2016-03-05,5.0,12.4,-1.0,7.7,11
65,2016-03-06,7.2,14.6,2.9,4.0,6
66,2016-03-07,6.3,10.9,4.1,0.0,0
67,2016-03-08,9.0,15.5,3.9,8.1,0
68,2016-03-09,4.2,7.9,0.9,0.0,0
69,2016-03-10,1.9,6.1,-0.1,6.2,0
70,2016-03-11,1.3,4.5,-1.0,3.4,0
71,2016-03-12,1.1,4.0,-1.2,0.7,0
72,2016-03-13,2.8,6.1,-0.2,1.0,0
73,2016-03-14,1.6,2.8,-0.2,0.0,0
74,2016-03-15,0.8,2.6,-2.1,0.5,0
75,2016-03-16,2.9,10.7,-3.7,6.0,0
76,2016-03-17,7.3,16.0,0.4,9.2,0
77,2016-03-18,8.5,17.3,0.8,4.3,0
78,2016-03-19,9.3,16.4,5.4,1.9,0
79,2016-03-20,5.4,8.1,3.6,0.7,0
80,2016-03-21,2.6,6.6,-1.6,4.9,0
81,2016-03-22,4.8,13.7,-2.1,9.3,0
82,2016-03-23,3.7,7.1,0.9,0.9,0
83,2016-03-24,1.2,3.6,-0.7,1.2,0
84,2016-03-25,0.0,2.9,-2.0,0.7,0
85,2016-03-26,2.3,7.2,-3.2,9.9,0
86,2016-03-27,5.3,11.9,1.4,4.0,0
87,2016-03-28,6.0,13.3,0.8,7.9,0
88,2016-03-29,8.1,15.7,0.0,8.3,0
89,2016-03-30,9.8,17.7,3.2,7.8,0
90,2016-03-31,8.0,15.2,1.9,10.1,0
91,2016-04-01,9.2,17.2,1.9,7.4,0
92,2016-04-02,8.1,11.6,5.6,0.0,0
93,2016-04-03,12.5,18.3,6.5,5.8,0
94,2016-04-04,11.0,16.1,8.5,1.8,0
95,2016-04-05,7.6,9.6,3.2,0.0,0
96,2016-04-06,9.6,17.3,2.2,9.4,0
97,2016-04-07,8.4,13.0,5.6,0.0,0
98,2016-04-08,10.9,15.0,4.8,4.3,0
99,2016-04-09,10.5,20.2,1.4,9.9,0
100,2016-04-10,11.2,19.7,4.4,3.8,0
101,2016-04-11,2.7,7.5,-0.5,2.3,0
102,2016-04-12,5.4,13.3,-1.5,10.6,0
103,2016-04-13,9.6,16.0,2.0,5.9,0
104,2016-04-14,13.9,20.2,8.7,6.8,0
105,2016-04-15,7.0,12.8,1.8,4.8,0
106,2016-04-16,9.6,17.2,0.5,9.1,0
107,2016-04-17,12.8,19.8,7.6,3.4,0
108,2016-04-18,11.1,17.1,6.4,6.2,0
109,2016-04-19,9.9,17.1,3.3,10.8,0
110,2016-04-20,10.3,16.8,3.4,11.1,0
111,2016-04-21,10.1,15.0,5.3,0.3,0
112,2016-04-22,13.7,19.5,9.2,3.7,0
113,2016-04-23,15.1,22.5,10.1,6.4,0
114,2016-04-24,14.0,17.9,10.6,5.9,0
115,2016-04-25,13.9,20.2,8.9,7.6,0
116,2016-04-26,15.6,24.8,8.0,11.2,0
117,2016-04-27,14.0,21.3,7.9,6.7,0
118,2016-04-28,11.7,13.2,10.0,0.0,0
119,2016-04-29,6.6,11.3,3.5,0.3,0
120,2016-04-30,8.3,14.3,3.2,3.1,0
121,2016-05-01,13.1,20.4,7.2,4.5,0
122,2016-05-02,14.5,20.1,10.4,4.5,0
123,2016-05-03,15.9,19.3,11.5,0.6,0
124,2016-05-04,15.9,24.5,8.8,7.4,0
125,2016-05-05,12.7,19.4,7.1,10.4,0
126,2016-05-06,13.6,18.9,6.4,5.3,0
127,2016-05-07,16.5,24.3,11.0,7.1,0
128,2016-05-08,14.2,20.0,8.4,11.2,0
129,2016-05-09,13.6,18.0,7.3,2.7,0
130,2016-05-10,16.8,22.1,12.5,2.1,0
131,2016-05-11,15.5,19.4,13.1,0.0,0
132,2016-05-12,14.6,21.7,10.0,10.0,0
133,2016-05-13,17.2,25.3,9.7,11.7,0
134,2016-05-14,17.9,24.2,13.4,6.3,0
135,2016-05-15,16.3,21.6,12.1,8.4,0
136,2016-05-16,14.0,16.6,11.4,0.0,0
137,2016-05-17,12.5,17.1,6.7,2.9,0
138,2016-05-18,15.3,25.2,6.0,12.2,0
139,2016-05-19,15.5,23.5,8.0,11.4,0
140,2016-05-20,14.0,20.8,8.9,6.5,0
141,2016-05-21,15.9,22.8,8.9,11.0,0
142,2016-05-22,17.8,26.7,9.0,9.9,0
143,2016-05-23,18.8,27.3,11.1,11.3,0
144,2016-05-24,18.9,27.6,10.8,9.6,0
145,2016-05-25,16.2,20.7,12.8,0.0,0
146,2016-05-26,20.5,27.8,12.2,8.9,0
147,2016-05-27,16.4,22.4,10.3,3.4,0
148,2016-05-28,15.9,22.9,10.2,3.4,0
149,2016-05-29,18.3,26.3,11.0,9.1,0
150,2016-05-30,13.9,17.2,11.3,0.0,0
151,2016-05-31,18.1,24.1,11.1,8.0,0
152,2016-06-01,13.2,16.5,11.0,1.4,0
153,2016-06-02,12.3,15.9,7.0,2.3,0
154,2016-06-03,13.9,23.0,5.2,10.5,0
155,2016-06-04,17.6,25.4,8.8,7.9,0
156,2016-06-05,18.5,24.8,12.2,10.2,0
157,2016-06-06,16.9,22.7,9.1,8.9,0
158,2016-06-07,18.0,22.7,15.2,1.0,0
159,2016-06-08,18.3,21.9,15.7,0.0,0
160,2016-06-09,18.0,23.1,15.5,0.0,0
161,2016-06-10,20.5,26.7,14.4,10.9,0
162,2016-06-11,21.1,28.8,14.5,9.4,0
163,2016-06-12,20.4,26.6,13.8,8.4,0
164,2016-06-13,17.2,19.6,14.7,0.0,0
165,2016-06-14,19.4,24.4,16.7,3.5,0
166,2016-06-15,17.6,20.1,16.0,0.0,0
167,2016-06-16,17.3,18.6,16.4,0.0,0
168,2016-06-17,19.4,24.3,16.2,2.6,0
169,2016-06-18,20.3,26.9,15.0,10.8,0
170,2016-06-19,18.3,24.4,13.9,2.3,0
171,2016-06-20,20.1,27.5,15.3,8.2,0
172,2016-06-21,18.2,23.6,15.5,2.3,0
173,2016-06-22,19.4,23.5,14.8,1.3,0
174,2016-06-23,19.2,22.9,15.7,0.5,0
175,2016-06-24,18.1,22.3,13.8,1.9,0
176,2016-06-25,19.5,24.2,16.7,0.5,0
177,2016-06-26,18.2,23.7,14.5,4.2,0
178,2016-06-27,20.6,26.9,13.5,9.7,0
179,2016-06-28,17.1,19.1,14.6,0.0,0
180,2016-06-29,18.6,21.1,16.7,0.1,0
181,2016-06-30,21.1,27.4,17.6,4.4,0
182,2016-07-01,23.6,29.8,18.4,10.0,0
183,2016-07-02,23.0,27.1,20.5,1.1,0
184,2016-07-03,22.8,29.3,19.7,3.1,0
185,2016-07-04,22.1,27.5,18.6,1.7,0
186,2016-07-05,19.3,21.3,17.1,0.0,0
187,2016-07-06,21.2,26.8,16.8,5.5,0
188,2016-07-07,24.1,29.8,20.3,6.2,0
189,2016-07-08,22.4,26.4,19.3,2.4,0
190,2016-07-09,20.0,21.5,19.0,0.0,0
191,2016-07-10,22.7,29.1,18.3,9.6,0
192,2016-07-11,22.3,29.6,16.4,11.5,0
193,2016-07-12,23.0,31.4,15.3,12.3,0
194,2016-07-13,21.1,24.0,18.7,0.0,0
195,2016-07-14,22.1,29.0,19.1,4.3,0
196,2016-07-15,19.9,23.3,17.8,0.2,0
197,2016-07-16,20.3,23.3,18.4,0.2,0
198,2016-07-17,22.7,27.8,18.9,3.1,0
199,2016-07-18,23.8,29.5,19.7,7.4,0
200,2016-07-19,23.4,28.3,19.0,10.3,0
201,2016-07-20,23.1,30.4,17.9,11.8,0
202,2016-07-21,20.2,23.1,18.4,0.0,0
203,2016-07-22,19.2,21.7,17.5,0.1,0
204,2016-07-23,18.7,21.2,16.7,1.1,0
205,2016-07-24,21.5,27.2,16.4,8.9,0
206,2016-07-25,21.6,27.2,19.3,4.6,0
207,2016-07-26,19.5,20.1,19.0,0.0,0
208,2016-07-27,21.6,26.3,18.9,1.6,0
209,2016-07-28,22.9,27.7,19.8,2.0,0
210,2016-07-29,24.1,30.1,20.7,7.2,0
211,2016-07-30,24.2,30.8,20.2,6.6,0
212,2016-07-31,24.6,30.8,20.0,10.1,0
213,2016-08-01,23.3,29.5,20.5,3.9,0
214,2016-08-02,21.6,28.2,19.8,1.2,0
215,2016-08-03,23.0,29.9,18.6,7.1,0
216,2016-08-04,24.0,32.0,19.5,9.4,0
217,2016-08-05,25.0,31.2,19.9,10.7,0
218,2016-08-06,25.6,32.4,20.3,10.2,0
219,2016-08-07,25.4,30.2,21.7,8.1,0
220,2016-08-08,24.1,30.4,19.1,10.1,0
221,2016-08-09,22.9,26.6,19.7,1.4,0
222,2016-08-10,23.5,28.1,19.4,8.2,0
223,2016-08-11,24.0,29.2,19.8,9.1,0
224,2016-08-12,23.4,28.5,19.6,7.4,0
225,2016-08-13,23.9,30.3,20.3,6.0,0
226,2016-08-14,21.8,25.9,19.2,2.6,0
227,2016-08-15,21.7,25.3,19.7,0.1,0
228,2016-08-16,23.3,28.2,20.2,4.4,0
229,2016-08-17,23.4,29.4,20.1,1.9,0
230,2016-08-18,23.6,30.1,20.3,3.0,0
231,2016-08-19,24.6,29.0,21.4,4.6,0
232,2016-08-20,22.8,28.6,20.9,2.1,0
233,2016-08-21,24.8,31.6,19.2,10.4,0
234,2016-08-22,21.7,24.1,19.7,0.5,0
235,2016-08-23,23.0,28.4,19.7,5.5,0
236,2016-08-24,22.7,26.0,19.0,1.6,0
237,2016-08-25,23.5,28.6,21.1,4.0,0
238,2016-08-26,24.1,30.1,20.2,7.5,0
239,2016-08-27,19.7,21.6,18.6,0.0,0
240,2016-08-28,19.9,22.4,18.9,0.1,0
241,2016-08-29,22.4,26.8,19.7,1.0,0
242,2016-08-30,19.5,23.2,15.4,0.8,0
243,2016-08-31,20.0,27.3,14.6,9.8,0
244,2016-09-01,20.9,28.4,15.9,10.4,0
245,2016-09-02,22.1,28.4,16.7,8.4,0
246,2016-09-03,22.9,28.2,19.1,7.5,0
247,2016-09-04,22.9,27.5,20.1,2.8,0
248,2016-09-05,23.5,28.6,19.9,5.4,0
249,2016-09-06,24.4,30.7,20.1,7.9,0
250,2016-09-07,24.0,29.7,20.8,3.5,0
251,2016-09-08,21.8,24.4,19.6,0.0,0
252,2016-09-09,20.8,25.0,18.0,4.8,0
253,2016-09-10,21.0,26.6,16.1,9.5,0
254,2016-09-11,21.1,25.2,18.5,0.7,0
255,2016-09-12,21.4,25.5,18.9,2.7,0
256,2016-09-13,20.4,23.6,18.6,0.1,0
257,2016-09-14,20.8,25.7,18.9,3.3,0
258,2016-09-15,20.2,24.5,18.1,3.6,0
259,2016-09-16,19.6,22.5,17.9,0.1,0
260,2016-09-17,20.0,24.8,17.6,0.5,0
261,2016-09-18,19.0,21.1,18.3,0.0,0
262,2016-09-19,18.2,19.9,16.8,0.0,0
263,2016-09-20,17.0,18.6,16.1,0.0,0
264,2016-09-21,16.8,18.7,15.9,0.0,0
265,2016-09-22,16.9,18.2,15.7,0.0,0
266,2016-09-23,18.1,21.0,16.6,0.0,0
267,2016-09-24,18.0,20.7,15.0,0.0,0
268,2016-09-25,19.9,26.6,15.4,8.0,0
269,2016-09-26,19.4,22.1,18.0,0.0,0
270,2016-09-27,21.4,26.9,18.2,7.0,0
271,2016-09-28,20.1,22.3,18.6,0.0,0
272,2016-09-29,18.0,22.6,13.0,1.5,0
273,2016-09-30,14.4,19.4,7.4,2.7,0
274,2016-10-01,16.7,20.2,14.4,0.2,0
275,2016-10-02,20.3,26.8,16.4,3.8,0
276,2016-10-03,19.5,21.6,17.0,0.0,0
277,2016-10-04,19.2,24.4,12.5,3.3,0
278,2016-10-05,15.6,18.5,11.9,0.0,0
279,2016-10-06,17.7,23.0,14.9,0.7,0
280,2016-10-07,15.3,21.9,10.6,7.9,0
281,2016-10-08,17.0,23.1,13.1,1.6,0
282,2016-10-09,14.5,17.7,9.5,0.0,0
283,2016-10-10,12.3,15.9,8.8,3.0,0
284,2016-10-11,11.6,14.6,7.0,0.0,0
285,2016-10-12,10.8,19.2,5.0,6.5,0
286,2016-10-13,10.9,15.4,7.6,1.5,0
287,2016-10-14,9.6,17.8,5.0,7.5,0
288,2016-10-15,10.1,19.7,3.8,7.5,0
289,2016-10-16,12.6,20.3,5.3,7.4,0
290,2016-10-17,14.1,16.2,12.2,0.0,0
291,2016-10-18,16.9,23.3,13.4,4.5,0
292,2016-10-19,17.2,22.5,13.3,5.2,0
293,2016-10-20,16.0,18.8,11.9,0.8,0
294,2016-10-21,10.9,17.4,5.4,6.0,0
295,2016-10-22,10.2,15.7,3.6,2.2,0
296,2016-10-23,12.0,15.7,9.2,1.5,0
297,2016-10-24,8.1,12.9,3.7,7.1,0
298,2016-10-25,6.6,10.4,0.5,1.2,0
299,2016-10-26,15.4,22.1,8.9,7.1,0
300,2016-10-27,10.2,14.6,3.3,1.8,0
301,2016-10-28,7.3,10.3,2.7,0.0,0
302,2016-10-29,9.3,13.4,6.3,0.2,0
303,2016-10-30,7.7,13.6,3.4,2.9,0
304,2016-10-31,9.0,15.5,5.5,2.3,0
305,2016-11-01,8.0,16.3,2.8,2.9,0
306,2016-11-02,6.7,10.3,2.6,0.7,0
307,2016-11-03,7.9,11.1,4.7,2.4,0
308,2016-11-04,5.9,11.1,1.5,2.7,0
309,2016-11-05,7.8,18.4,1.0,6.7,0
310,2016-11-06,7.2,13.1,2.3,1.4,0
311,2016-11-07,4.3,11.6,0.0,6.4,0
312,2016-11-08,6.9,12.9,0.6,3.7,0
313,2016-11-09,2.8,6.7,0.6,0.1,0
314,2016-11-10,3.6,7.2,0.9,0.4,0
315,2016-11-11,5.8,8.4,2.8,0.0,0
316,2016-11-12,7.2,13.2,2.3,3.4,0
317,2016-11-13,7.6,19.0,0.8,6.2,0
318,2016-11-14,8.7,14.6,3.9,0.3,0
319,2016-11-15,10.7,17.4,5.8,1.8,0
320,2016-11-16,5.4,8.2,0.8,4.8,0
321,2016-11-17,5.2,11.2,0.6,4.6,0
322,2016-11-18,3.8,12.5,-1.5,6.0,0
323,2016-11-19,6.8,11.0,2.9,0.0,0
324,2016-11-20,12.5,18.7,7.8,4.4,0
325,2016-11-21,8.3,11.2,4.9,0.0,0
326,2016-11-22,10.6,15.1,7.3,3.5,0
327,2016-11-23,2.9,10.5,1.2,0.3,0
328,2016-11-24,-0.2,1.9,-2.9,0.0,13
329,2016-11-25,0.1,6.4,-3.8,4.7,0
330,2016-11-26,3.8,7.5,0.7,1.7,0
331,2016-11-27,6.9,10.4,3.6,0.0,0
332,2016-11-28,4.4,8.4,2.5,0.0,0
333,2016-11-29,3.0,4.6,2.0,0.0,0
334,2016-11-30,3.1,7.4,-0.2,2.1,0
335,2016-12-01,7.2,14.2,1.7,3.3,0
336,2016-12-02,5.6,7.5,3.4,4.0,0
337,2016-12-03,5.8,13.5,1.6,5.3,0
338,2016-12-04,6.2,12.2,1.2,1.4,0
339,2016-12-05,7.7,13.4,3.9,4.1,0
340,2016-12-06,2.2,6.6,0.6,0.0,0
341,2016-12-07,1.4,6.8,-1.4,5.2,0
342,2016-12-08,0.7,4.7,-1.3,2.8,0
343,2016-12-09,3.7,11.7,-0.7,2.9,0
344,2016-12-10,-0.4,5.3,-1.9,0.0,21
345,2016-12-11,-1.3,0.0,-2.2,0.0,54
346,2016-12-12,-1.0,2.5,-2.9,4.7,47
347,2016-12-13,1.3,4.8,-2.2,0.7,32
348,2016-12-14,2.1,5.6,-1.1,0.0,11
349,2016-12-15,-1.2,1.0,-3.9,0.5,9
350,2016-12-16,-2.1,0.6,-4.6,0.0,14
351,2016-12-17,0.7,4.7,-4.9,0.8,13
352,2016-12-18,4.8,9.9,1.1,4.8,5
353,2016-12-19,5.4,10.8,0.3,4.9,0
354,2016-12-20,5.1,12.7,0.0,2.7,0
355,2016-12-21,4.8,12.8,0.7,4.4,0
356,2016-12-22,5.1,10.5,-0.2,0.0,0
357,2016-12-23,5.1,8.6,0.7,1.4,0
358,2016-12-24,0.5,1.6,-0.3,0.1,4
359,2016-12-25,0.7,6.2,-1.7,5.0,2
360,2016-12-26,0.6,3.6,-2.4,0.0,0
361,2016-12-27,3.0,7.4,-0.3,1.5,0
362,2016-12-28,-2.0,1.0,-6.0,0.0,15
363,2016-12-29,-1.8,6.9,-7.6,4.8,19
364,2016-12-30,-1.9,-0.2,-3.7,0.0,35
365,2016-12-31,0.6,5.6,-3.8,2.5,29
366,2017-01-01,2.3,4.7,0.6,0.0,13
367,2017-01-02,3.2,9.6,0.5,4.8,7
368,2017-01-03,1.8,4.9,0.8,0.3,4
369,2017-01-04,1.6,5.3,-0.1,0.0,3
370,2017-01-05,-1.2,1.3,-2.8,0.0,43
371,2017-01-06,-1.9,1.7,-6.8,2.9,40
372,2017-01-07,-2.4,5.0,-8.0,5.1,28
373,2017-01-08,-0.5,4.5,-5.6,0.0,23
374,2017-01-09,1.8,5.2,0.2,0.0,23
375,2017-01-10,1.8,4.6,-0.4,4.8,15
376,2017-01-11,-1.0,1.4,-3.0,0.0,28
377,2017-01-12,-0.3,2.1,-2.8,1.7,24
378,2017-01-13,-0.7,2.9,-3.5,1.0,30
379,2017-01-14,-5.0,-3.0,-7.4,0.0,77
380,2017-01-15,-5.5,-2.9,-7.4,0.0,103
381,2017-01-16,-3.2,0.5,-4.6,0.0,121
382,2017-01-17,-0.9,0.0,-1.7,0.0,123
383,2017-01-18,-0.8,3.8,-3.1,4.8,119
384,2017-01-19,-0.7,1.3,-4.4,0.9,98
385,2017-01-20,-3.7,-0.7,-8.5,0.0,90
386,2017-01-21,-1.5,1.5,-6.0,0.0,113
387,2017-01-22,-3.0,3.7,-8.9,3.7,104
388,2017-01-23,-3.7,-2.2,-5.2,0.6,117
389,2017-01-24,-4.8,-3.8,-5.7,0.0,141
390,2017-01-25,-3.3,-1.9,-4.8,0.0,154
391,2017-01-26,-1.6,4.0,-5.7,6.1,146
392,2017-01-27,-0.3,9.9,-6.2,4.7,123
393,2017-01-28,0.9,4.7,-2.9,6.1,109
394,2017-01-29,0.8,7.0,-3.6,2.3,95
395,2017-01-30,1.6,6.9,-1.8,1.4,104
396,2017-01-31,-3.2,-1.4,-6.1,0.0,118
397,2017-02-01,-2.8,5.2,-8.4,4.6,112
398,2017-02-02,-2.8,1.0,-5.7,0.0,134
399,2017-02-03,0.4,1.8,-1.7,1.0,113
400,2017-02-04,1.1,5.7,-2.9,5.5,103
401,2017-02-05,-1.4,2.5,-5.7,0.0,97
402,2017-02-06,0.8,4.9,-2.0,0.0,110
403,2017-02-07,-3.0,-0.8,-4.2,0.0,130
404,2017-02-08,-2.3,0.3,-4.8,0.6,135
405,2017-02-09,-2.1,0.7,-5.5,0.0,124
406,2017-02-10,-2.3,-0.3,-4.6,0.6,135
407,2017-02-11,-2.2,2.5,-7.5,6.0,142
408,2017-02-12,-1.9,-0.6,-3.1,0.0,173
409,2017-02-13,-1.1,1.3,-2.7,0.4,169
410,2017-02-14,-1.3,1.9,-3.0,3.8,153
411,2017-02-15,-0.6,1.3,-2.9,0.1,152
412,2017-02-16,0.8,8.7,-3.7,7.7,140
413,2017-02-17,2.4,11.9,-2.3,3.2,129
414,2017-02-18,0.0,2.4,-2.6,2.5,119
415,2017-02-19,-1.9,1.6,-4.2,4.4,117
416,2017-02-20,0.3,4.2,-3.8,0.7,113
417,2017-02-21,-3.0,-0.6,-4.2,0.0,165
418,2017-02-22,-0.6,4.1,-5.5,5.1,155
419,2017-02-23,2.6,9.5,-0.4,2.1,133
420,2017-02-24,-1.8,0.5,-4.0,1.4,125
421,2017-02-25,-1.0,5.0,-7.7,7.3,118
422,2017-02-26,1.4,5.9,-2.1,5.3,113
423,2017-02-27,0.3,3.1,-1.9,8.4,110
424,2017-02-28,1.2,7.0,-2.7,5.7,108
425,2017-03-01,1.2,7.2,-4.0,6.9,104
426,2017-03-02,2.6,6.8,0.6,1.0,101
427,2017-03-03,1.2,2.5,0.1,0.8,100
428,2017-03-04,2.5,9.4,-2.8,8.4,99
429,2017-03-05,3.0,9.6,-1.6,7.3,96
430,2017-03-06,3.7,8.8,-0.2,0.0,92
431,2017-03-07,-0.8,3.1,-3.1,3.8,102
432,2017-03-08,-1.2,3.1,-4.9,4.0,102
433,2017-03-09,0.2,5.7,-5.1,7.1,90
434,2017-03-10,0.2,3.5,-2.3,0.9,94
435,2017-03-11,0.2,3.5,-2.6,5.5,95
436,2017-03-12,0.7,8.4,-5.4,8.1,87
437,2017-03-13,2.6,7.0,-0.5,1.2,84
438,2017-03-14,2.7,5.7,0.4,2.7,82
439,2017-03-15,1.9,4.1,-0.4,0.0,79
440,2017-03-16,1.9,3.5,0.6,0.2,78
441,2017-03-17,2.0,3.8,-0.1,2.1,79
442,2017-03-18,3.4,7.7,0.2,4.6,76
443,2017-03-19,3.3,6.5,0.3,0.4,72
444,2017-03-20,4.4,9.5,1.2,6.3,70
445,2017-03-21,1.9,3.0,0.9,0.0,66
446,2017-03-22,0.9,3.5,-0.6,0.5,72
447,2017-03-23,1.1,4.0,-0.1,0.6,74
448,2017-03-24,-0.6,1.3,-1.8,0.3,83
449,2017-03-25,1.3,6.3,-1.9,7.8,83
450,2017-03-26,1.3,3.5,-0.1,0.0,69
451,2017-03-27,1.6,3.3,0.3,0.0,67
452,2017-03-28,2.5,6.6,-0.2,5.4,70
453,2017-03-29,3.5,8.3,0.4,9.1,63
454,2017-03-30,5.4,12.6,-1.0,10.4,57
455,2017-03-31,3.6,5.4,1.0,0.0,50
456,2017-04-01,2.2,6.0,-0.3,0.9,48
457,2017-04-02,2.6,7.0,-1.2,10.6,45
458,2017-04-03,2.9,11.0,-1.9,7.6,39
459,2017-04-04,4.5,11.4,0.6,6.0,36
460,2017-04-05,6.6,17.8,-0.6,9.9,30
461,2017-04-06,6.8,16.1,1.3,5.2,23
462,2017-04-07,7.5,16.6,3.6,4.4,16
463,2017-04-08,6.9,11.7,4.5,0.0,7
464,2017-04-09,6.1,9.8,2.7,0.0,1
465,2017-04-10,6.4,15.0,0.2,9.5,0
466,2017-04-11,3.0,5.5,-0.8,0.0,0
467,2017-04-12,5.1,9.0,0.1,0.2,0
468,2017-04-13,3.1,7.4,-0.9,5.6,0
469,2017-04-14,7.6,18.7,-0.7,10.0,0
470,2017-04-15,8.4,18.4,2.7,5.3,0
471,2017-04-16,11.0,21.9,2.2,10.7,0
472,2017-04-17,12.8,22.7,5.2,4.0,0
473,2017-04-18,11.6,18.3,6.0,8.0,0
474,2017-04-19,7.4,13.4,3.4,5.0,0
475,2017-04-20,9.6,15.5,6.3,2.9,0
476,2017-04-21,10.7,16.0,6.0,3.2,0
477,2017-04-22,8.0,11.7,4.8,6.2,0
478,2017-04-23,6.4,11.4,2.9,6.7,0
479,2017-04-24,10.5,19.2,4.0,10.3,0
480,2017-04-25,11.9,18.7,6.9,10.2,0
481,2017-04-26,10.3,16.3,6.2,0.2,0
482,2017-04-27,8.4,12.6,3.8,5.2,0
483,2017-04-28,8.6,14.4,1.6,10.6,0
484,2017-04-29,8.5,16.2,4.0,4.5,0
485,2017-04-30,12.5,22.9,2.0,11.6,0
486,2017-05-01,10.0,13.9,5.6,0.7,0
487,2017-05-02,10.5,16.7,5.4,11.7,0
488,2017-05-03,13.3,23.4,3.5,11.3,0
489,2017-05-04,13.7,21.8,6.4,10.8,0
490,2017-05-05,15.2,23.9,6.5,10.4,0
491,2017-05-06,14.5,22.6,8.5,5.0,0
492,2017-05-07,12.3,18.9,5.7,9.5,0
493,2017-05-08,13.2,23.1,3.5,11.9,0
494,2017-05-09,13.4,19.1,7.3,0.7,0
495,2017-05-10,11.9,14.0,9.3,0.0,0
496,2017-05-11,13.5,17.0,10.3,0.6,0
497,2017-05-12,16.7,24.6,9.8,8.0,0
498,2017-05-13,12.5,13.7,11.0,0.0,0
499,2017-05-14,14.1,19.0,8.3,2.2,0
500,2017-05-15,13.0,14.6,10.6,0.0,0
501,2017-05-16,12.4,17.7,6.9,7.3,0
502,2017-05-17,12.8,16.5,9.8,0.3,0
503,2017-05-18,13.7,19.0,9.8,3.4,0
