,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity
27,2016-01-28,5.5,8.4,0.9,6.0,0.0,5.2,8.9,894.3,98.0
28,2016-01-29,9.4,10.9,7.4,50.0,0.0,4.8,,887.3,
29,2016-01-30,3.2,8.0,-0.6,1.0,0.4,3.7,,887.0,
30,2016-01-31,0.9,3.7,-1.0,,3.4,4.1,,890.9,
31,2016-02-01,-2.0,-0.6,-3.8,,0.0,3.3,,888.4,
32,2016-02-02,-3.4,0.6,-5.8,,3.4,4.6,,887.3,
33,2016-02-03,-2.6,-0.4,-4.0,,1.4,2.9,4.9,889.5,96.0
34,2016-02-04,-2.2,3.3,-5.0,,7.2,3.4,4.4,889.3,86.0
35,2016-02-05,-1.5,4.8,-3.9,,6.6,3.4,4.6,886.4,84.0
36,2016-02-06,-3.9,-1.4,-5.8,,1.5,5.1,4.2,884.2,91.0
37,2016-02-07,-4.3,-0.1,-6.9,,2.8,3.7,3.7,884.8,84.0
38,2016-02-08,-2.9,-0.3,-6.3,,3.7,4.5,4.3,885.4,87.0
39,2016-02-09,-0.2,3.3,-4.1,,8.2,7.2,4.2,886.9,71.0
40,2016-02-10,1.5,8.3,-3.7,,9.8,3.8,3.7,891.6,58.0
41,2016-02-11,6.3,12.6,0.9,,8.2,3.6,4.3,894.8,45.0
42,2016-02-12,6.8,8.8,4.2,1.0,0.0,8.7,9.5,892.6,96.0
43,2016-02-13,11.7,13.8,8.6,39.0,0.0,7.3,,885.0,
44,2016-02-14,3.2,12.9,-4.0,16.0,0.0,6.7,,879.8,
45,2016-02-15,-6.6,-3.9,-8.3,,0.1,6.4,,881.4,
46,2016-02-16,-5.4,-3.1,-7.7,0.5,0.0,4.6,,884.5,
47,2016-02-17,-3.5,-0.6,-6.0,2.5,1.0,4.2,,888.0,
48,2016-02-18,-1.3,4.2,-6.7,,10.2,3.6,,891.0,
49,2016-02-19,3.5,7.2,0.9,0.5,3.9,4.1,5.9,894.0,76.0
50,2016-02-20,2.9,5.7,-0.7,34.5,0.2,6.3,7.3,885.5,97.0
51,2016-02-21,-2.0,1.4,-4.5,1.0,6.8,5.0,4.3,891.5,82.0
52,2016-02-22,1.1,5.3,-2.5,2.5,1.3,2.7,4.3,894.6,65.0
53,2016-02-23,1.6,5.6,-1.9,6.5,0.0,4.0,6.5,891.3,94.0
54,2016-02-24,-1.9,1.9,-5.6,,2.1,5.2,4.6,891.6,86.0
55,2016-02-25,-4.7,-1.7,-7.5,,0.3,4.2,4.1,894.3,93.0
56,2016-02-26,-2.2,1.6,-6.9,,8.6,3.7,3.1,895.0,61.0
57,2016-02-27,2.3,4.6,-0.6,,0.3,4.6,5.0,893.4,67.0
58,2016-02-28,5.8,10.4,2.1,,10.1,4.3,6.3,891.3,70.0
59,2016-02-29,-3.2,6.0,-8.4,2.5,0.4,8.0,4.9,886.3,95.0
60,2016-03-01,-6.3,-1.7,-9.9,,7.8,5.0,3.3,889.4,87.0
61,2016-03-02,-0.6,5.7,-6.5,,7.7,3.7,4.4,892.2,78.0
62,2016-03-03,4.1,8.9,-1.0,,10.3,3.3,5.2,893.9,61.0
63,2016-03-04,8.2,12.6,5.1,,1.2,2.8,9.2,896.1,85.0
64,2016-03-05,8.8,12.7,6.4,,6.9,7.7,9.3,894.6,82.0
65,2016-03-06,10.4,13.8,7.7,,0.6,5.5,11.3,890.2,90.0
66,2016-03-07,11.5,17.3,7.3,,6.8,2.3,11.2,887.9,84.0
67,2016-03-08,10.6,16.0,7.0,,9.4,2.7,10.3,887.5,82.0
68,2016-03-09,4.3,9.3,-0.2,26.5,0.3,7.7,8.4,881.7,99.0
69,2016-03-10,1.1,5.3,-1.1,,0.8,5.2,6.1,885.5,93.0
70,2016-03-11,-1.8,2.0,-4.5,,2.2,4.0,4.9,886.0,92.0
71,2016-03-12,-0.8,5.3,-6.0,,10.6,2.9,4.4,888.4,76.0
72,2016-03-13,1.4,5.1,-1.6,4.0,0.5,2.8,5.8,888.2,86.0
73,2016-03-14,0.1,2.9,-2.3,5.0,2.4,8.2,5.8,882.7,94.0
74,2016-03-15,1.4,8.0,-3.8,,10.6,5.1,4.6,888.2,71.0
75,2016-03-16,5.0,10.5,1.5,,6.4,2.7,5.3,890.3,60.0
76,2016-03-17,7.9,14.5,3.0,,7.6,3.2,7.6,890.6,72.0
77,2016-03-18,8.8,12.2,6.1,17.5,0.0,7.9,11.0,884.5,96.0
78,2016-03-19,8.4,11.8,2.2,8.0,0.2,4.5,11.0,882.2,98.0
79,2016-03-20,4.3,10.0,-0.8,,11.2,6.2,5.4,886.1,64.0
80,2016-03-21,3.4,10.5,-2.0,,11.2,4.5,4.3,888.1,57.0
81,2016-03-22,6.8,11.9,1.5,,11.2,3.2,4.9,887.9,49.0
82,2016-03-23,6.7,10.8,3.1,,1.1,3.8,2.9,885.2,32.0
83,2016-03-24,1.3,6.1,-2.5,,7.5,6.2,5.0,885.5,74.0
84,2016-03-25,0.0,6.3,-3.6,,10.9,6.1,3.7,888.0,61.0
85,2016-03-26,2.1,9.0,-3.7,,10.8,3.1,4.0,887.3,58.0
86,2016-03-27,-0.4,3.3,-2.2,,1.2,3.7,5.1,886.7,86.0
87,2016-03-28,2.3,8.1,-3.1,,8.7,4.2,5.1,890.0,72.0
88,2016-03-29,5.1,9.5,1.2,,3.3,4.8,6.6,892.8,76.0
89,2016-03-30,7.1,8.4,5.2,1.5,0.0,4.7,9.4,891.3,93.0
90,2016-03-31,7.8,9.9,3.5,11.5,0.2,3.4,9.6,886.9,90.0
91,2016-04-01,9.3,10.5,7.8,1.5,0.0,3.9,11.7,883.3,100.0
92,2016-04-02,10.1,12.7,8.1,,1.6,5.3,11.5,890.4,93.0
93,2016-04-03,10.7,11.8,9.7,8.5,0.0,5.6,12.6,888.3,98.0
94,2016-04-04,10.8,13.6,7.9,21.0,0.0,3.3,13.0,881.7,100.0
95,2016-04-05,8.7,14.9,4.2,,10.6,3.4,9.3,885.9,83.0
96,2016-04-06,10.9,15.5,6.5,4.5,1.0,3.9,7.3,888.2,57.0
97,2016-04-07,13.6,16.7,9.8,106.0,0.0,11.0,15.8,882.2,100.0
98,2016-04-08,11.1,15.8,8.2,0.5,3.8,3.4,10.6,886.1,80.0
99,2016-04-09,13.0,17.1,9.3,,8.3,3.3,4.7,886.8,31.0
100,2016-04-10,10.7,15.2,8.3,,2.4,3.5,8.7,884.0,69.0
101,2016-04-11,7.7,11.5,3.1,,8.4,4.5,8.0,886.7,76.0
102,2016-04-12,8.2,12.7,3.0,,10.4,5.3,8.4,887.8,77.0
103,2016-04-13,10.6,13.7,6.1,6.0,3.5,5.1,11.8,881.8,91.0
104,2016-04-14,13.1,18.6,9.2,,8.6,5.2,9.9,881.8,67.0
105,2016-04-15,12.0,17.3,6.1,,11.8,4.5,7.3,889.2,53.0
106,2016-04-16,11.6,16.9,7.8,7.0,7.1,8.5,7.5,887.0,57.0
107,2016-04-17,,,,,,,,,
108,2016-04-18,,,,,,,,,
109,2016-04-19,,,,,,,,,
110,2016-04-20,,,,,,,,,
111,2016-04-21,,,,,,,,,
112,2016-04-22,,,,,,,,,
113,2016-04-23,10.8,16.0,7.2,9.0,0.1,3.1,7.2,884.4,60.0
114,2016-04-24,10.2,12.9,8.2,2.0,0.0,3.3,11.2,884.6,90.0
115,2016-04-25,12.5,13.5,10.6,7.0,0.0,5.3,13.9,887.5,96.0
116,2016-04-26,13.4,16.4,12.2,2.0,2.5,6.1,14.4,887.4,94.0
117,2016-04-27,13.3,15.3,11.6,55.0,0.0,7.7,15.3,878.9,100.0
118,2016-04-28,9.5,14.0,5.1,20.5,0.0,6.5,12.0,875.4,100.0
119,2016-04-29,7.3,13.2,2.8,,11.4,5.7,7.1,882.8,71.0
120,2016-04-30,10.5,15.9,4.8,,12.3,3.6,8.4,887.5,66.0
121,2016-05-01,13.4,19.4,8.6,,11.9,3.1,10.4,889.7,68.0
122,2016-05-02,14.9,20.6,9.1,,10.1,4.5,9.6,889.9,58.0
123,2016-05-03,10.8,15.5,5.7,49.0,0.0,9.7,12.4,880.5,94.0
124,2016-05-04,9.8,14.0,5.1,,9.9,7.4,9.2,883.9,77.0
125,2016-05-05,14.2,19.2,8.3,,8.0,3.8,8.6,889.6,55.0
126,2016-05-06,12.5,15.5,8.5,19.0,0.0,6.2,13.9,884.6,95.0
127,2016-05-07,14.8,16.9,11.8,4.5,1.5,4.4,16.4,885.7,97.0
128,2016-05-08,13.5,19.2,9.5,16.0,4.2,3.8,11.9,888.7,78.0
129,2016-05-09,15.2,15.9,13.0,43.5,0.0,7.4,17.3,884.4,100.0
130,2016-05-10,15.8,17.0,13.0,85.0,0.0,7.9,18.0,879.4,100.0
131,2016-05-11,10.4,13.1,7.7,12.0,0.4,4.3,11.9,880.4,94.0
132,2016-05-12,14.4,20.5,7.3,,12.8,3.3,9.3,887.3,56.0
133,2016-05-13,14.5,20.0,11.0,,7.9,3.2,13.4,891.2,82.0
134,2016-05-14,16.0,23.7,10.1,,9.8,2.8,12.9,893.6,73.0
135,2016-05-15,15.0,17.8,12.2,1.0,0.7,5.1,16.1,889.4,94.0
136,2016-05-16,12.0,17.0,5.5,34.5,0.0,5.9,13.6,883.0,92.0
137,2016-05-17,12.1,18.8,5.3,,12.6,5.3,7.3,886.8,52.0
138,2016-05-18,16.4,23.1,9.8,,12.7,3.3,7.0,889.9,39.0
139,2016-05-19,13.8,18.4,11.5,,7.6,5.8,10.0,890.2,64.0
140,2016-05-20,14.3,18.8,10.9,,7.3,5.1,12.0,889.3,74.0
141,2016-05-21,15.8,20.5,10.1,,5.6,3.9,10.0,889.7,56.0
142,2016-05-22,16.6,22.2,13.1,,12.0,4.0,10.1,889.4,54.0
143,2016-05-23,17.1,22.5,12.9,,12.8,6.1,8.7,888.3,45.0
144,2016-05-24,16.5,20.4,14.4,0.5,4.2,6.8,12.1,884.8,64.0
145,2016-05-25,17.8,20.8,15.7,24.0,0.9,4.1,20.3,885.0,99.0
146,2016-05-26,18.3,22.8,15.6,2.0,2.4,3.0,20.2,884.6,96.0
147,2016-05-27,16.7,20.9,14.2,1.0,0.7,2.6,14.9,884.9,79.0
148,2016-05-28,15.4,17.2,14.2,16.0,0.0,2.2,17.6,881.9,100.0
149,2016-05-29,16.9,18.0,14.9,50.0,0.0,2.9,19.2,879.4,100.0
150,2016-05-30,17.2,22.8,12.1,5.5,12.1,4.1,15.0,880.4,77.0
151,2016-05-31,18.6,23.7,13.4,,12.2,3.5,8.1,882.9,37.0
152,2016-06-01,16.0,19.0,11.7,,1.6,4.1,8.0,880.0,44.0
153,2016-06-02,14.3,19.3,9.5,,13.2,5.7,8.8,881.7,55.0
154,2016-06-03,15.5,22.2,10.1,,8.3,2.5,11.3,885.4,65.0
155,2016-06-04,13.0,15.1,10.5,31.5,0.0,8.0,14.3,881.9,95.0
156,2016-06-05,14.8,16.9,13.0,2.5,0.0,4.1,16.8,882.0,100.0
157,2016-06-06,15.8,17.8,14.3,,0.9,5.4,17.5,886.0,98.0
158,2016-06-07,17.9,22.1,16.0,0.5,3.8,3.2,19.1,885.0,93.0
159,2016-06-08,17.1,21.2,15.5,29.5,2.2,3.1,18.7,885.1,96.0
160,2016-06-09,17.0,20.7,15.3,13.5,2.5,2.5,18.3,885.4,95.0
161,2016-06-10,19.1,24.1,15.0,2.5,8.8,2.5,18.4,887.5,84.0
162,2016-06-11,18.2,22.8,15.8,,5.4,4.9,18.6,887.4,90.0
163,2016-06-12,17.9,20.0,16.4,22.5,0.0,4.7,19.5,881.0,95.0
164,2016-06-13,17.3,21.1,14.8,3.5,2.8,3.0,18.6,876.9,94.0
165,2016-06-14,18.4,23.2,14.0,,10.5,2.5,18.2,879.9,86.0
166,2016-06-15,19.2,22.7,15.7,,8.0,5.0,19.2,881.1,87.0
167,2016-06-16,16.9,19.3,13.4,31.5,0.0,4.3,19.3,878.1,100.0
168,2016-06-17,14.3,17.4,12.9,,0.9,4.4,15.3,884.3,94.0
169,2016-06-18,18.4,23.6,13.0,3.0,7.5,3.6,15.2,889.0,71.0
170,2016-06-19,18.6,19.7,17.2,121.0,0.0,6.3,21.3,886.8,99.0
171,2016-06-20,18.4,19.7,17.0,212.5,0.1,6.6,21.2,885.0,100.0
172,2016-06-21,18.8,19.8,18.2,99.5,0.0,6.0,21.7,884.3,100.0
173,2016-06-22,19.4,19.9,18.8,153.5,0.0,8.7,22.5,883.2,100.0
174,2016-06-23,19.0,19.7,18.1,37.0,0.0,5.6,22.0,882.6,100.0
175,2016-06-24,19.8,21.0,18.5,43.5,0.0,9.9,23.1,881.3,100.0
176,2016-06-25,13.9,18.6,10.6,76.0,0.0,5.1,16.0,882.3,100.0
177,2016-06-26,14.4,19.3,10.7,,3.3,4.5,15.5,885.6,94.0
178,2016-06-27,15.1,18.8,11.7,51.0,1.4,5.1,15.8,885.1,92.0
179,2016-06-28,18.4,19.8,16.5,132.0,0.0,5.4,21.1,886.1,99.0
180,2016-06-29,18.6,20.3,17.4,105.0,0.0,5.3,21.3,888.0,99.0
181,2016-06-30,18.2,20.5,16.7,22.5,1.0,4.1,19.3,888.7,92.0
182,2016-07-01,20.0,23.8,16.9,,3.8,4.9,20.9,889.0,89.0
183,2016-07-02,20.3,22.2,18.4,6.0,0.2,7.4,22.2,888.0,93.0
184,2016-07-03,20.3,20.9,19.7,19.5,0.0,7.2,23.9,888.6,100.0
185,2016-07-04,21.2,25.0,19.5,,2.4,4.8,24.1,890.1,96.0
186,2016-07-05,22.3,25.8,19.4,,10.9,3.0,22.9,892.1,85.0
187,2016-07-06,21.9,27.6,18.0,,12.0,2.7,22.3,892.7,86.0
188,2016-07-07,21.9,27.1,17.9,,9.0,2.7,20.5,891.0,79.0
189,2016-07-08,18.5,20.4,17.1,92.5,0.0,5.6,20.8,885.9,98.0
190,2016-07-09,20.9,24.5,19.3,36.0,1.2,5.6,24.0,883.4,97.0
191,2016-07-10,20.6,23.0,19.6,25.0,0.1,3.8,24.1,882.5,100.0
192,2016-07-11,20.2,20.8,19.8,52.0,0.0,6.9,23.6,884.0,100.0
193,2016-07-12,20.4,21.5,19.7,34.0,0.0,10.1,23.9,883.6,100.0
194,2016-07-13,20.3,21.0,19.6,232.0,0.0,8.6,23.8,880.8,100.0
195,2016-07-14,19.7,21.0,16.5,73.0,0.0,5.6,22.9,879.0,100.0
196,2016-07-15,18.7,23.7,15.8,,8.3,3.9,19.7,880.0,92.0
197,2016-07-16,20.7,22.1,17.4,20.0,0.0,6.1,23.5,882.1,96.0
198,2016-07-17,20.5,23.7,17.2,41.0,3.5,5.0,23.2,884.9,96.0
199,2016-07-18,21.0,25.2,17.0,,9.3,2.8,19.5,886.6,78.0
200,2016-07-19,22.0,27.5,18.9,,5.8,2.2,23.8,887.3,91.0
201,2016-07-20,21.5,25.2,19.6,2.5,0.9,1.9,24.2,887.8,95.0
202,2016-07-21,21.8,26.5,18.9,,8.7,2.5,22.9,887.7,88.0
203,2016-07-22,21.5,26.1,18.6,,8.1,2.8,22.4,886.6,88.0
204,2016-07-23,21.5,27.3,18.7,,6.5,2.6,22.8,887.3,90.0
205,2016-07-24,20.7,23.9,18.0,,2.9,3.2,22.0,888.7,90.0
206,2016-07-25,20.2,22.4,18.0,59.5,0.0,1.9,22.3,888.9,94.0
207,2016-07-26,20.8,25.3,18.1,,4.1,2.0,23.0,886.8,94.0
208,2016-07-27,21.6,26.7,17.9,,9.0,2.1,21.8,885.7,85.0
209,2016-07-28,21.8,26.7,19.1,,6.2,3.0,22.8,886.7,88.0
210,2016-07-29,21.5,26.0,18.9,,4.8,3.3,19.9,888.1,77.0
211,2016-07-30,22.0,26.9,18.8,,6.6,3.3,21.3,888.6,81.0
212,2016-07-31,22.7,27.8,18.5,,10.0,2.3,21.1,888.1,78.0
213,2016-08-01,21.7,27.9,18.8,28.0,6.0,2.5,23.9,887.1,93.0
214,2016-08-02,21.4,27.4,18.3,37.0,6.8,2.9,22.4,885.7,88.0
215,2016-08-03,21.4,25.4,18.9,8.5,4.4,1.8,22.5,885.8,88.0
216,2016-08-04,21.4,26.1,19.2,4.0,4.2,2.1,22.3,886.1,87.0
217,2016-08-05,21.5,25.9,18.4,11.5,5.9,2.9,22.2,886.5,87.0
218,2016-08-06,22.0,26.1,19.2,,9.2,3.6,22.7,885.6,86.0
219,2016-08-07,22.2,27.0,19.7,,5.0,3.0,23.0,884.9,86.0
220,2016-08-08,22.4,28.3,19.1,,6.1,2.3,23.0,884.2,85.0
221,2016-08-09,22.9,27.3,20.1,27.0,4.0,2.1,22.1,884.8,79.0
222,2016-08-10,23.5,28.4,19.2,,6.3,2.1,22.7,886.6,79.0
223,2016-08-11,23.8,29.8,19.8,,8.5,2.2,22.8,886.8,76.0
224,2016-08-12,23.5,28.6,20.2,,8.0,1.8,23.9,885.4,83.0
225,2016-08-13,23.1,27.9,20.1,,6.5,2.2,25.0,884.5,89.0
226,2016-08-14,22.6,28.0,19.1,0.5,5.7,2.4,24.6,882.9,90.0
227,2016-08-15,22.5,27.6,19.7,1.0,8.9,2.6,23.4,880.8,87.0
228,2016-08-16,21.5,26.0,19.4,0.5,5.6,2.7,23.5,879.5,92.0
229,2016-08-17,22.1,27.8,18.3,,6.9,3.8,22.2,880.1,84.0
230,2016-08-18,22.5,27.4,18.7,,3.3,2.1,23.0,882.5,85.0
231,2016-08-19,22.1,24.9,19.7,26.0,1.9,1.7,24.1,883.7,91.0
232,2016-08-20,23.1,28.6,18.8,,9.6,3.1,21.1,881.9,74.0
233,2016-08-21,23.1,27.8,18.5,,10.1,2.9,21.3,881.2,76.0
234,2016-08-22,22.8,28.2,18.9,,4.9,4.2,23.3,881.8,84.0
235,2016-08-23,22.9,27.5,18.5,,10.4,4.9,20.1,882.0,73.0
236,2016-08-24,21.9,27.9,18.3,3.0,6.3,4.3,21.8,882.4,83.0
237,2016-08-25,21.5,26.3,19.2,0.5,7.3,4.7,22.2,883.0,87.0
238,2016-08-26,21.5,27.4,18.3,20.5,5.1,2.9,22.6,882.6,89.0
239,2016-08-27,20.7,25.5,18.5,0.5,4.4,3.0,22.4,881.4,92.0
240,2016-08-28,19.7,22.8,17.0,24.0,0.6,4.7,21.8,874.7,95.0
241,2016-08-29,14.3,18.6,12.2,9.0,0.8,6.9,16.1,873.3,98.0
242,2016-08-30,14.5,18.4,12.2,0.5,2.9,6.5,14.6,872.7,89.0
243,2016-08-31,15.9,19.1,13.8,,2.2,6.1,15.3,877.0,85.0
244,2016-09-01,18.1,23.6,16.0,,2.0,4.7,17.5,883.3,85.0
245,2016-09-02,18.3,21.1,16.4,,1.9,8.1,17.9,883.7,85.0
246,2016-09-03,18.5,19.5,17.4,,0.0,9.0,19.7,884.0,92.0
247,2016-09-04,19.0,20.8,17.5,64.0,0.1,7.3,20.9,884.8,96.0
248,2016-09-05,20.3,25.0,18.6,1.5,3.7,4.0,22.5,886.2,95.0
249,2016-09-06,21.7,26.6,18.1,0.5,5.9,2.1,23.1,884.8,89.0
250,2016-09-07,21.2,26.5,18.7,76.5,2.4,2.6,22.6,881.3,90.0
251,2016-09-08,17.7,21.6,14.2,3.0,3.3,4.0,18.8,881.9,93.0
252,2016-09-09,18.2,23.9,13.7,,9.9,2.6,15.9,884.8,77.0
253,2016-09-10,19.0,23.9,16.1,,5.6,2.2,17.7,886.9,81.0
254,2016-09-11,19.8,24.4,16.0,0.5,9.3,3.5,17.8,888.6,78.0
255,2016-09-12,19.4,21.9,17.6,31.0,0.1,5.0,22.2,887.9,98.0
256,2016-09-13,19.1,20.6,17.1,4.0,0.0,2.8,22.2,890.1,100.0
257,2016-09-14,19.4,22.7,17.9,53.5,0.5,2.2,21.6,891.0,96.0
258,2016-09-15,20.0,24.7,16.2,44.0,4.4,2.4,21.2,890.2,91.0
259,2016-09-16,20.2,24.6,18.1,24.5,3.3,3.0,21.6,889.9,92.0
260,2016-09-17,20.5,24.5,17.7,12.5,6.7,5.1,21.1,887.3,88.0
261,2016-09-18,19.5,20.3,18.9,23.5,0.0,5.1,22.6,884.8,100.0
262,2016-09-19,19.0,20.8,16.2,47.0,0.0,5.8,21.2,880.9,96.0
263,2016-09-20,14.2,17.6,12.0,53.5,0.0,9.9,16.2,880.5,100.0
264,2016-09-21,15.0,17.6,11.9,,1.2,5.0,16.6,889.3,98.0
265,2016-09-22,16.5,18.6,15.1,6.0,0.1,2.2,18.7,889.2,100.0
266,2016-09-23,17.4,21.3,14.6,,7.7,2.6,17.4,889.0,88.0
267,2016-09-24,18.0,22.6,14.6,,2.6,3.0,18.7,889.4,90.0
268,2016-09-25,19.6,24.0,16.8,,1.8,3.9,20.7,890.5,91.0
269,2016-09-26,20.1,24.0,18.1,,7.3,5.5,21.1,891.2,90.0
270,2016-09-27,20.5,23.8,18.6,9.0,1.4,4.7,23.1,890.6,96.0
271,2016-09-28,20.2,23.6,19.5,14.0,0.3,3.2,23.1,889.6,97.0
272,2016-09-29,19.2,20.0,18.4,70.5,0.0,4.4,22.3,889.0,100.0
273,2016-09-30,19.8,23.2,18.8,6.0,1.5,4.4,22.5,889.5,98.0
274,2016-10-01,19.9,23.6,18.6,2.0,2.4,3.3,22.1,891.8,95.0
275,2016-10-02,20.8,24.9,18.6,2.0,7.0,3.7,21.6,891.3,88.0
276,2016-10-03,19.6,22.8,17.6,4.0,0.8,4.1,21.3,887.1,94.0
277,2016-10-04,19.6,21.9,16.9,,1.9,6.6,19.7,888.3,87.0
278,2016-10-05,18.9,21.0,16.9,24.0,0.0,7.2,21.7,886.5,99.0
279,2016-10-06,17.8,23.2,14.6,,7.5,2.7,17.8,891.6,88.0
280,2016-10-07,16.5,20.5,12.7,,5.8,4.8,17.5,893.1,93.0
281,2016-10-08,,,,,,,,,
282,2016-10-09,,,,,,,,,
283,2016-10-10,,,,,,,,,
284,2016-10-11,,,,,,,,,
285,2016-10-12,,,,,,,,,
286,2016-10-13,,,,,,,,,
287,2016-10-14,,,,,,,,,
288,2016-10-15,,,,,,,,,
289,2016-10-16,,,,,,,,,
290,2016-10-17,,,,,,,,,
291,2016-10-18,,,,,,,,,
292,2016-10-19,,,,,,,,,
293,2016-10-20,,,,,,,,,
294,2016-10-21,,,,,,,,,
295,2016-10-22,,,,,,,,,
296,2016-10-23,,,,,,,,,
297,2016-10-24,,,,,,,,,
298,2016-10-25,,,,,,,,,
299,2016-10-26,,,,,,,,,
300,2016-10-27,,,,,,,,,
301,2016-10-28,,,,,,,,,
302,2016-10-29,,,,,,,,,
303,2016-10-30,,,,,,,,,
304,2016-10-31,,,,,,,,,
305,2016-11-01,,,,,,,,,
306,2016-11-02,,,,,,,,,
307,2016-11-03,,,,,,,,,
308,2016-11-04,,,,,,,,,
309,2016-11-05,,,,,,,,,
310,2016-11-06,,,,,,,,,
311,2016-11-07,,,,,,,,,
312,2016-11-08,,,,,,,,,
313,2016-11-09,,,,,,,,,
314,2016-11-10,,,,,,,,,
315,2016-11-11,,,,,,,,,
316,2016-11-12,,,,,,,,,
317,2016-11-13,,,,,,,,,
318,2016-11-14,,,,,,,,,
319,2016-11-15,,,,,,,,,
320,2016-11-16,,,,,,,,,
321,2016-11-17,,,,,,,,,
322,2016-11-18,,,,,,,,,
323,2016-11-19,,,,,,,,,
324,2016-11-20,,,,,,,,,
325,2016-11-21,,,,,,,,,
326,2016-11-22,,,,,,,,,
327,2016-11-23,,,,,,,,,
328,2016-11-24,,,,,,,,,
329,2016-11-25,,,,,,,,,
330,2016-11-26,,,,,,,,,
331,2016-11-27,,,,,,,,,
332,2016-11-28,,,,,,,,,
333,2016-11-29,,,,,,,,,
334,2016-11-30,,,,,,,,,
335,2016-12-01,,,,,,,,,
336,2016-12-02,,,,,,,,,
337,2016-12-03,,,,,,,,,
338,2016-12-04,,,,,,,,,
339,2016-12-05,,,,,,,,,
340,2016-12-06,,,,,,,,,
341,2016-12-07,,,,,,,,,
342,2016-12-08,,,,,,,,,
343,2016-12-09,,,,,,,,,
344,2016-12-10,,,,,,,,,
345,2016-12-11,,,,,,,,,
346,2016-12-12,,,,,,,,,
347,2016-12-13,,,,,,,,,
348,2016-12-14,,,,,,,,,
349,2016-12-15,,,,,,,,,
350,2016-12-16,,,,,,,,,
351,2016-12-17,,,,,,,,,
352,2016-12-18,,,,,,,,,
353,2016-12-19,,,,,,,,,
354,2016-12-20,,,,,,,,,
355,2016-12-21,,,,,,,,,
356,2016-12-22,,,,,,,,,
357,2016-12-23,,,,,,,,,
358,2016-12-24,,,,,,,,,
359,2016-12-25,,,,,,,,,
360,2016-12-26,,,,,,,,,
361,2016-12-27,,,,,,,,,
362,2016-12-28,,,,,,,,,
363,2016-12-29,,,,,,,,,
364,2016-12-30,,,,,,,,,
365,2016-12-31,,,,,,,,,
366,2017-01-01,,,,,,,,,
367,2017-01-02,,,,,,,,,
368,2017-01-03,,,,,,,,,
369,2017-01-04,,,,,,,,,
370,2017-01-05,,,,,,,,,
371,2017-01-06,,,,,,,,,
372,2017-01-07,,,,,,,,,
373,2017-01-08,,,,,,,,,
374,2017-01-09,,,,,,,,,
375,2017-01-10,,,,,,,,,
