Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
19,2016-01-20,0.9,4.7,-2.3,4.5,8.75,4.4,5.4,1004.5,83,1007.2,7.0
20,2016-01-21,1.1,3.2,-1.0,3.2,7.79,5.9,3.9,1014.7,59,1017.5,8.0
21,2016-01-22,-0.8,1.3,-2.2,0.3,3.62,4.8,3.7,1017.4,64,1020.2,10.0
22,2016-01-23,-0.5,1.4,-2.8,0.2,4.91,5.0,4.0,1015.4,68,1018.2,10.0
23,2016-01-24,-0.8,2.1,-4.3,2.8,7.51,3.6,3.8,1001.3,68,1004.0,10.0
24,2016-01-25,-0.5,1.9,-2.6,1.9,7.0,5.8,3.9,1012.3,67,1015.1,8.8
25,2016-01-26,2.6,5.2,1.0,0.1,4.07,4.5,5.8,1018.0,79,1020.7,10.0
26,2016-01-27,2.1,6.0,-0.7,0.1,3.33,4.1,5.7,1020.1,80,1022.9,9.8
27,2016-01-28,1.2,4.3,-2.5,1.3,5.46,2.9,4.8,1024.3,73,1027.1,8.0
28,2016-01-29,-0.7,1.8,-3.6,1.8,6.31,2.5,3.7,1024.9,65,1027.7,10.0
29,2016-01-30,0.2,3.2,-1.6,5.6,10.07,3.0,4.0,1020.2,64,1023.0,10.0
30,2016-01-31,-0.3,1.2,-2.5,0.0,3.17,4.2,4.2,1019.5,70,1022.3,10.0
31,2016-02-01,-2.0,-0.4,-3.0,1.3,6.7,4.2,3.7,1019.4,70,1022.2,10.0
32,2016-02-02,-1.7,-0.2,-2.8,0.4,4.14,4.0,4.4,1016.3,82,1019.1,9.3
33,2016-02-03,-1.1,0.5,-2.4,0.1,3.9,2.3,4.6,1020.3,82,1023.1,10.0
34,2016-02-04,0.4,4.4,-2.4,2.0,6.81,4.5,5.6,1015.7,89,1018.4,10.0
35,2016-02-05,2.7,4.9,0.9,3.1,8.17,5.2,4.3,1014.1,58,1016.8,9.5
36,2016-02-06,-0.3,2.7,-3.3,0.6,5.65,3.5,4.2,1013.6,70,1016.3,10.0
37,2016-02-07,-1.7,1.0,-4.6,3.8,8.75,4.5,4.1,1015.5,75,1018.3,10.0
38,2016-02-08,0.0,2.0,-1.1,0.1,4.46,3.3,5.4,1014.8,89,1017.6,10.0
39,2016-02-09,1.1,2.8,-1.0,0.9,3.35,4.3,5.7,1006.0,87,1008.7,10.0
40,2016-02-10,0.1,2.0,-1.6,3.1,8.35,6.8,4.3,1016.9,70,1019.7,10.0
41,2016-02-11,1.1,4.3,-2.1,7.7,13.39,3.8,4.1,1029.1,64,1031.9,4.0
42,2016-02-12,1.7,8.3,-5.0,9.1,12.83,3.9,4.4,1026.2,66,1029.0,6.5
43,2016-02-13,4.3,5.7,2.6,0.0,0.91,3.6,7.7,1014.3,92,1017.0,10.0
44,2016-02-14,7.4,12.3,3.9,0.0,0.73,7.5,9.8,995.4,94,998.0,10.0
45,2016-02-15,-0.6,4.1,-3.6,0.4,4.6,7.3,4.2,1003.9,70,1006.7,10.0
46,2016-02-16,-1.7,-0.3,-3.5,0.3,5.41,3.8,4.6,1008.2,86,1011.0,10.0
47,2016-02-17,-0.1,2.6,-2.4,2.2,8.51,5.9,4.1,1012.5,69,1015.3,10.0
48,2016-02-18,3.2,6.8,1.2,0.9,4.2,4.6,6.5,1019.2,84,1021.9,9.5
49,2016-02-19,4.3,7.8,1.6,0.6,2.85,5.3,7.0,1020.5,86,1023.2,10.0
50,2016-02-20,4.4,7.1,1.6,0.0,3.75,2.2,7.7,1018.2,91,1020.9,10.0
51,2016-02-21,3.9,6.8,0.2,1.2,5.7,6.5,6.3,1012.2,76,1014.9,10.0
52,2016-02-22,1.1,3.8,-0.9,1.8,7.95,4.2,3.6,1027.7,55,1030.5,10.0
53,2016-02-23,0.5,2.1,-1.1,0.0,3.81,2.6,5.7,1018.6,89,1021.4,10.0
54,2016-02-24,-1.9,2.1,-3.6,0.6,6.67,5.3,3.9,1023.1,73,1025.9,9.8
55,2016-02-25,-2.1,1.6,-3.8,0.4,5.73,3.0,4.3,1023.7,83,1026.5,10.0
56,2016-02-26,-0.8,2.6,-3.3,2.2,8.94,3.5,4.2,1022.0,74,1024.8,10.0
57,2016-02-27,-0.4,3.2,-3.5,5.8,13.96,3.3,4.2,1022.5,73,1025.3,10.0
58,2016-02-28,0.9,5.6,-6.7,10.0,17.41,3.5,4.7,1023.0,74,1025.8,5.3
59,2016-02-29,4.5,8.0,0.9,0.0,1.23,8.8,6.3,1006.6,74,1009.3,9.0
60,2016-03-01,-0.5,1.5,-2.2,2.8,9.51,8.9,4.1,1012.0,70,1014.8,9.0
61,2016-03-02,0.8,4.2,-1.9,3.1,9.28,4.9,4.3,1017.9,67,1020.6,8.5
62,2016-03-03,2.8,6.6,-1.3,0.9,6.16,4.9,5.5,1018.5,74,1021.3,10.0
63,2016-03-04,2.8,6.7,-0.7,8.2,16.2,2.4,4.7,1029.1,65,1031.9,6.8
64,2016-03-05,5.1,11.7,-1.5,9.7,17.31,4.1,4.8,1029.1,58,1031.8,4.0
65,2016-03-06,9.1,12.8,5.9,0.0,2.98,5.9,8.5,1019.4,74,1022.1,10.0
66,2016-03-07,7.6,11.8,4.5,5.0,12.07,2.9,8.8,1016.3,84,1019.0,8.3
67,2016-03-08,6.8,11.3,3.7,0.7,5.31,4.6,7.8,1012.5,78,1015.2,10.0
68,2016-03-09,3.1,5.0,0.8,1.3,9.39,4.7,4.0,1016.9,52,1019.6,10.0
69,2016-03-10,0.8,4.7,-1.3,7.1,15.57,2.6,4.5,1017.8,69,1020.6,9.3
70,2016-03-11,1.5,4.9,-1.3,5.8,15.64,3.5,4.1,1017.8,61,1020.6,8.0
71,2016-03-12,1.6,5.3,-0.9,6.8,17.43,2.6,4.0,1022.3,58,1025.0,6.0
72,2016-03-13,2.9,8.1,-3.1,4.1,10.43,3.2,5.1,1022.0,69,1024.7,7.5
73,2016-03-14,5.5,10.1,2.6,7.9,18.62,2.7,7.0,1014.6,78,1017.3,4.8
74,2016-03-15,4.6,6.7,1.6,5.8,12.16,5.8,4.9,1014.2,59,1016.9,8.8
75,2016-03-16,8.6,10.6,5.2,5.0,13.08,6.7,7.3,1017.4,65,1020.1,8.5
76,2016-03-17,9.9,13.6,4.9,9.5,18.35,4.6,9.7,1019.0,79,1021.7,1.8
77,2016-03-18,11.4,18.9,3.2,7.6,16.59,4.1,7.2,1014.2,56,1016.8,8.3
78,2016-03-19,8.9,11.5,6.3,0.0,2.16,3.9,10.8,1005.5,94,1008.2,10.0
79,2016-03-20,5.9,8.2,3.3,2.1,10.14,4.8,6.5,1012.5,70,1015.2,9.5
80,2016-03-21,4.6,8.1,1.5,7.6,17.32,4.2,4.9,1016.2,58,1018.9,8.8
81,2016-03-22,6.5,9.6,2.3,0.0,5.02,5.7,7.3,1010.6,77,1013.3,10.0
82,2016-03-23,4.5,7.6,0.9,2.7,10.87,4.4,5.1,1012.8,62,1015.5,7.5
83,2016-03-24,2.1,6.5,0.0,7.3,17.74,3.4,5.5,1015.0,79,1017.8,6.8
84,2016-03-25,2.4,5.6,-0.5,2.1,10.63,3.3,5.8,1016.3,81,1019.0,10.0
85,2016-03-26,4.0,8.8,0.8,9.7,21.22,3.0,5.8,1018.2,73,1021.0,4.3
86,2016-03-27,5.1,11.1,-0.2,12.1,23.32,2.9,5.9,1017.5,68,1020.3,3.3
87,2016-03-28,6.4,12.0,0.0,9.1,21.1,3.4,7.1,1018.5,74,1021.2,3.3
88,2016-03-29,7.6,12.9,1.2,9.8,19.74,2.8,6.8,1020.3,67,1023.0,5.8
89,2016-03-30,7.8,14.5,3.5,2.2,5.47,3.9,8.2,1014.8,78,1017.5,7.5
90,2016-03-31,8.0,11.7,2.7,11.6,22.09,3.4,7.5,1016.3,72,1019.0,2.8
91,2016-04-01,9.8,18.0,1.5,11.9,23.85,4.4,5.3,1018.7,49,1021.3,1.3
92,2016-04-02,10.3,15.5,6.5,11.5,21.29,8.1,7.1,1020.6,57,1023.3,3.8
93,2016-04-03,9.3,11.3,6.7,0.0,1.23,4.2,10.0,1016.8,86,1019.5,10.0
94,2016-04-04,5.7,9.6,1.8,2.0,6.47,4.4,8.0,1009.5,88,1012.2,8.0
95,2016-04-05,7.4,12.2,-0.1,12.3,24.87,3.8,7.4,1011.4,74,1014.0,2.8
96,2016-04-06,9.0,13.1,4.5,12.4,25.24,4.2,6.0,1017.3,54,1020.0,2.0
97,2016-04-07,8.7,13.3,3.8,0.0,3.69,5.3,8.8,1007.0,75,1009.7,10.0
98,2016-04-08,10.0,12.9,6.2,1.6,10.35,4.5,10.4,1007.7,84,1010.3,10.0
99,2016-04-09,10.7,15.2,6.1,8.7,20.15,4.4,9.1,1009.1,70,1011.7,6.8
100,2016-04-10,7.8,14.4,4.5,7.2,19.06,4.6,5.2,1009.1,51,1011.8,8.5
101,2016-04-11,3.2,7.2,0.8,4.0,13.92,4.7,5.9,1013.2,78,1015.9,8.5
102,2016-04-12,6.3,10.2,1.2,9.3,23.12,3.1,5.6,1019.0,60,1021.7,5.5
103,2016-04-13,10.9,17.2,5.2,3.9,9.58,3.3,9.5,1011.1,72,1013.8,10.0
104,2016-04-14,13.6,18.5,10.7,7.0,22.12,3.6,13.3,1004.1,86,1006.7,8.3
105,2016-04-15,7.9,10.7,6.7,0.1,5.98,6.8,7.7,1012.6,72,1015.2,8.5
106,2016-04-16,10.1,16.2,2.5,5.5,16.34,3.0,7.3,1016.9,62,1019.6,6.0
107,2016-04-17,13.1,18.6,9.5,1.0,6.91,8.9,10.4,999.7,68,1002.3,10.0
108,2016-04-18,11.8,12.9,10.3,0.3,5.88,6.5,10.4,1007.4,75,1010.0,10.0
109,2016-04-19,9.3,12.5,7.8,5.3,16.29,4.5,8.3,1017.1,70,1019.8,7.8
110,2016-04-20,11.1,13.9,8.8,6.9,18.58,4.1,8.0,1020.4,62,1023.1,9.0
111,2016-04-21,14.5,18.8,8.8,0.0,8.56,2.9,9.0,1010.5,55,1013.1,10.0
112,2016-04-22,15.4,20.1,12.5,4.9,16.01,2.7,11.9,1004.6,69,1007.2,7.8
113,2016-04-23,13.5,20.6,10.1,3.9,12.67,4.2,12.6,1007.5,82,1010.1,7.5
114,2016-04-24,11.6,15.9,7.6,12.1,26.13,2.7,8.7,1013.3,65,1015.9,4.8
115,2016-04-25,11.6,17.7,5.0,12.3,26.58,2.8,6.7,1017.6,52,1020.2,0.0
116,2016-04-26,12.0,18.6,5.7,8.0,21.86,3.0,6.4,1015.9,48,1018.5,4.5
117,2016-04-27,12.0,18.1,4.7,9.1,23.54,3.0,7.4,1011.3,54,1013.9,8.8
118,2016-04-28,11.5,13.7,9.3,0.0,4.18,4.4,11.6,999.7,85,1002.3,10.0
119,2016-04-29,8.3,11.3,5.2,1.9,12.07,6.2,8.8,998.7,80,1001.3,10.0
120,2016-04-30,9.1,11.8,6.8,8.1,23.32,4.8,7.5,1009.9,65,1012.5,10.0
121,2016-05-01,9.3,12.8,7.0,1.5,5.12,2.5,10.6,1011.6,91,1014.3,9.5
122,2016-05-02,13.4,18.3,6.6,0.1,11.22,3.5,11.0,1016.5,73,1019.2,10.0
123,2016-05-03,21.1,30.6,11.8,9.4,23.54,6.1,12.3,1007.5,53,1010.0,7.5
124,2016-05-04,16.0,21.4,11.6,1.4,9.36,5.9,12.7,1000.2,71,1002.8,9.3
125,2016-05-05,13.9,15.8,12.5,2.6,10.54,7.0,12.6,1006.5,80,1009.1,8.5
126,2016-05-06,17.3,22.3,11.2,4.0,16.94,3.8,9.2,1011.3,51,1013.9,7.8
127,2016-05-07,14.1,17.9,12.7,1.9,6.29,4.7,13.6,1004.2,85,1006.8,9.5
128,2016-05-08,13.5,16.9,9.5,12.2,28.42,5.8,11.5,1014.2,75,1016.8,1.8
129,2016-05-09,15.2,23.3,6.4,12.8,28.57,2.7,8.0,1013.1,51,1015.7,3.3
130,2016-05-10,17.0,22.0,13.9,0.2,8.08,4.2,14.7,1005.7,77,1008.3,10.0
131,2016-05-11,14.2,16.5,11.7,0.0,2.17,7.0,15.5,996.9,96,999.5,10.0
132,2016-05-12,12.2,14.7,10.7,3.0,13.84,6.0,11.7,1012.5,83,1015.1,7.8
133,2016-05-13,16.2,24.4,9.6,12.1,26.9,4.5,12.5,1016.4,70,1019.0,5.8
134,2016-05-14,16.7,21.9,12.9,9.8,25.85,3.0,12.8,1021.6,69,1024.2,5.0
135,2016-05-15,19.9,26.3,13.7,12.9,28.73,6.4,7.7,1016.1,34,1018.7,7.0
136,2016-05-16,20.2,27.4,13.6,10.9,26.38,7.4,11.7,1006.8,51,1009.3,9.5
137,2016-05-17,14.4,17.9,12.2,6.0,18.64,2.7,13.4,1012.8,82,1015.4,6.0
138,2016-05-18,15.1,19.3,11.5,8.5,23.59,2.6,13.2,1017.8,78,1020.4,5.8
139,2016-05-19,19.1,27.0,10.8,12.9,25.89,3.1,11.4,1018.7,55,1021.3,0.5
140,2016-05-20,20.8,27.5,14.4,10.9,23.83,3.7,11.1,1016.6,46,1019.1,10.0
141,2016-05-21,19.3,24.3,15.0,12.4,27.69,3.2,12.2,1015.5,55,1018.1,8.0
142,2016-05-22,19.0,24.4,13.9,13.6,29.11,3.0,13.5,1015.5,64,1018.0,0.8
143,2016-05-23,17.0,21.7,11.3,10.1,25.55,2.9,14.7,1013.5,76,1016.1,4.8
144,2016-05-24,21.1,28.5,13.2,4.4,17.72,3.1,12.9,1009.7,56,1012.3,10.0
145,2016-05-25,18.3,22.6,16.7,0.0,3.48,3.2,17.6,1009.3,85,1011.9,10.0
146,2016-05-26,19.7,23.2,17.3,2.3,12.94,3.1,20.8,1007.3,91,1009.9,10.0
147,2016-05-27,18.0,21.1,13.4,8.3,23.45,3.5,17.3,1007.3,84,1009.9,7.0
148,2016-05-28,17.0,22.8,11.5,12.9,28.63,2.8,13.6,1006.5,72,1009.1,4.8
149,2016-05-29,19.3,24.6,12.1,8.0,23.78,2.9,11.8,1005.0,57,1007.6,7.3
150,2016-05-30,22.4,28.5,18.2,11.0,27.83,4.5,14.3,1002.8,53,1005.3,4.8
151,2016-05-31,18.3,23.1,14.9,4.2,16.84,4.5,16.0,1000.7,76,1003.2,7.5
152,2016-06-01,13.5,17.0,11.7,1.4,10.16,7.1,12.3,998.9,80,1001.5,10.0
153,2016-06-02,13.2,15.9,11.1,2.9,13.07,6.1,11.2,1004.0,74,1006.6,9.3
154,2016-06-03,14.5,19.4,8.8,5.0,18.41,3.4,11.6,1010.1,71,1012.8,6.3
155,2016-06-04,17.6,23.3,10.7,6.9,19.69,5.3,14.1,1008.2,70,1010.7,6.0
156,2016-06-05,15.7,19.2,11.6,8.1,23.82,4.0,14.3,1010.1,80,1012.7,6.0
157,2016-06-06,17.5,23.6,11.4,10.8,26.14,3.0,13.6,1013.7,69,1016.2,8.3
158,2016-06-07,20.8,26.6,15.5,12.0,27.36,3.5,14.4,1010.9,60,1013.5,5.3
159,2016-06-08,20.2,23.6,17.0,0.6,10.81,2.8,19.5,1009.6,82,1012.1,10.0
160,2016-06-09,19.2,21.7,17.3,0.0,4.24,2.9,21.0,1008.4,95,1011.0,10.0
161,2016-06-10,18.3,21.5,15.4,10.3,26.62,3.3,17.0,1012.7,82,1015.3,4.0
162,2016-06-11,22.0,29.6,13.7,13.5,29.42,2.6,15.6,1012.0,62,1014.5,6.3
163,2016-06-12,24.4,29.6,18.5,10.3,26.05,3.6,18.3,1007.5,60,1010.0,7.3
164,2016-06-13,20.8,23.8,18.7,0.1,5.01,5.4,18.6,1000.8,76,1003.3,10.0
165,2016-06-14,21.0,23.2,18.7,0.0,9.93,3.4,18.3,1001.6,74,1004.1,10.0
166,2016-06-15,22.1,28.1,18.1,6.6,23.36,4.3,18.8,1005.6,72,1008.1,9.0
167,2016-06-16,20.1,22.4,16.9,0.0,6.89,5.1,20.4,1001.4,87,1004.0,10.0
168,2016-06-17,20.1,22.6,18.7,0.7,10.0,3.8,21.3,1001.4,91,1004.0,10.0
169,2016-06-18,18.5,21.1,17.0,1.8,9.86,3.4,18.9,1011.9,89,1014.5,7.8
170,2016-06-19,22.9,31.0,15.5,9.8,22.43,4.0,19.7,1009.3,73,1011.8,8.3
171,2016-06-20,20.7,24.0,19.3,1.5,11.33,4.2,21.3,1004.4,87,1006.9,10.0
172,2016-06-21,21.7,27.2,17.9,8.2,21.64,3.0,20.1,1005.5,79,1008.0,9.0
173,2016-06-22,21.1,23.8,19.4,9.8,25.7,2.6,19.6,1006.5,79,1009.0,6.5
174,2016-06-23,20.0,23.6,18.4,2.3,8.0,3.3,20.2,1002.7,86,1005.2,9.5
175,2016-06-24,21.1,26.2,18.1,2.3,11.5,3.4,20.2,1002.7,82,1005.2,10.0
176,2016-06-25,21.6,24.0,19.0,1.3,11.47,7.3,21.3,995.4,83,997.9,10.0
177,2016-06-26,17.2,20.2,14.7,0.4,9.37,6.5,15.5,1003.9,79,1006.5,10.0
178,2016-06-27,18.9,23.2,14.0,9.4,26.68,2.4,14.5,1012.2,68,1014.8,9.3
179,2016-06-28,20.7,26.1,17.5,1.8,11.74,2.7,18.8,1010.3,77,1012.9,8.0
180,2016-06-29,22.2,27.6,16.1,13.5,28.47,3.1,20.2,1011.5,77,1014.0,5.8
181,2016-06-30,22.0,26.6,19.7,0.9,11.29,3.2,21.3,1009.7,81,1012.2,8.5
182,2016-07-01,23.3,26.1,20.9,4.9,18.69,2.8,23.5,1010.6,83,1013.1,9.0
183,2016-07-02,23.2,26.7,20.3,0.8,8.15,5.7,24.8,1005.2,87,1007.7,10.0
184,2016-07-03,21.3,24.1,19.8,5.5,18.66,4.2,21.5,1006.2,85,1008.7,9.8
185,2016-07-04,20.8,24.6,18.5,5.6,19.82,3.5,19.7,1011.0,80,1013.5,10.0
186,2016-07-05,22.1,27.4,17.0,9.3,24.97,4.6,17.4,1015.3,67,1017.9,9.5
187,2016-07-06,19.9,22.6,18.0,0.0,2.22,4.7,22.0,1009.9,94,1012.4,10.0
188,2016-07-07,19.9,21.6,18.7,0.0,11.34,3.4,19.4,1011.8,84,1014.4,10.0
189,2016-07-08,21.5,24.9,17.9,6.1,20.53,2.4,19.7,1011.3,77,1013.9,9.5
190,2016-07-09,22.4,23.9,21.2,0.0,6.18,3.8,25.0,1004.7,92,1007.2,10.0
191,2016-07-10,21.8,23.9,20.6,0.0,5.39,3.7,23.7,1002.3,91,1004.8,10.0
192,2016-07-11,20.8,24.5,17.9,9.4,24.34,3.5,19.3,1004.7,79,1007.2,5.0
193,2016-07-12,21.7,26.8,16.4,13.1,29.51,3.1,19.3,1004.4,75,1006.9,5.0
194,2016-07-13,24.2,30.5,18.2,10.3,26.45,3.3,22.3,998.9,75,1001.3,6.0
195,2016-07-14,23.1,24.5,22.2,0.0,2.96,3.1,26.1,994.4,92,996.9,10.0
196,2016-07-15,24.7,29.1,21.4,7.4,23.85,2.7,25.0,997.4,81,999.9,6.8
197,2016-07-16,24.3,27.6,21.8,2.5,16.7,2.9,24.3,1003.4,80,1005.9,9.5
198,2016-07-17,22.9,24.3,21.5,0.0,3.87,3.8,26.6,1003.5,95,1006.0,10.0
199,2016-07-18,22.5,25.1,21.2,1.0,11.82,3.7,22.3,1006.8,82,1009.3,9.8
200,2016-07-19,22.2,25.4,20.6,4.3,19.37,3.6,22.0,1008.8,83,1011.3,9.0
201,2016-07-20,22.1,25.5,19.4,9.3,24.77,3.3,20.6,1010.9,79,1013.5,6.5
202,2016-07-21,22.6,26.8,18.5,3.3,15.02,2.8,21.4,1011.0,78,1013.5,7.8
203,2016-07-22,23.9,29.5,18.1,11.8,26.89,3.1,19.1,1010.9,65,1013.4,1.5
204,2016-07-23,24.1,30.2,18.4,12.4,28.37,4.9,18.3,1011.4,62,1013.9,7.5
205,2016-07-24,25.3,30.7,19.7,13.2,28.65,5.2,19.4,1011.7,61,1014.3,4.0
206,2016-07-25,25.9,32.2,20.2,11.2,25.52,4.1,21.5,1010.6,65,1013.1,7.3
207,2016-07-26,26.4,31.1,23.0,3.8,16.75,4.6,22.7,1007.2,66,1009.7,10.0
208,2016-07-27,24.8,26.5,23.5,0.0,5.58,3.8,24.5,1006.2,78,1008.7,10.0
209,2016-07-28,25.7,28.7,23.0,0.0,7.22,3.1,27.8,1008.3,85,1010.8,9.5
210,2016-07-29,27.8,33.4,23.6,11.9,24.55,3.5,27.1,1009.7,74,1012.2,4.5
211,2016-07-30,27.7,32.2,24.4,8.9,21.92,2.8,26.9,1010.4,73,1012.9,7.8
212,2016-07-31,28.3,33.8,24.5,11.7,24.72,3.6,27.5,1009.7,72,1012.1,5.8
213,2016-08-01,28.6,33.9,24.1,12.2,24.48,3.8,27.1,1006.9,70,1009.4,8.3
214,2016-08-02,26.9,30.4,24.4,7.6,21.44,3.0,28.1,1005.8,80,1008.2,8.3
215,2016-08-03,26.4,30.4,23.8,8.2,20.59,3.0,26.7,1006.5,78,1009.0,7.8
216,2016-08-04,25.7,29.7,22.1,9.5,24.08,2.9,25.5,1007.8,77,1010.3,6.0
217,2016-08-05,26.3,30.1,22.6,8.8,22.62,3.7,27.1,1008.5,80,1011.0,8.5
218,2016-08-06,27.5,31.3,23.6,10.9,24.06,2.7,27.5,1007.9,76,1010.4,4.3
219,2016-08-07,30.7,37.6,24.6,13.0,25.88,4.3,26.5,1006.5,63,1009.0,0.3
220,2016-08-08,29.7,36.1,24.8,12.3,26.3,4.1,25.7,1003.2,63,1005.6,4.8
221,2016-08-09,27.0,31.4,24.3,6.9,19.47,4.7,24.9,999.6,70,1002.1,9.8
222,2016-08-10,24.2,27.7,20.8,5.3,18.82,2.6,21.1,1007.3,71,1009.8,9.5
223,2016-08-11,24.2,29.2,18.9,13.3,26.95,3.3,20.8,1008.7,70,1011.2,2.8
224,2016-08-12,25.9,32.2,20.1,13.2,26.53,3.4,21.1,1007.1,65,1009.5,0.0
225,2016-08-13,26.8,33.5,21.1,13.2,25.86,4.1,20.8,1005.1,61,1007.6,0.5
226,2016-08-14,26.5,32.6,21.1,12.6,25.8,4.0,20.2,1002.0,60,1004.4,2.3
227,2016-08-15,25.1,30.3,21.5,3.0,13.82,3.5,24.5,999.8,77,1002.3,8.8
228,2016-08-16,27.7,32.6,22.7,2.1,13.36,4.0,25.7,1000.9,71,1003.4,9.8
229,2016-08-17,24.6,28.0,22.4,0.0,3.99,3.4,27.1,997.8,88,1000.3,10.0
230,2016-08-18,26.2,31.2,22.5,11.2,24.11,2.9,26.7,1005.0,80,1007.5,7.0
231,2016-08-19,28.2,33.3,23.4,6.5,18.77,3.0,27.7,1006.2,73,1008.7,7.8
232,2016-08-20,29.4,34.4,24.9,6.5,18.58,4.3,27.9,1005.0,68,1007.5,6.5
233,2016-08-21,27.5,31.1,24.0,11.1,24.66,3.2,29.0,1002.3,79,1004.7,3.5
234,2016-08-22,26.4,33.0,23.1,1.6,11.16,3.4,28.9,1000.7,85,1003.2,10.0
235,2016-08-23,25.3,29.5,22.1,9.3,22.12,3.1,25.4,1002.9,80,1005.4,5.8
236,2016-08-24,25.3,31.8,19.6,11.1,24.79,2.8,23.8,1006.2,75,1008.7,3.3
237,2016-08-25,27.4,31.7,23.2,8.1,19.42,3.3,26.9,1004.1,75,1006.6,3.8
238,2016-08-26,22.7,26.1,19.2,0.0,2.02,3.6,25.7,1002.5,93,1005.0,10.0
239,2016-08-27,21.6,26.8,17.1,6.9,17.86,2.9,19.5,1005.3,76,1007.8,6.0
240,2016-08-28,24.3,30.8,16.9,12.3,23.56,3.5,20.9,1001.3,70,1003.8,1.3
241,2016-08-29,28.8,33.4,24.4,11.3,23.27,5.3,25.3,993.4,65,995.9,2.8
242,2016-08-30,26.2,33.0,21.4,3.9,11.34,4.6,26.3,985.7,78,988.1,6.5
243,2016-08-31,25.5,31.2,20.5,9.5,20.93,3.4,21.8,996.7,69,999.2,4.8
244,2016-09-01,25.4,29.8,21.6,10.4,22.48,2.9,23.7,1006.7,74,1009.2,4.8
245,2016-09-02,26.8,32.5,21.3,10.6,20.61,2.8,23.5,1010.7,69,1013.2,5.3
246,2016-09-03,27.5,32.1,23.9,11.7,22.4,5.4,22.6,1012.2,62,1014.7,2.5
247,2016-09-04,28.1,34.1,21.9,11.6,22.02,4.0,25.2,1012.1,67,1014.6,4.8
248,2016-09-05,28.6,33.9,24.8,10.2,21.51,3.3,27.4,1009.4,71,1011.8,6.3
249,2016-09-06,25.5,28.8,22.4,2.7,9.61,4.2,27.4,1005.5,84,1008.0,10.0
250,2016-09-07,24.0,27.8,21.8,2.7,10.96,2.9,24.6,1004.6,83,1007.1,7.8
251,2016-09-08,22.5,27.7,19.8,1.0,7.67,4.2,23.2,1000.7,86,1003.2,8.3
252,2016-09-09,23.6,26.8,20.8,2.9,12.32,7.0,23.1,1001.8,80,1004.3,8.8
253,2016-09-10,22.5,25.5,19.9,6.6,17.78,3.5,20.6,1010.4,76,1012.9,8.5
254,2016-09-11,21.9,27.4,18.0,8.8,20.95,2.9,19.1,1014.4,74,1016.9,6.3
255,2016-09-12,22.1,25.6,19.0,1.4,9.94,3.3,20.9,1016.4,79,1019.0,9.0
256,2016-09-13,20.8,24.1,18.8,0.0,5.49,3.6,21.1,1014.9,86,1017.5,10.0
257,2016-09-14,22.6,26.7,19.4,4.2,12.24,3.2,23.2,1013.4,85,1015.9,9.3
258,2016-09-15,22.8,27.4,19.5,10.7,20.75,2.7,21.4,1013.5,79,1016.1,4.0
