Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,solar_radiation,avg_local_pressure,avg_sea_pressure,cloud_cover
66,2016-03-07,2.6,5.8,-2.5,4.2,11.28,999.8,1017.3,7.0
67,2016-03-08,0.7,7.0,-3.8,3.5,11.58,992.9,1010.3,9.5
68,2016-03-09,-2.2,0.4,-5.6,4.1,12.69,997.4,1015.2,9.0
69,2016-03-10,-3.6,1.3,-9.3,6.9,14.92,1000.9,1018.8,7.3
70,2016-03-11,-4.4,-0.4,-7.2,3.3,11.96,999.0,1017.0,9.3
71,2016-03-12,-4.4,-0.2,-9.3,6.5,14.71,1005.0,1023.1,6.3
72,2016-03-13,-2.8,3.6,-11.9,7.6,16.43,1006.3,1024.3,5.0
73,2016-03-14,0.8,6.6,-6.4,7.8,15.74,999.4,1016.9,8.3
74,2016-03-15,-1.8,1.8,-5.6,6.9,15.04,996.1,1013.8,4.8
75,2016-03-16,1.8,8.8,-9.6,9.8,17.72,994.6,1012.0,4.8
76,2016-03-17,5.2,9.7,-1.0,8.6,15.99,998.4,1015.7,4.5
77,2016-03-18,6.1,14.0,-2.9,5.8,15.0,996.5,1013.7,10.0
78,2016-03-19,4.6,10.0,1.8,0.0,4.62,989.7,1006.8,10.0
79,2016-03-20,-0.9,2.2,-5.5,5.1,14.97,996.9,1014.6,7.0
80,2016-03-21,-2.7,1.8,-6.9,4.8,15.92,997.6,1015.4,8.3
81,2016-03-22,-0.3,3.7,-4.6,3.4,12.24,991.5,1009.0,6.3
82,2016-03-23,-0.6,3.5,-3.6,4.1,13.54,993.6,1011.2,7.8
83,2016-03-24,-1.0,4.4,-5.5,8.1,19.4,998.1,1015.8,3.8
84,2016-03-25,-1.4,2.6,-6.3,4.6,14.55,998.1,1015.8,7.8
85,2016-03-26,1.3,5.3,-2.1,7.0,19.4,1000.2,1017.8,9.3
86,2016-03-27,5.0,10.5,-2.5,8.7,19.89,998.3,1015.6,4.3
87,2016-03-28,3.7,7.0,-1.7,8.4,18.36,1000.3,1017.7,3.8
88,2016-03-29,2.9,10.6,-4.8,10.6,18.74,1004.7,1022.2,8.0
89,2016-03-30,4.6,10.8,-0.5,4.1,10.95,997.7,1015.0,8.8
90,2016-03-31,3.1,8.0,-1.0,3.2,12.42,998.1,1015.5,8.8
91,2016-04-01,4.4,10.4,0.1,11.9,21.72,1008.8,1026.3,1.8
92,2016-04-02,3.3,8.5,-2.8,7.3,18.45,1009.8,1027.4,7.0
93,2016-04-03,6.4,9.8,2.6,1.5,8.65,999.5,1016.7,10.0
94,2016-04-04,5.5,10.9,0.0,10.5,20.72,994.6,1011.8,7.0
95,2016-04-05,5.4,13.4,-3.1,7.3,16.46,990.1,1007.2,6.8
96,2016-04-06,6.5,10.9,3.0,10.3,21.83,996.8,1014.0,4.8
97,2016-04-07,7.2,13.9,-1.3,5.7,14.49,996.7,1013.8,7.5
98,2016-04-08,6.2,12.2,0.5,2.5,8.24,988.9,1005.9,7.5
99,2016-04-09,4.0,10.7,-1.2,2.5,10.56,987.8,1005.0,7.8
100,2016-04-10,2.5,6.8,-1.7,6.7,17.49,994.1,1011.5,5.5
101,2016-04-11,0.6,5.5,-2.6,5.7,16.31,994.1,1011.6,8.5
102,2016-04-12,3.8,9.3,-1.8,8.4,19.47,1000.7,1018.1,8.8
103,2016-04-13,6.5,10.9,3.5,0.0,4.28,994.7,1011.8,10.0
104,2016-04-14,8.9,15.3,5.0,0.5,9.73,989.2,1006.1,10.0
105,2016-04-15,3.5,7.5,0.7,1.4,10.06,989.9,1007.1,9.8
106,2016-04-16,5.5,11.0,-1.0,7.6,19.3,1001.0,1018.3,5.3
107,2016-04-17,5.3,7.6,3.7,0.0,3.73,985.4,1002.4,10.0
108,2016-04-18,3.9,7.7,-0.3,0.0,5.68,984.7,1001.8,10.0
109,2016-04-19,2.7,7.1,-0.6,1.4,12.34,999.0,1016.4,10.0
110,2016-04-20,8.1,14.3,1.4,5.6,18.84,1000.5,1017.7,9.3
111,2016-04-21,13.3,19.9,7.5,11.0,22.3,992.1,1008.8,5.0
112,2016-04-22,11.1,20.6,4.0,10.4,23.01,992.4,1009.2,6.5
113,2016-04-23,7.1,11.5,2.7,0.7,5.35,991.4,1008.5,7.8
114,2016-04-24,7.7,14.0,2.2,7.5,18.96,995.3,1012.4,5.0
115,2016-04-25,8.5,15.3,0.4,10.2,20.96,1002.3,1019.4,4.3
116,2016-04-26,6.6,11.6,2.6,2.8,11.48,1001.0,1018.3,10.0
117,2016-04-27,5.7,13.2,-1.0,11.0,25.5,999.7,1017.0,1.0
118,2016-04-28,7.0,13.5,-1.5,7.3,19.41,993.5,1010.5,7.5
119,2016-04-29,2.4,5.2,0.7,0.0,6.26,984.9,1002.1,10.0
120,2016-04-30,2.9,6.2,0.3,1.6,12.1,989.6,1006.9,9.3
121,2016-05-01,5.2,10.2,1.2,4.3,17.62,998.1,1015.4,6.8
122,2016-05-02,8.8,16.9,-1.7,10.2,24.38,1001.6,1018.7,7.3
123,2016-05-03,17.9,27.3,8.0,10.4,23.66,993.9,1010.3,9.5
124,2016-05-04,14.4,18.9,12.0,0.3,3.67,982.8,999.2,10.0
125,2016-05-05,10.5,13.3,7.3,0.8,6.7,984.4,1001.1,10.0
126,2016-05-06,11.1,14.7,6.5,3.7,16.55,996.7,1013.6,9.8
127,2016-05-07,11.3,17.9,8.2,2.8,9.94,983.2,999.8,8.5
128,2016-05-08,11.1,16.7,5.5,9.8,24.64,989.8,1006.5,4.3
129,2016-05-09,12.2,21.4,1.2,11.5,24.04,998.7,1015.5,6.0
130,2016-05-10,13.6,19.8,7.6,5.8,18.5,998.9,1015.7,10.0
131,2016-05-11,10.8,14.8,8.4,0.0,5.39,988.5,1005.2,10.0
132,2016-05-12,9.1,11.6,7.2,0.5,10.21,991.2,1008.1,9.8
133,2016-05-13,14.1,26.6,4.2,11.4,27.43,999.2,1015.9,7.5
134,2016-05-14,14.2,22.8,5.7,13.3,29.81,1009.7,1026.6,4.3
135,2016-05-15,14.2,21.9,6.1,6.6,18.51,1004.8,1021.6,8.8
136,2016-05-16,14.1,18.7,8.5,2.8,15.3,993.4,1010.0,10.0
137,2016-05-17,16.0,21.1,11.8,7.0,19.8,993.2,1009.7,6.8
138,2016-05-18,16.0,21.8,11.0,11.7,24.14,1000.5,1017.2,3.8
139,2016-05-19,16.9,26.7,7.6,12.6,23.24,1004.9,1021.6,0.0
140,2016-05-20,18.6,28.1,8.7,12.9,24.98,1004.6,1021.1,0.0
141,2016-05-21,19.9,30.0,9.2,13.5,26.27,1001.6,1018.0,0.0
142,2016-05-22,20.1,30.0,12.3,13.9,28.4,998.7,1015.0,6.0
143,2016-05-23,18.4,26.1,10.1,11.5,25.83,996.6,1012.9,9.8
144,2016-05-24,17.3,23.9,10.2,8.3,20.73,997.3,1013.8,9.5
145,2016-05-25,17.0,24.1,12.3,4.0,14.21,991.4,1007.8,9.5
146,2016-05-26,19.8,24.8,16.0,5.7,18.81,989.3,1005.5,10.0
147,2016-05-27,16.4,20.6,9.9,9.6,21.39,988.5,1004.9,4.3
148,2016-05-28,14.2,21.4,7.3,5.7,17.69,988.4,1004.9,7.3
149,2016-05-29,13.2,21.3,5.5,10.2,24.02,992.0,1008.7,4.8
150,2016-05-30,15.3,23.4,8.5,8.9,23.43,992.2,1008.7,9.3
151,2016-05-31,15.2,22.7,11.3,1.3,10.76,985.8,1002.2,10.0
152,2016-06-01,9.5,13.4,6.4,0.0,6.88,979.4,996.0,10.0
153,2016-06-02,7.9,11.0,5.7,0.6,10.86,987.4,1004.3,10.0
154,2016-06-03,9.2,13.8,3.0,0.8,8.91,992.4,1009.3,8.3
155,2016-06-04,8.3,11.2,6.3,0.0,2.96,991.1,1008.0,9.8
156,2016-06-05,11.1,19.3,5.9,8.9,26.96,995.6,1012.4,9.5
157,2016-06-06,15.0,22.3,7.3,11.3,28.34,999.6,1016.3,4.0
158,2016-06-07,18.1,24.8,10.6,10.7,25.71,997.5,1014.0,8.5
159,2016-06-08,15.9,19.3,11.7,1.0,8.31,996.3,1012.9,10.0
160,2016-06-09,17.0,19.6,15.0,0.3,7.48,994.3,1010.8,10.0
161,2016-06-10,15.2,19.2,12.0,1.7,13.99,995.5,1012.1,10.0
162,2016-06-11,16.3,22.3,11.4,7.2,24.36,999.3,1015.9,8.0
163,2016-06-12,16.7,26.2,9.4,8.7,25.94,996.6,1013.1,8.0
164,2016-06-13,15.8,19.4,13.3,0.0,5.83,990.4,1006.9,10.0
165,2016-06-14,15.5,18.1,13.2,0.0,3.25,990.3,1006.7,10.0
166,2016-06-15,16.7,21.7,11.6,1.4,14.76,994.5,1010.9,9.5
167,2016-06-16,15.1,20.7,10.5,4.4,15.62,992.6,1009.1,9.8
168,2016-06-17,14.4,16.4,12.7,0.0,4.32,987.4,1003.8,10.0
169,2016-06-18,14.5,17.4,12.5,0.9,10.92,995.0,1011.6,10.0
170,2016-06-19,17.9,24.7,12.4,5.5,21.1,997.4,1013.8,10.0
171,2016-06-20,18.4,22.7,15.6,0.8,10.37,991.9,1008.2,10.0
172,2016-06-21,20.2,25.6,14.8,5.2,18.81,993.3,1009.5,8.0
173,2016-06-22,19.6,25.7,13.7,7.7,21.2,994.3,1010.6,5.3
174,2016-06-23,18.6,24.6,14.0,10.3,26.98,992.6,1009.0,6.8
175,2016-06-24,17.7,22.6,14.0,2.0,15.88,992.0,1008.3,10.0
176,2016-06-25,14.6,17.5,12.5,0.5,6.23,983.4,999.8,9.8
177,2016-06-26,12.3,14.8,10.5,0.0,5.56,984.1,1000.7,10.0
178,2016-06-27,15.6,22.4,10.2,6.9,22.05,996.1,1012.6,8.0
179,2016-06-28,19.6,26.8,12.5,11.5,26.77,997.2,1013.5,6.5
180,2016-06-29,20.8,28.9,12.7,14.7,30.11,997.7,1013.9,0.0
181,2016-06-30,21.8,29.0,13.7,13.9,28.8,995.8,1012.0,1.3
182,2016-07-01,22.6,29.5,15.6,14.2,29.07,995.0,1011.2,5.3
183,2016-07-02,20.6,25.9,16.4,1.5,9.34,989.7,1005.8,10.0
184,2016-07-03,19.0,21.2,15.1,0.1,6.28,983.7,999.8,10.0
185,2016-07-04,13.8,18.7,10.0,6.1,17.27,996.6,1013.2,7.5
186,2016-07-05,16.3,24.7,9.4,7.9,23.89,1004.2,1020.9,10.0
187,2016-07-06,18.0,24.4,13.4,9.7,24.95,999.6,1016.1,6.3
188,2016-07-07,18.8,27.5,10.6,14.3,29.37,997.3,1013.7,2.8
189,2016-07-08,19.9,28.0,12.8,12.7,27.8,994.2,1010.5,4.8
190,2016-07-09,20.3,25.7,15.2,5.4,19.61,988.7,1004.9,8.8
191,2016-07-10,18.8,22.7,16.4,0.3,8.53,985.2,1001.4,10.0
192,2016-07-11,18.5,23.6,14.7,3.6,17.9,989.1,1005.4,9.8
193,2016-07-12,20.5,28.4,15.5,9.5,26.07,989.5,1005.7,5.5
194,2016-07-13,21.8,28.9,15.1,6.4,21.08,986.9,1002.9,8.0
195,2016-07-14,21.6,28.1,17.9,8.5,26.22,985.1,1001.1,6.5
196,2016-07-15,20.6,27.3,16.5,8.0,23.46,986.9,1003.0,8.3
197,2016-07-16,21.6,27.2,17.0,3.1,18.81,990.8,1006.9,10.0
198,2016-07-17,20.5,25.9,17.3,3.6,13.95,991.7,1007.8,9.5
199,2016-07-18,20.1,24.2,17.8,0.5,9.11,991.7,1007.9,10.0
200,2016-07-19,19.1,22.4,16.4,0.4,8.65,993.0,1009.3,9.3
201,2016-07-20,20.6,27.2,14.9,9.9,26.72,997.1,1013.4,6.5
202,2016-07-21,21.4,28.1,16.1,7.5,23.86,998.2,1014.5,6.5
203,2016-07-22,21.8,27.2,17.7,9.1,23.78,999.0,1015.2,8.3
204,2016-07-23,22.2,28.7,17.1,9.6,26.54,1000.2,1016.4,6.8
205,2016-07-24,22.2,29.7,16.9,12.5,27.09,1000.5,1016.8,2.8
206,2016-07-25,22.1,29.0,16.8,8.9,25.23,998.8,1015.0,6.0
207,2016-07-26,22.2,29.1,17.2,9.1,24.75,995.7,1011.8,5.3
208,2016-07-27,20.9,25.0,18.5,0.0,7.83,994.1,1010.3,10.0
209,2016-07-28,22.2,25.0,18.3,0.0,3.64,992.0,1008.1,10.0
210,2016-07-29,23.8,26.2,21.9,0.0,3.66,994.9,1010.9,10.0
211,2016-07-30,25.0,30.9,22.4,0.9,11.46,995.4,1011.3,10.0
212,2016-07-31,24.5,30.7,21.4,5.7,16.59,996.8,1012.8,8.8
213,2016-08-01,24.0,30.5,21.1,2.4,13.17,996.3,1012.3,10.0
214,2016-08-02,25.3,31.5,21.0,8.5,22.76,992.1,1008.0,9.0
215,2016-08-03,25.5,31.1,21.8,8.7,23.71,991.4,1007.2,7.8
216,2016-08-04,24.5,29.5,21.0,5.7,19.52,990.2,1006.1,9.0
217,2016-08-05,22.4,27.5,16.2,8.6,20.88,990.9,1006.9,6.5
218,2016-08-06,21.3,28.3,14.4,12.0,26.11,993.8,1009.9,4.8
219,2016-08-07,24.7,33.3,15.3,12.0,24.21,994.0,1010.0,2.8
220,2016-08-08,26.5,33.0,20.6,8.3,20.1,991.4,1007.2,7.0
221,2016-08-09,21.4,25.9,16.8,4.0,13.57,987.2,1003.2,7.8
222,2016-08-10,20.7,27.3,15.0,11.4,25.52,991.5,1007.6,4.3
223,2016-08-11,22.4,29.7,15.5,12.3,25.53,994.7,1010.8,3.8
224,2016-08-12,23.3,30.2,17.0,12.4,25.08,994.0,1010.1,1.8
225,2016-08-13,23.4,30.7,16.4,13.1,25.05,993.4,1009.4,0.3
226,2016-08-14,24.2,31.8,16.4,12.9,25.83,991.5,1007.5,1.8
227,2016-08-15,24.0,28.1,20.6,1.9,13.36,985.5,1001.4,9.8
228,2016-08-16,23.5,28.0,20.2,4.6,12.01,990.2,1006.2,10.0
229,2016-08-17,21.1,22.4,19.6,0.0,3.01,986.3,1002.4,10.0
230,2016-08-18,24.4,29.6,20.6,5.0,16.97,991.6,1007.6,9.5
231,2016-08-19,23.7,26.7,20.8,0.1,7.47,995.1,1011.1,9.8
232,2016-08-20,21.6,23.7,20.1,0.0,2.6,996.1,1012.3,10.0
233,2016-08-21,22.7,26.2,20.1,1.8,11.73,992.2,1008.3,9.5
234,2016-08-22,22.7,25.4,20.5,0.2,6.21,988.9,1004.9,10.0
235,2016-08-23,21.5,25.5,18.1,2.7,11.17,987.2,1003.2,8.3
236,2016-08-24,21.5,28.7,16.1,9.1,23.12,994.0,1010.1,6.3
237,2016-08-25,23.6,30.9,15.9,10.4,21.66,989.7,1005.6,5.5
238,2016-08-26,19.3,25.4,14.4,0.1,2.85,988.6,1004.8,10.0
239,2016-08-27,17.9,24.5,13.7,9.7,21.75,994.8,1011.2,6.0
240,2016-08-28,18.0,25.2,10.8,12.3,23.82,993.9,1010.3,3.5
241,2016-08-29,23.3,31.9,15.9,11.6,22.09,989.5,1005.4,8.0
242,2016-08-30,25.4,32.2,20.4,3.9,12.28,984.6,1000.4,7.0
243,2016-08-31,25.1,30.6,20.9,6.3,16.52,986.1,1001.9,6.0
244,2016-09-01,24.2,31.6,18.5,8.4,18.95,994.0,1010.0,6.3
245,2016-09-02,23.8,29.5,20.8,4.1,14.29,999.6,1015.7,9.8
246,2016-09-03,23.0,28.5,19.8,4.2,14.83,1002.1,1018.3,10.0
247,2016-09-04,22.1,24.5,20.5,0.5,8.95,1002.5,1018.8,10.0
248,2016-09-05,22.9,28.1,19.4,3.0,13.55,998.3,1014.5,9.5
249,2016-09-06,21.6,23.0,20.0,0.0,3.22,989.1,1005.2,10.0
250,2016-09-07,19.8,25.0,15.3,2.0,9.22,990.6,1006.8,9.0
251,2016-09-08,16.6,20.3,14.1,0.7,9.99,994.8,1011.3,10.0
252,2016-09-09,16.8,22.8,13.5,2.5,12.09,990.0,1006.4,10.0
253,2016-09-10,16.6,21.2,14.6,2.0,8.65,992.9,1009.3,9.8
254,2016-09-11,16.3,20.1,13.6,2.5,11.65,1002.3,1018.9,9.8
255,2016-09-12,15.1,21.0,11.1,5.8,15.39,1006.6,1023.4,9.5
256,2016-09-13,16.8,21.1,13.3,1.3,10.02,1005.6,1022.3,10.0
257,2016-09-14,17.6,22.9,12.7,4.1,13.26,1001.9,1018.4,9.0
258,2016-09-15,18.9,24.6,15.6,4.7,13.18,999.1,1015.6,9.3
259,2016-09-16,19.6,25.4,15.2,6.1,16.26,997.9,1014.3,7.8
260,2016-09-17,15.2,19.8,11.3,2.5,9.8,996.6,1013.2,10.0
261,2016-09-18,14.0,18.7,10.1,4.9,14.32,996.7,1013.4,8.8
262,2016-09-19,12.9,20.0,8.2,8.4,16.93,995.9,1012.6,5.8
263,2016-09-20,12.7,20.1,6.0,6.7,14.6,999.3,1016.1,8.8
264,2016-09-21,13.1,20.4,8.2,8.6,17.68,1006.3,1023.2,6.0
265,2016-09-22,14.2,21.2,6.8,7.1,14.98,1006.9,1023.7,6.3
266,2016-09-23,14.6,16.0,13.0,0.0,3.78,1000.8,1017.6,10.0
267,2016-09-24,17.9,23.5,14.6,6.2,14.11,1001.5,1018.0,10.0
268,2016-09-25,18.6,24.9,12.0,7.8,14.7,1000.0,1016.4,6.0
269,2016-09-26,18.4,24.3,10.8,10.7,18.14,1001.8,1018.2,3.5
270,2016-09-27,16.8,25.6,9.6,7.7,15.26,1000.0,1016.6,7.3
271,2016-09-28,17.3,22.9,13.1,0.5,6.0,992.6,1008.9,9.0
272,2016-09-29,14.2,18.1,11.8,2.1,8.81,995.5,1012.1,9.8
273,2016-09-30,14.3,21.0,7.0,9.7,16.01,997.6,1014.3,6.5
274,2016-10-01,15.4,22.1,9.6,10.0,16.65,1000.6,1017.3,5.5
275,2016-10-02,15.5,23.1,7.0,9.7,16.15,999.8,1016.4,3.5
276,2016-10-03,14.4,20.2,10.6,0.0,2.7,991.3,1007.8,7.5
277,2016-10-04,12.8,20.2,7.5,4.4,11.23,990.7,1007.3,7.8
278,2016-10-05,9.4,15.0,3.0,6.1,12.13,999.6,1016.6,8.3
279,2016-10-06,9.2,14.8,5.2,2.0,7.78,992.9,1009.8,10.0
280,2016-10-07,7.9,12.0,3.4,3.6,9.7,1002.8,1020.0,9.3
281,2016-10-08,11.1,16.7,6.1,1.1,7.88,992.1,1008.9,10.0
282,2016-10-09,10.7,15.7,6.5,3.8,9.05,985.0,1001.7,9.5
283,2016-10-10,6.4,9.7,4.2,1.7,6.79,997.7,1014.9,9.5
284,2016-10-11,8.4,12.6,3.7,4.4,8.95,997.4,1014.5,7.5
285,2016-10-12,6.3,8.8,4.9,1.9,6.47,997.5,1014.7,9.3
286,2016-10-13,7.4,12.4,4.5,4.6,10.68,1001.2,1018.4,7.0
287,2016-10-14,6.3,12.6,1.3,3.7,9.04,1004.7,1022.0,6.3
288,2016-10-15,8.0,15.8,-0.5,9.3,13.72,1007.4,1024.7,4.8
289,2016-10-16,14.9,21.1,8.1,3.3,8.67,1006.3,1023.1,9.3
290,2016-10-17,12.9,18.0,9.5,0.0,3.25,999.0,1015.8,10.0
291,2016-10-18,11.3,15.5,5.0,7.6,13.41,999.3,1016.2,4.0
292,2016-10-19,9.2,17.8,2.4,10.1,13.51,999.2,1016.3,1.3
293,2016-10-20,5.7,12.2,0.2,0.7,3.87,989.9,1007.0,9.8
294,2016-10-21,2.1,4.6,0.3,0.0,1.39,999.5,1017.0,9.5
295,2016-10-22,3.3,5.6,0.2,0.0,2.98,997.0,1014.3,10.0
296,2016-10-23,3.4,5.5,1.4,1.3,3.36,992.7,1010.0,8.3
297,2016-10-24,1.4,5.4,-0.1,1.0,4.35,992.4,1009.8,10.0
298,2016-10-25,4.9,10.6,-1.8,5.7,10.18,997.8,1015.0,7.3
299,2016-10-26,6.4,12.6,1.6,1.5,3.46,991.6,1008.7,10.0
300,2016-10-27,3.5,5.3,0.8,0.1,2.05,998.5,1015.8,10.0
301,2016-10-28,5.7,8.5,2.9,2.0,5.47,997.3,1014.6,9.5
302,2016-10-29,1.5,3.8,-1.4,1.7,5.39,997.2,1014.7,8.5
303,2016-10-30,1.1,2.6,-0.4,1.1,4.2,1005.3,1023.0,9.8
304,2016-10-31,1.4,4.8,-1.1,0.0,1.82,1000.3,1017.9,10.0
305,2016-11-01,0.5,1.9,-0.8,0.0,2.41,1003.1,1020.8,9.8
306,2016-11-02,1.3,4.3,-0.7,1.6,6.58,1006.2,1023.9,9.5
307,2016-11-03,0.7,2.7,-1.0,0.0,1.58,996.0,1013.5,10.0
308,2016-11-04,-0.3,0.8,-1.8,0.0,2.34,992.7,1010.2,10.0
309,2016-11-05,-0.1,0.6,-1.8,0.0,2.03,989.8,1007.3,10.0
310,2016-11-06,-1.9,0.3,-4.1,2.1,6.66,1000.4,1018.2,9.0
311,2016-11-07,-2.0,1.3,-4.8,2.9,8.56,1010.7,1028.7,7.8
312,2016-11-08,0.7,6.1,-4.1,0.0,2.72,994.5,1012.0,9.3
313,2016-11-09,-1.0,2.4,-3.2,6.0,9.98,990.7,1008.3,9.8
314,2016-11-10,-1.5,1.1,-4.5,0.9,6.13,1002.3,1020.1,9.8
315,2016-11-11,-2.9,1.3,-7.7,8.6,10.25,1006.0,1023.9,7.3
316,2016-11-12,-0.4,2.4,-2.6,0.2,3.49,1004.3,1022.1,8.8
317,2016-11-13,1.5,4.8,-2.1,0.3,2.54,1002.7,1020.3,9.8
318,2016-11-14,2.0,7.7,-4.5,4.5,7.75,1001.5,1019.1,7.3
319,2016-11-15,3.3,9.1,-0.5,0.3,2.27,988.9,1006.1,10.0
320,2016-11-16,-2.2,0.3,-6.2,2.3,5.08,995.1,1012.8,9.3
