Unnamed: 0,calendar_date,cloud_cover
268,2016-09-25,9.7
269,2016-09-26,9.3
270,2016-09-27,7.3
271,2016-09-28,10.0
272,2016-09-29,10.0
273,2016-09-30,9.7
274,2016-10-01,10.0
275,2016-10-02,10.0
276,2016-10-03,10.0
277,2016-10-04,10.0
278,2016-10-05,10.0
279,2016-10-06,4.7
280,2016-10-07,6.0
281,2016-10-08,9.3
282,2016-10-09,7.0
283,2016-10-10,4.7
284,2016-10-11,9.0
285,2016-10-12,6.7
286,2016-10-13,10.0
287,2016-10-14,6.7
288,2016-10-15,5.7
289,2016-10-16,6.7
290,2016-10-17,7.0
291,2016-10-18,5.7
292,2016-10-19,8.0
293,2016-10-20,8.3
294,2016-10-21,10.0
295,2016-10-22,10.0
296,2016-10-23,9.3
297,2016-10-24,0.3
298,2016-10-25,9.3
299,2016-10-26,9.3
300,2016-10-27,4.0
301,2016-10-28,10.0
302,2016-10-29,3.7
303,2016-10-30,7.3
304,2016-10-31,9.7
305,2016-11-01,7.0
306,2016-11-02,0.0
307,2016-11-03,5.0
308,2016-11-04,2.0
309,2016-11-05,0.7
310,2016-11-06,4.3
311,2016-11-07,0.0
312,2016-11-08,10.0
313,2016-11-09,5.3
314,2016-11-10,10.0
315,2016-11-11,4.3
316,2016-11-12,3.3
317,2016-11-13,6.7
318,2016-11-14,10.0
319,2016-11-15,8.3
320,2016-11-16,5.7
321,2016-11-17,4.0
322,2016-11-18,5.7
323,2016-11-19,10.0
324,2016-11-20,10.0
325,2016-11-21,10.0
326,2016-11-22,7.3
327,2016-11-23,9.7
328,2016-11-24,7.0
329,2016-11-25,5.7
330,2016-11-26,6.7
331,2016-11-27,10.0
332,2016-11-28,10.0
333,2016-11-29,9.0
334,2016-11-30,10.0
335,2016-12-01,10.0
336,2016-12-02,6.0
337,2016-12-03,4.3
338,2016-12-04,9.0
339,2016-12-05,10.0
340,2016-12-06,6.3
341,2016-12-07,4.3
342,2016-12-08,3.7
343,2016-12-09,6.0
344,2016-12-10,3.3
345,2016-12-11,8.7
346,2016-12-12,10.0
347,2016-12-13,10.0
348,2016-12-14,6.7
349,2016-12-15,6.3
350,2016-12-16,4.3
351,2016-12-17,6.0
352,2016-12-18,5.7
353,2016-12-19,3.0
354,2016-12-20,6.7
355,2016-12-21,7.3
356,2016-12-22,10.0
357,2016-12-23,6.3
358,2016-12-24,7.7
359,2016-12-25,5.0
360,2016-12-26,10.0
361,2016-12-27,10.0
362,2016-12-28,4.0
363,2016-12-29,9.0
364,2016-12-30,3.7
365,2016-12-31,2.3
366,2017-01-01,5.0
367,2017-01-02,5.0
368,2017-01-03,4.0
369,2017-01-04,5.7
370,2017-01-05,9.7
371,2017-01-06,3.3
372,2017-01-07,6.7
373,2017-01-08,10.0
374,2017-01-09,9.7
375,2017-01-10,5.3
376,2017-01-11,9.3
377,2017-01-12,6.3
378,2017-01-13,4.0
379,2017-01-14,6.0
380,2017-01-15,8.7
381,2017-01-16,9.3
382,2017-01-17,4.3
383,2017-01-18,7.3
384,2017-01-19,9.7
385,2017-01-20,10.0
386,2017-01-21,6.0
387,2017-01-22,6.7
388,2017-01-23,9.7
389,2017-01-24,7.7
390,2017-01-25,4.7
391,2017-01-26,0.0
392,2017-01-27,10.0
393,2017-01-28,5.3
394,2017-01-29,8.7
395,2017-01-30,9.3
396,2017-01-31,8.7
397,2017-02-01,6.7
398,2017-02-02,9.7
399,2017-02-03,5.3
400,2017-02-04,0.0
401,2017-02-05,10.0
402,2017-02-06,9.0
403,2017-02-07,8.7
404,2017-02-08,10.0
405,2017-02-09,8.7
406,2017-02-10,8.7
407,2017-02-11,7.0
408,2017-02-12,6.3
409,2017-02-13,6.3
410,2017-02-14,6.3
411,2017-02-15,2.3
412,2017-02-16,5.7
413,2017-02-17,10.0
414,2017-02-18,10.0
415,2017-02-19,2.7
416,2017-02-20,9.7
417,2017-02-21,9.0
418,2017-02-22,10.0
419,2017-02-23,10.0
420,2017-02-24,9.0
421,2017-02-25,5.3
422,2017-02-26,10.0
423,2017-02-27,2.0
424,2017-02-28,1.0
425,2017-03-01,10.0
426,2017-03-02,9.3
427,2017-03-03,5.0
428,2017-03-04,6.7
429,2017-03-05,10.0
430,2017-03-06,9.7
431,2017-03-07,5.0
432,2017-03-08,2.7
433,2017-03-09,4.7
434,2017-03-10,6.0
435,2017-03-11,4.0
436,2017-03-12,8.0
437,2017-03-13,10.0
438,2017-03-14,8.0
439,2017-03-15,9.7
440,2017-03-16,7.7
441,2017-03-17,2.3
442,2017-03-18,6.7
443,2017-03-19,6.3
444,2017-03-20,6.7
445,2017-03-21,10.0
446,2017-03-22,7.0
447,2017-03-23,10.0
448,2017-03-24,9.3
449,2017-03-25,10.0
450,2017-03-26,10.0
451,2017-03-27,4.3
452,2017-03-28,5.0
453,2017-03-29,8.7
454,2017-03-30,9.0
455,2017-03-31,10.0
456,2017-04-01,6.3
457,2017-04-02,0.3
458,2017-04-03,0.0
459,2017-04-04,4.0
460,2017-04-05,10.0
461,2017-04-06,10.0
462,2017-04-07,10.0
463,2017-04-08,10.0
464,2017-04-09,10.0
465,2017-04-10,10.0
466,2017-04-11,10.0
467,2017-04-12,10.0
468,2017-04-13,5.7
469,2017-04-14,0.0
470,2017-04-15,8.7
471,2017-04-16,4.3
472,2017-04-17,10.0
473,2017-04-18,7.0
474,2017-04-19,2.0
475,2017-04-20,7.7
476,2017-04-21,10.0
477,2017-04-22,3.7
478,2017-04-23,0.0
479,2017-04-24,4.0
480,2017-04-25,9.3
481,2017-04-26,10.0
482,2017-04-27,10.0
483,2017-04-28,0.3
484,2017-04-29,7.0
485,2017-04-30,0.0
486,2017-05-01,5.3
487,2017-05-02,6.7
488,2017-05-03,10.0
489,2017-05-04,5.3
490,2017-05-05,4.0
491,2017-05-06,10.0
492,2017-05-07,6.0
493,2017-05-08,4.0
494,2017-05-09,10.0
495,2017-05-10,10.0
496,2017-05-11,9.3
497,2017-05-12,6.7
498,2017-05-13,8.3
499,2017-05-14,7.0
500,2017-05-15,10.0
501,2017-05-16,10.0
502,2017-05-17,8.3
503,2017-05-18,0.0
504,2017-05-19,0.0
505,2017-05-20,0.3
506,2017-05-21,9.7
507,2017-05-22,2.3
508,2017-05-23,8.0
509,2017-05-24,10.0
510,2017-05-25,10.0
511,2017-05-26,7.0
512,2017-05-27,5.0
513,2017-05-28,5.0
514,2017-05-29,0.3
515,2017-05-30,7.3
516,2017-05-31,10.0
