,Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
43,43,2016-02-13,9.9,11.4,8.0,11.0,2.2
44,44,2016-02-14,13.2,17.7,10.3,13.0,5.0
45,45,2016-02-15,7.4,10.6,3.9,0.0,10.1
46,46,2016-02-16,5.5,8.1,3.4,0.0,7.7
47,47,2016-02-17,6.0,8.6,4.5,0.0,8.3
48,48,2016-02-18,5.6,9.9,0.0,0.0,2.9
49,49,2016-02-19,8.5,14.7,2.2,0.0,2.5
50,50,2016-02-20,7.8,10.4,6.3,24.0,4.6
51,51,2016-02-21,8.3,10.5,4.5,0.0,12.3
52,52,2016-02-22,7.5,9.6,4.6,0.0,5.7
53,53,2016-02-23,8.9,12.3,4.4,0.0,4.6
54,54,2016-02-24,6.6,9.7,4.1,0.0,11.7
55,55,2016-02-25,6.0,9.7,2.8,0.0,8.1
56,56,2016-02-26,5.7,9.5,3.5,0.0,6.7
57,57,2016-02-27,7.3,11.2,1.4,0.0,3.3
58,58,2016-02-28,9.1,14.2,4.9,0.0,4.4
59,59,2016-02-29,8.4,13.1,1.7,4.5,8.6
60,60,2016-03-01,3.3,5.6,0.7,0.0,11.6
61,61,2016-03-02,5.5,9.4,-0.3,0.0,4.6
62,62,2016-03-03,8.3,13.9,1.8,0.0,5.0
63,63,2016-03-04,9.9,15.2,3.6,0.0,3.2
64,64,2016-03-05,12.3,17.2,8.4,0.0,3.5
65,65,2016-03-06,15.0,18.4,11.2,3.0,5.7
66,66,2016-03-07,14.3,17.3,10.9,1.5,2.7
67,67,2016-03-08,13.2,19.4,8.7,0.0,4.2
68,68,2016-03-09,10.5,12.6,8.7,24.5,7.0
69,69,2016-03-10,8.3,10.1,6.7,0.0,8.7
70,70,2016-03-11,8.0,12.0,5.5,0.0,7.7
71,71,2016-03-12,7.4,11.7,2.7,0.0,5.6
72,72,2016-03-13,8.0,11.4,2.7,1.5,3.2
73,73,2016-03-14,7.2,8.7,5.7,19.0,9.0
74,74,2016-03-15,8.6,10.9,5.2,0.0,11.8
75,75,2016-03-16,7.3,10.9,2.1,0.0,3.0
76,76,2016-03-17,11.0,19.3,4.7,0.0,3.9
77,77,2016-03-18,12.9,19.4,7.0,9.0,4.5
78,78,2016-03-19,14.1,17.8,11.6,21.5,8.2
79,79,2016-03-20,10.8,12.4,9.0,0.0,13.8
80,80,2016-03-21,9.6,13.3,7.6,0.0,9.9
81,81,2016-03-22,10.1,15.3,2.4,0.0,3.9
82,82,2016-03-23,12.5,18.1,7.5,0.0,4.8
83,83,2016-03-24,9.7,12.9,6.9,0.0,12.0
84,84,2016-03-25,7.8,10.8,6.0,0.0,11.6
85,85,2016-03-26,8.8,12.5,4.7,0.0,5.4
86,86,2016-03-27,9.4,13.3,3.8,0.0,3.3
87,87,2016-03-28,11.7,15.5,8.2,0.0,4.7
88,88,2016-03-29,12.3,17.6,5.3,0.0,3.7
89,89,2016-03-30,12.7,16.9,8.6,0.0,3.5
90,90,2016-03-31,13.5,17.2,9.1,0.0,3.9
91,91,2016-04-01,13.2,14.7,11.1,6.0,3.6
92,92,2016-04-02,14.0,16.2,11.8,0.0,2.8
93,93,2016-04-03,16.4,19.4,13.5,1.5,4.9
94,94,2016-04-04,15.2,17.4,13.4,27.5,5.1
95,95,2016-04-05,14.7,18.4,12.3,0.0,5.1
96,96,2016-04-06,14.8,21.1,9.6,0.0,4.4
97,97,2016-04-07,13.2,15.4,10.9,36.0,6.0
98,98,2016-04-08,14.7,16.7,10.1,0.0,8.0
99,99,2016-04-09,15.4,22.5,10.0,0.0,3.8
100,100,2016-04-10,15.0,18.7,11.2,0.0,2.9
101,101,2016-04-11,11.9,15.2,7.3,0.0,11.4
102,102,2016-04-12,11.3,16.0,5.2,0.0,5.9
103,103,2016-04-13,14.5,18.8,10.9,13.5,7.8
104,104,2016-04-14,15.7,22.0,12.5,3.5,7.1
105,105,2016-04-15,14.6,17.2,12.1,0.0,9.3
106,106,2016-04-16,14.8,21.5,8.5,0.0,4.8
107,107,2016-04-17,18.6,23.8,14.7,5.0,9.9
108,108,2016-04-18,15.3,18.4,12.6,0.0,6.7
109,109,2016-04-19,14.6,20.2,7.6,0.0,7.6
110,110,2016-04-20,15.0,20.3,8.8,0.0,5.3
111,111,2016-04-21,15.8,18.6,13.7,51.0,5.2
112,112,2016-04-22,16.8,20.7,12.6,1.5,4.6
113,113,2016-04-23,17.0,19.9,14.1,2.5,3.0
114,114,2016-04-24,17.4,21.7,15.1,1.5,5.3
115,115,2016-04-25,17.5,19.6,15.2,0.0,2.7
116,116,2016-04-26,18.0,22.7,13.2,0.0,3.7
117,117,2016-04-27,17.6,19.8,14.7,10.5,4.1
118,118,2016-04-28,15.9,17.1,14.5,9.0,6.8
119,119,2016-04-29,13.9,15.5,12.2,0.0,14.5
120,120,2016-04-30,15.6,21.5,11.0,0.0,4.6
121,121,2016-05-01,17.9,25.2,11.2,0.0,2.9
122,122,2016-05-02,18.3,24.8,12.2,0.0,4.6
123,123,2016-05-03,19.4,23.3,17.6,5.0,9.7
124,124,2016-05-04,19.7,23.4,16.2,8.5,8.8
125,125,2016-05-05,19.7,24.6,15.1,0.0,7.3
126,126,2016-05-06,15.8,18.1,13.5,10.0,3.5
127,127,2016-05-07,16.5,20.8,13.6,3.5,5.4
128,128,2016-05-08,18.9,23.7,15.6,0.0,5.9
129,129,2016-05-09,17.2,19.2,15.0,10.5,4.1
130,130,2016-05-10,17.3,19.2,15.6,10.5,2.4
131,131,2016-05-11,18.4,20.6,15.9,12.5,6.6
132,132,2016-05-12,19.0,25.2,15.5,0.0,5.9
133,133,2016-05-13,19.5,22.9,17.0,0.0,3.7
134,134,2016-05-14,20.0,23.8,16.7,0.0,3.4
135,135,2016-05-15,19.1,22.2,16.6,0.0,5.7
136,136,2016-05-16,19.2,20.9,18.2,9.0,9.2
137,137,2016-05-17,18.0,21.3,14.9,12.0,6.5
138,138,2016-05-18,19.1,24.4,15.5,0.0,4.3
139,139,2016-05-19,19.8,24.3,15.2,0.0,4.0
140,140,2016-05-20,19.1,21.8,16.4,0.0,4.2
141,141,2016-05-21,20.0,25.2,15.8,0.0,4.2
142,142,2016-05-22,22.1,27.1,18.7,0.0,3.3
143,143,2016-05-23,22.7,26.5,17.7,0.0,3.4
144,144,2016-05-24,22.9,28.2,18.3,0.0,4.4
145,145,2016-05-25,22.3,24.1,21.4,0.0,4.6
146,146,2016-05-26,22.8,26.6,20.7,1.5,4.1
147,147,2016-05-27,22.5,27.6,19.8,3.0,5.8
148,148,2016-05-28,21.1,22.8,19.3,0.0,3.1
149,149,2016-05-29,20.4,24.6,17.4,8.0,4.1
150,150,2016-05-30,18.9,21.2,16.8,14.5,4.1
151,151,2016-05-31,22.3,25.5,18.0,0.5,3.6
152,152,2016-06-01,20.5,22.9,17.6,0.0,11.0
153,153,2016-06-02,19.5,23.0,17.0,0.0,9.9
154,154,2016-06-03,19.3,23.5,13.7,0.0,4.3
155,155,2016-06-04,20.8,24.1,18.6,0.0,3.6
156,156,2016-06-05,18.8,21.4,16.2,6.0,3.8
157,157,2016-06-06,20.2,22.8,17.4,0.0,3.7
158,158,2016-06-07,20.5,23.1,18.5,4.5,3.5
159,159,2016-06-08,21.0,23.2,18.8,0.0,3.6
160,160,2016-06-09,21.5,24.4,20.0,0.5,2.2
161,161,2016-06-10,23.1,27.3,19.8,0.0,4.6
162,162,2016-06-11,22.7,24.7,20.8,0.0,3.7
163,163,2016-06-12,22.8,24.8,21.6,9.0,4.8
164,164,2016-06-13,21.5,23.2,19.9,47.5,5.5
165,165,2016-06-14,23.3,26.8,21.7,0.0,5.2
166,166,2016-06-15,23.6,27.2,21.5,1.5,5.9
167,167,2016-06-16,21.3,22.7,20.2,23.5,7.1
168,168,2016-06-17,23.2,26.9,20.5,0.0,4.6
169,169,2016-06-18,24.6,29.5,21.4,0.0,4.1
170,170,2016-06-19,22.6,24.9,20.5,30.0,3.4
171,171,2016-06-20,23.4,26.2,20.7,0.0,2.9
172,172,2016-06-21,24.3,27.2,21.2,27.5,4.2
173,173,2016-06-22,23.8,25.3,22.6,9.0,4.0
174,174,2016-06-23,24.6,27.9,22.6,12.0,6.8
175,175,2016-06-24,22.6,25.1,21.4,8.5,4.8
176,176,2016-06-25,23.5,26.3,20.9,15.0,5.0
177,177,2016-06-26,23.7,26.8,20.9,0.0,6.3
178,178,2016-06-27,23.3,28.2,19.6,5.5,4.9
179,179,2016-06-28,20.4,23.0,17.8,32.5,3.5
180,180,2016-06-29,22.0,23.6,20.7,2.5,4.1
181,181,2016-06-30,23.3,24.9,21.6,0.0,2.9
182,182,2016-07-01,25.5,28.9,22.0,0.0,3.0
183,183,2016-07-02,26.9,31.2,24.2,0.0,3.9
184,184,2016-07-03,27.5,32.5,25.0,0.0,3.5
185,185,2016-07-04,27.1,33.8,23.8,3.0,4.2
186,186,2016-07-05,25.9,31.2,22.7,0.0,5.9
187,187,2016-07-06,24.8,27.0,22.2,0.0,4.6
188,188,2016-07-07,28.3,32.4,24.9,0.0,2.9
189,189,2016-07-08,25.8,27.1,24.2,0.0,3.4
190,190,2016-07-09,22.6,24.2,20.7,60.0,4.5
191,191,2016-07-10,25.7,29.5,22.2,0.0,2.8
192,192,2016-07-11,27.8,32.0,23.4,0.0,2.8
193,193,2016-07-12,26.8,28.0,24.8,1.0,2.3
194,194,2016-07-13,26.7,28.6,25.4,7.5,2.3
195,195,2016-07-14,27.3,31.1,23.9,24.0,3.7
196,196,2016-07-15,25.5,27.7,23.4,0.0,5.6
197,197,2016-07-16,25.0,28.7,22.1,0.0,3.0
198,198,2016-07-17,26.2,28.2,24.9,0.0,3.8
199,199,2016-07-18,27.4,31.9,24.0,0.0,4.4
200,200,2016-07-19,26.7,30.8,24.0,0.0,3.9
201,201,2016-07-20,26.7,31.9,23.6,0.0,3.8
202,202,2016-07-21,26.1,28.9,23.7,0.0,4.4
203,203,2016-07-22,25.1,28.0,23.7,1.5,5.6
204,204,2016-07-23,24.2,26.2,22.6,0.0,5.0
205,205,2016-07-24,24.4,26.8,22.1,0.0,4.5
206,206,2016-07-25,24.9,27.6,22.4,0.0,4.0
207,207,2016-07-26,23.3,24.5,21.5,54.0,5.1
208,208,2016-07-27,24.4,26.8,22.2,0.0,3.1
209,209,2016-07-28,25.9,28.7,24.4,0.0,5.2
210,210,2016-07-29,26.2,28.9,24.0,0.0,3.8
211,211,2016-07-30,26.4,29.5,24.3,0.0,2.9
212,212,2016-07-31,27.9,31.3,24.8,0.0,2.9
213,213,2016-08-01,27.8,31.9,25.0,0.0,4.1
214,214,2016-08-02,27.1,31.4,23.7,9.5,4.1
215,215,2016-08-03,27.0,30.1,24.1,0.0,3.9
216,216,2016-08-04,27.8,30.9,25.4,0.0,3.7
217,217,2016-08-05,28.0,31.1,26.0,0.0,3.8
218,218,2016-08-06,28.2,31.2,26.2,0.0,3.4
219,219,2016-08-07,28.3,30.9,26.3,0.0,3.8
220,220,2016-08-08,29.7,34.3,26.1,0.0,5.4
221,221,2016-08-09,28.4,31.7,25.5,0.0,9.1
222,222,2016-08-10,27.3,32.0,24.7,0.0,3.3
223,223,2016-08-11,26.7,32.6,22.9,0.0,3.4
224,224,2016-08-12,27.0,30.2,25.1,0.0,4.3
225,225,2016-08-13,27.5,29.8,26.0,0.0,4.2
226,226,2016-08-14,27.3,30.6,25.3,0.0,5.8
227,227,2016-08-15,27.0,29.4,25.4,0.0,4.2
228,228,2016-08-16,28.3,31.1,26.3,0.0,4.2
229,229,2016-08-17,29.6,33.0,27.4,0.0,3.8
230,230,2016-08-18,28.4,31.2,26.1,9.0,3.2
231,231,2016-08-19,28.6,31.7,24.7,22.0,4.5
232,232,2016-08-20,28.7,32.3,25.5,0.0,4.3
233,233,2016-08-21,28.1,31.2,25.8,0.0,3.6
234,234,2016-08-22,29.8,33.0,26.8,0.0,6.5
235,235,2016-08-23,29.0,33.1,26.5,0.0,4.0
236,236,2016-08-24,28.4,31.2,26.9,0.0,5.5
237,237,2016-08-25,28.1,30.8,26.5,0.0,5.4
238,238,2016-08-26,27.9,31.2,25.5,0.5,3.5
239,239,2016-08-27,27.4,30.5,25.3,0.0,4.5
240,240,2016-08-28,25.9,29.1,23.5,20.0,5.4
241,241,2016-08-29,26.6,30.4,23.4,1.0,6.3
242,242,2016-08-30,24.7,27.8,21.1,33.5,7.9
243,243,2016-08-31,26.6,30.7,22.1,0.0,4.7
244,244,2016-09-01,26.5,29.9,23.2,0.0,3.8
245,245,2016-09-02,26.8,30.5,23.6,0.0,4.5
246,246,2016-09-03,27.4,29.8,24.2,0.0,5.3
247,247,2016-09-04,27.9,31.5,23.6,6.0,7.6
248,248,2016-09-05,26.0,28.7,23.3,3.0,6.0
249,249,2016-09-06,26.4,28.5,25.2,2.0,4.0
250,250,2016-09-07,27.3,30.2,25.1,0.0,3.8
251,251,2016-09-08,26.3,28.5,23.3,24.0,8.2
252,252,2016-09-09,25.9,28.6,24.2,0.0,9.1
253,253,2016-09-10,25.1,28.9,20.8,0.0,4.7
254,254,2016-09-11,25.4,28.1,23.4,0.0,3.6
255,255,2016-09-12,25.9,28.1,23.9,3.0,5.1
256,256,2016-09-13,25.2,26.4,23.8,15.5,4.5
257,257,2016-09-14,26.1,28.9,24.6,0.0,3.5
258,258,2016-09-15,25.6,27.2,23.8,0.0,3.1
259,259,2016-09-16,25.2,27.5,23.1,0.0,3.1
260,260,2016-09-17,26.0,28.1,24.7,0.0,3.6
261,261,2016-09-18,25.4,27.1,23.5,10.5,4.6
262,262,2016-09-19,24.5,27.3,22.4,8.5,3.1
263,263,2016-09-20,22.7,26.0,21.1,45.5,9.4
264,264,2016-09-21,22.2,23.7,20.7,1.5,2.7
265,265,2016-09-22,22.0,24.1,20.4,36.0,3.4
266,266,2016-09-23,23.0,24.3,21.6,10.0,2.6
267,267,2016-09-24,21.2,22.5,19.6,3.5,2.6
268,268,2016-09-25,23.3,27.9,19.8,0.0,2.6
269,269,2016-09-26,24.2,27.6,21.6,0.0,2.7
270,270,2016-09-27,25.3,27.2,22.7,0.0,2.4
271,271,2016-09-28,25.6,28.8,23.7,14.5,3.2
272,272,2016-09-29,24.4,26.5,22.9,6.0,6.6
273,273,2016-09-30,21.4,23.4,18.7,1.5,4.5
274,274,2016-10-01,23.1,26.3,20.3,2.5,3.4
275,275,2016-10-02,24.8,27.5,23.2,2.0,4.1
276,276,2016-10-03,23.7,26.5,21.4,6.0,5.1
277,277,2016-10-04,24.1,27.9,21.2,0.0,4.7
278,278,2016-10-05,23.8,26.4,20.2,1.5,5.6
279,279,2016-10-06,24.0,26.1,21.3,0.0,10.5
280,280,2016-10-07,22.1,24.3,19.4,0.0,6.0
281,281,2016-10-08,23.6,26.8,21.3,0.0,5.9
282,282,2016-10-09,21.4,23.7,18.4,9.0,8.3
283,283,2016-10-10,19.5,22.8,16.3,0.0,5.6
284,284,2016-10-11,19.6,22.2,16.7,0.0,3.2
285,285,2016-10-12,19.6,24.3,15.8,0.0,7.2
286,286,2016-10-13,18.4,20.8,15.4,0.0,5.9
287,287,2016-10-14,17.6,20.7,14.3,0.0,3.3
288,288,2016-10-15,17.8,21.7,13.5,0.0,2.9
289,289,2016-10-16,19.8,23.9,14.6,0.0,5.3
290,290,2016-10-17,20.2,22.3,17.3,42.5,5.7
291,291,2016-10-18,22.3,26.6,18.4,0.0,4.0
292,292,2016-10-19,22.0,25.1,17.9,0.0,3.4
293,293,2016-10-20,22.6,26.1,20.2,0.0,7.1
294,294,2016-10-21,19.6,21.9,16.5,0.0,4.7
295,295,2016-10-22,18.8,20.5,15.9,0.0,3.2
296,296,2016-10-23,19.8,21.9,16.4,0.0,8.4
297,297,2016-10-24,17.5,20.9,14.2,0.0,4.5
298,298,2016-10-25,14.8,16.5,12.8,4.5,3.8
299,299,2016-10-26,19.6,21.9,16.2,1.5,4.7
300,300,2016-10-27,19.7,23.2,14.7,0.0,9.1
301,301,2016-10-28,15.9,17.6,14.3,6.0,4.2
302,302,2016-10-29,18.7,21.7,14.6,0.0,10.6
303,303,2016-10-30,15.4,18.7,10.5,0.0,4.5
304,304,2016-10-31,15.5,18.7,10.9,0.0,3.9
305,305,2016-11-01,15.0,18.9,11.8,8.5,8.6
306,306,2016-11-02,14.2,16.9,10.8,0.0,5.0
307,307,2016-11-03,14.7,17.3,11.9,0.0,9.0
308,308,2016-11-04,15.4,18.8,11.7,0.0,5.9
309,309,2016-11-05,14.7,19.0,9.5,0.0,3.9
310,310,2016-11-06,16.2,21.4,12.5,0.0,7.8
311,311,2016-11-07,13.9,17.0,9.0,0.0,4.3
312,312,2016-11-08,14.9,16.4,13.6,6.5,4.1
313,313,2016-11-09,11.4,14.2,8.5,0.0,13.0
314,314,2016-11-10,10.8,13.0,8.1,1.0,6.0
315,315,2016-11-11,15.3,19.1,10.8,4.0,6.0
316,316,2016-11-12,16.4,19.4,12.3,0.0,5.6
317,317,2016-11-13,15.9,19.6,11.4,0.0,2.6
318,318,2016-11-14,14.7,15.9,13.5,5.5,2.7
319,319,2016-11-15,16.4,20.6,13.7,1.0,7.9
320,320,2016-11-16,13.2,15.9,10.3,0.0,9.4
321,321,2016-11-17,13.9,18.1,9.2,0.0,7.0
322,322,2016-11-18,12.6,15.6,7.9,0.0,3.5
323,323,2016-11-19,15.2,17.2,12.8,7.5,3.8
324,324,2016-11-20,17.7,21.6,13.0,0.0,4.4
325,325,2016-11-21,15.2,17.3,13.1,4.0,3.4
326,326,2016-11-22,17.1,20.4,14.7,0.0,6.4
327,327,2016-11-23,13.4,16.4,10.0,0.0,9.5
328,328,2016-11-24,9.6,12.3,6.7,4.5,3.5
329,329,2016-11-25,10.1,13.9,5.6,0.0,4.2
330,330,2016-11-26,11.1,14.9,6.4,1.5,4.2
331,331,2016-11-27,12.5,14.6,9.8,16.5,5.2
332,332,2016-11-28,12.9,15.1,10.7,0.0,13.4
333,333,2016-11-29,11.6,14.3,9.7,0.0,9.3
334,334,2016-11-30,9.8,11.6,6.6,0.0,4.9
335,335,2016-12-01,12.9,15.8,9.9,1.0,4.8
336,336,2016-12-02,12.1,14.1,8.9,0.0,10.5
337,337,2016-12-03,11.6,16.2,5.1,0.0,3.4
338,338,2016-12-04,11.7,15.4,8.0,10.0,3.7
339,339,2016-12-05,14.7,17.2,11.8,0.0,4.8
340,340,2016-12-06,11.6,14.6,7.2,0.0,10.3
341,341,2016-12-07,9.7,11.8,6.4,0.0,4.6
342,342,2016-12-08,10.6,13.7,7.2,0.0,5.3
343,343,2016-12-09,10.4,15.0,5.1,0.0,4.5
344,344,2016-12-10,9.1,11.6,4.9,0.0,9.1
345,345,2016-12-11,8.0,11.6,3.7,0.0,6.9
346,346,2016-12-12,7.2,9.4,2.6,0.0,4.0
347,347,2016-12-13,8.2,11.6,6.0,26.5,4.4
348,348,2016-12-14,10.4,12.8,6.2,4.5,12.5
349,349,2016-12-15,7.1,9.8,4.1,0.0,7.4
350,350,2016-12-16,6.3,9.2,3.4,0.0,10.2
351,351,2016-12-17,8.2,11.8,3.7,0.0,6.7
352,352,2016-12-18,9.7,13.7,4.7,0.0,4.8
353,353,2016-12-19,11.2,14.2,5.7,0.0,4.1
354,354,2016-12-20,10.7,12.7,7.7,0.0,3.2
355,355,2016-12-21,10.4,14.0,4.6,0.0,2.6
356,356,2016-12-22,12.5,17.2,7.7,35.5,4.0
357,357,2016-12-23,11.9,16.2,7.6,0.0,9.3
358,358,2016-12-24,9.5,12.0,7.6,0.0,7.5
359,359,2016-12-25,9.7,12.6,6.6,0.0,6.2
360,360,2016-12-26,8.5,11.3,3.5,0.0,3.0
361,361,2016-12-27,10.5,14.0,7.6,10.5,7.6
362,362,2016-12-28,6.3,8.6,3.6,0.0,10.6
363,363,2016-12-29,6.2,9.6,0.7,0.0,5.9
364,364,2016-12-30,7.4,10.1,5.8,0.0,9.2
365,365,2016-12-31,7.1,11.4,1.6,0.0,5.1
366,366,2017-01-01,9.9,12.3,5.1,0.0,6.2
367,367,2017-01-02,9.1,12.9,3.0,0.0,4.9
368,368,2017-01-03,10.4,12.4,9.1,0.0,8.6
369,369,2017-01-04,8.6,11.8,3.1,0.0,6.8
370,370,2017-01-05,7.8,10.4,5.8,0.0,11.6
371,371,2017-01-06,6.4,9.1,3.5,0.0,6.0
372,372,2017-01-07,6.2,9.6,1.1,0.0,3.3
373,373,2017-01-08,6.0,8.3,4.7,15.5,5.5
374,374,2017-01-09,10.5,12.5,7.4,0.0,9.7
375,375,2017-01-10,9.9,12.4,7.2,0.0,7.5
376,376,2017-01-11,7.0,9.3,5.4,0.0,6.2
377,377,2017-01-12,7.1,9.2,5.4,0.0,11.6
378,378,2017-01-13,7.0,9.5,4.5,0.0,13.1
379,379,2017-01-14,2.7,5.7,-1.0,4.0,11.3
380,380,2017-01-15,1.2,3.4,-1.2,7.5,9.8
381,381,2017-01-16,3.3,5.7,0.9,3.0,8.9
382,382,2017-01-17,6.0,7.9,4.2,0.0,10.0
383,383,2017-01-18,6.1,8.8,1.1,0.0,3.9
384,384,2017-01-19,6.7,9.9,3.4,0.0,7.6
385,385,2017-01-20,4.8,7.8,0.5,0.5,5.6
386,386,2017-01-21,6.1,7.9,4.4,0.0,11.6
387,387,2017-01-22,5.0,8.2,-0.1,0.0,6.2
388,388,2017-01-23,2.8,4.7,1.0,0.0,11.2
389,389,2017-01-24,2.3,4.2,0.3,0.0,8.0
390,390,2017-01-25,3.8,7.5,-1.3,0.0,7.0
391,391,2017-01-26,4.9,8.5,-0.9,0.0,3.5
392,392,2017-01-27,5.9,11.3,0.0,0.0,4.0
393,393,2017-01-28,8.2,12.2,3.7,0.0,5.4
394,394,2017-01-29,6.7,10.2,0.6,2.0,4.0
395,395,2017-01-30,8.1,11.3,5.9,3.0,6.9
396,396,2017-01-31,5.0,7.8,2.0,0.0,10.3
397,397,2017-02-01,5.3,9.2,0.1,0.0,7.5
398,398,2017-02-02,5.0,6.6,2.2,0.0,10.3
399,399,2017-02-03,7.6,10.4,4.2,0.0,9.7
400,400,2017-02-04,7.9,11.6,3.0,0.0,3.9
401,401,2017-02-05,5.1,6.4,3.2,9.0,3.8
402,402,2017-02-06,7.3,10.1,3.8,0.0,12.2
403,403,2017-02-07,4.6,6.5,3.1,0.0,13.2
404,404,2017-02-08,5.8,8.5,2.5,0.0,9.0
405,405,2017-02-09,4.3,6.2,2.4,0.5,4.9
406,406,2017-02-10,4.0,6.2,0.5,0.0,11.2
407,407,2017-02-11,3.2,5.0,1.1,0.0,8.7
408,408,2017-02-12,4.1,7.2,1.1,0.0,7.8
409,409,2017-02-13,5.3,8.6,3.5,0.0,6.7
410,410,2017-02-14,4.7,7.8,0.7,0.0,6.2
411,411,2017-02-15,6.4,9.0,2.9,0.0,7.8
412,412,2017-02-16,7.1,12.3,0.3,0.0,2.3
413,413,2017-02-17,8.2,11.1,4.6,0.5,4.2
414,414,2017-02-18,8.5,10.3,6.5,0.5,6.2
415,415,2017-02-19,6.2,9.1,2.9,0.0,6.8
416,416,2017-02-20,7.1,10.4,3.4,5.0,7.0
417,417,2017-02-21,4.8,6.9,2.0,0.0,14.0
418,418,2017-02-22,5.8,9.9,-0.2,2.0,4.3
419,419,2017-02-23,9.3,12.4,6.9,9.5,8.2
420,420,2017-02-24,6.1,8.9,3.5,0.0,10.7
421,421,2017-02-25,6.5,11.1,0.5,0.0,4.3
422,422,2017-02-26,8.0,11.2,3.5,0.0,5.4
423,423,2017-02-27,7.1,10.3,3.8,0.0,5.8
424,424,2017-02-28,6.5,11.3,0.9,0.0,3.2
425,425,2017-03-01,6.3,9.8,2.5,4.5,3.5
426,426,2017-03-02,7.4,9.7,6.0,4.5,3.6
427,427,2017-03-03,8.3,10.0,5.8,0.0,11.3
428,428,2017-03-04,7.8,12.5,1.9,0.0,3.4
429,429,2017-03-05,9.1,13.0,2.4,0.0,3.6
430,430,2017-03-06,9.4,11.5,8.2,0.0,4.9
431,431,2017-03-07,6.6,9.2,2.6,0.0,8.9
432,432,2017-03-08,6.0,9.9,2.6,0.0,6.9
433,433,2017-03-09,7.0,10.7,3.9,0.0,6.8
434,434,2017-03-10,8.0,11.4,6.1,0.0,8.4
435,435,2017-03-11,8.1,12.4,4.4,0.0,8.2
436,436,2017-03-12,7.4,11.4,2.9,0.0,4.0
437,437,2017-03-13,9.1,11.9,6.3,0.0,2.3
438,438,2017-03-14,9.3,11.4,6.9,0.0,10.6
439,439,2017-03-15,7.6,9.8,4.6,0.0,11.4
440,440,2017-03-16,8.7,11.6,7.4,0.0,10.8
441,441,2017-03-17,9.1,12.4,7.0,0.0,9.7
442,442,2017-03-18,10.0,13.6,4.7,0.0,5.7
443,443,2017-03-19,11.6,15.2,6.5,0.0,6.6
444,444,2017-03-20,11.7,16.1,6.5,0.0,4.7
445,445,2017-03-21,9.8,11.4,8.6,32.5,7.7
446,446,2017-03-22,9.4,13.2,5.4,0.0,11.2
447,447,2017-03-23,9.6,13.3,5.5,0.0,4.9
