Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_local_pressure,avg_sea_pressure
83,2016-03-24,5.2,9.7,1.7,6.2,937.8,1018.5
84,2016-03-25,4.2,8.5,0.7,7.7,940.6,1021.9
85,2016-03-26,4.7,10.9,0.0,6.1,939.8,1020.9
86,2016-03-27,3.3,8.6,-0.3,4.0,939.6,1021.1
87,2016-03-28,5.0,11.5,-0.5,9.1,942.7,1024.0
88,2016-03-29,8.3,11.7,3.5,2.5,944.8,1025.2
89,2016-03-30,10.3,11.3,8.8,0.0,942.6,1022.2
90,2016-03-31,10.2,12.6,6.3,0.0,937.5,1016.6
91,2016-04-01,11.9,14.7,9.5,1.5,934.0,1012.3
92,2016-04-02,13.3,18.6,8.3,5.9,940.8,1019.2
93,2016-04-03,14.0,16.8,11.4,0.0,938.6,1016.6
94,2016-04-04,13.1,15.9,8.2,0.0,932.0,1009.7
95,2016-04-05,10.7,16.2,6.7,7.1,937.2,1016.1
96,2016-04-06,12.5,17.0,6.8,0.5,938.4,1016.9
97,2016-04-07,15.4,18.8,11.8,0.0,932.6,1009.7
98,2016-04-08,11.9,16.2,7.2,3.1,936.6,1015.2
99,2016-04-09,13.4,19.6,6.5,6.5,936.8,1014.9
100,2016-04-10,12.9,18.6,10.0,1.8,934.3,1012.4
101,2016-04-11,10.9,15.0,6.6,8.2,937.5,1016.4
102,2016-04-12,12.3,17.9,8.0,7.8,938.3,1016.9
103,2016-04-13,13.8,16.5,9.3,0.0,931.4,1008.9
104,2016-04-14,16.5,20.8,13.9,8.5,931.9,1008.7
105,2016-04-15,15.3,22.0,9.9,10.3,939.5,1017.3
106,2016-04-16,13.3,18.7,8.8,2.1,936.6,1014.7
107,2016-04-17,10.7,16.1,5.4,1.1,933.0,1011.6
108,2016-04-18,9.0,13.2,7.3,0.0,937.7,1017.3
109,2016-04-19,10.5,16.2,5.8,8.9,943.8,1023.4
110,2016-04-20,13.0,19.0,5.5,8.1,942.7,1021.4
111,2016-04-21,14.5,18.8,10.8,0.0,931.6,1008.9
112,2016-04-22,13.1,19.1,8.1,7.4,933.3,1011.2
113,2016-04-23,11.6,17.6,7.8,0.1,934.5,1013.0
114,2016-04-24,12.4,15.5,10.3,0.0,934.7,1012.9
115,2016-04-25,15.0,17.4,11.4,0.0,937.2,1014.9
116,2016-04-26,16.8,20.4,14.3,0.4,936.8,1013.8
117,2016-04-27,15.7,17.1,13.9,0.0,927.8,1004.4
118,2016-04-28,11.9,15.4,8.1,0.7,926.1,1003.7
119,2016-04-29,10.7,16.3,6.4,9.9,934.1,1012.8
120,2016-04-30,11.9,18.1,5.6,10.9,938.2,1016.9
121,2016-05-01,14.7,20.2,9.4,9.3,939.8,1017.8
122,2016-05-02,16.2,21.5,10.7,9.1,939.5,1017.0
123,2016-05-03,13.3,17.6,8.6,0.0,930.2,1007.7
124,2016-05-04,13.4,17.8,8.2,5.7,935.2,1013.2
125,2016-05-05,16.5,20.4,12.4,5.7,939.7,1017.1
126,2016-05-06,14.5,17.4,10.1,0.0,933.9,1011.4
127,2016-05-07,17.3,21.7,13.6,7.3,935.4,1012.1
128,2016-05-08,15.7,21.9,12.4,1.6,938.2,1015.7
129,2016-05-09,16.5,17.7,15.2,0.0,933.9,1010.8
130,2016-05-10,17.1,18.5,14.4,0.0,928.3,1004.6
131,2016-05-11,12.7,17.3,8.5,1.0,930.9,1008.7
132,2016-05-12,14.8,21.4,7.4,11.1,937.3,1015.0
133,2016-05-13,16.4,20.8,12.9,7.9,941.3,1018.8
134,2016-05-14,17.7,24.0,11.2,8.7,943.3,1020.6
135,2016-05-15,18.6,23.4,16.1,1.1,938.5,1015.1
136,2016-05-16,13.5,18.4,7.8,0.0,932.9,1010.6
137,2016-05-17,14.7,21.3,7.4,11.0,937.3,1015.0
138,2016-05-18,16.0,23.9,8.1,10.4,939.5,1017.0
139,2016-05-19,17.1,23.3,11.3,5.7,939.9,1017.1
140,2016-05-20,18.0,24.2,11.3,10.0,938.8,1015.6
141,2016-05-21,19.2,23.3,15.7,4.6,939.0,1015.5
142,2016-05-22,18.1,25.2,11.2,10.2,938.6,1015.3
143,2016-05-23,19.5,25.7,12.3,11.3,937.4,1013.7
144,2016-05-24,18.7,22.7,15.7,1.2,933.7,1009.9
145,2016-05-25,19.9,23.1,18.5,2.7,933.7,1009.5
146,2016-05-26,20.4,24.1,16.6,4.3,933.6,1009.3
147,2016-05-27,19.1,23.1,16.3,2.7,934.2,1010.4
148,2016-05-28,17.4,20.0,15.9,0.2,931.1,1007.5
149,2016-05-29,18.3,19.8,17.0,0.0,928.2,1004.1
150,2016-05-30,19.4,25.3,12.7,11.3,929.5,1005.2
151,2016-05-31,18.5,25.7,10.8,9.0,931.9,1008.0
152,2016-06-01,17.5,20.1,14.6,1.9,929.1,1005.3
153,2016-06-02,17.2,22.7,12.2,11.2,931.1,1007.6
154,2016-06-03,17.3,22.8,11.3,8.0,934.9,1011.7
155,2016-06-04,15.9,17.8,12.3,0.0,930.8,1007.6
156,2016-06-05,17.8,19.6,16.7,0.0,930.8,1007.0
157,2016-06-06,18.7,20.9,16.7,0.2,934.9,1011.3
158,2016-06-07,19.1,23.2,16.7,4.2,934.1,1010.2
159,2016-06-08,19.5,23.3,16.3,9.1,934.1,1010.1
160,2016-06-09,19.6,23.5,17.1,4.0,934.4,1010.4
161,2016-06-10,20.1,25.9,16.0,4.5,936.4,1012.4
162,2016-06-11,21.8,25.7,18.2,6.4,936.0,1011.4
163,2016-06-12,20.4,22.2,19.2,0.0,929.4,1004.7
164,2016-06-13,19.9,23.8,16.9,3.5,925.5,1000.7
165,2016-06-14,19.7,25.1,15.7,7.9,928.5,1003.9
166,2016-06-15,21.2,24.7,17.8,5.2,929.6,1004.7
167,2016-06-16,18.9,21.2,16.3,0.0,926.8,1002.4
168,2016-06-17,17.3,21.8,15.2,3.7,933.8,1010.4
169,2016-06-18,19.5,24.8,14.1,6.2,938.0,1014.4
170,2016-06-19,20.9,21.9,19.3,0.0,935.6,1011.3
171,2016-06-20,20.8,21.8,19.5,0.0,933.7,1009.2
172,2016-06-21,20.8,21.7,20.2,0.0,933.1,1008.6
173,2016-06-22,21.9,22.7,20.7,0.0,931.7,1006.8
174,2016-06-23,20.7,21.9,19.5,0.0,931.4,1006.8
175,2016-06-24,21.9,22.6,19.9,0.0,929.8,1004.8
176,2016-06-25,16.3,20.1,13.9,0.0,932.0,1008.8
177,2016-06-26,17.3,21.0,14.9,1.7,935.3,1012.0
178,2016-06-27,16.7,20.1,13.7,0.0,934.2,1011.1
179,2016-06-28,20.1,21.8,17.7,0.0,935.0,1010.9
180,2016-06-29,20.7,22.6,19.5,0.0,936.8,1012.6
181,2016-06-30,20.1,22.8,18.1,0.9,937.7,1013.8
182,2016-07-01,21.8,25.1,18.8,1.7,937.6,1013.2
183,2016-07-02,22.6,23.8,21.4,0.0,936.5,1011.7
184,2016-07-03,23.1,25.1,22.1,0.1,937.2,1012.3
185,2016-07-04,23.0,25.8,20.5,0.3,938.5,1013.8
186,2016-07-05,23.4,28.0,20.1,5.3,940.7,1016.0
187,2016-07-06,23.6,28.6,20.1,9.3,941.3,1016.7
188,2016-07-07,22.9,27.2,19.3,5.8,939.5,1014.9
189,2016-07-08,20.7,22.9,19.6,0.0,933.7,1009.3
190,2016-07-09,22.7,25.8,20.9,0.5,931.5,1006.4
191,2016-07-10,22.5,24.3,21.9,0.0,930.5,1005.3
192,2016-07-11,22.5,23.3,21.8,0.0,932.1,1007.0
193,2016-07-12,23.0,24.0,22.0,0.0,931.9,1006.7
194,2016-07-13,22.8,23.5,21.6,0.0,929.1,1003.6
195,2016-07-14,22.4,25.6,20.1,1.2,927.5,1002.1
196,2016-07-15,22.1,26.4,19.1,9.5,928.6,1003.4
197,2016-07-16,23.1,24.6,19.7,0.0,930.1,1004.6
198,2016-07-17,22.5,27.7,18.6,5.8,933.4,1008.4
199,2016-07-18,22.4,27.1,17.0,9.1,935.0,1010.2
200,2016-07-19,23.7,27.7,20.5,3.5,935.6,1010.4
201,2016-07-20,24.1,28.7,20.8,3.8,936.1,1010.9
202,2016-07-21,23.7,28.6,20.0,8.4,936.2,1011.1
203,2016-07-22,23.7,29.2,19.9,9.5,935.1,1009.9
204,2016-07-23,23.2,28.3,19.7,2.7,935.5,1010.5
205,2016-07-24,24.0,28.7,20.2,3.8,937.1,1012.0
206,2016-07-25,23.9,28.2,19.7,6.7,937.3,1012.3
207,2016-07-26,23.1,28.4,19.7,8.0,935.3,1010.4
208,2016-07-27,23.0,28.7,18.8,8.3,934.0,1009.0
209,2016-07-28,24.3,29.5,20.4,7.5,935.0,1009.6
210,2016-07-29,24.5,28.6,21.9,5.7,936.3,1011.0
211,2016-07-30,24.7,29.4,20.9,3.2,936.9,1011.5
212,2016-07-31,24.1,29.2,20.4,3.8,936.4,1011.2
213,2016-08-01,25.0,29.6,22.4,5.7,935.4,1009.8
214,2016-08-02,23.9,29.4,21.1,6.4,934.1,1008.7
215,2016-08-03,24.1,28.2,21.5,4.6,934.0,1008.6
216,2016-08-04,24.1,29.0,21.4,4.4,934.2,1008.8
217,2016-08-05,23.6,28.9,20.7,2.7,934.5,1009.3
218,2016-08-06,24.7,30.0,20.7,8.9,933.6,1008.0
219,2016-08-07,25.1,29.4,21.9,4.7,932.9,1007.2
220,2016-08-08,24.6,28.7,21.9,1.7,932.3,1006.7
221,2016-08-09,25.3,31.0,21.9,5.4,932.7,1006.8
222,2016-08-10,25.6,31.5,21.4,6.4,934.5,1008.7
223,2016-08-11,25.8,31.6,21.6,7.3,934.7,1008.9
224,2016-08-12,25.2,30.9,21.0,5.6,933.3,1007.6
225,2016-08-13,24.9,30.5,21.7,5.8,932.5,1006.7
226,2016-08-14,25.0,30.6,21.7,7.4,930.9,1005.0
227,2016-08-15,24.8,30.5,20.1,6.6,928.8,1002.8
228,2016-08-16,23.6,27.5,19.4,4.3,927.5,1001.7
229,2016-08-17,24.3,29.9,18.9,6.7,928.1,1002.2
230,2016-08-18,25.3,29.3,22.6,5.6,930.3,1004.2
231,2016-08-19,24.8,30.6,22.2,5.0,931.6,1005.8
232,2016-08-20,25.6,32.4,21.7,6.4,929.8,1003.7
233,2016-08-21,26.3,32.1,20.9,8.9,928.8,1002.4
234,2016-08-22,25.5,32.2,21.6,6.8,929.6,1003.5
235,2016-08-23,25.7,32.2,21.1,8.5,929.7,1003.5
236,2016-08-24,24.9,31.8,19.2,7.5,930.1,1004.2
237,2016-08-25,24.8,30.0,21.0,4.6,930.8,1005.0
238,2016-08-26,24.4,29.7,21.9,4.0,930.6,1004.8
239,2016-08-27,23.8,28.8,20.9,5.3,929.4,1003.7
240,2016-08-28,21.4,22.8,18.2,0.0,922.8,997.3
241,2016-08-29,17.9,22.7,16.1,3.2,923.2,998.8
242,2016-08-30,19.0,23.3,15.8,5.2,922.2,997.4
243,2016-08-31,20.1,24.3,17.9,4.2,926.2,1001.3
244,2016-09-01,20.9,24.3,19.4,0.3,931.8,1007.1
245,2016-09-02,21.5,23.4,19.6,0.2,931.9,1007.1
246,2016-09-03,22.1,24.4,20.2,0.3,932.2,1007.2
247,2016-09-04,21.7,23.9,20.4,0.0,932.1,1007.3
248,2016-09-05,22.3,26.9,20.4,4.2,934.5,1009.7
249,2016-09-06,23.4,28.8,20.1,6.7,932.9,1007.6
250,2016-09-07,23.8,27.2,21.8,2.6,929.4,1003.7
251,2016-09-08,21.1,25.2,17.6,7.6,931.0,1006.3
252,2016-09-09,19.8,26.1,15.3,6.8,933.8,1009.7
253,2016-09-10,20.7,25.7,16.5,5.4,935.6,1011.3
254,2016-09-11,22.4,27.6,18.2,6.6,937.2,1012.5
255,2016-09-12,21.2,22.2,20.0,0.0,936.2,1011.9
256,2016-09-13,21.6,24.8,18.5,1.2,938.9,1014.7
257,2016-09-14,21.3,23.7,19.7,0.1,939.8,1015.8
258,2016-09-15,21.3,25.4,18.8,3.1,939.1,1014.9
259,2016-09-16,22.3,26.7,19.0,1.6,938.5,1014.0
260,2016-09-17,22.5,26.8,19.5,3.9,935.7,1010.9
261,2016-09-18,21.9,22.7,21.2,0.0,933.0,1008.2
262,2016-09-19,21.1,22.8,19.0,0.0,928.6,1003.6
263,2016-09-20,16.7,19.0,14.8,0.0,929.9,1006.4
264,2016-09-21,18.3,23.2,14.3,2.9,938.6,1015.4
265,2016-09-22,19.0,22.0,17.3,0.2,938.4,1014.9
266,2016-09-23,20.0,25.1,17.2,5.6,938.2,1014.4
267,2016-09-24,20.2,24.4,17.4,2.1,938.3,1014.4
268,2016-09-25,21.6,25.7,17.8,1.6,939.1,1014.9
269,2016-09-26,23.2,28.0,19.7,7.0,939.5,1014.8
270,2016-09-27,23.1,28.0,19.2,4.5,939.1,1014.5
271,2016-09-28,22.6,23.3,21.5,0.0,938.0,1013.4
272,2016-09-29,21.9,23.2,21.0,0.0,937.6,1013.2
273,2016-09-30,21.9,24.2,20.8,0.2,938.2,1013.8
274,2016-10-01,22.5,26.8,20.3,5.0,940.6,1016.1
275,2016-10-02,22.9,27.6,19.6,5.4,939.7,1015.1
276,2016-10-03,22.1,25.8,19.2,0.8,935.5,1010.8
277,2016-10-04,23.0,26.3,18.7,0.6,936.3,1011.4
278,2016-10-05,21.1,24.1,18.5,0.0,934.9,1010.5
279,2016-10-06,20.2,25.5,17.4,4.1,940.7,1017.0
280,2016-10-07,21.4,25.6,18.4,5.4,942.0,1018.0
281,2016-10-08,20.7,21.9,19.4,0.0,936.5,1012.3
282,2016-10-09,16.9,22.0,12.0,7.1,935.2,1012.1
283,2016-10-10,15.5,21.1,11.3,8.9,937.4,1014.9
284,2016-10-11,16.4,21.2,11.8,5.3,938.4,1015.7
285,2016-10-12,16.0,20.6,12.2,0.5,940.3,1017.9
286,2016-10-13,15.5,20.0,12.0,1.1,941.7,1019.6
287,2016-10-14,16.8,20.0,13.0,0.5,944.0,1021.6
288,2016-10-15,17.6,22.4,12.8,3.9,944.6,1022.1
289,2016-10-16,18.6,22.5,14.7,1.7,941.9,1018.7
290,2016-10-17,20.0,24.2,17.8,4.5,939.8,1016.1
291,2016-10-18,18.6,22.8,16.6,3.6,940.2,1016.9
292,2016-10-19,17.9,19.8,15.5,0.0,939.2,1016.1
293,2016-10-20,17.2,22.2,12.6,1.9,939.2,1016.4
294,2016-10-21,15.7,19.0,13.3,0.0,939.7,1017.3
295,2016-10-22,17.5,18.6,16.7,0.0,934.7,1011.3
296,2016-10-23,15.4,17.4,13.4,2.1,932.0,1009.0
297,2016-10-24,15.1,19.7,11.0,8.4,936.8,1014.3
298,2016-10-25,17.3,19.1,14.1,0.0,937.9,1014.8
299,2016-10-26,17.1,18.9,14.4,0.1,939.8,1016.9
300,2016-10-27,17.4,22.7,12.4,3.6,941.0,1018.2
301,2016-10-28,18.0,20.7,14.8,0.0,936.4,1013.0
302,2016-10-29,14.1,17.4,11.8,7.8,941.1,1019.3
303,2016-10-30,13.6,17.7,9.8,5.9,946.0,1024.7
304,2016-10-31,12.7,15.9,10.8,0.0,944.0,1022.9
305,2016-11-01,9.3,12.8,4.7,5.2,943.9,1023.8
306,2016-11-02,8.5,13.4,3.7,7.9,943.9,1024.1
307,2016-11-03,9.0,13.6,6.7,8.0,942.6,1022.5
308,2016-11-04,8.0,14.0,3.7,6.4,939.5,1019.5
309,2016-11-05,10.7,16.6,5.0,7.2,937.9,1016.9
310,2016-11-06,13.7,18.5,10.2,6.9,941.8,1020.2
311,2016-11-07,11.2,16.6,7.1,7.9,942.6,1021.8
312,2016-11-08,11.8,14.5,9.7,0.0,940.3,1019.1
313,2016-11-09,8.9,12.5,6.5,2.4,942.3,1022.3
314,2016-11-10,9.9,12.5,7.5,0.0,939.6,1019.0
315,2016-11-11,10.4,14.2,7.1,4.8,940.6,1019.9
316,2016-11-12,9.9,15.9,4.5,5.6,944.4,1024.2
317,2016-11-13,14.1,19.0,9.6,6.4,944.2,1022.7
318,2016-11-14,14.7,16.8,13.5,0.0,938.3,1016.2
319,2016-11-15,14.6,18.5,10.3,3.8,937.3,1015.1
320,2016-11-16,10.0,15.4,5.9,7.5,940.9,1020.4
321,2016-11-17,11.8,17.5,6.3,2.9,942.6,1021.6
322,2016-11-18,13.6,15.6,10.5,0.0,940.9,1019.2
323,2016-11-19,16.3,17.5,15.1,0.2,937.9,1015.2
324,2016-11-20,15.2,17.9,11.9,0.4,940.4,1018.2
325,2016-11-21,15.5,18.7,12.0,0.0,937.3,1014.8
326,2016-11-22,13.3,17.6,9.6,3.9,937.8,1016.0
327,2016-11-23,9.4,11.5,7.9,2.5,938.8,1018.4
328,2016-11-24,4.5,8.2,-0.3,6.8,940.3,1021.5
329,2016-11-25,3.9,8.4,-0.8,6.4,943.5,1025.2
330,2016-11-26,8.0,11.8,0.8,0.4,941.8,1022.0
331,2016-11-27,10.5,13.4,6.0,0.0,936.7,1015.7
332,2016-11-28,5.7,8.8,2.7,3.4,942.9,1024.0
333,2016-11-29,5.9,10.8,0.9,6.8,947.7,1029.1
334,2016-11-30,9.5,13.0,3.8,0.4,946.4,1026.5
335,2016-12-01,8.5,11.4,6.1,0.8,944.8,1025.1
336,2016-12-02,5.4,11.0,1.4,4.9,946.6,1028.0
337,2016-12-03,7.4,15.0,0.7,7.2,945.6,1026.3
338,2016-12-04,10.4,12.6,7.4,0.0,940.1,1019.4
339,2016-12-05,9.2,12.8,5.9,1.3,939.1,1018.7
340,2016-12-06,5.8,10.2,-0.5,6.4,941.4,1022.3
341,2016-12-07,4.1,9.2,-1.7,2.4,941.3,1022.7
342,2016-12-08,6.2,9.0,3.9,4.0,939.5,1020.0
343,2016-12-09,8.2,12.1,2.8,3.2,937.9,1017.7
344,2016-12-10,5.8,9.5,2.2,6.7,940.8,1021.6
345,2016-12-11,4.9,10.4,1.4,7.1,943.5,1024.8
346,2016-12-12,8.2,12.0,2.2,0.5,942.9,1023.2
347,2016-12-13,10.9,13.4,8.3,0.0,934.6,1013.3
348,2016-12-14,6.0,8.8,4.0,0.6,933.9,1014.0
349,2016-12-15,2.2,4.3,-0.3,0.5,937.5,1019.2
350,2016-12-16,0.2,4.1,-1.8,6.5,942.2,1024.9
351,2016-12-17,2.6,7.7,-1.0,6.8,947.9,1030.4
352,2016-12-18,4.0,9.9,-2.4,4.6,949.3,1031.4
353,2016-12-19,8.8,14.1,3.3,6.5,946.1,1026.4
354,2016-12-20,11.8,15.3,9.3,0.7,945.5,1024.8
355,2016-12-21,13.2,16.5,10.2,1.2,945.3,1024.2
356,2016-12-22,11.2,14.5,5.5,0.0,935.7,1014.4
357,2016-12-23,3.2,5.7,1.2,0.0,937.9,1019.3
358,2016-12-24,3.0,6.9,0.4,5.9,944.5,1026.5
359,2016-12-25,7.6,11.9,2.3,5.8,946.8,1027.6
360,2016-12-26,11.9,14.2,8.9,0.0,940.2,1019.1
361,2016-12-27,5.0,14.1,0.7,0.1,936.1,1016.7
362,2016-12-28,1.1,4.8,-0.8,2.1,943.1,1025.6
363,2016-12-29,1.6,3.7,0.1,1.7,944.2,1026.6
364,2016-12-30,1.5,6.9,-1.3,7.0,947.2,1029.9
365,2016-12-31,3.2,8.3,-1.5,3.7,947.2,1029.3
366,2017-01-01,3.2,9.6,-0.8,7.0,946.3,1028.5
367,2017-01-02,6.9,10.5,2.2,1.2,942.5,1023.1
368,2017-01-03,6.0,10.9,0.3,7.1,942.2,1023.1
369,2017-01-04,5.9,11.8,0.2,6.8,941.6,1022.4
370,2017-01-05,6.2,9.9,3.2,0.1,941.4,1022.1
371,2017-01-06,5.1,10.2,1.7,6.7,941.8,1022.9
372,2017-01-07,7.7,12.0,1.9,0.8,938.6,1018.6
373,2017-01-08,9.1,12.2,7.2,2.0,929.9,1008.7
374,2017-01-09,5.0,7.2,1.7,1.2,934.2,1014.7
375,2017-01-10,2.5,4.4,-0.7,0.0,938.7,1020.4
376,2017-01-11,1.3,4.6,-1.3,5.2,940.0,1022.2
377,2017-01-12,1.6,3.7,-0.9,0.9,936.9,1018.7
378,2017-01-13,1.9,4.7,0.2,4.6,934.0,1015.4
379,2017-01-14,-1.0,2.0,-2.8,2.6,936.6,1019.2
380,2017-01-15,-2.6,1.5,-5.8,7.0,940.1,1023.5
381,2017-01-16,0.5,4.1,-1.8,7.0,942.1,1024.7
382,2017-01-17,1.1,6.4,-2.1,5.0,946.8,1029.7
383,2017-01-18,4.2,9.1,-1.1,0.9,945.6,1027.3
384,2017-01-19,4.7,8.3,1.9,0.2,939.8,1020.9
385,2017-01-20,0.4,5.2,-2.9,0.2,936.9,1019.1
386,2017-01-21,0.0,3.6,-2.8,5.5,943.4,1026.3
387,2017-01-22,-0.4,2.2,-2.8,0.2,941.5,1024.4
388,2017-01-23,-3.0,-0.1,-4.5,4.5,943.5,1027.4
389,2017-01-24,-2.1,1.3,-3.8,2.6,947.2,1031.1
390,2017-01-25,-1.2,4.0,-5.7,7.0,948.4,1032.1
391,2017-01-26,0.4,6.0,-3.8,7.4,946.7,1029.8
392,2017-01-27,4.4,9.7,-0.6,1.8,944.7,1026.3
393,2017-01-28,3.3,10.4,-3.1,7.6,944.1,1026.0
394,2017-01-29,10.8,15.5,2.8,0.3,939.7,1018.8
395,2017-01-30,4.7,11.7,-0.3,1.7,938.3,1019.2
396,2017-01-31,2.1,6.4,-0.6,5.1,942.7,1024.9
397,2017-02-01,2.7,5.6,-0.3,3.7,942.0,1023.9
398,2017-02-02,1.8,7.2,-2.0,7.8,944.2,1026.6
399,2017-02-03,3.0,9.3,-2.5,7.8,943.5,1025.4
400,2017-02-04,6.6,10.6,1.5,0.5,940.5,1021.0
401,2017-02-05,7.3,10.5,2.5,0.0,933.2,1013.0
402,2017-02-06,2.2,6.3,0.3,6.3,936.6,1018.2
403,2017-02-07,2.8,7.4,0.3,7.8,940.1,1021.8
404,2017-02-08,2.4,6.3,-1.4,1.2,936.0,1017.5
